Group,Outcome,prop_0,prop_1,prop_2,prop_3,prop_4,prop_5,prop_6,prop_7,prop_8,prop_9,prop_10,prop_11,prop_12,prop_13,prop_14,prop_15,prop_16,prop_17,prop_18,prop_19,prop_20,prop_21,prop_22,prop_23,prop_24,prop_25,prop_26,prop_27,prop_28,prop_29,prop_30,prop_31,prop_32,prop_33,prop_34,prop_35,prop_36,prop_37,prop_38,prop_39,prop_40,prop_41,prop_42,prop_43,prop_44,prop_45,prop_46,prop_47,prop_48,prop_49,prop_50,prop_51,prop_52,prop_53,prop_54,prop_55,prop_56,prop_57,prop_58,prop_59,prop_60,prop_61,prop_62,prop_63,prop_64,prop_65,prop_66,prop_67,prop_68,prop_69,prop_70,prop_71,prop_72,prop_73,prop_74,prop_75,prop_76,prop_77,prop_78,prop_79,prop_80,prop_81,prop_82,prop_83,prop_84,prop_85,prop_86,prop_87,prop_88,prop_89,prop_90,prop_91,prop_92,prop_93,prop_94,prop_95,prop_96,prop_97,prop_98,prop_99,
all,AnyCHC,0.0,-17.124,-23.313,-25.859,-26.637,-26.917,-27.04,-26.992,-26.87,-26.426,-26.015,-25.445,-24.827,-24.232,-23.639,-23.074,-22.64,-22.188,-21.842,-21.474,-21.134,-20.836,-20.567,-20.382,-20.12,-19.934,-19.709,-19.56,-19.362,-19.238,-19.049,-18.952,-18.755,-18.654,-18.552,-18.335,-18.34,-18.171,-18.037,-18.019,-17.824,-17.725,-17.742,-17.558,-17.464,-17.435,-17.283,-17.12,-17.053,-17.067,-16.799,-16.715,-16.72,-16.545,-16.34,-16.323,-16.228,-16.062,-15.913,-15.835,-15.815,-15.557,-15.409,-15.456,-15.259,-15.155,-15.032,-14.924,-14.874,-14.695,-14.634,-14.511,-14.422,-14.305,-14.206,-14.14,-13.987,-13.897,-13.786,-13.731,-13.497,-13.512,-13.318,-13.157,-13.134,-12.913,-12.801,-12.698,-12.5,-12.473,-12.143,-11.999,-11.737,-11.533,-11.271,-11.066,-10.97,-10.752,-10.439,-10.14,
all,Death,0.0,-16.651,-22.877,-26.439,-28.21,-29.347,-29.806,-29.853,-29.412,-28.648,-27.683,-26.724,-25.723,-24.794,-23.944,-23.241,-22.601,-22.064,-21.586,-21.171,-20.666,-20.307,-19.936,-19.565,-19.247,-18.968,-18.631,-18.37,-18.037,-17.792,-17.495,-17.268,-17.039,-16.792,-16.573,-16.365,-16.122,-16.029,-15.706,-15.668,-15.41,-15.248,-15.025,-14.907,-14.657,-14.496,-14.287,-14.12,-13.847,-13.731,-13.448,-13.317,-13.078,-12.936,-12.715,-12.524,-12.333,-12.188,-11.976,-11.776,-11.655,-11.467,-11.263,-11.036,-10.752,-10.556,-10.444,-10.217,-9.941,-9.703,-9.533,-9.34,-9.175,-8.931,-8.742,-8.601,-8.449,-8.185,-8.108,-7.982,-7.803,-7.672,-7.584,-7.504,-7.375,-7.355,-7.325,-7.213,-7.335,-7.276,-7.382,-7.433,-7.514,-7.605,-7.74,-7.834,-7.902,-7.745,-6.306,-3.497,
Male,AnyCHC,0.0,-14.765,-20.427,-24.557,-26.596,-27.475,-27.937,-28.225,-28.233,-28.066,-27.74,-27.344,-26.824,-26.199,-25.565,-24.96,-24.331,-23.76,-23.226,-22.747,-22.246,-21.832,-21.439,-21.114,-20.771,-20.477,-20.23,-19.941,-19.728,-19.484,-19.307,-19.078,-18.923,-18.706,-18.538,-18.368,-18.193,-18.049,-17.894,-17.772,-17.614,-17.496,-17.356,-17.238,-17.105,-16.958,-16.938,-16.722,-16.56,-16.563,-16.375,-16.262,-16.107,-16.016,-15.937,-15.725,-15.63,-15.528,-15.382,-15.279,-15.131,-15.036,-14.906,-14.781,-14.67,-14.544,-14.472,-14.312,-14.228,-14.145,-13.965,-13.941,-13.828,-13.675,-13.627,-13.519,-13.456,-13.323,-13.258,-13.223,-13.022,-13.065,-12.866,-12.866,-12.73,-12.656,-12.617,-12.496,-12.474,-12.36,-12.296,-12.177,-12.021,-11.9,-11.741,-11.683,-11.593,-11.43,-11.249,-11.008,
Male,Death,0.0,-14.266,-19.8,-23.917,-26.409,-27.965,-29.09,-29.635,-29.814,-29.608,-29.04,-28.166,-27.235,-26.295,-25.363,-24.487,-23.757,-23.114,-22.573,-22.13,-21.689,-21.255,-20.866,-20.437,-20.092,-19.76,-19.373,-19.066,-18.771,-18.498,-18.215,-17.9,-17.671,-17.399,-17.138,-16.942,-16.65,-16.504,-16.232,-16.023,-15.895,-15.6,-15.47,-15.26,-15.022,-14.816,-14.668,-14.399,-14.136,-14.055,-13.78,-13.497,-13.348,-13.193,-12.963,-12.678,-12.542,-12.434,-12.175,-11.944,-11.799,-11.665,-11.439,-11.207,-10.921,-10.727,-10.611,-10.306,-10.144,-9.888,-9.706,-9.52,-9.369,-9.119,-8.913,-8.819,-8.591,-8.465,-8.273,-8.204,-8.03,-7.905,-7.873,-7.722,-7.681,-7.657,-7.596,-7.623,-7.599,-7.707,-7.71,-7.799,-7.902,-7.952,-8.022,-8.049,-7.886,-7.003,-5.169,-2.636,
Female,AnyCHC,0.0,-22.479,-25.543,-26.053,-25.956,-25.736,-25.424,-25.048,-24.595,-24.02,-23.462,-22.942,-22.435,-21.997,-21.615,-21.305,-21.037,-20.748,-20.523,-20.313,-20.126,-19.946,-19.847,-19.661,-19.543,-19.404,-19.299,-19.177,-19.102,-19.034,-18.906,-18.863,-18.784,-18.694,-18.661,-18.548,-18.537,-18.435,-18.445,-18.296,-18.353,-18.181,-18.168,-18.12,-18.0,-17.972,-17.884,-17.804,-17.713,-17.633,-17.504,-17.423,-17.343,-17.186,-17.107,-16.998,-16.919,-16.765,-16.648,-16.561,-16.408,-16.329,-16.164,-16.105,-15.993,-15.832,-15.734,-15.647,-15.533,-15.383,-15.252,-15.205,-15.061,-14.92,-14.806,-14.656,-14.563,-14.347,-14.243,-14.107,-13.901,-13.734,-13.607,-13.424,-13.205,-13.083,-12.877,-12.612,-12.522,-12.153,-11.866,-11.657,-11.231,-11.097,-10.728,-10.445,-10.277,-9.983,-9.659,-9.43,
Female,Death,0.0,-22.098,-27.13,-29.057,-29.908,-30.042,-29.654,-28.867,-27.869,-26.775,-25.702,-24.674,-23.787,-23.003,-22.336,-21.793,-21.295,-20.81,-20.367,-19.982,-19.597,-19.278,-18.928,-18.644,-18.301,-18.008,-17.786,-17.501,-17.245,-16.997,-16.767,-16.534,-16.35,-16.142,-15.968,-15.756,-15.634,-15.434,-15.252,-15.138,-14.93,-14.777,-14.604,-14.47,-14.231,-14.079,-13.916,-13.709,-13.506,-13.369,-13.135,-12.996,-12.774,-12.587,-12.445,-12.263,-12.068,-11.938,-11.705,-11.57,-11.419,-11.209,-11.021,-10.789,-10.608,-10.42,-10.186,-9.944,-9.752,-9.541,-9.379,-9.126,-8.889,-8.743,-8.587,-8.436,-8.19,-7.989,-7.926,-7.767,-7.555,-7.458,-7.349,-7.197,-7.151,-7.053,-7.028,-6.943,-6.938,-6.951,-6.958,-7.027,-7.06,-7.162,-7.304,-7.435,-7.523,-7.67,-7.472,-4.964,
1970s,AnyCHC,0.0,-16.378,-23.019,-26.53,-28.051,-28.634,-28.961,-29.089,-29.077,-28.967,-28.784,-28.632,-28.369,-28.059,-27.67,-27.277,-26.854,-26.432,-26.0,-25.611,-25.226,-24.859,-24.542,-24.246,-23.905,-23.615,-23.301,-23.088,-22.79,-22.579,-22.336,-22.153,-21.929,-21.741,-21.576,-21.4,-21.246,-21.123,-20.924,-20.791,-20.645,-20.476,-20.317,-20.224,-20.009,-19.904,-19.797,-19.647,-19.454,-19.413,-19.226,-19.074,-18.948,-18.889,-18.65,-18.508,-18.451,-18.287,-18.136,-17.966,-17.886,-17.747,-17.524,-17.454,-17.31,-17.155,-17.003,-16.875,-16.765,-16.568,-16.431,-16.326,-16.206,-16.028,-15.901,-15.786,-15.628,-15.456,-15.376,-15.208,-14.99,-14.928,-14.696,-14.502,-14.387,-14.128,-13.975,-13.789,-13.572,-13.391,-13.075,-12.83,-12.523,-12.294,-12.029,-11.811,-11.621,-11.318,-10.975,-10.597,
1970s,Death,0.0,-16.219,-22.95,-27.517,-30.04,-31.607,-32.57,-33.008,-33.333,-33.545,-33.66,-33.503,-32.991,-32.291,-31.482,-30.612,-29.774,-28.902,-28.143,-27.422,-26.754,-26.148,-25.572,-25.059,-24.62,-24.157,-23.727,-23.317,-23.0,-22.601,-22.284,-21.96,-21.648,-21.359,-21.07,-20.791,-20.545,-20.265,-20.005,-19.791,-19.544,-19.359,-19.107,-18.891,-18.682,-18.453,-18.204,-18.059,-17.795,-17.614,-17.362,-17.18,-16.889,-16.718,-16.483,-16.274,-16.009,-15.813,-15.596,-15.361,-15.132,-14.931,-14.71,-14.444,-14.176,-13.87,-13.634,-13.39,-13.19,-12.897,-12.603,-12.396,-12.219,-11.979,-11.685,-11.484,-11.304,-11.1,-10.865,-10.639,-10.492,-10.282,-10.09,-9.931,-9.793,-9.601,-9.508,-9.383,-9.326,-9.272,-9.231,-9.29,-9.39,-9.479,-9.57,-9.665,-9.754,-9.293,-7.632,-4.62,
1980s,AnyCHC,0.0,-17.293,-23.627,-26.265,-27.146,-27.447,-27.539,-27.623,-27.39,-27.064,-26.611,-26.075,-25.486,-24.874,-24.296,-23.768,-23.28,-22.804,-22.418,-22.034,-21.718,-21.395,-21.126,-20.86,-20.593,-20.359,-20.152,-19.953,-19.783,-19.602,-19.428,-19.285,-19.13,-18.965,-18.89,-18.702,-18.622,-18.478,-18.34,-18.286,-18.16,-18.01,-17.984,-17.823,-17.69,-17.659,-17.522,-17.414,-17.285,-17.249,-17.068,-16.917,-16.91,-16.767,-16.575,-16.489,-16.435,-16.272,-16.082,-16.035,-15.967,-15.764,-15.616,-15.621,-15.433,-15.279,-15.208,-15.072,-15.007,-14.845,-14.728,-14.674,-14.497,-14.452,-14.314,-14.203,-14.111,-13.972,-13.916,-13.765,-13.596,-13.54,-13.36,-13.217,-13.124,-12.965,-12.794,-12.72,-12.487,-12.445,-12.124,-11.937,-11.646,-11.456,-11.203,-11.017,-10.87,-10.595,-10.273,-10.013,
1980s,Death,0.0,-16.866,-23.234,-26.842,-28.724,-29.843,-30.382,-30.477,-30.087,-29.389,-28.44,-27.421,-26.358,-25.388,-24.516,-23.747,-23.027,-22.481,-22.006,-21.546,-21.067,-20.682,-20.281,-19.915,-19.586,-19.244,-18.946,-18.665,-18.348,-18.107,-17.815,-17.531,-17.32,-17.071,-16.849,-16.647,-16.405,-16.257,-16.033,-15.818,-15.703,-15.486,-15.289,-15.174,-14.945,-14.733,-14.557,-14.41,-14.157,-13.971,-13.809,-13.574,-13.389,-13.169,-13.041,-12.789,-12.609,-12.464,-12.278,-12.071,-11.879,-11.753,-11.519,-11.319,-11.047,-10.834,-10.666,-10.48,-10.189,-10.007,-9.795,-9.601,-9.449,-9.154,-8.999,-8.85,-8.668,-8.462,-8.311,-8.215,-8.007,-7.909,-7.805,-7.678,-7.6,-7.561,-7.447,-7.449,-7.463,-7.476,-7.511,-7.622,-7.694,-7.816,-7.936,-8.035,-8.077,-7.855,-6.389,-3.588,
1990s,AnyCHC,0.0,-17.227,-22.693,-24.712,-25.22,-25.334,-25.309,-25.068,-24.641,-24.014,-23.316,-22.647,-21.974,-21.406,-20.891,-20.429,-20.034,-19.649,-19.376,-19.099,-18.844,-18.664,-18.443,-18.287,-18.104,-17.972,-17.798,-17.719,-17.553,-17.489,-17.311,-17.276,-17.079,-17.074,-16.925,-16.866,-16.79,-16.699,-16.613,-16.608,-16.475,-16.426,-16.379,-16.261,-16.223,-16.139,-16.037,-15.919,-15.875,-15.813,-15.662,-15.549,-15.572,-15.389,-15.244,-15.211,-15.139,-14.969,-14.867,-14.849,-14.715,-14.564,-14.543,-14.411,-14.359,-14.236,-14.106,-14.105,-13.97,-13.846,-13.815,-13.722,-13.664,-13.543,-13.467,-13.432,-13.315,-13.225,-13.173,-13.048,-12.962,-12.895,-12.801,-12.674,-12.622,-12.507,-12.396,-12.332,-12.166,-12.115,-11.879,-11.725,-11.495,-11.327,-11.122,-10.967,-10.854,-10.666,-10.415,-10.166,
1990s,Death,0.0,-16.365,-21.867,-24.745,-26.176,-26.77,-26.543,-25.657,-24.619,-23.632,-22.703,-21.829,-21.121,-20.459,-19.946,-19.485,-19.096,-18.714,-18.363,-18.07,-17.775,-17.439,-17.172,-16.887,-16.611,-16.347,-16.092,-15.827,-15.622,-15.388,-15.161,-14.958,-14.768,-14.57,-14.38,-14.234,-14.041,-13.874,-13.729,-13.569,-13.377,-13.229,-13.046,-12.848,-12.695,-12.543,-12.323,-12.128,-12.049,-11.827,-11.653,-11.466,-11.336,-11.193,-10.992,-10.837,-10.725,-10.552,-10.372,-10.215,-10.09,-9.936,-9.719,-9.475,-9.289,-9.136,-8.972,-8.758,-8.564,-8.31,-8.169,-8.063,-7.855,-7.657,-7.506,-7.402,-7.248,-7.099,-6.935,-6.867,-6.786,-6.661,-6.588,-6.55,-6.468,-6.431,-6.424,-6.425,-6.439,-6.473,-6.552,-6.584,-6.702,-6.804,-6.877,-6.966,-7.009,-6.856,-5.568,-3.059,
Age0-4,AnyCHC,0.0,-17.545,-25.846,-29.507,-30.737,-30.848,-30.397,-29.679,-28.743,-27.661,-26.612,-25.644,-24.733,-23.894,-23.126,-22.478,-21.935,-21.422,-20.988,-20.617,-20.255,-19.969,-19.699,-19.475,-19.25,-19.063,-18.882,-18.738,-18.607,-18.486,-18.339,-18.235,-18.094,-17.999,-17.928,-17.774,-17.759,-17.65,-17.539,-17.555,-17.365,-17.357,-17.301,-17.183,-17.114,-17.068,-16.971,-16.858,-16.835,-16.74,-16.571,-16.548,-16.457,-16.347,-16.218,-16.144,-16.096,-15.922,-15.82,-15.792,-15.679,-15.525,-15.447,-15.371,-15.286,-15.181,-15.071,-15.019,-14.925,-14.832,-14.711,-14.654,-14.571,-14.476,-14.424,-14.333,-14.225,-14.135,-14.056,-13.986,-13.833,-13.801,-13.643,-13.551,-13.49,-13.314,-13.211,-13.092,-12.952,-12.829,-12.607,-12.408,-12.13,-11.947,-11.697,-11.508,-11.351,-11.085,-10.866,-10.619,
Age0-4,Death,0.0,-17.537,-25.902,-30.483,-32.192,-32.332,-31.454,-30.112,-28.631,-27.284,-26.068,-24.988,-23.965,-23.112,-22.4,-21.788,-21.361,-20.984,-20.639,-20.27,-19.957,-19.645,-19.38,-19.083,-18.832,-18.554,-18.319,-18.04,-17.784,-17.557,-17.351,-17.07,-16.929,-16.711,-16.474,-16.31,-16.111,-15.915,-15.787,-15.603,-15.445,-15.29,-15.125,-14.902,-14.78,-14.593,-14.364,-14.236,-14.054,-13.879,-13.648,-13.522,-13.343,-13.16,-12.926,-12.796,-12.665,-12.476,-12.276,-12.152,-12.023,-11.824,-11.603,-11.379,-11.206,-11.021,-10.838,-10.625,-10.426,-10.261,-10.033,-9.85,-9.714,-9.457,-9.314,-9.211,-8.959,-8.871,-8.689,-8.595,-8.435,-8.368,-8.222,-8.157,-8.102,-8.027,-8.025,-7.964,-7.969,-7.984,-8.018,-8.061,-8.171,-8.253,-8.359,-8.468,-8.543,-8.392,-7.399,-5.135,
Age5-9,AnyCHC,0.0,-13.966,-21.68,-25.962,-28.102,-29.173,-29.647,-29.69,-29.359,-28.721,-27.948,-27.094,-26.223,-25.405,-24.64,-23.947,-23.347,-22.825,-22.334,-21.905,-21.489,-21.143,-20.804,-20.511,-20.244,-19.982,-19.75,-19.459,-19.287,-19.074,-18.881,-18.686,-18.523,-18.339,-18.199,-18.013,-17.872,-17.731,-17.604,-17.469,-17.356,-17.219,-17.119,-16.979,-16.853,-16.762,-16.61,-16.497,-16.393,-16.292,-16.112,-15.979,-15.894,-15.751,-15.594,-15.477,-15.38,-15.239,-15.044,-14.991,-14.865,-14.725,-14.577,-14.491,-14.358,-14.198,-14.086,-14.002,-13.86,-13.718,-13.625,-13.514,-13.425,-13.295,-13.192,-13.104,-12.978,-12.859,-12.756,-12.634,-12.52,-12.396,-12.327,-12.126,-12.087,-11.925,-11.843,-11.7,-11.529,-11.436,-11.207,-10.998,-10.748,-10.555,-10.339,-10.164,-9.991,-9.766,-9.56,-9.3,
Age5-9,Death,0.0,-13.643,-22.04,-27.483,-30.622,-32.383,-32.967,-32.667,-31.799,-30.622,-29.232,-27.885,-26.671,-25.533,-24.577,-23.708,-22.895,-22.179,-21.537,-20.96,-20.359,-19.803,-19.325,-18.833,-18.379,-17.963,-17.617,-17.258,-16.912,-16.573,-16.281,-15.981,-15.68,-15.447,-15.196,-14.947,-14.73,-14.501,-14.248,-14.089,-13.843,-13.614,-13.438,-13.219,-12.958,-12.738,-12.556,-12.333,-12.075,-11.926,-11.702,-11.516,-11.277,-11.114,-10.945,-10.735,-10.557,-10.387,-10.215,-10.045,-9.822,-9.682,-9.454,-9.265,-9.063,-8.849,-8.659,-8.452,-8.246,-8.017,-7.832,-7.655,-7.469,-7.283,-7.14,-6.961,-6.825,-6.697,-6.565,-6.461,-6.381,-6.282,-6.184,-6.201,-6.1,-6.076,-6.115,-6.073,-6.169,-6.168,-6.272,-6.317,-6.42,-6.564,-6.646,-6.743,-6.759,-6.437,-5.092,-2.77,
Age10-14,AnyCHC,0.0,-11.23,-18.007,-21.954,-23.913,-25.082,-25.767,-26.16,-26.173,-25.929,-25.593,-25.104,-24.609,-24.111,-23.619,-23.169,-22.788,-22.401,-22.085,-21.744,-21.45,-21.201,-20.983,-20.747,-20.524,-20.349,-20.156,-19.971,-19.812,-19.644,-19.514,-19.382,-19.206,-19.103,-18.932,-18.799,-18.682,-18.556,-18.422,-18.368,-18.199,-18.098,-18.047,-17.877,-17.766,-17.695,-17.576,-17.421,-17.365,-17.251,-17.107,-16.991,-16.896,-16.788,-16.599,-16.511,-16.426,-16.274,-16.128,-16.014,-15.947,-15.765,-15.617,-15.556,-15.43,-15.29,-15.15,-15.067,-14.955,-14.808,-14.681,-14.631,-14.512,-14.38,-14.288,-14.173,-14.113,-13.929,-13.874,-13.77,-13.565,-13.538,-13.374,-13.245,-13.157,-12.982,-12.874,-12.767,-12.558,-12.518,-12.232,-12.056,-11.822,-11.64,-11.408,-11.224,-11.076,-10.912,-10.633,-10.32,
Age10-14,Death,0.0,-10.647,-18.437,-23.527,-26.613,-28.574,-29.539,-29.763,-29.553,-28.923,-28.106,-27.146,-26.157,-25.185,-24.328,-23.636,-22.989,-22.428,-21.906,-21.448,-20.997,-20.527,-20.08,-19.681,-19.29,-18.962,-18.595,-18.284,-17.969,-17.698,-17.412,-17.13,-16.947,-16.641,-16.434,-16.249,-16.017,-15.837,-15.646,-15.449,-15.286,-15.096,-14.912,-14.72,-14.535,-14.355,-14.139,-13.977,-13.758,-13.565,-13.323,-13.169,-12.97,-12.755,-12.571,-12.375,-12.238,-12.019,-11.835,-11.706,-11.52,-11.355,-11.096,-10.884,-10.714,-10.417,-10.223,-10.022,-9.815,-9.625,-9.386,-9.173,-9.011,-8.801,-8.589,-8.426,-8.273,-8.092,-7.902,-7.835,-7.658,-7.503,-7.496,-7.325,-7.248,-7.206,-7.146,-7.174,-7.155,-7.236,-7.318,-7.393,-7.539,-7.673,-7.779,-7.884,-7.917,-7.385,-5.591,-2.619,
Age15-20,AnyCHC,0.0,-10.179,-15.393,-18.472,-20.517,-21.882,-22.883,-23.629,-24.013,-24.196,-24.234,-24.212,-24.053,-23.891,-23.72,-23.537,-23.366,-23.157,-22.948,-22.75,-22.561,-22.362,-22.16,-21.978,-21.807,-21.643,-21.449,-21.306,-21.115,-20.959,-20.792,-20.653,-20.526,-20.404,-20.293,-20.139,-20.07,-19.918,-19.787,-19.694,-19.538,-19.416,-19.335,-19.193,-19.061,-18.938,-18.85,-18.696,-18.588,-18.485,-18.336,-18.193,-18.093,-17.997,-17.83,-17.697,-17.632,-17.448,-17.26,-17.18,-17.049,-16.928,-16.743,-16.63,-16.525,-16.344,-16.237,-16.086,-15.977,-15.818,-15.675,-15.6,-15.433,-15.336,-15.155,-15.105,-14.944,-14.789,-14.676,-14.534,-14.351,-14.277,-14.079,-13.959,-13.789,-13.628,-13.474,-13.329,-13.165,-12.986,-12.748,-12.567,-12.312,-12.114,-11.938,-11.765,-11.627,-11.43,-11.152,-10.872,
Age15-20,Death,0.0,-10.224,-16.175,-20.553,-23.5,-25.624,-27.014,-27.921,-28.457,-28.685,-28.627,-28.365,-27.815,-27.219,-26.541,-25.896,-25.279,-24.707,-24.168,-23.7,-23.29,-22.94,-22.509,-22.141,-21.753,-21.379,-21.024,-20.717,-20.384,-20.075,-19.804,-19.552,-19.212,-19.011,-18.757,-18.486,-18.286,-18.015,-17.846,-17.653,-17.442,-17.248,-17.066,-16.827,-16.675,-16.491,-16.274,-16.074,-15.883,-15.678,-15.456,-15.248,-15.052,-14.847,-14.625,-14.421,-14.196,-14.0,-13.793,-13.615,-13.399,-13.2,-12.961,-12.718,-12.418,-12.175,-11.951,-11.775,-11.592,-11.276,-11.049,-10.864,-10.676,-10.468,-10.199,-10.012,-9.851,-9.654,-9.445,-9.282,-9.114,-8.942,-8.795,-8.676,-8.576,-8.453,-8.431,-8.336,-8.342,-8.339,-8.405,-8.54,-8.64,-8.757,-8.866,-8.973,-8.91,-8.109,-6.217,-3.022,
brain,AnyCHC,0.0,-18.464,-25.276,-28.638,-30.396,-31.442,-32.181,-32.63,-32.862,-32.888,-32.81,-32.718,-32.587,-32.372,-32.135,-31.848,-31.6,-31.305,-31.0,-30.688,-30.366,-30.021,-29.703,-29.377,-29.086,-28.795,-28.474,-28.191,-27.914,-27.646,-27.335,-27.135,-26.871,-26.643,-26.455,-26.26,-26.07,-25.893,-25.671,-25.506,-25.283,-25.101,-24.934,-24.766,-24.564,-24.432,-24.273,-24.051,-23.887,-23.703,-23.438,-23.243,-23.107,-22.902,-22.652,-22.491,-22.35,-22.114,-21.909,-21.728,-21.61,-21.371,-21.184,-21.007,-20.89,-20.642,-20.47,-20.313,-20.133,-19.937,-19.764,-19.6,-19.445,-19.247,-19.07,-18.937,-18.755,-18.569,-18.429,-18.215,-18.037,-17.897,-17.691,-17.487,-17.338,-17.132,-16.957,-16.795,-16.56,-16.399,-16.167,-15.927,-15.641,-15.479,-15.261,-15.109,-14.997,-14.88,-14.779,-14.874,
brain,Death,0.0,-18.089,-25.237,-29.842,-32.731,-34.663,-35.775,-36.408,-36.764,-36.935,-37.009,-36.808,-36.518,-36.078,-35.492,-34.901,-34.228,-33.575,-32.968,-32.364,-31.778,-31.166,-30.657,-30.234,-29.817,-29.405,-29.018,-28.628,-28.273,-27.948,-27.656,-27.372,-27.098,-26.781,-26.517,-26.211,-25.882,-25.66,-25.37,-25.058,-24.833,-24.587,-24.318,-24.095,-23.828,-23.607,-23.427,-23.165,-22.948,-22.772,-22.537,-22.297,-22.089,-21.948,-21.726,-21.448,-21.278,-21.137,-20.93,-20.654,-20.484,-20.323,-20.18,-19.894,-19.598,-19.471,-19.246,-19.042,-18.784,-18.528,-18.303,-18.106,-17.818,-17.581,-17.329,-17.103,-16.937,-16.639,-16.409,-16.233,-16.031,-15.77,-15.626,-15.414,-15.216,-15.076,-14.873,-14.738,-14.617,-14.487,-14.388,-14.362,-14.334,-14.358,-14.441,-14.576,-14.689,-14.778,-14.209,-12.421,
bone,AnyCHC,0.0,-15.352,-20.708,-23.689,-25.32,-26.436,-27.309,-27.95,-28.404,-28.695,-28.833,-28.922,-28.882,-28.794,-28.604,-28.387,-28.051,-27.71,-27.364,-26.977,-26.619,-26.282,-25.961,-25.601,-25.285,-24.99,-24.637,-24.378,-24.088,-23.786,-23.505,-23.245,-23.026,-22.738,-22.542,-22.331,-22.106,-21.891,-21.672,-21.486,-21.287,-21.069,-20.851,-20.674,-20.474,-20.3,-20.099,-19.912,-19.779,-19.605,-19.434,-19.262,-19.128,-18.937,-18.772,-18.615,-18.482,-18.303,-18.122,-17.976,-17.856,-17.647,-17.519,-17.353,-17.219,-17.062,-16.909,-16.8,-16.633,-16.457,-16.32,-16.218,-16.075,-15.931,-15.814,-15.682,-15.555,-15.427,-15.331,-15.174,-15.052,-14.923,-14.813,-14.662,-14.562,-14.425,-14.29,-14.186,-14.054,-13.908,-13.746,-13.558,-13.344,-13.181,-13.032,-12.954,-12.861,-12.798,-12.795,-12.78,
