Group,Outcome,age_0,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,age_11,age_12,age_13,age_14,age_15,age_16,age_17,age_18,age_19,age_20,age_21,age_22,age_23,age_24,age_25,age_26,age_27,age_28,age_29,age_30,age_31,age_32,age_33,age_34,age_35,age_36,age_37,age_38,age_39,age_40,age_41,age_42,age_43,age_44,age_45,age_46,age_47,age_48,age_49,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89,age_90,age_91,age_92,age_93,age_94,age_95,age_96,age_97,age_98,age_99,
all,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-6.845378141502323E-4,-0.002738952513283266,-0.00720456492767152,-0.01485563578018656,-0.026158995199178747,-0.041318133799590484,-0.06052528317131056,-0.08381373184091068,-0.11156218544615015,-0.14396284526255165,-0.18002743030870327,-0.22045292395683802,-0.2665149934721107,-0.31621878217958255,-0.37127770316116937,-0.431642509331855,-0.4971421408120662,-0.5704737341387975,-0.6472848353118792,-0.7321838798415463,-0.8244090520833574,-0.920990608705214,-1.0256783418201252,-1.1359160028114026,-1.2520522214888992,-1.3762857636499248,-1.505639107916867,-1.6413471836891098,-1.7842930813996603,-1.9346760435551502,-2.0932071193491026,-2.260889162388075,-2.4361792069475143,-2.6213642636469103,-2.817462957297913,-3.020819346515488,-3.2353283385781353,-3.4599507797962374,-3.69822139411081,-3.945448139027093,-4.208736349003011,-4.4808834798463195,-4.764973225503127,-5.066915463739939,-5.384584863253096,-5.7227126957376555,-6.06909530457682,-6.448339903522495,-6.83906254691653,-7.247100977163768,-7.663978700045021,-8.094019621037873,-8.540130596653476,-8.988739209445221,-9.443255159031047,-9.9232497889626,-10.414356479402151,-10.905971767559251,-11.410147914273182,-11.916382927225008,-12.420781716728463,-12.918340825979726,-13.40444987394988,-13.877494429166298,-14.337656943974636,-14.801613807580132,-15.244846136356294,-15.695035510921862,-16.135259709646128,-16.550547942198214,-16.94068136039811,-17.307584549892027,-17.64455964187568,-17.94916498337642,-18.21432512723726,-18.454395427144796,-18.631486968212556,-18.780776114602304,-18.914097869420736,-19.01365161854475,-19.086120358471803,-19.13861061926991,-19.18006507390045,-19.2163506529033,-19.244157913509497,-19.26341617688525,-19.274859532172776,-19.282352237981833,-19.28798776053987,-19.291691036194173,-19.29393059073778,-19.29642637488667,-19.297845157734336,-19.299041226488633,-19.29972556786442,
Male,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-8.389318523649436E-4,-0.003189796523503041,-0.008352328934712716,-0.017315132439003733,-0.030887483988747633,-0.04881430069318782,-0.07187622380025083,-0.10039442052238101,-0.1339184257587238,-0.17199438442643888,-0.21485446805406916,-0.2644928289911235,-0.31893553458271384,-0.37949730462589315,-0.4454133664910884,-0.5148590696731326,-0.5907765548967312,-0.6738111882215705,-0.7620836891352631,-0.856382824618585,-0.9616193095492136,-1.070256152482365,-1.1862132950637623,-1.3073139532524642,-1.4362282032932363,-1.5694387144153552,-1.7119426129601614,-1.8584103026330823,-2.0161114323471665,-2.177734050822238,-2.3452398231854374,-2.523789445742075,-2.7076056192143128,-2.8988862262170656,-3.099124958443099,-3.310850737513249,-3.537279231873704,-3.768250478123406,-4.010600093103086,-4.265536720437737,-4.53479273071261,-4.820489170237337,-5.114755156979683,-5.428130975948115,-5.764682483436637,-6.109696595879299,-6.466897375208902,-6.838611484198374,-7.247715791040022,-7.665028599174747,-8.084819513901955,-8.528000873418584,-8.992752151077212,-9.473881334962364,-9.963920498702436,-10.472773472102311,-10.978335611313383,-11.496193618756422,-12.006366597510699,-12.533342586872017,-13.053572411017306,-13.55691730719792,-14.080747740959417,-14.605454927939334,-15.15536065203996,-15.691825314951586,-16.176050196259624,-16.63731495205205,-17.04392658713884,-17.41034006316623,-17.74774387664803,-18.067274670541472,-18.35503798102682,-18.592050752393696,-18.818962722628136,-19.029373629052778,-19.21504170641346,-19.37420213167023,-19.507882923565035,-19.61642629066722,-19.699578477884643,-19.76271677770969,-19.814186557063273,-19.853971749535653,-19.883768291910705,-19.907641870416988,-19.92542295856871,-19.937923530175517,-19.947785063021627,-19.955063322011938,-19.959995906750905,-19.963145502163073,-19.965345939046657,-19.96634758444489,-19.96707393601075,
Female,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-7.705277304017599E-4,-0.0029619807051970426,-0.007163016698690683,-0.01392804631650435,-0.023481870353554868,-0.03589951992809404,-0.05263877305431208,-0.07205181237447533,-0.09474325827673624,-0.12118805693576817,-0.15166614073856977,-0.18531668414650326,-0.2229488233158996,-0.2653554977968504,-0.3124422066928787,-0.36466489194338436,-0.4208151134599696,-0.4843181042073468,-0.5540861012780809,-0.6281112841171428,-0.7069087928203714,-0.7937982348449744,-0.884607518428151,-0.9877978770465035,-1.0929165125402776,-1.2045723088522386,-1.3256649663468458,-1.452306613569565,-1.5870243000251776,-1.732263755290667,-1.8907959994129797,-2.054536790777327,-2.224515788262117,-2.407149883969666,-2.5986862646210582,-2.803293170329283,-3.0190819858040285,-3.2427451355822186,-3.481684195946954,-3.733141802386193,-4.000193874730478,-4.269358482963547,-4.558765755356859,-4.861570915210912,-5.178974067101294,-5.507945119101386,-5.860323961003687,-6.237120286506645,-6.636581249756212,-7.054412614719773,-7.483850639458105,-7.9084467134180585,-8.363868159064019,-8.841531518352554,-9.327097103273132,-9.82931270268459,-10.340345655064134,-10.8584307026156,-11.379151350407781,-11.900712208998996,-12.431689905709156,-12.950404214204028,-13.47339855530057,-13.98988217145537,-14.496618024144503,-14.985504531150127,-15.432403136892049,-15.852812408696025,-16.25945931842643,-16.634473694339064,-16.98265805861496,-17.299394188390785,-17.588457810603344,-17.84432654620943,-18.069336070488028,-18.263451524230064,-18.431185949772484,-18.573200944860005,-18.68668839121269,-18.772346253265134,-18.848027763017015,-18.905290246959495,-18.939361980084918,-18.966858489514685,-18.99211207703476,-19.010369508007628,-19.022257000260154,-19.030979043295986,-19.037880901541655,-19.042941588664988,-19.04654667982014,-19.049154718697793,-19.05103830644147,-19.052363265525543,-19.05353794330344,
1970s,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-9.411376804324689E-4,-0.0035086998415518877,-0.009165047094999323,-0.019232643807521654,-0.03449697030217003,-0.05534157476653334,-0.08164232007079875,-0.11393252026841694,-0.15164739781893566,-0.19511347483447672,-0.24508792896416587,-0.30041564410865007,-0.36189872720291305,-0.4269800697953805,-0.5016184466839313,-0.5816450778381075,-0.6697930432989594,-0.7654832340746722,-0.8688833127634226,-0.9815162761998621,-1.1020390441224457,-1.2319206697923804,-1.3701486664331028,-1.5187527878791727,-1.674011484946,-1.8373078206310112,-2.0106939141265308,-2.1911050110897214,-2.379114172158264,-2.578683792111839,-2.784588717762091,-3.0040309883261926,-3.230835861679303,-3.463884452336984,-3.712930403432722,-3.9691268098478503,-4.241688242210074,-4.523073625895705,-4.816549534556913,-5.1214141816874985,-5.437978132360506,-5.769039337768895,-6.116928731937769,-6.475830880325596,-6.843094928335304,-7.224814715783083,-7.622786582021419,-8.029241505551013,-8.448356521801173,-8.884327764420696,-9.326696234949083,-9.779842614335372,-10.243464762950666,-10.72101299270927,-11.208027000142224,-11.69596727202871,-12.188336671078503,-12.690219902301024,-13.198907906507493,-13.710109675041856,-14.222091536459743,-14.738712985684678,-15.246072916222985,-15.7328976481664,-16.216207825486904,-16.674261081292926,-17.12992548761268,-17.574971684128556,-17.984354760464747,-18.356230364859414,-18.7278555595965,-19.0622468785537,-19.379252702696924,-19.648070648915848,-19.908750499785242,-20.128338425551505,-20.3146987924381,-20.474167471503137,-20.605796132078275,-20.71852187902796,-20.80960889964608,-20.88315554570746,-20.931669670868757,-20.970181932639747,-21.001841569488334,-21.025816414177925,-21.042447597073377,-21.054134700244887,-21.062306758427212,-21.068865932972784,-21.072482553021487,-21.075017565334733,-21.07628571222095,-21.07701709803932,-21.077559496701326,
1980s,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-9.810347284417986E-4,-0.003688344764024798,-0.00945015281707473,-0.018978195158469546,-0.03241129891165784,-0.05044101353081132,-0.07354159269320171,-0.10036267030924684,-0.1325474864913243,-0.16897832889135422,-0.20714967140821372,-0.25163127248672623,-0.30132580068395143,-0.3564720624939923,-0.41702291900228516,-0.48450054141464705,-0.5568913089549739,-0.6348902582831819,-0.7199473165760075,-0.8099839894408021,-0.9066663240220194,-1.0095448526767505,-1.117319359422531,-1.232336501932462,-1.3545399765473256,-1.4859663921751007,-1.623003581066655,-1.767278975669111,-1.9180991029512064,-2.0803942119213943,-2.250220981008141,-2.4248135994365256,-2.6099091729386217,-2.803218904473262,-3.006408804187487,-3.218683544074196,-3.443672219989786,-3.6782391666644756,-3.926049853132234,-4.182648053708064,-4.456300902771545,-4.738267216192966,-5.035008067003716,-5.335311443458004,-5.651571476937512,-5.993030784792047,-6.339213832727538,-6.6987302448837625,-7.082824602440276,-7.469514012208258,-7.890272485822138,-8.31403677784305,-8.774987428550574,-9.224565075415633,-9.684910842475063,-10.168494168888415,-10.65073347292477,-11.137215034464418,-11.62760066118998,-12.119548900160964,-12.631757966308491,-13.127221420447547,-13.642797280412559,-14.133707277990972,-14.641705497612897,-15.137463037086633,-15.586494404503846,-16.0301863836738,-16.474903367549203,-16.863913642889358,-17.262090159891137,-17.597806502818237,-17.895637071124433,-18.170420737980372,-18.42012326723286,-18.644190649769712,-18.825810752716336,-18.98677215602855,-19.131144784577117,-19.244722654878018,-19.33232948416446,-19.399092890302533,-19.445636403581183,-19.481291853375012,-19.5062565676388,-19.52458512567324,-19.53992601096988,-19.550198637213057,-19.559741563131936,-19.567239960560798,-19.57255909256355,-19.576325479020383,-19.578865790741432,-19.580696366843497,-19.581839643581574,
1990s,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-7.582162077532928E-4,-0.0029832057705743154,-0.006948254302469259,-0.013589636821553341,-0.02259638336169445,-0.03475617759583116,-0.04983732102620664,-0.06857650697859619,-0.09125866302653307,-0.11718908006992734,-0.14736782473532628,-0.18185444318539368,-0.22009593743059241,-0.26192844757193257,-0.30819705156438815,-0.35936305517822476,-0.41485049464608537,-0.475788609429614,-0.5418786500152848,-0.6123661062341093,-0.6905814300533919,-0.7721790609040156,-0.8593250364653855,-0.9518639181709503,-1.0498406208398556,-1.1528915056824012,-1.2625810578512215,-1.3764869924491165,-1.4986946228398423,-1.6270170379232667,-1.7623515712828421,-1.9053197830689967,-2.0576941776539,-2.2121521786533265,-2.378771381475609,-2.553525841052746,-2.7411553742249737,-2.9438862745763927,-3.1564937058117053,-3.383831135671123,-3.616801513697574,-3.862922923008469,-4.127783507920263,-4.405709447222485,-4.706848588242188,-5.02033218716133,-5.3522152948022494,-5.701120998255604,-6.056515860192434,-6.425202974624305,-6.818928848810707,-7.23792442773307,-7.67556321137198,-8.130081179791226,-8.603884014980139,-9.09400927461094,-9.595475376855639,-10.10708610243612,-10.622096000424143,-11.141111416752132,-11.663238386811699,-12.183660753091381,-12.697212110199693,-13.200063176728612,-13.68701637372478,-14.155622662780786,-14.596857415866474,-15.012307297744712,-15.409256807733307,-15.765161917847138,-16.102292172939798,-16.433679876040074,-16.75701296740513,-17.028557003710013,-17.23966016374807,-17.485130762750998,-17.695260228070318,-17.875122441930856,-18.01288343923725,-18.114888030009134,-18.20648280336686,-18.274035429764112,-18.322341707477015,-18.358186080751302,-18.382423952217984,-18.40269630833425,-18.419380365617222,-18.432555874232087,-18.441976997942895,-18.447350963140998,-18.45071696987032,-18.45356150948617,-18.456265514055993,-18.457845728591714,-18.458665206346417,
Age0-4,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-0.0015947323449845285,-0.006380796026197899,-0.016784102330368533,-0.03460840642295615,-0.060941258312004365,-0.09427312648370823,-0.13349202771109958,-0.17681939144022074,-0.22530070690891613,-0.2797174841152916,-0.33746872369233394,-0.39913262829687923,-0.46463201431661005,-0.5333863886210253,-0.6062087963462055,-0.6807210746785053,-0.7613301694935295,-0.8462273451715916,-0.9342384771129097,-1.027535170022702,-1.1251072974956244,-1.2281141931217547,-1.334462018270628,-1.4456779871020942,-1.5637676354754895,-1.6868118495273627,-1.815215644302267,-1.949787911931093,-2.090908439550134,-2.2387253025701455,-2.3915100388585486,-2.5526393701086434,-2.7214247225607053,-2.900668626313525,-3.0884193325285025,-3.280855999298879,-3.484371309287667,-3.7098862718635175,-3.9377460741796426,-4.176167220742045,-4.427226924254775,-4.6847965568850825,-4.96870447826295,-5.267253882113792,-5.574288310788489,-5.908814578148473,-6.257377371217352,-6.639618144761215,-7.041038430446996,-7.451775492083584,-7.9182904975690604,-8.382801165234007,-8.85792890455091,-9.34679795446224,-9.840596919829153,-10.337053219308793,-10.84568650633554,-11.372051756471066,-11.908403654307811,-12.433554037371813,-12.957384089240385,-13.481091128851759,-13.991469013103838,-14.48595120513766,-14.963361915575334,-15.415586012204642,-15.842828605988856,-16.268282561546883,-16.67362008272714,-17.06809795266677,-17.425456009801692,-17.78004392925054,-18.12662569935329,-18.43814298709325,-18.718014163543593,-18.96226271777894,-19.17295388668859,-19.346765761017828,-19.49001232864385,-19.610066168826634,-19.704376343048835,-19.775940068540166,-19.827161679704517,-19.865303986321393,-19.894389548915967,-19.915143518522157,-19.93037441252706,-19.942586286016933,-19.950813265552455,-19.95574250732146,-19.95879121313584,-19.961140400108064,-19.96282685683677,-19.96406970609671,-19.96469285981442,
Age5-9,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005184661972624127,-0.016890889194270287,-0.03729182524816288,-0.0665425005353768,-0.10759852247784885,-0.15732545081301375,-0.21503499593148945,-0.2782144989525257,-0.3476092516364879,-0.42239893478568646,-0.5040381755729477,-0.5892318026345329,-0.6802917360250333,-0.7741013896248177,-0.8741393834970488,-0.9794863610475879,-1.0899602039720833,-1.2044757084366644,-1.3250111585978352,-1.4557798753817295,-1.5910790867059141,-1.7304083025350003,-1.8760104428504256,-2.0239696377182383,-2.1862006984971387,-2.3518155103576603,-2.5263095512036102,-2.7073346945770638,-2.8984819913136093,-3.0991476464137264,-3.31324814068838,-3.5337894363699576,-3.764594273841972,-3.9989553420109942,-4.246434065861507,-4.504684953981872,-4.77851767031872,-5.0590490006122835,-5.357928219676303,-5.670461489958903,-5.997117415106288,-6.346571739135591,-6.693422589750803,-7.05487552255228,-7.436660567213515,-7.826101664324618,-8.227238543853218,-8.647905594694528,-9.074149366811767,-9.515224140613078,-9.954455169849176,-10.424042285972263,-10.899746475100422,-11.376596039861369,-11.854994451349228,-12.334269291878243,-12.812103026019408,-13.294979890744969,-13.773287921243138,-14.258496712199758,-14.71159102091174,-15.182470069344788,-15.642112821918502,-16.081582806201624,-16.453116751049016,-16.812229012923595,-17.150252562117153,-17.477708513490157,-17.749608806895544,-17.961983617024252,-18.18364585887244,-18.370796174475203,-18.536372817474344,-18.66729352722905,-18.77320973673811,-18.85680598927619,-18.932271748587112,-18.97648226707294,-19.020381450722276,-19.052712621557482,-19.075349575810314,-19.09062587298225,-19.100427850359374,-19.106508789706957,-19.110542157205465,-19.112862805100455,-19.11450003625354,-19.115462695900128,-19.1159802547863,-19.116497813672474,
Age10-14,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005234854609961204,-0.016398022363787845,-0.03624142915990092,-0.06638703581883476,-0.10781938912588629,-0.16091437140493525,-0.22179272829189145,-0.2919946366789148,-0.3707109467813048,-0.4566435492211447,-0.5487121208618255,-0.6475493320885626,-0.7526944442039465,-0.8654650625332536,-0.9864935349514674,-1.1152091379513216,-1.2507714660320701,-1.392521058503199,-1.5423541525232167,-1.7017129363727719,-1.8659555278802102,-2.0443082580437206,-2.231006805760643,-2.4299612996959894,-2.6354460964132542,-2.850532933861082,-3.074643589074789,-3.3137549405301954,-3.5619356436124647,-3.830312002363499,-4.104083722313419,-4.38994079885498,-4.689428861060485,-5.002682377611158,-5.319950755584088,-5.6543000458027635,-6.004904163760358,-6.367721858549544,-6.746235993888554,-7.140105433384242,-7.544837005544743,-7.964678428958564,-8.40290434073897,-8.84023455848542,-9.290179045987756,-9.753020270673026,-10.217409128079794,-10.697848284930828,-11.183511484617227,-11.675388916819642,-12.160725390982357,-12.646770356987481,-13.126350923135128,-13.597961456253259,-14.04678664938588,-14.480299161659303,-14.902496613822215,-15.310557126233284,-15.717877743100821,-16.083664150106962,-16.438036953223545,-16.751806009963914,-17.03061297782734,-17.28324225825415,-17.512976418144206,-17.71664042560863,-17.903150904970786,-18.06546158157242,-18.193205284042804,-18.30085520901485,-18.389564813184833,-18.458024360580396,-18.50999768685216,-18.548713125473157,-18.577953335611426,-18.59935988937751,-18.614793741818048,-18.62686512018223,-18.635634303183345,-18.641836923295656,-18.646116957424837,-18.64948563807782,-18.651380932583564,-18.653272291003802,-18.654106042097354,
Age15-20,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006748843933223725,-0.022719472873557578,-0.05011486264272236,-0.08924321987032258,-0.14366217309512663,-0.21216583750920037,-0.29450638407163865,-0.3893262456369655,-0.49660845123107933,-0.6139441308924951,-0.7408796390778676,-0.8787453637743354,-1.0296469504508927,-1.1890915917029545,-1.3594297884879012,-1.5391038468690112,-1.7326906716048924,-1.9333905482569662,-2.145768844865337,-2.371350071762386,-2.608242259732414,-2.859111181803307,-3.119378164926694,-3.3946475729279513,-3.6837073878423325,-3.982684701842537,-4.294955250597582,-4.622647901601738,-4.9659048122242595,-5.31742377610405,-5.6810983304513485,-6.061399024796195,-6.459819238988331,-6.863576097914084,-7.2761474341001815,-7.69813407368779,-8.135788999076865,-8.590453597551083,-9.054285579838385,-9.525929337636107,-9.990045296449082,-10.461572894343824,-10.952786647205215,-11.437766720107469,-11.938961980098,-12.428953090224859,-12.91900131626005,-13.401637348848546,-13.886527516677752,-14.350768360786255,-14.809095208627,-15.27038838537888,-15.679312313000061,-16.122167621704975,-16.51297003793193,-16.848695509289954,-17.17598097531289,-17.47367537224963,-17.75893833374588,-17.99438320604704,-18.21271713008087,-18.392007363806307,-18.555462261619425,-18.692879646286734,-18.806102572972918,-18.894771075634743,-18.96768051465355,-19.020275656889446,-19.058743525440825,-19.08989754364189,-19.112745081359684,-19.131305135356776,-19.145904439052195,-19.15542042761212,-19.162957209230818,-19.167298948819713,-19.170070179371628,-19.171501928263005,-19.172003532203142,-19.172246528728273,
