Group,Outcome,age_0,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,age_11,age_12,age_13,age_14,age_15,age_16,age_17,age_18,age_19,age_20,age_21,age_22,age_23,age_24,age_25,age_26,age_27,age_28,age_29,age_30,age_31,age_32,age_33,age_34,age_35,age_36,age_37,age_38,age_39,age_40,age_41,age_42,age_43,age_44,age_45,age_46,age_47,age_48,age_49,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89,age_90,age_91,age_92,age_93,age_94,age_95,age_96,age_97,age_98,age_99,
all,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-1.8186840164435836E-4,-0.0013586160130483194,-0.004328112826100572,-0.009749897200430624,-0.0180254417686303,-0.029805027426276,-0.04484900714287576,-0.06362300002915333,-0.08634973004446245,-0.11306679352164295,-0.14404719126769727,-0.17902704450458629,-0.21806807416824014,-0.26264071034229985,-0.3113642592209125,-0.3649349042987673,-0.42444778199244126,-0.4894577140563605,-0.5603644439606441,-0.6362723617587349,-0.7188593411760955,-0.8081761463765318,-0.9022035389237182,-1.0033378202609349,-1.110166567642608,-1.2229799988008843,-1.3418976074234727,-1.4679321161838779,-1.6010562848563126,-1.7418970656703365,-1.8906349702121759,-2.047782228679999,-2.213022412082431,-2.3870396522739767,-2.570643212433609,-2.7617670233830722,-2.9663513686059773,-3.1796795196556147,-3.4067168232603606,-3.638940106943096,-3.881027779451877,-4.137963050077005,-4.4076978357292305,-4.688796463394382,-4.980168715130844,-5.282716952199273,-5.592106117294371,-5.913579908717608,-6.240971473294856,-6.5830777494076145,-6.931912672716578,-7.298739211041301,-7.674016210191532,-8.053359233509347,-8.440310140839017,-8.82442441414726,-9.215072822403364,-9.609716996851375,-10.005053544889044,-10.389847669530695,-10.775149914898542,-11.163407526679215,-11.553015967657927,-11.933916562679592,-12.31551242110472,-12.681179730261817,-13.046411456575726,-13.388315638032154,-13.715109263279444,-14.016477630617366,-14.297950887410835,-14.57258519086831,-14.801253429972881,-15.011525950545796,-15.20159907424813,-15.365427184104973,-15.509955126832018,-15.62980000317161,-15.726561145759327,-15.80767618620321,-15.872141366816308,-15.923077403539658,-15.961885386222306,-15.990969598232397,-16.013716384981258,-16.031130280367492,-16.043970515747333,-16.054008911323884,-16.061836667033162,-16.067764862752107,-16.07197078352487,-16.074287433953856,-16.07536938510364,-16.07634213568288,-16.076944348928066,
Male,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-1.3440210805004682E-4,-0.0012212657901544688,-0.0043284693446015154,-0.010122594862238543,-0.019429595400040967,-0.03230217576851224,-0.049241364788553454,-0.07094150415627887,-0.09763818679967429,-0.1279667713038659,-0.16293136059806024,-0.20247041876600846,-0.24699891776382898,-0.29703116513641703,-0.35198883560869376,-0.4121484588568016,-0.47755093937704274,-0.549888788325017,-0.6278443118777659,-0.7129799445698097,-0.8035615518269026,-0.9009745152385911,-1.0053881237967595,-1.1130190307378385,-1.2265026085574497,-1.346784649999453,-1.476906837397582,-1.6111698393094969,-1.7513846565999671,-1.898318612224287,-2.0531063341490636,-2.218394259566864,-2.3874877225111035,-2.56537254013201,-2.75080492649964,-2.9453494209943756,-3.151457069569119,-3.3666072620646545,-3.5896283518275283,-3.8256332842390606,-4.066884671764299,-4.318404827745397,-4.579768215981915,-4.855778720401034,-5.141001974553866,-5.442800286578517,-5.7496792613817505,-6.0749710184173935,-6.411998342662827,-6.753111996830221,-7.111701098646975,-7.4747654486017225,-7.846212183356755,-8.222448322250031,-8.608181621167404,-8.997687276902802,-9.392847578654433,-9.793448297864188,-10.196450759912466,-10.58935235445157,-10.986691792077579,-11.371777486337471,-11.76179437048765,-12.13666246687768,-12.504195298929503,-12.859833256806617,-13.20086721083149,-13.500152839375254,-13.799920451220224,-14.063848163379333,-14.316585624774596,-14.552353448849843,-14.750380917697235,-14.948782205694087,-15.105193808338164,-15.246648401739392,-15.364551166719643,-15.485417007098164,-15.591224018454113,-15.680059286383674,-15.748602650633792,-15.800543519876008,-15.840347384237901,-15.866755960880617,-15.883842959304687,-15.896440670800132,-15.905205909095443,-15.910872333262859,-15.914359109721318,-15.915821615181017,-15.916717365539668,-15.91720707644322,-15.917399629011868,-15.917473342442989,-15.91754705587411,
Female,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-7.481337035741831E-5,-9.968345901185671E-4,-0.003376019261429164,-0.007599702542638198,-0.013979560040562333,-0.022639640208922174,-0.03404281713998891,-0.04767166045006732,-0.06421147613800748,-0.08392147471979783,-0.10717253414266992,-0.1339015053927639,-0.1641753514892983,-0.19829435663287853,-0.236227699811014,-0.27928592900473603,-0.32751598548332694,-0.38076448781878725,-0.43925589184583913,-0.5018271088085733,-0.5708791279363687,-0.6441501609140801,-0.7218592941518978,-0.808886399467962,-0.8999286886196565,-0.9966559074945884,-1.0997662560875199,-1.214354690968424,-1.3360735277983409,-1.4628574521214688,-1.6009067000298671,-1.7477391132953315,-1.901238277585513,-2.0653197569371855,-2.2380436458474406,-2.418505790140834,-2.6129024787113977,-2.814786479160631,-3.030027773977345,-3.2558804997279154,-3.484246741628226,-3.7298529471897623,-3.991360048612634,-4.255081445472399,-4.524617864596536,-4.809507519093451,-5.107481582092184,-5.411233520424574,-5.726326656057381,-6.03839563663945,-6.367307084216385,-6.704153687041,-7.049214006246714,-7.404428966538191,-7.764553090166309,-8.11421347165907,-8.491213763710533,-8.875018606665698,-9.256634126038811,-9.6397672746768,-10.022455265991297,-10.412157662414984,-10.799001669541362,-11.17977614813821,-11.554899286942891,-11.922141888865482,-12.282462705859238,-12.625920577416174,-12.959346092164921,-13.277618841743568,-13.583508879787196,-13.871837447873375,-14.127205685834568,-14.357909832338095,-14.568795694621379,-14.757359135391198,-14.924325766244465,-15.064644916764735,-15.183952868629632,-15.270321202406286,-15.333992082715561,-15.385911935944847,-15.427551508329941,-15.461055073753776,-15.486063205047493,-15.505483659639957,-15.519829213763309,-15.530182254763467,-15.538144457496223,-15.54364428325998,-15.547636629182222,-15.550874177643053,-15.553792831459376,-15.555926365561746,-15.557670807990235,
1970s,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,0.0,-6.403242433075107E-4,-0.003374467407262216,-0.009359476261220578,-0.019297047232583964,-0.033915520862423776,-0.05267972720126757,-0.07634219664786102,-0.1052825989168209,-0.13926787620116698,-0.17900600090295526,-0.22286355307078054,-0.27269519139429477,-0.32834452986390517,-0.39007318999827234,-0.4564830854399702,-0.5307279389386785,-0.6105409658360408,-0.7004694890025505,-0.7985239059804137,-0.9042393719119097,-1.019244522322797,-1.1410828541597127,-1.271454221227149,-1.411745201132529,-1.5561766571612239,-1.7095399777411515,-1.8740822415213216,-2.046584119305024,-2.226788959780997,-2.415123618816196,-2.6103789634873635,-2.817533651842986,-3.0340683747188066,-3.2585833945304756,-3.4960555694392,-3.7380646462802787,-4.0005372377856006,-4.2761660835188735,-4.557366560565214,-4.849429760307409,-5.156480497653419,-5.4794545998161865,-5.817662423523004,-6.162626263786599,-6.528205855383959,-6.899469709325913,-7.280846724340833,-7.676353552644429,-8.078936739947295,-8.499746033104834,-8.931914893803565,-9.364444016019846,-9.813889038785511,-10.2576452759563,-10.699224366736544,-11.148881937150328,-11.59225277926759,-12.051418310073338,-12.508533831128325,-12.953228806936679,-13.389572431696351,-13.820962741673121,-14.255426302690573,-14.678693921840981,-15.08320426317949,-15.456069762612216,-15.808391532463396,-16.12406008312437,-16.433453887887012,-16.71493103048862,-16.978457077629706,-17.216389045832152,-17.43306616319417,-17.623958434608163,-17.789667920080994,-17.92993437452437,-18.046476793500943,-18.15038682605433,-18.23442275235397,-18.301998197609194,-18.355536099854625,-18.39784894361661,-18.432690534056285,-18.457932226468493,-18.47715782151308,-18.48905912959618,-18.498093502651137,-18.50462318357291,-18.508867709346184,-18.513005197325086,-18.517290212668527,-18.52055489220116,-18.523051985712485,-18.524652059161014,
1980s,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-1.0254926466579661E-4,-0.0011939571329389054,-0.004331086747335178,-0.01004194017129656,-0.0188891640774429,-0.031247613154231857,-0.04786124593023544,-0.06782065141737625,-0.09179823103997009,-0.12009423804388675,-0.15297162509548023,-0.18998189037982272,-0.23044898963740934,-0.27652057045141376,-0.3278566207109037,-0.3850322642967967,-0.44636679973038085,-0.5143459010078786,-0.5880538963960475,-0.6686261117122783,-0.7546148002808302,-0.8458817225425292,-0.9432723563516134,-1.0459658223520343,-1.1566569171460443,-1.2724512390042086,-1.3942816879351305,-1.5234093743656771,-1.65957034503667,-1.8024036365590135,-1.9544500757063972,-2.113435733780925,-2.282784947812779,-2.4612244406569843,-2.649018747312816,-2.8462165686991483,-3.055001548715701,-3.273131582691576,-3.5027484996899005,-3.7413519428427406,-3.9897734445598303,-4.251021816597763,-4.520155983994826,-4.79996166751355,-5.094139698501095,-5.399583554009801,-5.727162840933296,-6.056796609132583,-6.395257393679707,-6.740601163338063,-7.103427492671024,-7.462037913893688,-7.8326502686714505,-8.220440120430496,-8.61556191326757,-9.016681487840344,-9.414306296019461,-9.81100345090126,-10.215581410404553,-10.616057767329828,-11.0187518528926,-11.42149681584089,-11.825812553280869,-12.221388394130642,-12.597141020016934,-12.966565282791848,-13.336347368498288,-13.672807561150314,-13.993851330337918,-14.302393428274364,-14.587656010719726,-14.853771863927953,-15.092688083122958,-15.290217011353008,-15.46578159517874,-15.620598444674627,-15.76018356696023,-15.876785589203166,-15.977416518079231,-16.06283700692613,-16.129155131715287,-16.181734174781305,-16.221586156416492,-16.252584567425572,-16.276096815423934,-16.29348148333679,-16.30520407369896,-16.313509015902696,-16.319550406482,-16.323954867379825,-16.3268418462455,-16.328919023862042,-16.330300551029097,-16.331213898186803,-16.331790321600252,
1990s,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-7.434451451437951E-5,-9.0809712430584E-4,-0.0030517848409683523,-0.00675263698769335,-0.012601963260063798,-0.020659102836988907,-0.0311166747592182,-0.044744540605698546,-0.06065630071837269,-0.08030302316284477,-0.10333208016541562,-0.12975127436964584,-0.16036942639831864,-0.19467219839870964,-0.23265292094242085,-0.27480298123638036,-0.3216266134757291,-0.3737566060398443,-0.4292229542835777,-0.4902875392494188,-0.5552517510684858,-0.6260856591226158,-0.7015594065965693,-0.7815923064018016,-0.8666341845477916,-0.9561465034968428,-1.0524463373402035,-1.1544190919869983,-1.2624468026386566,-1.377849761472973,-1.5002136142701943,-1.632637516592851,-1.7713787558274845,-1.9149887759314694,-2.071116897880181,-2.2335125014134363,-2.4006065406720083,-2.5845295796409857,-2.7705629273349075,-2.970473841577885,-3.175406724243878,-3.391644819655454,-3.624559348925821,-3.8675110230228853,-4.120749939935358,-4.376100555828479,-4.648428395927269,-4.932736261482525,-5.231634530860674,-5.529271266720087,-5.837485610746413,-6.159261322712389,-6.497369159415811,-6.833180932885426,-7.178074198117088,-7.531014661277908,-7.885650986268153,-8.243377320038029,-8.618790446286745,-8.997145053334172,-9.36654104203894,-9.72488381686943,-10.084524861883054,-10.43963498962782,-10.791041147619133,-11.128581396955227,-11.443930532861827,-11.75715169994507,-12.027133761094142,-12.300506619522068,-12.562088498375964,-12.798480381968183,-13.019535793779461,-13.226017560442784,-13.423930228493631,-13.584220081652063,-13.714607049800321,-13.831657991432643,-13.928322323691987,-14.00707820715433,-14.069797854353794,-14.117834767246308,-14.154155584359671,-14.182305907376808,-14.203268333258244,-14.220317865424562,-14.234151045452919,-14.244038485805646,-14.25132730097058,-14.256807178638859,-14.259580383047343,-14.261118990143608,-14.26218952255224,-14.263012334485573,-14.26365506239221,
Age0-4,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-4.236894100477784E-4,-0.003165097465233302,-0.01008298062408386,-0.022713831295233078,-0.04199293950880367,-0.0673260552646262,-0.09761106842250733,-0.13313343002935873,-0.17233427073169416,-0.21470235023057782,-0.2619391971389611,-0.31234764731232545,-0.36635388864037566,-0.42415423842205513,-0.48460438533885863,-0.5500001110239658,-0.618145864722738,-0.6892595899781071,-0.7645748494587643,-0.8438307933097207,-0.9289683968037821,-1.016855829206154,-1.1076726434929967,-1.2048272809473168,-1.3074164624627365,-1.414785456952707,-1.5277470720542468,-1.6455230822107225,-1.7713751740148993,-1.9041316132127335,-2.0438272379992597,-2.186993656492774,-2.3377643297799224,-2.4990005068598933,-2.671851298902169,-2.8519857586390955,-3.042636172684851,-3.2383581960444587,-3.4461421000301016,-3.6609096005787762,-3.8925560538804973,-4.1234001060364776,-4.3700228954811,-4.626879524636479,-4.890648022880292,-5.175367909119771,-5.47044909312806,-5.762361724984821,-6.086279111074781,-6.402622670303629,-6.733066073168821,-7.079661865973328,-7.418155243522115,-7.788840686900059,-8.136814896610055,-8.507839590661689,-8.883392233545592,-9.264497043777261,-9.64666798815766,-10.028125217520142,-10.413542137162949,-10.788818278919273,-11.153276185850515,-11.524388363549683,-11.882722757513605,-12.246465645071062,-12.56916204242777,-12.903142998305661,-13.202940732516119,-13.48799185880246,-13.75227393188409,-14.010591203646406,-14.233831548708366,-14.430998999852676,-14.618276073025498,-14.797191635002093,-14.924502066476684,-15.047034279487058,-15.14896567455532,-15.23959639996724,-15.307450060329607,-15.356783149325139,-15.397267000862477,-15.428816303122652,-15.45406825499677,-15.470928039335206,-15.482786286683691,-15.492068081237583,-15.498662610611838,-15.502815023931916,-15.505582948797354,-15.507360689409495,-15.508625575897696,-15.509445028562695,-15.510076576491372,
Age5-9,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00202077190312977,-0.00924937125872205,-0.023829013766141216,-0.04646779649128163,-0.07884946037622775,-0.11814188355145916,-0.16416810348411914,-0.21647463366615582,-0.27370867196944104,-0.3362325491961613,-0.4030010001687856,-0.475201259965111,-0.5523764941295788,-0.6333151101292671,-0.7193786867729735,-0.8068513776854154,-0.9012024593968526,-1.000509556749492,-1.1050566061919902,-1.2141022145976095,-1.3302194077393814,-1.4518498901631425,-1.5809417838724649,-1.7160746101300575,-1.8565387490191654,-2.0043611979694234,-2.159792955284317,-2.3239560094893292,-2.498291083557021,-2.6760302473507735,-2.866858892660943,-3.0607045314122416,-3.2699871023803624,-3.4875139267928787,-3.719529798338719,-3.9544845881108657,-4.196409691425018,-4.447967379255694,-4.714221075072906,-4.995728655879994,-5.2787588057952775,-5.573363866048211,-5.8734765199574355,-6.187817000955064,-6.515345203895798,-6.85316211251687,-7.203277027547109,-7.544810492548905,-7.910291203907057,-8.270268985934095,-8.636394595589557,-9.007963453809005,-9.3853728472669,-9.76613326794643,-10.145171070181625,-10.522773058720674,-10.89509356346646,-11.256019801273666,-11.607056150727459,-11.976836873036497,-12.314491205039353,-12.628439893444437,-12.928803385208049,-13.248982741448792,-13.515111622344506,-13.762170670138069,-13.991362207282464,-14.200437888386666,-14.381108132545435,-14.546918434785717,-14.702007120151727,-14.832026517960166,-14.947362748323087,-15.03999720775608,-15.115629743716354,-15.172823519759746,-15.219381741168029,-15.254030763447403,-15.282855325260215,-15.306336733748601,-15.323201218019882,-15.335270176673276,-15.342569399321881,-15.348559091178394,-15.353590169329799,-15.357387277780838,-15.360489313200013,-15.363270252702982,-15.365345888648697,-15.36658703865691,
Age10-14,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021085010878341137,-0.00911538627042674,-0.023159585268171412,-0.045315039214443686,-0.07846252866452375,-0.12010278802848973,-0.16931439058510023,-0.22661798190011595,-0.29145527583313324,-0.3617936640678572,-0.4398818695638056,-0.5235747517107079,-0.614470678165258,-0.7099464847544112,-0.8128588386042956,-0.9219906980488197,-1.036578980477266,-1.1596098948445928,-1.2905808973001527,-1.4300945491884463,-1.5776298688603916,-1.7309602793867782,-1.896463450783294,-2.0724851555191677,-2.256203344063209,-2.4482288131054304,-2.6487477746423593,-2.861047213293425,-3.086255753636898,-3.3206383774144896,-3.571463987069677,-3.8339748780620937,-4.102398795784289,-4.385966055539583,-4.679598117877816,-4.988359355772836,-5.308204321191752,-5.641939069647357,-5.980468243239649,-6.339215120049381,-6.710946797210248,-7.088591568698952,-7.4686295664859585,-7.866325585618242,-8.25213090416328,-8.641625207259196,-9.046992945888448,-9.459791603003815,-9.86184607917211,-10.262157946592431,-10.646947131403692,-11.061752157155894,-11.462422759644056,-11.859613188610524,-12.266411868585713,-12.613297440586393,-12.992363904036694,-13.3445739266688,-13.679189430322545,-13.98923934132506,-14.277040957484274,-14.53403539523184,-14.756646301099565,-14.956763815586747,-15.15842567715805,-15.337605796495914,-15.463325766046907,-15.574724211605101,-15.692390229735516,-15.792059445171056,-15.869954321863396,-15.91606103359878,-15.94520090004665,-15.976299150116873,-16.00380886777149,-16.024927579232255,-16.03643127676554,-16.04546378694691,-16.050952787325073,-16.055081373171177,-16.057792844772194,-16.059830340239472,-16.061226507193467,-16.062217283309238,-16.063208059424994,
Age15-20,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002617598409919708,-0.012711744727884167,-0.031904710021660065,-0.061398831277511334,-0.10344406957119645,-0.15860060404803633,-0.22552667720886532,-0.30311607739680113,-0.390934482278837,-0.48844131027500737,-0.5955175865547169,-0.7105667631758372,-0.8377196885606395,-0.9704249297187815,-1.1186990855716346,-1.2760625863894859,-1.4390099588002627,-1.6195455680060036,-1.802646444160537,-1.9993221040753042,-2.2100173893295647,-2.434567678084207,-2.6652160861938157,-2.916432382266713,-3.175495254314093,-3.443380443669163,-3.7281791323376936,-4.0229786708978,-4.334466051177955,-4.656085668050174,-4.991347689373093,-5.343877104064816,-5.705445476668139,-6.077626429846205,-6.462066448944171,-6.853512879109509,-7.265371747712919,-7.687656420448462,-8.098753158980756,-8.538155814311864,-8.9722796176056,-9.41215079389746,-9.859155652812404,-10.306168310970222,-10.753578764748887,-11.18679964224141,-11.629349264399103,-12.06447767804454,-12.500254656424886,-12.914050803529307,-13.322190408566328,-13.71956887957974,-14.087582570474737,-14.42684360421385,-14.739289692374307,-15.044737954185855,-15.292217649316058,-15.526998240585606,-15.737157813258186,-15.918430373728476,-16.076079207297077,-16.21450762997756,-16.330998297078416,-16.43146418500401,-16.51695880426415,-16.58126126119597,-16.629515825182892,-16.664439517259773,-16.691362206160598,-16.71367752176191,-16.734937567946446,-16.74839807509796,-16.75648656135482,-16.761318250047076,-16.76541539850431,-16.768282652940712,-16.770143924517143,-16.771072990388234,-16.771558387189856,-16.77179731135854,
