Group,Outcome,80-70,90-70,90-80,
all,condLE,2.236795334728342,3.680682493712574,1.284994749203932,
all,condQALE,1.5615023502888192,2.5427279476783653,0.8670744650266826,
all,condHLY,0.9769730703852773,1.6514215316828569,0.43281559068582,
Male,condLE,2.0938155848870252,3.3987397134473127,1.074095032480038,
Male,condQALE,1.5006921332492666,2.405591542630276,0.7360155372067752,
Male,condHLY,0.6978628833798055,1.4239488082089977,0.3334310668873073,
Female,condLE,2.1208246528014456,3.907757364307514,1.2075766860117199,
Female,condQALE,1.4356318909139958,2.60572134748989,0.793233764360636,
Female,condHLY,0.7744673520573357,1.4674115703540735,0.28641812578046455,
1970s,condLE,17.303144165958777,17.303144165958777,0.0,
1970s,condQALE,12.960286845981088,12.960286845981088,0.0,
1970s,condHLY,18.519601440082567,18.519601440082567,0.0,
1980s,condLE,-17.52247336919902,0.0,13.456207573672401,
1980s,condQALE,-12.98713669782967,0.0,10.266679836524588,
1980s,condHLY,-19.581839643581596,0.0,16.317816393607018,
1990s,condLE,0.0,-16.076891911176816,-16.076891911176816,
1990s,condQALE,0.0,-12.0082732571801,-12.0082732571801,
1990s,condHLY,0.0,-18.458665206346275,-18.458665206346275,
Age0-4,condLE,0.880518399542062,1.5471262424562369,0.4867177219617247,
Age0-4,condQALE,0.5787623013277354,1.0572918169811203,0.3281816469063301,
Age0-4,condHLY,-0.00989024005423289,0.6995833322566156,0.0682895714923788,
Age5-9,condLE,2.3847023437257633,4.092481560171926,0.5956366167836507,
Age5-9,condQALE,1.6650974483213048,2.84719768748009,0.41138671216422296,
Age5-9,condHLY,0.8876226647466581,1.4533520000439637,-0.19071114175636694,
Age10-14,condLE,2.009646189988409,4.224840963643899,1.3160910786178377,
Age10-14,condQALE,1.3899996160592671,2.922572601361452,0.9357211701796615,
Age10-14,condHLY,0.5056941143956522,1.8049162720106864,0.5988019506120352,
Age15-20,condLE,3.1254523284721714,5.726887141895098,1.468339767203375,
Age15-20,condQALE,2.2679340919821094,4.133478081121549,1.036871174494209,
Age15-20,condHLY,1.558115452490405,2.924763257370472,0.3368722568643605,
brain,condLE,0.11564148025606613,2.982042896242625,1.8011674427559115,
brain,condQALE,0.05328783726994857,2.1471840047866095,1.3004037386808456,
brain,condHLY,-0.684320352378375,1.8017466514183482,1.4152984822602335,
bone,condLE,-2.0892584563091674,-3.289668512938782,-3.0837472348838233,
bone,condQALE,-1.590423492581177,-2.4436604607181565,-2.2513167836610606,
bone,condHLY,-2.454039267429433,-4.217591440000106,-3.5223593695022224,
sts,condLE,-2.9881413847578955,-3.5527320423780324,-2.245561544832924,
sts,condQALE,-2.1950320014610725,-2.531101504878521,-1.6452150871451465,
sts,condHLY,-3.5371288533904135,-3.8695840778807096,-2.0690086407868407,
solid,condLE,-0.904059907279283,-2.6863935668952763,-2.832048560203333,
solid,condQALE,-0.813481301128725,-2.119478859610531,-2.0798019109109447,
solid,condHLY,-2.221294084436323,-3.450422630840343,-2.441395042916092,
leuk,condLE,2.478611821657104,4.016469107188172,0.9844765533035797,
leuk,condQALE,1.8034182954894007,2.8483169408298394,0.6501280114374097,
leuk,condHLY,0.870925560757918,0.80748841129639,-0.5561853005683588,
lymp,condLE,4.7832419926916785,8.069183392774228,2.7256403128459965,
lymp,condQALE,3.3822560340027543,5.790257957645881,1.9578967341596396,
lymp,condHLY,2.256801052831115,4.286073846531828,1.4029249692054364,
ALL,condLE,2.403874820164141,3.9952901777834526,0.9270112439453868,
ALL,condQALE,1.7567980658135838,2.7829195776144573,0.5870730747442323,
ALL,condHLY,0.6876986978698554,0.43680007323617076,-0.7615718100681548,
AML,condLE,-2.939091939694606,-3.6883048078683984,-2.3783960425019544,
AML,condQALE,-2.2007914745248343,-2.6739925410367604,-1.7883196487222506,
AML,condHLY,-2.599552920610961,-3.109872065031844,-2.7571952271542486,
OtherLeukemia,condLE,0.48869836683888224,5.35812355696055,0.12114784796212774,
OtherLeukemia,condQALE,0.4243176359657248,4.202995518737254,0.08820076171268454,
OtherLeukemia,condHLY,-0.8450313246820578,3.1609188118599008,-1.4961624624775638,
Astrocytoma,condLE,1.152899992229301,5.742585723529402,3.201719342963081,
Astrocytoma,condQALE,0.7793603039084473,4.047367508733409,2.312517052980997,
Astrocytoma,condHLY,0.1654264584315115,4.347697406564929,2.466470511915446,
Medulloblastoma,condLE,-4.060455852580155,-1.9943214456984464,-0.40452373103892114,
Medulloblastoma,condQALE,-2.8996608934388135,-1.1504015938091037,-0.21131214149740885,
Medulloblastoma,condHLY,-4.283223069453008,-2.715137158769245,-0.9082022453391936,
Other CNS,condLE,-5.476836756648069,-5.547775936170453,-3.152527127319523,
Other CNS,condQALE,-3.8970086369270085,-4.07649478100225,-2.3743099634461515,
Other CNS,condHLY,-6.364717378046798,-5.587636526524204,-2.4708971693716606,
HL,condLE,4.102971856720025,7.847207395276499,2.9126510874444875,
HL,condQALE,2.933378569131282,5.728230427706258,2.218396784826787,
HL,condHLY,1.774979138415791,4.048631756897024,1.2493559381499857,
NHL,condLE,1.5663886152570896,3.382912208173444,0.9390718664637916,
NHL,condQALE,0.9508456987502001,2.2476301047026865,0.5955541019041064,
NHL,condHLY,-0.23427860079767981,0.5762410265101465,-0.2975589229413984,
Kidney,condLE,-0.952850034934535,-1.101362925626539,-1.542830780602543,
Kidney,condQALE,-0.8545525985062241,-0.8868303808468809,-1.0784367491520825,
Kidney,condHLY,-2.4947373660804217,-2.8158770182611477,-1.663846615664518,
NBL,condLE,-2.5733327954566434,-5.739133130114801,-4.705099936982805,
NBL,condQALE,-2.0248533413674323,-4.325778929077906,-3.445519132000946,
NBL,condHLY,-3.316446920838672,-5.568800360268611,-4.150610660538256,
STS,condLE,-2.9881413847578955,-3.5527320423780324,-2.245561544832924,
STS,condQALE,-2.1950320014610725,-2.531101504878521,-1.6452150871451465,
STS,condHLY,-3.5371288533904135,-3.8695840778807096,-2.0690086407868407,
Ewings,condLE,-2.9646369140210425,-1.1470372904180408,-1.6216970070495478,
Ewings,condQALE,-2.1146285004128664,-1.017685846496903,-1.1166168579779914,
Ewings,condHLY,-3.723582836426754,-3.172120491761156,-2.6812268791372382,
Osteosarcoma,condLE,-2.77019159502224,-6.300389163645846,-5.388144303052684,
Osteosarcoma,condQALE,-1.9477489379447945,-4.4644217212699395,-3.8362314771226664,
Osteosarcoma,condHLY,-3.0030724852901187,-5.894007440574065,-4.910811995691947,
OtherBoneTumor,condLE,-12.797978477455445,-18.89328537598137,-13.378872672667555,
OtherBoneTumor,condQALE,-9.031956593581928,-13.194400188388794,-9.540651373632034,
OtherBoneTumor,condHLY,-12.971175045683879,-20.349914366325926,-14.958964774263688,
AnthNone,condLE,1.649799060266325,1.6927599758192784,-0.7696231932157929,
AnthNone,condQALE,1.2045895881972157,1.2420688914718951,-0.5133968493983048,
AnthNone,condHLY,1.0714994536756848,0.8063276813294706,-0.9152454709730904,
Anth<100,condLE,3.1901892407412973,5.472370041306334,1.06253727866833,
Anth<100,condQALE,2.2710151011833233,3.8952651130210825,0.6763853068766252,
Anth<100,condHLY,1.8945149464113769,3.8186726647954146,0.47218832574466063,
Anth100_249,condLE,1.8098629672021573,3.7721212712111907,0.8277125392570852,
Anth100_249,condQALE,1.2498708642966676,2.6850325521392264,0.5891236012631964,
Anth100_249,condHLY,0.9370333685207868,2.3186745579954646,0.2871041706532651,
Anth250_399,condLE,-0.9883615748419174,0.9575409090820131,0.34086044045192665,
Anth250_399,condQALE,-0.858145412421969,0.6480128537164589,0.28012388810148536,
Anth250_399,condHLY,-2.128725684650256,-0.6326254835245138,-0.32145244121249306,
Anth400+,condLE,-1.151907830722493,-2.4655407588033498,-3.860354879406003,
Anth400+,condQALE,-0.8838260197233438,-1.8987313033341593,-2.8936273637132786,
Anth400+,condHLY,-1.5121571475058673,-3.079270129940653,-4.293903958941847,
AlkNone,condLE,2.167709814837636,4.399091394926977,1.7306402177531552,
AlkNone,condQALE,1.4950485069923118,3.0582000279248973,1.2178264991315828,
AlkNone,condHLY,1.0287006746198912,2.354395816347761,0.8273496494989345,
Alk<4000,condLE,3.008016024269452,5.1183308603476405,1.2448222048783535,
Alk<4000,condQALE,2.1275523480378453,3.597472071980931,0.7836953239516902,
Alk<4000,condHLY,1.6478557177453226,2.278296522402165,-0.45586404553269944,
Alk4000_7999,condLE,1.1907419889221345,2.1310382446749614,-0.4574933398943202,
Alk4000_7999,condQALE,0.7420192613472523,1.446336676749901,-0.32296291861899107,
Alk4000_7999,condHLY,-0.19240852874258252,0.42586162648174053,-0.746450149157937,
Alk8000_11999,condLE,1.058173399258763,1.360916395450964,-1.1020345267124227,
Alk8000_11999,condQALE,0.7314774108959696,0.9023898088586506,-0.8377190931398601,
Alk8000_11999,condHLY,-0.3573939804146775,0.02376712316413432,-0.9776978506510545,
Alk12000+,condLE,-1.5851953791626983,-3.6957232250926424,-3.6944619465801694,
Alk12000+,condQALE,-1.2010507160385089,-2.648536488113141,-2.5824454181831307,
Alk12000+,condHLY,-2.3597006282463298,-4.234217929366526,-3.463359735840438,
CispNone,condLE,2.9799427334051103,4.7325732633428785,1.7006774790170311,
CispNone,condQALE,2.098210718088737,3.3095982811257656,1.1485055602873757,
CispNone,condHLY,1.6450719070799877,2.5333719186327315,0.641601923056129,
Cisp<400,condLE,-7.086181283126429,-6.498571942203107,-2.484688802340955,
Cisp<400,condQALE,-5.03249232935239,-4.550616799805475,-1.6179420689927007,
Cisp<400,condHLY,-6.7196086132824995,-5.929383622164604,-1.595619495018969,
Cisp400+,condLE,-6.763223259765255,-8.495715524686716,-4.627418151235503,
Cisp400+,condQALE,-4.726695017022962,-6.1336148043545435,-3.248898299028113,
Cisp400+,condHLY,-5.628941784929509,-7.092116135834214,-3.448759999843727,
PlatNone,condLE,3.003972157693184,5.279796313334948,2.1159207600477075,
PlatNone,condQALE,2.114981543392709,3.704804157318712,1.4783832234848546,
PlatNone,condHLY,1.6708756542330718,3.026240241620428,1.1325406496573223,
Plat<400,condLE,-6.688587621882526,-5.270520670795946,-1.3460533980617413,
Plat<400,condQALE,-4.7294824660707775,-3.6843307819794404,-0.8660655815194112,
Plat<400,condHLY,-6.3364148911392455,-4.81205866008408,-1.000931315362081,
Plat400+,condLE,-7.296267214077162,-9.025861716355706,-3.6928231963884457,
Plat400+,condQALE,-5.099853792439127,-6.39929487986338,-2.747329119923318,
Plat400+,condHLY,-5.97194039689392,-7.537330217179658,-2.974537546924079,
ChestNone,condLE,0.5450384784683919,0.48901340572164287,-0.0853355161034628,
ChestNone,condQALE,0.381187893292541,0.42694912428610365,-0.08526109812677873,
ChestNone,condHLY,0.5521890144535462,0.08417785688295254,-0.899652342012601,
Chest<10,condLE,-0.07401406674875943,-1.1475903207136895,-2.0823872750486245,
Chest<10,condQALE,-0.1358538524918842,-0.9041619260047682,-1.5251609763620237,
Chest<10,condHLY,-1.7077403927487325,-3.5769634142651867,-2.7289033838851253,
Chest10_19,condLE,-2.807163546970905,-3.500644344877678,-3.896633170156825,
Chest10_19,condQALE,-2.2318426384041636,-2.5665543151756225,-2.77979605095868,
Chest10_19,condHLY,-3.6439541554079895,-4.848400111988003,-3.533601424729909,
Chest20_29,condLE,-3.793512440992849,-3.761743266863789,-1.9238496080950824,
Chest20_29,condQALE,-2.660954065477309,-2.5559224220187566,-1.2342757184214896,
Chest20_29,condHLY,-4.84589045746646,-5.041909522464628,-2.2888298955880586,
Chest30+,condLE,-2.0796522178918906,-3.7004406870355027,-2.937720931550764,
Chest30+,condQALE,-1.400608093982406,-2.4020995952248327,-1.9291833043354316,
Chest30+,condHLY,-2.583337791446592,-3.9713540921663046,-2.9079108200240746,
HeartNone,condLE,0.5501628283670215,0.45361342021791984,-0.11453941726507821,
HeartNone,condQALE,0.4310643855636087,0.4272157097345044,-0.10746112201918834,
HeartNone,condHLY,0.5751603534430103,0.04741798260565844,-0.9386261111344822,
Heart<5,condLE,0.046437992098439906,-0.935136140890279,-1.8832464488859486,
Heart<5,condQALE,-0.017881420114633784,-0.7239148189986935,-1.402546581760653,
Heart<5,condHLY,-1.64420269882622,-3.332282002743895,-2.6285077894660986,
Heart5_14,condLE,-2.681816789369023,-3.1211761812414096,-3.267239196649747,
Heart5_14,condQALE,-2.0423708214398104,-2.3215588507546983,-2.3528531754943245,
Heart5_14,condHLY,-4.27264095307725,-5.389597697666943,-3.3985597375097356,
Heart15_34,condLE,-4.450948712478834,-3.4188864819447176,-0.5310232062816311,
Heart15_34,condQALE,-3.1728412443264276,-2.298187922273069,-0.29123517125881904,
Heart15_34,condHLY,-4.5852025926524576,-4.037390775593469,-1.1728764442307416,
Heart35+,condLE,0.7826164313290178,0.7599804529054026,-1.968036023558433,
Heart35+,condQALE,0.5844081038714002,0.5547276521704028,-1.4396501660726457,
Heart35+,condHLY,-0.6813421314647883,-1.8689365512332934,-3.532039866765558,
CRTNone,condLE,0.5410427109012446,0.4911489327092511,-0.0900554750729512,
CRTNone,condQALE,0.38445187911126766,0.43740703376791146,-0.09356515332773085,
CRTNone,condHLY,0.5057805326792675,0.029202245777923963,-0.8958072197095248,
CRT<20,condLE,2.3971731071492925,2.3571319493186635,-1.327891739734639,
CRT<20,condQALE,1.710374949439192,1.6335588802273264,-1.0152685047520649,
CRT<20,condHLY,0.8399374771153134,-0.5526279928824707,-2.2219555424597033,
CRT20_29,condLE,-4.33545052796633,-6.131523257333207,-4.8260310031916305,
CRT20_29,condQALE,-3.248180434216124,-4.559168433108297,-3.5597077063122313,
