Group,Outcome,80-70,90-70,90-80,
all,condLE,3.4089972955808,5.671978940216809,2.262981644636015,
all,condQALE,2.401023068060669,3.99505671307512,1.594033645014449,
all,condHLY,1.9907134369621646,3.481298816151837,1.4905853791896753,
Male,condLE,3.451664160623384,5.673252148537875,2.221587987914494,
Male,condQALE,2.4959064956495602,4.101902100070662,1.6059956044210957,
Male,condHLY,1.9244163833128551,3.370463617091938,1.4460472337790808,
Female,condLE,3.37493123643276,5.699699146065643,2.3247679096328757,
Female,condQALE,2.3123445694874873,3.904294170430568,1.591949600943083,
Female,condHLY,2.0720937812254765,3.621111848104192,1.5490180668787135,
1970s,condLE,18.41920562165472,18.41920562165472,0.0,
1970s,condQALE,13.699792044915931,13.699792044915931,0.0,
1970s,condHLY,19.69058377597562,19.69058377597562,0.0,
1980s,condLE,-15.010208326073903,0.0,15.010208326073903,
1980s,condQALE,-11.29876897685525,0.0,11.29876897685525,
1980s,condHLY,-17.69987033901344,0.0,17.69987033901344,
1990s,condLE,0.0,-12.7472266814379,-12.7472266814379,
1990s,condQALE,0.0,-9.704735331840798,-9.704735331840798,
1990s,condHLY,0.0,-16.20928495982376,-16.20928495982376,
Age0-4,condLE,2.55115152778355,4.727433565525174,2.176282037741625,
Age0-4,condQALE,1.7854170289114466,3.315522636717125,1.530105607805676,
Age0-4,condHLY,1.3458919109614678,2.735149692008389,1.3892577810469198,
Age5-9,condLE,3.916245357400654,5.809346470106909,1.8931011127062527,
Age5-9,condQALE,2.776818310482738,4.123278460493765,1.3464601500110198,
Age5-9,condHLY,2.451729708162631,3.831740642848713,1.3800109346860794,
Age10-14,condLE,3.326634787476934,5.712674283920615,2.3860394964436766,
Age10-14,condQALE,2.320455436984538,4.008206625639806,1.6877511886552647,
Age10-14,condHLY,1.8560162502328006,3.5935022285591827,1.7374859783263807,
Age15-20,condLE,4.590581685990665,7.369397741145627,2.778816055154956,
Age15-20,condQALE,3.313133274905479,5.258130497282293,1.944997222376806,
Age15-20,condHLY,2.8928631763877855,4.538288748661983,1.645425572274207,
brain,condLE,2.5343291052467776,5.964650954073145,3.430321848826368,
brain,condQALE,1.7936408254952256,4.236517023312493,2.4428761978172613,
brain,condHLY,1.2601169631102729,3.9624018819837996,2.7022849188735316,
bone,condLE,0.10787848506372899,-0.843676682462492,-0.9515551675262204,
bone,condQALE,-0.022141928864680468,-0.8051301525023669,-0.7829882236376876,
bone,condHLY,-0.41182296908246835,-2.034864780064298,-1.6230418109818274,
sts,condLE,-0.7386423397620094,-0.6167078959511018,0.12193444381090714,
sts,condQALE,-0.6085360654271134,-0.519458751442279,0.0890773139848343,
sts,condHLY,-1.648070858484153,-1.4630574438072794,0.18501341467687257,
solid,condLE,0.8338079659986207,-0.536176395798522,-1.3699843617971441,
solid,condQALE,0.41594383289587133,-0.6140723752653411,-1.0300162081612132,
solid,condHLY,-0.5911846553843495,-1.7791819488819047,-1.187997293497555,
leuk,condLE,4.51886541987069,7.221238756228642,2.7023733363579465,
leuk,condQALE,3.2749118964234842,5.177594465605285,1.902682569181805,
leuk,condHLY,2.8813891716307203,4.279020807744525,1.3976316361138008,
lymp,condLE,6.568228996284304,10.977213767379927,4.408984771095627,
lymp,condQALE,4.613268881600699,7.716024862901549,3.102755981300848,
lymp,condHLY,3.622920917915769,6.31484255135187,2.691921633436101,
ALL,condLE,4.616409178246126,7.364900871406374,2.74849169316024,
ALL,condQALE,3.3304270172736605,5.261710636959567,1.9312836196859111,
ALL,condHLY,2.861209912028312,4.283740804151532,1.4225308921232185,
AML,condLE,1.7806560647982712,2.3511665126289722,0.570510447830697,
AML,condQALE,1.3235666013504819,1.6629948247095148,0.33942822335903505,
AML,condHLY,1.6129964999025073,1.3631750116815489,-0.24982148822095906,
OtherLeukemia,condLE,6.8929353185164866,12.042299247129172,5.149363928612669,
OtherLeukemia,condQALE,5.251367962567117,9.121767273058428,3.870399310491307,
