Group,Outcome,80-70,90-70,90-80,
all,condLE,4.3433007723634915,7.269076531465984,3.195902827381218,
all,condQALE,3.050554878050363,5.0611052559437155,2.250168949423724,
all,condHLY,2.9277328972798102,5.067933991387356,2.408424025030868,
Male,condLE,4.601312228785986,7.463465210859326,3.3161674447532548,
Male,condQALE,3.3230027602648065,5.342224568581329,2.391079823548978,
Male,condHLY,3.117311300151158,5.308838231378303,2.6262390565867264,
Female,condLE,4.47817332555946,7.391414522573484,3.368328168323785,
Female,condQALE,3.0450636146909247,4.966554315241424,2.2823617118058763,
Female,condHLY,3.1406357133610996,5.177735485628212,2.614220030067692,
1970s,condLE,19.99875471110692,19.99875471110692,0.0,
1970s,condQALE,14.797201880278244,14.797201880278244,0.0,
1970s,condHLY,21.071171814998742,21.071171814998742,0.0,
1980s,condLE,-13.456586789641463,0.0,17.502045677138774,
1980s,condQALE,-10.269972152630423,0.0,12.973539429550932,
1980s,condHLY,-16.331790321600316,0.0,19.57710924107611,
1990s,condLE,0.0,-10.711759678645983,-10.711759678645983,
1990s,condQALE,0.0,-8.353365418121989,-8.353365418121989,
1990s,condHLY,0.0,-14.263655062391848,-14.263655062391848,
Age0-4,condLE,3.9616416915011285,6.881294381420425,3.5852130409610723,
Age0-4,condQALE,2.7756195255922975,4.801442129175307,2.4689655128532095,
Age0-4,condHLY,2.742673900350482,4.713194524197853,2.6561063226222217,
Age5-9,condLE,5.445374723245479,7.848557148209245,3.127280604805243,
Age5-9,condQALE,3.854891104730406,5.492544687306328,2.2330955784048285,
Age5-9,condHLY,3.8941444815329476,6.003795325850184,2.8121036258634433,
Age10-14,condLE,4.714870527599338,7.490203390340092,3.4489566181785705,
Age10-14,condQALE,3.3157487043620293,5.158820762543325,2.4399299546958346,
Age10-14,condHLY,3.260364556258722,5.164094601811797,2.939999122515246,
Age15-20,condLE,6.0365243096575725,9.059007833993356,4.069917872757806,
Age15-20,condQALE,4.344342876437654,6.4196695152971905,2.8753285096459216,
Age15-20,condHLY,4.0752924567321145,5.904738625448619,2.9118603169255586,
brain,condLE,4.869395704872979,9.041700331397088,5.132283053241196,
brain,condQALE,3.413948259880751,6.2776641023259465,3.6562435405834037,
brain,condHLY,3.058119242540858,6.005788507047768,4.256160179316318,
bone,condLE,2.314150780518503,1.7375286776400998,1.220077624278865,
bone,condQALE,1.4942214446342277,0.9016980877769782,0.6988089034452543,
bone,condHLY,1.7859667251783975,0.3140430301372952,0.1854056167419067,
sts,condLE,1.6887509700072911,2.3713906297910228,2.6543894611743255,
sts,condQALE,1.1134815526418933,1.5095621613230534,1.8636661765248732,
sts,condHLY,0.41973351306780415,0.9952446264231796,2.461412443124459,
solid,condLE,2.606550770453538,1.665489311047132,0.03519694091086478,
solid,condQALE,1.6526361161696101,0.9321852171234468,-0.008652839302783377,
solid,condHLY,0.9800782828397914,-0.066716016490453,0.057087098203801645,
leuk,condLE,6.296644710743038,10.31696043854435,4.464342215525733,
leuk,condQALE,4.56614675139857,7.333789236691246,3.1845386435257126,
leuk,condHLY,4.760164972123114,7.52996839702805,3.2633795222535156,
lymp,condLE,8.215625351066485,13.2912710850565,5.780145071395189,
lymp,condQALE,5.777277682185403,9.254688252160449,4.021519889025413,
lymp,condHLY,4.962846956072102,8.241312699842336,4.1533285422239175,
ALL,condLE,6.483989836045147,10.794049122607632,4.618616767009904,
ALL,condQALE,4.675312545056649,7.728916145211116,3.2343287965929264,
ALL,condHLY,4.938322199181854,7.893074897484446,3.498977284132863,
AML,condLE,6.653071855946024,8.285694890668637,3.9508983968870908,
AML,condQALE,4.89514610528115,5.800005901575638,2.7002026651825375,
AML,condHLY,5.805980708622069,5.454637630405458,2.2338640886985246,
OtherLeukemia,condLE,14.006989175553223,19.169988484526126,11.395064763534975,
OtherLeukemia,condQALE,10.564097878875334,14.57097216734591,8.548885023146376,
OtherLeukemia,condHLY,12.570675222637394,15.365303006585552,9.349745308459816,
Astrocytoma,condLE,8.055492067894917,14.650668263751072,7.834632081016139,
Astrocytoma,condQALE,5.624170818355779,10.11491240840288,5.5263630343918635,
Astrocytoma,condHLY,5.3612409494904085,10.263626378971722,6.331305421507153,
Medulloblastoma,condLE,4.930535121161341,8.115352676718508,5.5123968907287235,
Medulloblastoma,condQALE,3.5986226609620005,5.870364556685427,4.012197185470228,
Medulloblastoma,condHLY,4.044111613427116,6.071718422403553,4.527343817564137,
Other CNS,condLE,4.923877673627004,6.154309786662559,4.3003240384412535,
Other CNS,condQALE,3.4508262778684227,4.26865697693583,2.939732581677813,
Other CNS,condHLY,3.5958916727637202,4.405381668987129,3.915447009685117,
HL,condLE,8.40229671061585,14.772687861852141,7.494442060743246,
HL,condQALE,5.8890406256676044,10.217349844672295,5.174176520821142,
HL,condHLY,4.912477170306378,8.735095530173759,4.8483281532322735,
NHL,condLE,6.684988978066464,9.92783806133155,4.5621207906645935,
NHL,condQALE,4.603951028719592,6.831254088238275,3.1752597070190376,
NHL,condHLY,4.385893322079298,7.271948711676238,4.202323574440349,
Kidney,condLE,4.151297377278972,4.848990721582268,1.972202698381551,
Kidney,condQALE,2.745860050989073,3.2017679294557766,1.477865208160324,
