Group,Age1,Age2,
all,-17.157935225286707,-15.397359852947801,
Male,-18.660973023231264,-15.861542563965351,
Female,-17.457017431858702,-15.701960728140328,
1970s,-18.24883361940799,-16.188584491704468,
1980s,-17.544798149286343,-15.552172692162358,
1990s,-16.7210795475146,-15.186247642860394,
Age0-4,-18.013253461497378,-16.13579993814335,
Age5-9,-16.860480962299576,-14.957551511391962,
Age10-14,-16.975267842223396,-15.115627579935428,
Age15-20,-17.24123905114559,-15.584053665174018,
brain,-24.505301151545154,-22.280447669562115,
bone,-19.01102573246402,-16.569584175933862,
sts,-20.823261767027716,-19.243704941876857,
solid,-19.09642865372355,-18.600794251024432,
leuk,-13.746522229009791,-13.150321079127906,
lymp,-19.740516905071104,-18.491524586022116,
ALL,-13.147373915988155,-12.426598191335472,
AML,-23.390501353199838,-21.90904782116879,
OtherLeukemia,-26.623391390137684,-24.84868060098865,
Astrocytoma,-22.376036064768876,-21.55258838751734,
Medulloblastoma,-30.814395710412747,-27.522551092690165,
Other CNS,-29.564527081498518,-27.462692542645094,
HL,-23.135460953849865,-23.066396472513006,
NHL,-17.736839617699076,-16.338324329985156,
Kidney,-18.631765267370007,-17.94365912423931,
NBL,-20.733928001361704,-20.50368085630521,
STS,-20.823261767027716,-19.243704941876857,
Ewings,-23.749807396533328,-20.67578955195809,
Osteosarcoma,-17.043482915544388,-14.834662118861957,
OtherBoneTumor,-23.14907341718432,-21.521616038801028,
AnthNone,-16.96246608755788,-14.978396249925787,
Anth<100,-16.714305425193828,-15.420347361188547,
Anth100_249,-17.493361369618214,-16.094817056036973,
Anth250_399,-21.40180421681756,-18.347738583599075,
Anth400+,-21.542105617696926,-18.256730279514407,
AlkNone,-15.81137794762104,-14.249811937078924,
Alk<4000,-15.918298946999009,-14.643919043605571,
Alk4000_7999,-18.012857203084025,-16.123148703880567,
Alk8000_11999,-19.838800407585033,-17.675351932178856,
Alk12000+,-23.12405894644173,-20.507929362609573,
CispNone,-16.596192711613945,-14.949979384147078,
Cisp<400,-26.271864973491745,-23.81798004960214,
Cisp400+,-25.701805934129816,-22.82404339645052,
PlatNone,-16.39189499141915,-14.81791040017633,
Plat<400,-25.339284115748256,-22.938454495024168,
Plat400+,-26.5474355873663,-23.44563721711345,
ChestNone,-14.018030231772954,-13.130825075497512,
Chest<10,-18.408035381251104,-15.59866252691102,
Chest10_19,-23.255958032309287,-20.306925218563173,
Chest20_29,-22.98081823780155,-20.890296505201192,
Chest30+,-26.978551043839794,-25.23622000927425,
HeartNone,-14.026897786828442,-13.149662380227909,
Heart<5,-18.326944402299716,-15.569353065818362,
Heart5_14,-22.344509289140717,-19.40608697538852,
Heart15_34,-26.024653643959496,-23.45525197206014,
Heart35+,-27.117797054094048,-26.756651230797956,
CRTNone,-14.027070624061082,-13.130492116735638,
CRT<20,-19.634037315380866,-17.979754094559333,
CRT20_29,-17.12088103182888,-14.352348264777653,
CRT30_49,-26.972671472244322,-22.342629202990587,
CRT50+,-29.83957440837836,-26.040578934550645,
OvaryNone,-14.162691181035918,-12.880840269474689,
Ovary<10,-21.02069134425637,-19.117717525807457,
Ovary10-19,-24.597547153870856,-23.32462278146125,
Ovary20+,-23.661565657548017,-22.537079463062184,
AbdPelNone,-14.013927222198717,-13.130646359547697,
AbdPel<15,-19.29876724369616,-16.785203729825703,
AbdPel15_24,-22.19963855036086,-19.75925973834812,
AbdPel25_34,-24.24884074366095,-22.172111819336365,
AbdPel35+,-26.632472546364845,-24.768425386409398,
MaxRTNone,-14.05988868067417,-13.16172281841206,
MaxRT<20,-17.109174132184158,-15.212628097196301,
MaxRT20_29,-18.01103794848467,-16.067845090499333,
MaxRT30+,-25.70113009916482,-22.99696177671288,
ALL_70,-14.919499045016778,-10.995177076118964,
AML_70,-24.41429741587274,-22.24254179405601,
OtherLeukemia_70,-36.50447244783899,-36.485246552597935,
Astrocytoma_70,-25.542419542849466,-23.070691868400665,
Medulloblastoma_70,-33.02700257618873,-28.67127683405326,
Other CNS_70,-29.65152409462808,-27.221196547600584,
HL_70,-25.34121194713402,-24.96353561221281,
NHL_70,-19.966980602285062,-18.100747919609773,
Kidney_70,-18.907906058784434,-18.111540070920242,
NBL_70,-20.200199105955193,-19.41429064535756,
STS_70,-19.974752282771178,-18.23593097572583,
Ewings_70,-25.49682015622586,-21.907818880844495,
Osteosarcoma_70,-17.222240623290354,-14.71077476190166,
OtherBoneTumor_70,-20.293897448427145,-18.90257634307391,
ALL_80,-13.24366678087084,-12.33144386680354,
AML_80,-23.419857502113103,-21.806930557528,
OtherLeukemia_80,-29.913690472141745,-29.368451538045484,
Astrocytoma_80,-23.83910261948187,-22.531373782303795,
Medulloblastoma_80,-31.621803860759634,-27.871710143629365,
Other CNS_80,-30.386975563710614,-28.46414709217332,
HL_80,-23.01459010879553,-22.685062420933157,
NHL_80,-18.505917109077195,-16.80645849707411,
Kidney_80,-19.22241446139399,-18.32138351615466,
NBL_80,-20.71828862803808,-20.418355460301633,
STS_80,-21.45953261831704,-19.6926844784479,
Ewings_80,-24.353584670924192,-20.99562718460043,
Osteosarcoma_80,-17.147726320829307,-14.880980669076145,
OtherBoneTumor_80,-22.71312203185836,-21.391482751377012,
ALL_90,-14.074725202541792,-13.142214121498327,
AML_90,-24.007666361993394,-22.895973067070116,
OtherLeukemia_90,-24.683151720542952,-22.87695321518568,
Astrocytoma_90,-21.04164893588905,-20.810845017357643,
Medulloblastoma_90,-31.01988991787462,-28.204757214329803,
Other CNS_90,-30.544305780465557,-28.70230723310444,
HL_90,-21.173836238944318,-21.38631671905859,
NHL_90,-16.91147707198791,-15.625870428790215,
Kidney_90,-18.903729029069176,-18.4234703995861,
NBL_90,-21.79115702121682,-21.32725963889076,
STS_90,-21.748885892232515,-19.931933448632513,
Ewings_90,-24.222880890866833,-21.220188857695547,
Osteosarcoma_90,-18.457915861967834,-16.219528469146084,
OtherBoneTumor_90,-29.494289922483993,-27.123200824241877,
brain_70,-25.990997276797415,-22.914906915014498,
bone_70,-18.922283689199055,-16.135748880866167,
sts_70,-19.974752282771178,-18.23593097572583,
solid_70,-18.71168401765385,-18.157415670248668,
leuk_70,-15.782480599785188,-11.874011770285776,
lymp_70,-22.840928655307223,-21.765714251118382,
brain_80,-25.297172224897558,-22.568356546919333,
bone_80,-18.8930645678844,-16.38557072143589,
sts_80,-21.45953261831704,-19.6926844784479,
solid_80,-19.31148521007696,-18.768252667209218,
leuk_80,-14.034313992351592,-13.224982567146284,
lymp_80,-20.094839832226377,-18.68996443443622,
brain_90,-23.88166770352958,-22.173572683375546,
bone_90,-19.99839929306473,-17.57823743385731,
sts_90,-21.748885892232515,-19.931933448632513,
solid_90,-19.552232288982168,-19.022062328529927,
leuk_90,-14.472272015715866,-13.624676250440558,
lymp_90,-17.82580931453586,-16.613925512547965,
SurgOnly_NoTrt,-14.719856985492804,-14.050900075166894,
ChemoOnly,-14.130259996226087,-13.200370509359175,
RadOnly,-24.592556711921524,-21.8281586117819,
ChemoRad,-20.278019338089976,-17.817888083943274,
NoChemoRT,-14.719856985492804,-14.050900075166894,
AnyChemoRT,-17.53768553444555,-15.680831855109545,
NoChemo,-18.81729864179934,-16.97625786143886,
AnyChemo,-17.02200546872791,-15.35188331377178,
NoRad,-13.949915199778914,-13.10693796900648,
AnyRad,-20.78860281211775,-18.19393761367244,
SurgOnly_NoTrt_70,-14.464794231501195,-13.46951532752091,
ChemoOnly_70,-15.34173553653919,-13.769619304497212,
RadOnly_70,-24.291652159826945,-22.12771565357793,
ChemoRad_70,-19.15264924714011,-16.741197795871685,
SurgOnly_NoTrt_80,-14.875914156408967,-14.328413219510288,
ChemoOnly_80,-14.279745700166622,-13.112287407201592,
RadOnly_80,-24.68866763849404,-21.707486187942983,
ChemoRad_80,-20.187932410094575,-17.717968291309546,
SurgOnly_NoTrt_90,-15.100472200487268,-14.50061220826602,
ChemoOnly_90,-14.305389237185267,-13.450275491457646,
RadOnly_90,-27.702766420621288,-23.900147699680367,
ChemoRad_90,-21.76613365428397,-19.275937083204305,
NoChemoRT_70,-14.464794231501195,-13.46951532752091,
AnyChemoRT_70,-18.730322262766137,-16.568158169734346,
NoChemoRT_80,-14.875914156408967,-14.328413219510288,
AnyChemoRT_80,-17.904538691606646,-15.79824883176272,
NoChemoRT_90,-15.100472200487268,-14.50061220826602,
AnyChemoRT_90,-17.149296506237476,-15.626281324796707,
NoChemo_70,-20.68421482975439,-18.574349274772864,
AnyChemo_70,-18.02638029228342,-15.798005200725619,
NoChemo_80,-19.46585682027213,-17.507919545859146,
AnyChemo_80,-17.319190938369175,-15.431128007375321,
NoChemo_90,-17.521811429306688,-16.319768410996183,
AnyChemo_90,-16.91331048458394,-15.460393717050245,
NoRad_70,-14.712132506149636,-13.349737814442662,
AnyRad_70,-19.87500820681595,-17.561870088662594,
NoRad_80,-14.01695199203619,-12.924254924313061,
AnyRad_80,-20.7164623525574,-18.07019208623921,
NoRad_90,-14.023711164108015,-13.276086840022117,
AnyRad_90,-22.03360016688891,-19.419113403842793,
noRecur,-16.16792465467413,-14.622009250921508,
recur,NaN,NaN,
noRecur_70,-17.161332284020162,-15.43508168725274,
recur_70,NaN,NaN,
noRecur_80,-16.380162173151575,-14.645951492336557,
recur_80,NaN,NaN,
noRecur_90,-15.706610556105893,-14.461191036251918,
recur_90,NaN,NaN,
Age0-4_70,-19.882764436744296,-17.550318266798747,
Age5-9_70,-18.157276944351224,-15.593951872519114,
Age10-14_70,-18.74070075699968,-16.7823452479049,
Age15-20_70,-19.44821990066984,-17.992268028935,
Age0-4_80,-18.49249958577756,-16.971065904670198,
Age5-9_80,-16.918822075774585,-14.900583743350182,
Age10-14_80,-17.33467179690126,-15.32312706389446,
Age15-20_80,-17.439760841261425,-15.738883720674309,
Age0-4_90,-18.080168293713115,-16.352768463932712,
Age5-9_90,-16.629752222656258,-14.972031565886063,
Age10-14_90,-16.218561209406722,-14.417127467369681,
Age15-20_90,-16.09774692910242,-14.658090932753844,
Male_70,-19.310147139527572,-16.23958619255449,
Female_70,-18.48940963780742,-17.167628906590522,
Male_80,-18.94558747692048,-16.126191600589628,
Female_80,-17.492230411978987,-15.954655966497214,
Male_90,-18.471069605966385,-15.925616881685137,
Female_90,-17.061047515920407,-15.244507873416119,
HL grp: Salvage,-31.280911734556597,-29.949098156509365,
HL grp: Extended,-26.110484643659845,-25.821286466055867,
HL grp: Chest RT>=35 plus chemo,-26.1766777575411,-25.873350418230935,
HL grp: Chest RT>=35 no chemo,-26.059622451125136,-25.377613586980466,
HL grp: Chest RT<35 plus chemo,-22.2381510220498,-22.03875535734212,
HL grp: Chemo without chest RT,-18.980583929782725,-18.203601796014524,
HL grp: Other,-19.2086294987592,-18.640199116082954,
HL AHOD: Contemporary,-20.416428386982084,-20.403929596938774,
HL AHOD: High Chest RT,-26.20342019589905,-25.81711641676067,
HL AHOD: Other,-21.162512410059698,-21.489923883721573,
HL grp 2: Salvage,-31.280911734556597,-29.949098156509365,
HL grp 2: Extended,-26.110484643659845,-25.821286466055867,
HL grp 2: Chest RT>=35,-25.455740379850155,-25.135268324073657,
HL grp 2: [empty],NaN,NaN,
HL grp 2: Chest RT<35 plus chemo,-22.2381510220498,-22.03875535734212,
HL grp 2: Chemo without chest RT,-18.980583929782725,-18.203601796014524,
HL grp 2: Other,-19.2086294987592,-18.640199116082954,
HL AHOD2: Contemporary with RT,-22.348364150659258,-22.159108036061646,
HL AHOD2: Contemporary without RT,-19.104198006515325,-18.07470085756008,
HL AHOD2: High Chest RT,-26.20342019589905,-25.81711641676067,
HL AHOD2: Other,-21.162512410059698,-21.489923883721573,
AnyRad_ALL,-14.976792508409943,-13.185465678768082,
AnyRad_AML,-28.34545994413528,-26.90212846937964,
AnyRad_OtherLeukemia,-29.953039203749164,-28.158460101042387,
AnyRad_Astrocytoma,-29.79187152158252,-27.11980109450836,
AnyRad_Medulloblastoma,-31.24756907557161,-27.823199264700087,
AnyRad_Other CNS,-33.15228423533879,-30.114674050358794,
AnyRad_HL,-23.85357629881654,-23.372588796265724,
AnyRad_NHL,-21.05171779857016,-18.786666549333425,
AnyRad_Kidney,-21.95957832963451,-21.18667982280352,
AnyRad_NBL,-25.805021448449097,-24.965697618099725,
AnyRad_STS,-23.218506083838314,-21.241357358616362,
AnyRad_Ewings,-26.15543502506094,-22.979201148824338,
AnyRad_Osteosarcoma,-25.12884313471414,-21.728729984816823,
AnyRad_OtherBoneTumor,-32.46790505018474,-30.082503631260302,
ChemoOnly_ALL,-12.398835379529487,-12.0174589237687,
ChemoOnly_AML,-21.995693384775763,-20.530640972324818,
ChemoOnly_OtherLeukemia,-25.525633118409097,-23.326378104046377,
ChemoOnly_Astrocytoma,-23.26464027572051,-22.837106021512596,
ChemoOnly_Medulloblastoma,-34.75448750148516,-32.371738882524475,
ChemoOnly_Other CNS,-31.853143334199316,-32.712788089502574,
ChemoOnly_HL,-18.707239745867007,-18.028399118393708,
ChemoOnly_NHL,-16.528862190412212,-15.365826823242685,
ChemoOnly_Kidney,-16.516165853362928,-15.796789520419154,
ChemoOnly_NBL,-22.48805191509701,-21.952547505940892,
ChemoOnly_STS,-19.331361389356424,-17.735102829426715,
ChemoOnly_Ewings,-21.605963428645225,-18.5824744485628,
ChemoOnly_Osteosarcoma,-17.363404445999215,-14.911170949494647,
ChemoOnly_OtherBoneTumor,-26.825890554099125,-25.579262496610447,
SurgOnly_NoTrt_ALL,-35.89976572689732,-23.973227876309743,
SurgOnly_NoTrt_AML,-29.51138296841119,-26.766194825867743,
SurgOnly_NoTrt_OtherLeukemia,-46.89439347889869,-41.95341914100352,
SurgOnly_NoTrt_Astrocytoma,-15.08403807281097,-15.358693391640358,
SurgOnly_NoTrt_Medulloblastoma,-35.847084387659336,-33.95670532969132,
SurgOnly_NoTrt_Other CNS,-23.04086562628151,-23.36057349259982,
SurgOnly_NoTrt_HL,-35.0,-28.0,
SurgOnly_NoTrt_NHL,-21.371940187322814,-19.959029648249185,
SurgOnly_NoTrt_Kidney,-20.182336600638607,-19.196471629317394,
SurgOnly_NoTrt_NBL,-16.895616022789966,-17.328139996530957,
SurgOnly_NoTrt_STS,-13.457471846302624,-12.870636089339726,
SurgOnly_NoTrt_Ewings,-38.606190177261006,-27.0,
SurgOnly_NoTrt_Osteosarcoma,-14.256916158330206,-14.37209917851095,
SurgOnly_NoTrt_OtherBoneTumor,-16.662673454617824,-16.445924104315665,
AnyRad_brain,-29.836652418658474,-26.593029644732724,
AnyRad_bone,-25.366116327492527,-22.28732342925675,
AnyRad_sts,-23.218506083838314,-21.241357358616362,
AnyRad_solid,-22.490820152258436,-21.732319291095664,
AnyRad_leuk,-16.11469899700471,-14.212488908680143,
AnyRad_lymp,-22.354195250901526,-21.279710297641635,
ChemoOnly_brain,-23.719571222903333,-22.426342837026993,
ChemoOnly_bone,-17.66584259045515,-15.38913350354855,
ChemoOnly_sts,-19.331361389356424,-17.735102829426715,
ChemoOnly_solid,-18.161954028584574,-17.912149714088564,
ChemoOnly_leuk,-12.846716266161124,-12.543755781708228,
ChemoOnly_lymp,-16.087942146090704,-14.826121264749531,
SurgOnly_NoTrt_brain,-15.333386516184333,-15.683766990188836,
SurgOnly_NoTrt_bone,-13.018774553581345,-13.149791145432332,
SurgOnly_NoTrt_sts,-13.457471846302624,-12.870636089339726,
SurgOnly_NoTrt_solid,-16.7388232880706,-17.3583147764287,
SurgOnly_NoTrt_leuk,-26.12521568737509,-23.707205181934057,
SurgOnly_NoTrt_lymp,-21.036711735891544,-19.634426965617592,
AnyRad_ALL_70,-15.467990344416883,-11.29561036935695,
AnyRad_AML_70,-28.442943749227652,-25.55094121638713,
AnyRad_OtherLeukemia_70,-42.58445174474584,-41.59385315822729,
AnyRad_Astrocytoma_70,-30.447084939575717,-27.034803522530638,
AnyRad_Medulloblastoma_70,-33.13924378644993,-28.828044729718187,
AnyRad_Other CNS_70,-32.63524563993045,-29.83950828282787,
AnyRad_HL_70,-25.646467885308212,-25.220496937402388,
AnyRad_NHL_70,-21.09911128148655,-19.009681599545594,
AnyRad_Kidney_70,-20.31613433214666,-19.382461184012577,
AnyRad_NBL_70,-21.68315157553539,-20.83924728040786,
AnyRad_STS_70,-22.79260192086062,-20.561866316703032,
AnyRad_Ewings_70,-26.479685317585258,-22.9151264545498,
AnyRad_Osteosarcoma_70,-26.873767987043955,-23.946187029171753,
AnyRad_OtherBoneTumor_70,-33.43445163159193,-31.0,
ChemoOnly_ALL_70,-12.252383888168495,-10.418451168433705,
ChemoOnly_AML_70,-23.574802119281493,-21.9992494135046,
ChemoOnly_OtherLeukemia_70,-33.75071281478628,-36.64861732641227,
ChemoOnly_Astrocytoma_70,-39.6178926199086,-33.93819305246461,
ChemoOnly_Medulloblastoma_70,NaN,NaN,
ChemoOnly_Other CNS_70,NaN,NaN,
ChemoOnly_HL_70,-23.7196910015183,-22.02265691924662,
ChemoOnly_NHL_70,-18.852940535971882,-17.212618291376344,
ChemoOnly_Kidney_70,-18.02514028177705,-17.228423505350342,
ChemoOnly_NBL_70,-22.853653197243773,-21.748986822727844,
ChemoOnly_STS_70,-20.262394013318634,-18.283857434871976,
ChemoOnly_Ewings_70,-26.95357267840101,-23.78415848946355,
ChemoOnly_Osteosarcoma_70,-16.74451214332631,-14.10376626332092,
ChemoOnly_OtherBoneTumor_70,-39.15719344517236,-28.65779910615987,
SurgOnly_NoTrt_ALL_70,-24.999999999999993,-11.000000000000014,
SurgOnly_NoTrt_AML_70,-40.0,-22.0,
SurgOnly_NoTrt_OtherLeukemia_70,-57.10388790330339,-49.0,
SurgOnly_NoTrt_Astrocytoma_70,-18.068767300138248,-17.382071717298366,
SurgOnly_NoTrt_Medulloblastoma_70,-46.981020011998034,-38.0,
SurgOnly_NoTrt_Other CNS_70,-28.72841072788146,-30.658407381742734,
SurgOnly_NoTrt_HL_70,-39.0,-28.930506959590097,
SurgOnly_NoTrt_NHL_70,-31.07419645091298,-26.705545835919565,
SurgOnly_NoTrt_Kidney_70,-29.297327085500946,-26.4572890838883,
SurgOnly_NoTrt_NBL_70,-18.79827391728852,-18.28695549050282,
SurgOnly_NoTrt_STS_70,-14.568337000823064,-13.602970181593932,
SurgOnly_NoTrt_Ewings_70,-38.606190177261006,-27.0,
SurgOnly_NoTrt_Osteosarcoma_70,-16.248388220818605,-16.09203066243775,
SurgOnly_NoTrt_OtherBoneTumor_70,-20.75894439525691,-19.831287443937036,
AnyRad_ALL_80,-15.46555387566417,-13.623067565463472,
AnyRad_AML_80,-27.070075892452678,-25.42962361280722,
AnyRad_OtherLeukemia_80,-33.1179265885134,-32.59920516121761,
AnyRad_Astrocytoma_80,-30.130055780988513,-27.263615194265917,
AnyRad_Medulloblastoma_80,-31.96221306077392,-28.106140610577192,
AnyRad_Other CNS_80,-32.52623266701278,-30.695203052598153,
AnyRad_HL_80,-23.811433357440585,-23.450171544907207,
AnyRad_NHL_80,-20.91301189061941,-18.787036744994204,
AnyRad_Kidney_80,-23.18454184690902,-22.017177015813516,
AnyRad_NBL_80,-26.594128942552338,-25.360631478943702,
AnyRad_STS_80,-24.582580314873603,-22.570138168413592,
AnyRad_Ewings_80,-26.811687622496777,-23.604040690044478,
AnyRad_Osteosarcoma_80,-25.784337364048113,-23.075662855448705,
AnyRad_OtherBoneTumor_80,-39.414463170408794,-38.651794006060776,
ChemoOnly_ALL_80,-11.710519244563628,-11.0937843154787,
ChemoOnly_AML_80,-22.38593040768461,-20.74990680266246,
ChemoOnly_OtherLeukemia_80,-29.24571439889595,-28.1241998293985,
ChemoOnly_Astrocytoma_80,-24.656926160061282,-23.67680077119752,
ChemoOnly_Medulloblastoma_80,-42.11053423008461,-39.08594361920323,
ChemoOnly_Other CNS_80,-42.743544447733456,-42.37288092039432,
ChemoOnly_HL_80,-20.27996205408501,-19.222440208368525,
ChemoOnly_NHL_80,-17.476528773482336,-16.06964314007621,
ChemoOnly_Kidney_80,-17.114069886199005,-16.340071016264872,
ChemoOnly_NBL_80,-22.523224394064364,-22.24440779090086,
ChemoOnly_STS_80,-20.529091039349623,-18.510164454483387,
ChemoOnly_Ewings_80,-22.310347115615713,-18.96581267307561,
ChemoOnly_Osteosarcoma_80,-17.72377606667527,-15.2046268165399,
ChemoOnly_OtherBoneTumor_80,-40.89158953039009,-34.899315139790225,
SurgOnly_NoTrt_ALL_80,-33.0,-19.0,
