Group,Age1,Age2,
all,-15.469590582494597,-13.538661614270405,
Male,-15.771122708779957,-13.239029021745834,
Female,-15.099238571827485,-13.979735987372296,
1970s,-16.839035431692203,-14.697053242629323,
1980s,-15.719902996059314,-13.712200964272528,
1990s,-14.714324369933664,-12.946876638765772,
Age0-4,-15.765552471908995,-13.844256151483407,
Age5-9,-14.921852429565948,-12.748985418323576,
Age10-14,-15.37609942425245,-13.509315609696024,
Age15-20,-15.716133606893793,-14.178405127822025,
brain,-21.727259873447057,-18.670168994246062,
bone,-16.98702069019917,-14.366532951168626,
sts,-17.912441562039263,-15.718775346834596,
solid,-17.16628399942912,-16.118197901019485,
leuk,-10.81041312937902,-9.216184075690066,
lymp,-18.008508923803255,-16.599023725722837,
ALL,-9.838132232332452,-8.38266489945754,
AML,-18.526692924270836,-16.499400914661756,
OtherLeukemia,-21.23609014396215,-18.28498577111811,
Astrocytoma,-18.655202193431858,-15.909245412803894,
Medulloblastoma,-27.771183238294025,-24.230614930883316,
Other CNS,-24.17353962590353,-21.788856720368425,
HL,-20.401570867202352,-19.340666680352715,
NHL,-14.513881200733664,-12.877337992247233,
Kidney,-16.35877171463201,-15.171092153651145,
NBL,-18.095286403112585,-17.16041512154323,
STS,-17.912441562039263,-15.718775346834596,
Ewings,-20.664021411414513,-17.53887276243242,
Osteosarcoma,-14.76535037709259,-12.398339408094529,
OtherBoneTumor,-18.0049228416366,-16.251346184834976,
AnthNone,-15.625125138498477,-13.520396443673887,
Anth<100,-11.920011862309803,-10.723034304206843,
Anth100_249,-14.872024219674701,-13.478275668659544,
Anth250_399,-19.3275522915946,-16.520107638503745,
Anth400+,-19.252569103537056,-15.952012943848576,
AlkNone,-14.226727553775925,-12.409212225933976,
Alk<4000,-12.501019286847189,-11.041865632673764,
Alk4000_7999,-15.985668140761485,-14.129810910532349,
Alk8000_11999,-17.629490373676013,-15.381116407163312,
Alk12000+,-21.3278638255409,-18.625416338225428,
CispNone,-14.792916778042322,-12.994742162255104,
Cisp<400,-23.967170032699148,-21.04492914184434,
Cisp400+,-23.229233803420918,-20.056687941251425,
PlatNone,-14.58077545698195,-12.818455979597829,
Plat<400,-23.389874988751924,-20.579272398726413,
Plat400+,-23.87250480238842,-20.77227510529827,
ChestNone,-12.032147183574885,-10.87090518535482,
Chest<10,-16.63382884178785,-13.798154300297522,
Chest10_19,-20.757760455289723,-17.861904724025724,
Chest20_29,-20.482149185434096,-18.297335750018213,
Chest30+,-25.238819619205604,-23.62274328595411,
HeartNone,-12.056931868090068,-10.887609927233083,
Heart<5,-16.595765144478165,-13.762849988529474,
Heart5_14,-20.05906309836309,-17.183541628843795,
Heart15_34,-23.771210941241836,-21.25461393241874,
Heart35+,-25.39132678244274,-25.011981131510804,
CRTNone,-12.032792970543385,-10.871732834119697,
CRT<20,-18.046432856451382,-16.37554772096084,
CRT20_29,-13.457331043967496,-10.829926565792547,
CRT30_49,-24.21044670344748,-19.713148393820685,
CRT50+,-27.56294641352742,-23.368138534145658,
OvaryNone,-11.611115227571718,-10.999234983748327,
Ovary<10,-18.94255083311843,-17.350726075979274,
Ovary10-19,-20.91477726210892,-19.267314122382484,
Ovary20+,-20.237727237565704,-19.299742935651917,
AbdPelNone,-12.031482225009743,-10.870788323683346,
AbdPel<15,-17.58357783986882,-14.922542820490845,
AbdPel15_24,-20.101524389815236,-17.672122503260386,
AbdPel25_34,-22.1887725453504,-19.905887291069018,
AbdPel35+,-24.754561933303457,-22.835584232934913,
MaxRTNone,-12.065007167626625,-10.888891426430266,
MaxRT<20,-14.497675854382994,-12.694304648335486,
MaxRT20_29,-15.760324072890437,-13.92468124705085,
MaxRT30+,-24.150841132085695,-21.28049076462743,
ALL_70,-10.18775832251146,-7.567053138787948,
AML_70,-18.180667008378236,-15.86738230493809,
OtherLeukemia_70,-26.557690739574916,-23.263820503086123,
Astrocytoma_70,-21.739706471280112,-17.690107748130018,
Medulloblastoma_70,-27.65400548380729,-23.374776703780153,
Other CNS_70,-22.831139021272104,-20.116165911120184,
HL_70,-23.06386923103953,-22.343476801072693,
NHL_70,-16.21103848698084,-14.410170306108451,
Kidney_70,-16.2479408455414,-15.061322218208362,
NBL_70,-17.102236954125594,-16.292942100189105,
STS_70,-17.025546619473953,-14.99293240786406,
Ewings_70,-21.16944315331651,-17.924007463103532,
Osteosarcoma_70,-14.450515772071183,-11.997475430633855,
OtherBoneTumor_70,-10.962062659243562,-9.920115907673782,
ALL_80,-9.913811833842406,-8.32120584236997,
AML_80,-17.876243708501157,-15.772293333911994,
OtherLeukemia_80,-21.536424885585824,-18.549677696143437,
Astrocytoma_80,-20.22510671793185,-17.0308971249504,
Medulloblastoma_80,-27.834686849837297,-24.08584293693337,
Other CNS_80,-24.72367011088932,-22.1482118054235,
HL_80,-20.63048009081854,-19.61333964039793,
NHL_80,-14.940476362005487,-13.23241212130029,
Kidney_80,-16.617424490125185,-15.373647466315541,
NBL_80,-17.76701231905859,-16.888969119400837,
STS_80,-18.677541549247728,-16.47443876983229,
Ewings_80,-20.599246551283336,-17.396968615023326,
Osteosarcoma_80,-14.474184284739732,-12.269535656634874,
OtherBoneTumor_80,-14.617134742614084,-12.992721956146635,
ALL_90,-9.691728986039221,-8.56916900017715,
AML_90,-19.046727187549994,-17.119394167723357,
OtherLeukemia_90,-19.03252522269826,-16.526783120505698,
Astrocytoma_90,-16.81633240650869,-14.838863701561891,
Medulloblastoma_90,-27.759921119106057,-24.419785147195377,
Other CNS_90,-24.142660720801103,-21.907979923901834,
HL_90,-17.82366431521415,-16.73068144807373,
NHL_90,-13.341766251982397,-11.892631677972243,
Kidney_90,-16.166024511600853,-15.017690933231249,
NBL_90,-18.797319310779997,-17.744658177952246,
STS_90,-18.04793965541805,-15.603002453796147,
Ewings_90,-20.403674084828708,-17.422238278360464,
Osteosarcoma_90,-15.292512758842422,-12.82130496353805,
OtherBoneTumor_90,-22.263529100126565,-19.986731429781806,
brain_70,-23.022439017723677,-19.047979724238026,
bone_70,-16.53067561009065,-13.817950609933847,
sts_70,-17.025546619473953,-14.99293240786406,
solid_70,-16.653926999111317,-15.66749622702138,
leuk_70,-11.307197396884584,-8.629048028176367,
lymp_70,-20.95999738318614,-19.76351139147362,
brain_80,-22.639254002789936,-19.257874280832183,
bone_80,-16.596717357262946,-14.038614632761197,
sts_80,-18.677541549247728,-16.47443876983229,
solid_80,-17.115145855777044,-16.047077744500687,
leuk_80,-10.865651206765724,-9.148526808385528,
lymp_80,-18.17688565521296,-16.754057554143404,
brain_90,-20.886571028848905,-18.25233147685869,
bone_90,-17.65189508366235,-15.0037992747684,
sts_90,-18.04793965541805,-15.603002453796147,
solid_90,-17.455410142415708,-16.375694735605425,
leuk_90,-10.640029166482536,-9.361592074239308,
lymp_90,-15.792741208415002,-14.472710629307382,
SurgOnly_NoTrt,-11.930684589134032,-11.28801364662574,
ChemoOnly,-11.961278460941305,-10.729748095201456,
RadOnly,-22.8974146042691,-20.040014921648545,
ChemoRad,-18.57653849363192,-16.123196987929248,
NoChemoRT,-11.930684589134032,-11.28801364662574,
AnyChemoRT,-15.780214877862287,-13.727611665486998,
NoChemo,-17.007685630443586,-15.100013805541858,
AnyChemo,-15.199984409230023,-13.291197133126941,
NoRad,-11.95671389532362,-10.815116426677887,
AnyRad,-19.192844699334156,-16.61981523157286,
SurgOnly_NoTrt_70,-11.69634729192584,-10.817442824885099,
ChemoOnly_70,-13.460836589438577,-11.879420448033533,
RadOnly_70,-22.188130586720973,-20.00197914912218,
ChemoRad_70,-17.26101689804753,-14.99533879732933,
SurgOnly_NoTrt_80,-11.932386037588103,-11.299475467804006,
