Group,Age1,Age2,
all,-13.676498590855417,-11.853535680026468,
Male,-13.707990881624625,-11.46000465391333,
Female,-13.20942709334988,-12.33430988863445,
1970s,-15.216108636618465,-13.306516243737107,
1980s,-13.940360504401553,-12.151241578986998,
1990s,-12.676928026157256,-10.954028928395886,
Age0-4,-13.463557263385326,-11.388727572971604,
Age5-9,-12.989019667864248,-11.010545791166834,
Age10-14,-13.852553709219677,-12.315118168243657,
Age15-20,-14.422464171216284,-13.019576490915448,
brain,-19.181431910751193,-15.664314901789389,
bone,-15.277415877158852,-12.704958809802918,
sts,-15.555051729876979,-13.552127152165298,
solid,-15.14786782244201,-13.836765139061406,
leuk,-7.80797346684686,-6.200404301244049,
lymp,-16.35862510230961,-14.361525577206478,
ALL,-6.469118413093405,-4.762268625759106,
AML,-13.561862253828828,-10.983040277772709,
OtherLeukemia,-15.740729985703062,-12.707465181337305,
Astrocytoma,-15.03277474765919,-11.804687744048636,
Medulloblastoma,-24.6124531289163,-20.492496148448616,
Other CNS,-19.982639993234258,-17.249235521447496,
HL,-18.117182305352266,-17.283368647403208,
NHL,-10.964323692138208,-9.593836219320607,
Kidney,-13.788385758479784,-12.468882346798438,
NBL,-15.17264414448315,-14.050918040706861,
STS,-15.555051729876979,-13.552127152165298,
Ewings,-18.161441042542535,-14.891145308159587,
Osteosarcoma,-12.751646911441313,-10.27072931698487,
OtherBoneTumor,-13.619181256930815,-11.342248604848493,
AnthNone,-14.073395803842502,-12.116431532496307,
Anth<100,-8.07710359251297,-6.6148734821152,
Anth100_249,-12.562054201912673,-10.990755711009768,
Anth250_399,-17.53519038954306,-14.806630605413481,
Anth400+,-17.087821642014333,-13.964044939278061,
AlkNone,-12.52833949412689,-10.85996236999928,
Alk<4000,-9.751137704356545,-8.179633774772796,
Alk4000_7999,-14.111541653321666,-12.27867496112129,
Alk8000_11999,-15.5720684266876,-13.468989416755178,
Alk12000+,-19.60816636031076,-16.97081911535885,
CispNone,-12.940132825532586,-11.324398100776591,
Cisp<400,-21.7730407978679,-18.53226213194455,
Cisp400+,-20.4651839205453,-17.058353480708526,
PlatNone,-12.705816199460685,-11.14311994778393,
Plat<400,-21.28664890423081,-18.33435208181008,
Plat400+,-21.537876392301065,-18.091747416440157,
ChestNone,-9.971448260957395,-9.033237689214104,
Chest<10,-14.935342747783942,-12.060112334308684,
Chest10_19,-18.532265187412456,-15.562022921352877,
Chest20_29,-17.994736573665165,-15.929823005515878,
Chest30+,-23.43377641189535,-21.84837208153317,
HeartNone,-10.000350102394968,-9.05274616471128,
Heart<5,-14.898918356492018,-12.058956465830363,
Heart5_14,-18.065443762512622,-15.103320334776782,
Heart15_34,-21.62212709582257,-19.089707688764186,
Heart35+,-23.53282156559333,-23.24921511471709,
