Group,LE,QALEcond,LEcond,HealthyLY,HealthyLYCond,
all,-17.39078624132943,-12.909135564417653,-17.390786241329117,-19.299725567864677,-19.29972556786398,
Male,-17.97729007695576,-13.515103537227446,-17.97729007695588,-19.96707393601121,-19.967073936010934,
Female,-16.735941831119483,-12.214835209881358,-16.73594183111949,-19.053537943304192,-19.05353794330351,
1970s,-20.039283058922557,-14.80714942508844,-20.039283058922763,-21.077559496701717,-21.077559496701575,
1980s,-17.522473369199325,-12.98713669782967,-17.52247336919902,-19.581839643581986,-19.581839643581596,
1990s,-16.076891911176183,-12.0082732571801,-16.076891911176816,-18.458665206346332,-18.458665206346275,
Age0-4,-19.425521569453075,-14.408298139110627,-19.425521569453238,-19.964692859814306,-19.96469285981398,
Age5-9,-15.461040942002334,-11.587500160532755,-15.461040942002192,-19.11649781367258,-19.116497813672737,
Age10-14,-15.702534889427504,-11.620915380258516,-15.702534889427497,-18.65410604209729,-18.65410604209763,
Age15-20,-17.020849000105457,-12.662286867314474,-17.02084900010562,-19.172246528728778,-19.172246528728454,
brain,-25.508674535750238,-18.471417870926246,-25.508674535750018,-25.466775182221063,-25.466775182221525,
bone,-17.615869733024617,-12.919430641752626,-17.615869733024603,-21.95343470627722,-21.953434706277317,
sts,-19.761283510786562,-14.610968949670259,-19.76128351078659,-22.706661881309053,-22.706661881308996,
solid,-18.491689072368743,-13.938862258642203,-18.49168907236846,-21.21677865738947,-21.216778657389767,
leuk,-15.9070944651507,-11.82649946363631,-15.907094465150983,-16.2144017280596,-16.21440172805974,
lymp,-17.803888953615797,-13.272076739229512,-17.803888953615854,-20.49559720665203,-20.495597206652157,
ALL,-15.491439294180822,-11.49381412837809,-15.491439294180722,-15.468838141920216,-15.468838141920735,
AML,-23.652488571133922,-17.570941035896787,-23.65248857113393,-24.813389110480088,-24.813389110480074,
OtherLeukemia,-28.268805521149048,-21.113712485428035,-28.268805521149098,-28.086635056559494,-28.0866350565595,
Astrocytoma,-23.005521620488672,-16.620213122805637,-23.005521620488373,-23.358554735075344,-23.35855473507511,
Medulloblastoma,-35.93806773539459,-25.546328763950537,-35.93806773539466,-33.0349414575983,-33.03494145759836,
Other CNS,-30.615983423628386,-21.911084235153698,-30.61598342362832,-27.524331264502443,-27.524331264502468,
HL,-21.56589657852895,-15.873579515250018,-21.56589657852929,-23.060018517332402,-23.06001851733239,
NHL,-14.805846177097479,-11.144473967979962,-14.805846177097337,-18.274219454102877,-18.2742194541028,
Kidney,-17.744491607929554,-13.301547957884466,-17.74449160792951,-20.35412005477778,-20.354120054777667,
NBL,-21.54380769182459,-15.868886976872197,-21.543807691824497,-23.18201382015129,-23.182013820151383,
STS,-19.761283510786562,-14.610968949670259,-19.76128351078659,-22.706661881309053,-22.706661881308996,
Ewings,-22.436825198223687,-16.203712823486192,-22.436825198223666,-27.04825760032363,-27.048257600323687,
Osteosarcoma,-16.06493519367708,-11.893655657101249,-16.0649351936772,-19.82576376280673,-19.825763762806808,
OtherBoneTumor,-20.971394754871866,-15.131238993864326,-20.97139475487188,-24.1320602660291,-24.132060266029075,
AnthNone,-18.754960962913053,-13.81721201285869,-18.754960962913152,-19.10807834039133,-19.108078340391465,
Anth<100,-15.310782271291856,-11.454789639628267,-15.310782271291941,-18.423754731248458,-18.423754731248245,
Anth100_249,-15.402056090352055,-11.582256207575284,-15.402056090351813,-19.269663398730657,-19.2696633987308,
Anth250_399,-17.7027119341706,-13.257145632323798,-17.70271193417056,-23.151371358664356,-23.151371358664214,
Anth400+,-18.917424024946868,-14.133991322713612,-18.91742402494686,-23.839269972194174,-23.839269972194177,
AlkNone,-16.584337839883844,-12.3510361381596,-16.584337839884,-17.78435319428715,-17.78435319428725,
Alk<4000,-15.847721085172587,-11.763393878997597,-15.84772108517268,-17.888536564320326,-17.88853656432039,
Alk4000_7999,-15.845644679712727,-11.825763952658995,-15.845644679712422,-19.539440813962045,-19.539440813962145,
Alk8000_11999,-18.519648282454156,-13.673633643586548,-18.519648282453943,-21.359884813763756,-21.359884813764097,
Alk12000+,-23.319748648017203,-17.16539195797389,-23.319748648017267,-25.854227258650234,-25.854227258650255,
CispNone,-16.62511316537806,-12.372825458086943,-16.62511316537745,-18.65988632346857,-18.659886323468513,
Cisp<400,-27.099094478724496,-19.73447563852711,-27.099094478724453,-29.03213900442637,-29.03213900442629,
Cisp400+,-27.04128653814319,-19.72218899002281,-27.041286538143176,-28.89702328298842,-28.897023282988304,
PlatNone,-16.4356746424236,-12.23499466677361,-16.43567464242215,-18.473211630648805,-18.473211630648436,
Plat<400,-25.804735086444474,-18.874815440569424,-25.804735086444488,-28.206035602440977,-28.20603560244096,
Plat400+,-27.295717958546085,-19.9946187991871,-27.295717958546014,-29.22535779648669,-29.225357796486843,
