Group,LE,QALEcond,LEcond,HealthyLY,HealthyLYCond,
all,-14.704219604438473,-11.083178171597742,-14.704219604437984,-17.44534334778035,-17.445343347780117,
Male,-14.980215343659333,-11.471413867133533,-14.980215343659538,-17.490577783180804,-17.49057778318094,
Female,-14.362132049419792,-10.601972917374072,-14.362132049420099,-17.38927676699793,-17.389276766997916,
1970s,-18.41920562165465,-13.699792044915931,-18.41920562165472,-19.690583775975526,-19.69058377597562,
1980s,-15.01020832607393,-11.29876897685525,-15.010208326073903,-17.699870339013497,-17.69987033901344,
1990s,-12.747226681437926,-9.704735331840798,-12.7472266814379,-16.209284959823812,-16.20928495982376,
Age0-4,-14.92659603235054,-11.318374178799125,-14.926596032350565,-17.53200753181773,-17.532007531817726,
Age5-9,-13.731215976981012,-10.370959086346533,-13.731215976980991,-17.068989219236133,-17.068989219236162,
Age10-14,-14.46687813827083,-10.769147978259001,-14.466878138270859,-17.350692126307962,-17.35069212630798,
Age15-20,-15.927530335914378,-11.946300030597756,-15.927530335914481,-17.92026367440263,-17.92026367440264,
brain,-23.43194416557802,-17.101856309196684,-23.43194416557803,-23.607294255008135,-23.607294255008156,
bone,-15.72629132436641,-11.631373240863816,-15.72629132436641,-20.037859744921818,-20.037859744921732,
sts,-17.06683767804397,-12.779575759004167,-17.06683767804403,-20.28469154210716,-20.284691542107126,
solid,-15.31535389292866,-11.711424301404232,-15.315353892928668,-19.337947434315332,-19.337947434315385,
leuk,-10.319153312586204,-7.95889341599905,-10.319153312586154,-12.913210527865523,-12.9132105278656,
lymp,-15.432344510093252,-11.695648310378992,-15.432344510093246,-18.97511505120115,-18.9751150512011,
ALL,-9.187890821574506,-7.128845078115199,-9.187890821574571,-11.937654401921852,-11.937654401921916,
AML,-18.358222632257533,-13.831891278142766,-18.358222632257505,-19.992405704017997,-19.992405704018022,
OtherLeukemia,-23.628091062649165,-17.793978210437302,-23.628091062649176,-23.98970937901738,-23.989709379017373,
Astrocytoma,-19.79666277887251,-14.586019252363087,-19.79666277887247,-20.654060495141028,-20.65406049514108,
Medulloblastoma,-31.78876670516772,-22.85879820033069,-31.7887667051677,-30.336674372021413,-30.336674372021427,
Other CNS,-24.542706411025854,-17.908821663788803,-24.542706411025858,-24.595633407274722,-24.595633407274736,
HL,-18.438862301995588,-13.821446948339801,-18.438862301995638,-21.23070749210877,-21.23070749210873,
NHL,-10.940839614618982,-8.519869668752557,-10.940839614618945,-15.605434513198656,-15.605434513198686,
Kidney,-13.726340403829404,-10.511787473175312,-13.726340403829443,-18.076951134364105,-18.07695113436413,
NBL,-17.125162845114442,-13.077752206103812,-17.125162845114446,-20.77416078806003,-20.774160788059998,
STS,-17.06683767804397,-12.779575759004167,-17.06683767804403,-20.28469154210716,-20.284691542107126,
Ewings,-20.037217127155238,-14.535852253775515,-20.037217127155255,-24.2063997569869,-24.206399756986873,
Osteosarcoma,-13.059505947528423,-9.844226659796169,-13.059505947528448,-17.521834428549887,-17.52183442854995,
OtherBoneTumor,-16.382453559617684,-11.959005691894143,-16.38245355961769,-19.9247208217395,-19.9247208217395,
AnthNone,-16.541313074787354,-12.298286670535814,-16.541313074787634,-17.694216380198892,-17.69421638019902,
Anth<100,-9.871141249589513,-7.704789874756087,-9.871141249589513,-13.713447221099116,-13.713447221099033,
Anth100_249,-12.624293501498103,-9.692208698056824,-12.624293501498071,-16.627872391122953,-16.627872391122978,
Anth250_399,-16.21734794536963,-12.26203370077299,-16.217347945369653,-21.193931140898812,-21.193931140898766,
Anth400+,-17.208909240000093,-12.967533805717661,-17.208909240000033,-21.770927049351524,-21.7709270493515,
AlkNone,-13.916276608988463,-10.51204792644824,-13.916276608988696,-16.029315937116817,-16.02931593711679,
Alk<4000,-10.97918086695617,-8.433851209975261,-10.979180866956229,-14.391355327950569,-14.39135532795049,
Alk4000_7999,-13.809400053419964,-10.485042591226494,-13.809400053419873,-17.701058230440758,-17.7010582304407,
Alk8000_11999,-16.188592077101116,-12.119642539645435,-16.188592077101088,-19.412320481478645,-19.41232048147867,
Alk12000+,-21.758674918159667,-16.11621795511166,-21.758674918159652,-24.385032040955494,-24.385032040955505,
CispNone,-13.867956615701912,-10.487940570345492,-13.867956615701516,-16.65412549314723,-16.65412549314712,
Cisp<400,-24.839797737522503,-18.2868631787585,-24.83979773752249,-27.047354409197265,-27.047354409197272,
Cisp400+,-24.341922578853065,-17.953562449155694,-24.341922578853065,-26.55178705128784,-26.551787051287853,
