Group,LE,QALEcond,LEcond,HealthyLY,HealthyLYCond,
all,-13.123023193372518,-10.028543494759376,-13.123023193372255,-16.07694434892793,-16.07694434892735,
Male,-13.15929418226601,-10.220981031685227,-13.159294182266187,-15.917547055873818,-15.917547055874614,
Female,-12.904596210495825,-9.659286924339916,-12.904596210495932,-15.557670807990952,-15.55767080799071,
1970s,-17.30615338074307,-12.961770674170921,-17.30615338074285,-18.524652059161347,-18.5246520591612,
1980s,-13.456586789641506,-10.269972152630423,-13.456586789641463,-16.331790321600174,-16.331790321600316,
1990s,-10.711759678646217,-8.353365418121989,-10.711759678645983,-14.263655062392587,-14.263655062391848,
Age0-4,-12.34571625715013,-9.637407504813162,-12.345716257150471,-15.5100765764915,-15.510076576491691,
Age5-9,-12.039668658949324,-9.250987172579855,-12.039668658949303,-15.366587038656945,-15.366587038657073,
Age10-14,-13.36018209712158,-10.053582439062296,-13.360182097121708,-16.06320805942496,-16.063208059425108,
Age15-20,-14.939439146292564,-11.249299924155956,-14.939439146292472,-16.771797311358426,-16.77179731135878,
brain,-21.090180262046502,-15.474327861590346,-21.090180262046644,-21.08205765472131,-21.08205765472171,
bone,-13.865926770799263,-10.391952604536094,-13.86592677079949,-18.473013517244006,-18.4730135172439,
sts,-14.713926354135872,-11.139587283443298,-14.71392635413612,-18.404742480528398,-18.404742480528462,
solid,-12.718464363168493,-10.036430966421499,-12.718464363168188,-17.50303025428294,-17.503030254283182,
leuk,-7.308328672467056,-5.875883696099727,-7.308328672467034,-10.234982297525725,-10.234982297525775,
lymp,-13.372537602613193,-10.389119291649585,-13.372537602613086,-17.427929893480574,-17.42792989348019,
ALL,-5.889819067005703,-4.819967734110087,-5.889819067005767,-8.70548353680661,-8.705483536806675,
AML,-13.577594058689243,-10.390332441118716,-13.577594058689321,-15.373648920687032,-15.373648920687017,
OtherLeukemia,-18.266745238255844,-13.925506464659264,-18.26674523825598,-19.61687341957378,-19.6168734195738,
Astrocytoma,-15.536322414064081,-11.601769980198249,-15.53632241406413,-17.000143135539155,-17.000143135539133,
Medulloblastoma,-27.65641786276978,-20.195625873611636,-27.656417862769636,-27.36559235864317,-27.365592358643102,
Other CNS,-20.830111442748873,-15.359131720860859,-20.8301114427488,-21.70642337735692,-21.706423377356835,
HL,-16.571852714767807,-12.629773094304952,-16.571852714768042,-19.651122742861823,-19.651122742862086,
NHL,-7.2290141995374455,-6.030808514059665,-7.229014199537616,-12.363504483424634,-12.363504483424592,
Kidney,-10.55676833426476,-8.468515839572888,-10.55676833426498,-15.306062905283163,-15.306062905283135,
NBL,-13.334129886630521,-10.594340025348451,-13.334129886630528,-18.19808677639876,-18.19808677639864,
STS,-14.713926354135872,-11.139587283443298,-14.71392635413612,-18.404742480528398,-18.404742480528462,
Ewings,-17.251033164743802,-12.752492345799173,-17.251033164743852,-22.11334257227906,-22.113342572279052,
Osteosarcoma,-10.696767455986361,-8.221689051190303,-10.696767455986326,-15.53821295313756,-15.538212953137617,
OtherBoneTumor,-12.241062456848383,-9.123176996017271,-12.24106245684839,-15.927814243000817,-15.927814243000824,
AnthNone,-15.23366931264917,-11.441054914098487,-15.233669312648807,-16.585653861232345,-16.58565386123268,
Anth<100,-6.466661782174441,-5.2726928406546065,-6.466661782174391,-9.84049794233686,-9.840497942336754,
Anth100_249,-10.353345974741941,-8.063811535067153,-10.353345974741934,-14.423402021197191,-14.423402021197035,
Anth250_399,-14.838847832982509,-11.284385676533475,-14.838847832982644,-19.732289570556,-19.73228957055572,
Anth400+,-15.674652357905607,-11.87702294321624,-15.674652357905842,-20.052146919012984,-20.05214691901307,
AlkNone,-12.345264648457217,-9.495090958053062,-12.345264648457466,-14.700094130763475,-14.70009413076319,
Alk<4000,-8.128027474759207,-6.4884152034264275,-8.128027474759286,-11.604363578521038,-11.604363578521117,
Alk4000_7999,-11.928198528650753,-9.15621147770036,-11.928198528650796,-16.083049621551964,-16.08304962155183,
Alk8000_11999,-14.07274297905019,-10.682104827117413,-14.072742979049828,-17.55776546168923,-17.55776546168954,
Alk12000+,-20.433735032613278,-15.254884332840973,-20.433735032613434,-22.91661134342982,-22.91661134342977,
CispNone,-12.164469941155872,-9.367231876127533,-12.164469941155161,-15.12102620107408,-15.12102620107406,
Cisp<400,-22.849284666687076,-16.943786114133705,-22.84928466668717,-25.04961781610678,-25.049617816106753,
Cisp400+,-22.188733790647817,-16.46322349251169,-22.188733790647866,-24.25010852038998,-24.250108520390086,
PlatNone,-11.901377167981735,-9.1667106758498,-11.901377167981657,-14.856652831394555,-14.856652831394186,
Plat<400,-21.892048016910486,-16.24746804776134,-21.89204801691067,-24.54341788613403,-24.543417886133888,
Plat400+,-23.0318768048164,-17.112840908186357,-23.031876804816264,-25.03733682354609,-25.03733682354613,
ChestNone,-7.911314027745547,-6.449769007083603,-7.911314027745853,-11.48035854462676,-11.480358544626952,
Chest<10,-15.099570612870096,-11.384506988586253,-15.09957061287043,-17.76514248574729,-17.765142485746964,
Chest10_19,-18.873782744055255,-14.214977632034795,-18.873782744054957,-22.32796282616922,-22.32796282616919,
Chest20_29,-17.433419910887856,-13.095411562007541,-17.433419910887807,-20.38556071292345,-20.385560712923272,
Chest30+,-25.486166603394196,-18.77276399161033,-25.486166603394082,-25.70836052847337,-25.708360528473566,
HeartNone,-7.9706707252178575,-6.496409298985647,-7.970670725218326,-11.52661687743256,-11.526616877432879,
