Iteration,Score,Group,surv_0,surv_1,surv_2,surv_3,surv_4,surv_5,surv_6,surv_7,surv_8,surv_9,surv_10,surv_11,surv_12,surv_13,surv_14,surv_15,surv_16,surv_17,surv_18,surv_19,surv_20,surv_21,surv_22,surv_23,surv_24,surv_25,surv_26,surv_27,surv_28,surv_29,surv_30,surv_31,surv_32,surv_33,surv_34,surv_35,surv_36,surv_37,surv_38,surv_39,surv_40,surv_41,surv_42,surv_43,surv_44,surv_45,surv_46,surv_47,surv_48,surv_49,surv_50,surv_51,surv_52,surv_53,surv_54,surv_55,surv_56,surv_57,surv_58,surv_59,surv_60,surv_61,surv_62,surv_63,surv_64,surv_65,surv_66,surv_67,surv_68,surv_69,surv_70,surv_71,surv_72,surv_73,surv_74,surv_75,surv_76,surv_77,surv_78,surv_79,surv_80,surv_81,surv_82,surv_83,surv_84,surv_85,surv_86,surv_87,surv_88,surv_89,surv_90,surv_91,surv_92,surv_93,surv_94,surv_95,surv_96,surv_97,surv_98,surv_99,
1,-1.0,all,0.0,0.0,0.0,0.0,0.0,-0.054062309474602444,-0.17278283885070778,-0.38323612420542474,-0.6492947654951422,-0.9501170042254756,-1.2726577426218029,-1.600875313454324,-1.9423466635985989,-2.280333954173841,-2.600100076031339,-2.918524846194174,-3.25731971827652,-3.590029052591589,-3.9448783809644254,-4.320108118062535,-4.677176675746551,-5.0623436232595935,-5.4506948595354885,-5.836135644334547,-6.227042747877277,-6.639072862569051,-7.01652964667845,-7.351346147772702,-7.700443292576281,-8.01637255648231,-8.331735745983636,-8.640404946846331,-8.977208204803787,-9.319630528923213,-9.655641571906514,-9.982706332086835,-10.337782523347144,-10.701928747649433,-11.05999154224564,-11.471236151023888,-11.904331776155587,-12.340365809255843,-12.825245462552061,-13.335870185287774,-13.878232905572446,-14.580043010061061,-15.2702097411199,-15.98021805747797,-16.7446672714603,-17.536564292388974,-18.778648211120043,-19.854294062177956,-20.79630543366848,-21.784950055414342,-22.829747522188725,-24.05671414585261,-25.143944812364026,-26.35083203179829,-27.474255017271034,-28.752057847535532,-30.048731342067086,-31.28599065968612,-32.6166890870523,-33.86703082880666,-35.05738115413685,-36.296706555342475,-37.493577350234396,-38.809113378877,-39.958180868824655,-41.02005953249222,-41.92968651521098,-42.7652554715564,-43.421089249916726,-43.92198812093087,-44.215848423332815,-44.309398575475335,-44.185328867311156,-43.7688854627073,-43.334261094355035,-42.523735036961355,-41.36533535195339,-39.67422518409647,-37.753202948157025,-35.410775726820965,-32.73129907905739,-28.783991156721648,-25.54724642326005,-22.316577892826377,-19.68732773942007,-17.26055894060545,-14.900457349073571,-12.890915270811528,-11.242150420127103,-9.709444061542234,-8.392222113867327,-7.28320474194581,-6.21215404039626,-5.386251459902711,-4.630351177687519,-4.023949640561488,
1,-1.0,Male,0.0,0.0,0.0,0.0,0.0,-0.06598084380546254,-0.20078023308278148,-0.44650803452310583,-0.7854529482656147,-1.1567345495835895,-1.5678861959904253,-1.973766634175803,-2.3985250380254826,-2.786363963190965,-3.1818638860702606,-3.572040352765697,-3.943007515386327,-4.335928090844959,-4.758647278698831,-5.130090714842325,-5.520235706629563,-5.972693907604835,-6.373203568860703,-6.802206585510703,-7.26152551236035,-7.731011165208983,-8.122955718572129,-8.493563372583594,-8.840942205178749,-9.204206524859927,-9.53654701518009,-9.856541370654156,-10.214048327188294,-10.528755310523593,-10.849692278228972,-11.182379615652522,-11.536578088459137,-11.921166693069267,-12.271508998022341,-12.680504784525539,-13.143241534457772,-13.58322460978664,-14.107269465823407,-14.558727159855096,-15.11339449254308,-15.816704549704966,-16.49564255757116,-17.238445737752613,-17.989037994208473,-18.741832703226393,-19.713227251715452,-20.833464052056698,-21.75429234831519,-22.769126558808566,-23.750524435978463,-24.906509747201426,-26.017660357718228,-27.149314754640727,-28.295431851055945,-29.53587808801653,-30.695500638695826,-31.844008464267205,-33.06821919172199,-34.329421108079266,-35.40942892236925,-36.527242659549664,-37.53654799271995,-38.6321476114969,-39.630861376898636,-40.72267826028103,-41.552712055576336,-42.2851473740448,-42.72589058836387,-43.04977268907561,-43.19883367374704,-43.20249794548438,-43.11180222739483,-42.78160380130794,-42.3943608520106,-41.64824393545875,-40.70322953355705,-39.347170846086144,-37.71889577035021,-35.518029102316746,-32.88681561172419,-29.20160538085647,-26.461795583694958,-23.47266052257345,-21.213102835957415,-18.650601164179303,-16.43032957562002,-14.43418561168269,-12.816194530434414,-11.219614093427705,-10.007200160013701,-8.624645035292692,-7.437749817504617,-6.628175125411996,-5.757296790659288,-4.9689717661130155,
1,-1.0,Female,0.0,0.0,0.0,0.0,0.0,-0.062070833806131986,-0.18298808070619543,-0.3642974632081888,-0.5879415259418721,-0.8272736139837349,-1.0635576512008527,-1.3432798260422771,-1.6031730971624825,-1.86640622700439,-2.1431186590333198,-2.41572672174766,-2.698721241017381,-2.966994217019291,-3.2878574147552797,-3.6111714590981165,-3.957295872418811,-4.312680842337755,-4.677808781550837,-5.01146460317274,-5.389980822961519,-5.75294334959753,-6.082143453415128,-6.416720684340888,-6.731880158434535,-7.06318022960474,-7.362283444068993,-7.678767515588746,-8.004445356938788,-8.322614784766202,-8.643721058625658,-8.991537839158013,-9.36724430589858,-9.726435723265567,-10.133872057118111,-10.559663468720771,-11.014667327815715,-11.460048190282237,-11.982244687695442,-12.526764860113147,-13.065330812591725,-13.719287079954,-14.361032028669996,-15.036127283543522,-15.769556303332521,-16.550360705591515,-17.70488838918608,-18.62382333922352,-19.817262217751335,-20.825679519185798,-21.91862472186574,-23.117365909319716,-24.278863245576844,-25.53815085147974,-26.80360363552873,-28.11759171648923,-29.408043113476424,-31.080300782052603,-32.509387925468246,-34.05490977025183,-35.56869967204719,-37.090757315179246,-38.52121390088733,-39.6898711527478,-40.91996448016859,-42.0934911131933,-43.092734450943034,-43.938540211703135,-44.70309269564039,-45.17808380607997,-45.67056653485876,-45.80251216133466,-45.80411074097972,-45.44083568213777,-44.77364657040634,-43.939071888315944,-42.73786784005908,-40.754469616005835,-38.41618472176811,-35.400297280634916,-32.379214909123235,-27.766766416859134,-23.756052420648892,-20.457989650905553,-17.510671066147836,-14.916028813674048,-12.587764265331396,-10.912756900380522,-9.187154923291143,-7.779614910883875,-6.516319752696761,-5.497309079454692,-4.657653780288696,-3.852187930036715,-3.2265255509209316,-2.6679028128275495,
1,-1.0,1970s,0.0,0.0,0.0,0.0,0.0,-0.08093463624364006,-0.22801131340709446,-0.5241418756711624,-0.8947394811027465,-1.4121419741223633,-1.9069567698010417,-2.3854108504426392,-2.8971525261941338,-3.3969458807466424,-3.8811256738103737,-4.36567748926835,-4.814030904815709,-5.298503845495475,-5.795729755970939,-6.311693802125291,-6.893683941803161,-7.419128098011953,-7.978657134992517,-8.602591685024265,-9.296890994690045,-9.938189968036795,-10.531341582239207,-11.046661044260574,-11.572742766763767,-12.061332936223153,-12.55369411105174,-13.010645618999959,-13.470702531258539,-13.951596935416958,-14.369897510582462,-14.8752117641247,-15.378571100611268,-15.795757770341524,-16.30568952359853,-16.796541441930202,-17.39179299543595,-17.9603268135791,-18.499310052427347,-19.1484163271801,-19.791307276432406,-20.53821658304055,-21.282796571893343,-22.152470500636824,-22.939599100682827,-23.818962302822158,-24.739505348591365,-25.799853841397933,-27.237056363341395,-28.525268938718952,-29.898716576171118,-31.106898915134067,-32.62733741571577,-33.930367178430316,-35.378374243180296,-36.557759840021234,-37.91117344517847,-39.19084299940577,-40.42194682239993,-41.66936133506866,-42.53591773668045,-43.56576566154256,-44.56818493579937,-45.38422478020872,-46.37969577217938,-47.114719490734515,-47.70155972334781,-48.05654705886138,-48.317474901726975,-48.47509175300126,-48.273080560262784,-47.805602633641854,-47.16392245203238,-46.42345973715477,-45.334124399638874,-44.19303635263647,-42.585379340287595,-40.76903599630083,-38.54458319991012,-36.03180840636548,-33.40976126227404,-29.491799929268353,-25.802802394665605,-22.65912453947216,-19.93462751474239,-17.684511992735892,-15.411648727176349,-13.456173478863544,-11.737317925278774,-10.066489342077945,-8.80416681076331,-7.570777880292332,-6.551461611532851,-5.6577679861497625,-4.859237697491983,-4.168054738826423,
1,-1.0,1980s,0.0,0.0,0.0,0.0,0.0,-0.08601266293054266,-0.24894798130542029,-0.5210784699040829,-0.8645452256373147,-1.1870108484998525,-1.5657884513110503,-1.9382197624276216,-2.2820652567655344,-2.6289939100737456,-2.957630340651093,-3.321212991542083,-3.658503738385363,-4.021868071506319,-4.383616312009224,-4.802649051805574,-5.154768947067268,-5.584513162083766,-5.976233023703259,-6.37609176422022,-6.774633013213673,-7.154550511914522,-7.5616748356627,-7.903400526323182,-8.250022720513329,-8.588183756309434,-8.904645532188567,-9.240382767779138,-9.531309768160384,-9.86741535623564,-10.237912603352868,-10.596080864740856,-10.906745282870432,-11.258526491236012,-11.660710135101482,-12.096126917895305,-12.54287802976674,-12.995254927144927,-13.488457876936607,-13.978041999600947,-14.525588231234451,-15.196229005721406,-15.84990646281014,-16.58092353967075,-17.326717223530395,-18.05787221816064,-19.252287581739637,-20.166995302704535,-21.155828323840296,-22.177833643680458,-23.08514190668639,-24.171190554011233,-25.245169954531548,-26.27572247392864,-27.612187643040862,-28.915778252955427,-30.076957413629188,-31.427763129182956,-32.65912632734843,-34.17694926846769,-35.54062931853283,-36.858016641283854,-38.089317260996495,-39.294844457067285,-40.388209648126036,-41.446285383110485,-42.35162955734977,-43.150566749203065,-43.54409285277975,-44.05482139013445,-44.33902976804481,-44.1940280995274,-43.99564710176833,-43.60836287880713,-43.273847360973306,-42.56682070356878,-41.4439081125962,-39.904594470980484,-37.878653616340046,-35.51115618412879,-32.90896198320966,-28.918423649470203,-25.4349029714963,-22.21059577447107,-19.520422546217404,-17.038892891625153,-14.778490724462262,-12.871296385203339,-11.163471531995762,-9.451745258855258,-8.21848610587864,-7.225277740110912,-6.378068105990526,-5.317908488164206,-4.636942409884469,-3.9677344847211424,
1,-1.0,1990s,0.0,0.0,0.0,0.0,0.0,-0.05957499269800337,-0.1806329396368369,-0.34289307486086784,-0.5457988572519952,-0.7481366422835123,-0.9879342114605265,-1.2342573627424258,-1.503753511907405,-1.7668523817205966,-2.0387767046245244,-2.287508664978489,-2.5567584822328655,-2.838860806188862,-3.0956309376614115,-3.392463052512909,-3.6963336740002006,-4.0159555992504465,-4.314270704090063,-4.618696169773472,-4.891800593753615,-5.1844180936460305,-5.463107623064516,-5.73480683792657,-5.9778483652486045,-6.232123589270373,-6.4801696125618236,-6.748037747708324,-7.023354085902184,-7.279482024403322,-7.551543837247834,-7.806807404698347,-8.10115392746195,-8.410368206233443,-8.744148852111735,-9.111570011425997,-9.51982614176174,-9.897938209010505,-10.29630902874625,-10.791539272066927,-11.340702866414134,-11.918965191485611,-12.605871988410442,-13.235031554149828,-14.004304527152613,-14.776749206895758,-16.107251197069303,-17.302590359481044,-18.182014727999004,-19.1697311676605,-20.385586235174173,-21.518133072870768,-22.789950771811448,-23.990732387768546,-25.122300084527637,-26.482848740712186,-27.790369949790403,-29.249065981477422,-30.508224998723364,-31.864584316666985,-33.03629043412025,-34.37218603740747,-35.71023219306643,-37.149214092040744,-38.3301485383663,-39.615220832438496,-40.852809790870296,-41.65558196492901,-42.52762781801275,-43.073718037385646,-43.46658505083339,-43.738384023405864,-43.726600397315366,-43.267177928608746,-42.79219009196896,-42.04839040268011,-40.83949627527572,-39.108674613451385,-37.23580010990885,-34.82090857280174,-32.24307002849408,-27.935237099924805,-24.517910548769088,-21.246568419437885,-18.9475751373932,-16.56410178323684,-14.048779296216443,-12.094039652769363,-10.537441640409092,-9.081063445435728,-7.900387189963026,-6.937530216376091,-6.02552283776408,-5.368526711035968,-4.510957517631995,-3.8919634140970176,
1,-1.0,Age0-4,0.0,0.0,0.0,0.0,0.0,-0.1259461665690793,-0.40252324426485586,-0.8928053796357887,-1.512628437116362,-2.2134384497672244,-2.7895953485865306,-3.2568695932505562,-3.6421479592720516,-3.976881393335674,-4.267458287441656,-4.533390268199213,-4.800624575003965,-5.036698454531347,-5.267483134569488,-5.497025339293984,-5.713448033689701,-5.915475762001094,-6.095720410033067,-6.3047779493625455,-6.517762293094435,-6.727926238335641,-6.932558224360363,-7.149986957676731,-7.398985475463235,-7.643917856779012,-7.893332879687463,-8.159442017871967,-8.426718656157405,-8.711358247615664,-8.996710510414388,-9.31796919465988,-9.643691939681503,-9.974397081325606,-10.359033743874491,-10.737558907491234,-11.168141437134253,-11.60931140382138,-12.154011485734273,-12.67683346227922,-13.270630586389359,-14.283022563695667,-15.038264596558207,-15.938851094091419,-16.853298607587007,-17.886215892954027,-19.88161401681269,-21.24308599305249,-22.755069685985035,-24.020113237807237,-25.516328579596703,-26.940748441574158,-28.41021694674093,-29.94758177253098,-31.22086209039984,-32.848540417936725,-34.39281861699292,-35.98872150514495,-37.63801845188136,-39.0865695946047,-40.94747397818805,-42.67348356337645,-44.41426656639433,-45.95458174446309,-47.555468188541255,-48.97192790332436,-50.07454137370034,-50.75284104541334,-51.339434696141915,-51.498036256968874,-51.71665412690993,-51.54578356491094,-51.35877519609194,-50.98495030027786,-50.21843691638519,-49.15479627174466,-47.71226742546917,-45.716990281677255,-43.58815036111578,-40.51661744868015,-37.29564992917845,-32.3815476311949,-28.49169087282298,-24.88711399361419,-21.932534708193607,-19.107097080052426,-16.432588445856172,-14.026090245031046,-12.075971128534576,-10.263371495921236,-9.00700355687987,-7.762193825333445,-6.738857575917888,-5.962288402479345,-5.053156908037024,-4.367777545050733,
1,-1.0,Age5-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4548313384846523,-1.0602652782942386,-1.8170434841122471,-2.6286319000544154,-3.5246710003758324,-4.169583469648487,-4.73912520505084,-5.213471343115316,-5.674096233500606,-6.062849247120184,-6.433342001661117,-6.761085746133588,-7.075003551624135,-7.377016636841034,-7.658057615477702,-7.955214676215235,-8.186455329405348,-8.46779666729303,-8.742340326368335,-9.012946233343413,-9.254822417617675,-9.532575965801513,-9.784078416070216,-10.120718978047222,-10.414671847642126,-10.76943046145729,-11.08176920246089,-11.39491452143318,-11.754930966422023,-12.104166832478228,-12.541420124681366,-12.94506809116912,-13.350391341035333,-13.81436731939651,-14.242079527363273,-14.750760008635453,-15.278305026226079,-15.874379147850362,-16.49227558275099,-17.155252902126875,-17.82860554310585,-18.461852110339578,-19.122718783475293,-19.87057165599674,-20.613561613710388,-21.456812477293624,-22.412257434943484,-23.298002517158693,-24.15327386478961,-25.052357461587732,-26.0236075753471,-26.99145917075669,-28.016526788078217,-29.025470188183,-30.095813470198358,-31.146069184697716,-32.15535112682716,-33.25367514946067,-34.40097376293139,-35.46386658495315,-36.54500245527534,-37.534503187583766,-38.43196681812515,-39.15003793329531,-39.79568998490821,-40.04740956288367,-40.05920172769788,-39.931815030446785,-39.455623711465094,-38.56883181217717,-37.3646162558109,-35.51395111755086,-33.51150126981274,-31.02973272919286,-28.591665624413373,-24.96639233629723,-22.090032333844167,-19.546573630050624,-17.264659349938178,-15.127573901406606,-13.156241222008255,-11.624473794215593,-10.11285200135972,-8.832551182106178,-7.594364107226964,-6.662106703064415,-5.716748958232444,-4.9406126262206085,-4.272773324219537,-3.7493984300215573,
1,-1.0,Age10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44811759416276686,-0.96425103978072,-1.72334206660976,-2.5243740018775753,-3.53795605844644,-4.327495908847695,-4.999228821825071,-5.607888511991604,-6.1224097759120895,-6.581272661802359,-7.013551483223395,-7.402817197154391,-7.812188753303317,-8.212551660764873,-8.57435908587091,-8.957940088484975,-9.289943143709024,-9.648139401652244,-9.981438650855992,-10.322507313317828,-10.66722478967904,-11.00197233876149,-11.356360509286688,-11.772574385219599,-12.192620872837239,-12.642430161329301,-13.110676696742274,-13.556881185625528,-14.071315428238563,-14.6065428547153,-15.161644029891946,-15.769254992353623,-16.321261125976534,-16.943617328443196,-17.59858276885761,-18.211992382985287,-18.937629618114727,-19.69849901281519,-20.358519753989,-21.185352387897865,-22.00364393395695,-22.945308282207193,-23.853529169192925,-24.794678910609846,-25.867918819840966,-27.0157986499851,-28.176031935537935,-29.34376456103402,-30.585354462242037,-31.823689639192096,-33.07045268978719,-34.44994739224567,-35.62371761491407,-36.82176444612891,-37.849527505594864,-38.744063262403735,-39.560610396032835,-40.15186183974048,-40.55653723480384,-40.70554216323097,-40.58111794179639,-40.421312319546246,-39.94879616078681,-39.44390869196195,-38.68137541106152,-37.4823005160097,-35.912358574338015,-34.00642064105651,-31.911188052327645,-29.807368466425935,-26.263884165317414,-23.31629202976142,-20.534948079873416,-18.168668979872763,-15.935267625567757,-13.932551071753291,-12.161872846025528,-10.650589136513945,-9.305222792724274,-8.130526483060454,-7.033953413362077,-6.136541309520215,-5.324273117798685,-4.592924060697446,-3.957435694679382,
1,-1.0,Age15-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.573515980642398,-1.3977088686370536,-2.327885072017139,-3.339552189432993,-4.500450882815485,-5.7160156460200255,-6.675810965600476,-7.537461027882017,-8.296293825860147,-8.912347551239506,-9.536779829231008,-10.094310574657001,-10.689816414600358,-11.188531385237141,-11.748700886769498,-12.241088087537705,-12.775278971269913,-13.269839260943627,-13.717659936196398,-14.223390278378048,-14.770159179998458,-15.296853695200653,-15.830076183268616,-16.397384610667615,-16.98098445914742,-17.69315565845487,-18.440745435084125,-19.119835448733426,-19.872953497487188,-20.664683278841807,-21.4129783730628,-22.23241636408582,-23.101423949838164,-23.95495398474806,-24.965507582840317,-25.914816481762486,-26.722131895651827,-27.687651474691208,-28.70068560333334,-29.786628819012705,-30.87974395599202,-31.932549886408168,-33.08474829757746,-34.25446624046163,-35.34371560321593,-36.38352763829593,-37.492479217566874,-38.752312804367605,-39.8048821480567,-40.87598900723259,-41.69324785748337,-42.61897285879142,-43.14726404841764,-43.49041370912111,-43.6484474040671,-43.633953403206064,-43.255861476777206,-42.735846997045385,-42.04810364452443,-41.19616843907338,-39.90537840472186,-38.25585845192272,-36.34254143593188,-33.918541198707715,-31.416904987308403,-27.882329651336555,-24.659426436681066,-21.765380483051686,-19.154412124651525,-16.899618966608713,-14.715837327234954,-12.867451286672736,-11.309234088445688,-9.80810548455303,-8.434392477790933,-7.28737670866572,-6.336462149396299,-5.603632629486242,-4.772942635404638,-4.108102232215997,
