Iteration,Score,Group,surv_0,surv_1,surv_2,surv_3,surv_4,surv_5,surv_6,surv_7,surv_8,surv_9,surv_10,surv_11,surv_12,surv_13,surv_14,surv_15,surv_16,surv_17,surv_18,surv_19,surv_20,surv_21,surv_22,surv_23,surv_24,surv_25,surv_26,surv_27,surv_28,surv_29,surv_30,surv_31,surv_32,surv_33,surv_34,surv_35,surv_36,surv_37,surv_38,surv_39,surv_40,surv_41,surv_42,surv_43,surv_44,surv_45,surv_46,surv_47,surv_48,surv_49,surv_50,surv_51,surv_52,surv_53,surv_54,surv_55,surv_56,surv_57,surv_58,surv_59,surv_60,surv_61,surv_62,surv_63,surv_64,surv_65,surv_66,surv_67,surv_68,surv_69,surv_70,surv_71,surv_72,surv_73,surv_74,surv_75,surv_76,surv_77,surv_78,surv_79,surv_80,surv_81,surv_82,surv_83,surv_84,surv_85,surv_86,surv_87,surv_88,surv_89,surv_90,surv_91,surv_92,surv_93,surv_94,surv_95,surv_96,surv_97,surv_98,surv_99,
1,-1.0,all,0.0,0.0,0.0,0.0,0.0,-1.3968001417358664,-2.3699838940370768,-3.1444368444022217,-3.778621671318163,-4.33138518421066,-4.805182751661221,-5.232314970290574,-5.59687527535641,-5.949118518169115,-6.30135034722916,-6.616263674538075,-6.923596114163402,-7.212252112450429,-7.504578772942679,-7.782913196969147,-8.072990949393898,-8.354592443626785,-8.644120377658865,-8.927588292196148,-9.221107124634273,-9.534104505981404,-9.854967255835533,-10.20060317679048,-10.565316202868203,-10.912257106371499,-11.349992596670177,-11.76670155584911,-12.187111025179618,-12.607239634691169,-13.05906563243731,-13.54444151013979,-14.054394331931519,-14.572307287926662,-15.13482640645006,-15.734581518523342,-16.336330559856748,-16.993881986576312,-17.68797313895429,-18.43831269239334,-19.26451612949893,-20.158595874908926,-21.156984423752704,-22.38645600067302,-23.59146130245685,-24.707869206827525,-25.875669726551394,-27.04851023817018,-28.278263067547208,-29.529049258830938,-30.670462686638423,-31.8762155460415,-32.92424125212766,-34.03947540938996,-35.05661082263609,-36.08658487116601,-37.00541062103534,-37.859158516847785,-38.64284293602906,-39.373487404958865,-39.88602333551152,-40.22942822081533,-40.48544211931666,-40.591401236029654,-40.455412576433275,-40.198117276910956,-39.86984043462766,-39.158596541318715,-38.30475748721386,-37.33228718967118,-36.20090369868088,-34.96600266905289,-33.55757343955776,-31.920865777718372,-30.231626777591256,-28.103610884882613,-25.741741099541976,-23.343945194287116,-20.84480460981466,-18.488036124008445,-16.158810905440102,-14.093597270931111,-12.239050798418122,-10.379165428074234,-8.80513541075794,-7.667629156291075,-6.396553514867693,-5.302291235812657,-4.451604844993914,-3.7891350039898803,-3.1335093941341348,-2.485643332471806,-1.7411310817645071,-1.1328468231446247,-0.6245998962906899,-0.2902406286147145,
1,-1.0,Male,0.0,0.0,0.0,0.0,0.0,-1.736155040587164,-2.9196505373260067,-3.840547657372099,-4.602715872255047,-5.216162413167623,-5.735293130480301,-6.225866476588166,-6.659366312719527,-7.019763021673256,-7.37577339771714,-7.731501609351511,-8.06186087481393,-8.35486256554124,-8.665959826536096,-8.95991095985272,-9.22399926770315,-9.51390574821042,-9.81224126992791,-10.0901712436996,-10.38016360777722,-10.677169455810613,-10.987449125357315,-11.31113588874048,-11.667777422057739,-12.05341788131328,-12.468588778887778,-12.885842559449415,-13.28509644119039,-13.72391237496457,-14.199569003041304,-14.669869684609338,-15.21212057532027,-15.72063432649854,-16.239268038207456,-16.809824258627955,-17.451385905186854,-18.082083685622436,-18.75291307326738,-19.503117496970134,-20.339611753345636,-21.14717830940812,-22.002379881367702,-22.908294725282488,-24.258129775485116,-25.46765130818912,-26.614368160153226,-27.701469270765003,-28.86113797256359,-29.933791571284168,-31.006298741684432,-32.150727358170556,-33.0177853800299,-34.02352840141853,-34.82647384538235,-35.80333431953831,-36.63773737143385,-37.231442437744256,-37.952816014835804,-38.52448763807815,-39.08037347122097,-39.44259772477267,-39.656359024845955,-39.70318440234439,-39.779396316285,-39.570553952304536,-39.19017741727375,-38.460433616774026,-37.75024111133179,-36.87078313374423,-36.00397489078714,-35.0038918258006,-33.83097592209434,-32.35731602782486,-30.845991210772063,-28.781663764582166,-26.523163048901594,-24.10620344779746,-22.312419824530632,-20.1283042083249,-17.76882512432042,-15.605652503486402,-13.826130095725482,-12.07816369335158,-10.402349623994272,-8.936685956205771,-7.541498102054312,-6.3686261970529685,-5.393803227352393,-4.675463958810669,-3.9263615885942915,-3.2243017049430254,-2.3223263713816866,-1.4821969686229202,-0.8214172058059616,-0.37705090502069594,
1,-1.0,Female,0.0,0.0,0.0,0.0,0.0,-1.1137093832568468,-1.8995061464172238,-2.5290658136942454,-3.060471369804006,-3.5604539559143404,-3.974350175402776,-4.369164144996205,-4.689741741430609,-5.008405300533028,-5.319665667244507,-5.620851551241728,-5.895708928027943,-6.20980669921542,-6.503405254543324,-6.786959709655775,-7.080717875282559,-7.367835062914992,-7.66171397442703,-7.968887553367281,-8.289922039142397,-8.610316811567102,-8.947478240443019,-9.327745524587883,-9.711652235413055,-10.097741063190071,-10.489419243857995,-10.916175280482435,-11.37427717254937,-11.84557639547171,-12.309255709397803,-12.82790881986422,-13.35666371525484,-13.935334776779555,-14.53299055239151,-15.146133743385107,-15.786365249327915,-16.46904460778177,-17.15722850496934,-17.91804297214145,-18.717157309283138,-19.65954258312847,-20.593764569757838,-21.653065446272535,-22.86253924504956,-23.984208770840354,-25.2548646287284,-26.39081758749937,-27.789248906020184,-28.850443292380625,-30.212095619918607,-31.576465336827113,-32.81429647976111,-34.07437514889424,-35.317274568803725,-36.54855525065992,-37.51234133379473,-38.80554637332686,-39.924664498532245,-40.7657459833605,-41.52820155512512,-42.11320749003346,-42.530810980996165,-42.59968556280508,-42.316337065815176,-42.07602789796165,-41.49444197457888,-40.576750533054756,-39.655855827907075,-38.40308338427262,-36.765178672102984,-35.16007018192398,-33.697634202428816,-31.79728485977249,-29.584779431958232,-27.202006227614632,-24.60324123486259,-22.02789280214576,-19.404834648637284,-16.63893415257483,-14.132123462205957,-11.909479251575863,-9.966022741387782,-8.261007121191376,-6.854424636282859,-5.728676632957481,-4.793411731349752,-3.9217171283132073,-3.2303470550277544,-2.6148716533877305,-2.1046622992256725,-1.6805050112599775,-1.2326781006452103,-0.7827026968842841,-0.44134641314798745,-0.21119647540502628,
1,-1.0,1970s,0.0,0.0,0.0,0.0,0.0,-2.4494100980034403,-4.053773413503691,-5.275403470485969,-6.264330476171267,-7.113705455588388,-7.905505573195569,-8.571916673017498,-9.193531951986287,-9.721526274622065,-10.19346158985148,-10.709809903553747,-11.156187872801752,-11.576095565964678,-11.993758514751605,-12.404901810753643,-12.826921421996119,-13.217196055431671,-13.649608516156306,-14.079690593788953,-14.531364378222435,-14.96451656720133,-15.47242086585348,-15.958652269713426,-16.441642463698784,-16.93082230059663,-17.553592513575055,-18.13213876106468,-18.711444300059597,-19.333548728907786,-19.939649883623048,-20.596458551421037,-21.25488515758053,-21.983507712981634,-22.717865070420345,-23.41634075202421,-24.151403844230572,-24.921767164795696,-25.704030062658376,-26.538431090885013,-27.48640697135943,-28.35558991784282,-29.338803708021082,-30.28978177960552,-31.375050144852842,-32.64339571319545,-33.655973590212085,-34.91665101851066,-35.92970721005593,-37.10662190080387,-38.166727574484476,-39.1937119976073,-40.211506711309625,-41.12065631034114,-42.157793161044424,-42.90483127453222,-43.454423197710234,-44.036930661675655,-44.39283203686126,-44.556909453678564,-44.5530757941043,-44.47602624678785,-44.11846326232038,-43.60739318182635,-42.69921888513302,-41.810950314805666,-40.54337233042961,-39.40153095869335,-37.91724147927675,-36.42450080265862,-34.750555508052805,-32.98018776291381,-31.238000679861116,-29.216336476486322,-27.253131069894263,-25.333545772862717,-23.099738634193194,-20.740214910026317,-18.411434074921974,-16.433689405733205,-14.55469397694259,-12.516123076813846,-10.7308615376756,-9.072818295341982,-7.79996256971899,-6.615708150868382,-5.655943108986836,-4.81595622224181,-3.9651538439722316,-3.322930968742078,-2.7253928553082774,-2.1712317330515547,-1.5747058249441575,-1.075669517163852,-0.6572413928499801,-0.36882612986855556,
1,-1.0,1980s,0.0,0.0,0.0,0.0,0.0,-1.4990492243510403,-2.538210199491459,-3.388520856450725,-4.080134214129302,-4.6710469332073785,-5.1617951395200095,-5.622703659237004,-6.023699890819387,-6.360308999244083,-6.729879837683896,-7.048276510282292,-7.352255283488603,-7.6568949972593146,-7.982117351061845,-8.27036877831327,-8.552894513202148,-8.854288280674524,-9.141171770765553,-9.448418928726909,-9.742428620593827,-10.054763008188829,-10.358532264538653,-10.755550375458526,-11.08799451222201,-11.443748284265695,-11.89439428396659,-12.310810137877297,-12.756186030992836,-13.167517441169935,-13.682380306004461,-14.167583765234042,-14.692570064778465,-15.206280745847238,-15.739005644248195,-16.397211358966786,-17.005088936299714,-17.704031574866264,-18.38082908438878,-19.096417164694188,-19.871435160537658,-20.721594063313987,-21.684941915250818,-22.827468807950112,-24.09421026630727,-25.249822441420136,-26.193477578274695,-27.398055701097825,-28.52469237654637,-29.7444290795517,-30.955583331948517,-32.095158706160404,-33.04809787776872,-34.145745792893706,-35.046764747553034,-35.96592859047533,-37.009427191957634,-37.831188166307705,-38.70254685438096,-39.25973995437448,-40.006718713759994,-40.45532654607557,-40.67424626311662,-40.76489957114758,-40.63960361079099,-40.34424781412382,-39.87911652197365,-39.01196891510598,-38.25207477796345,-37.247559743764505,-35.92893665788841,-34.94321397998344,-33.671013166240456,-31.955984204473367,-30.282318851639445,-28.163175543519138,-25.95158223172868,-23.53352546433615,-20.984793983531,-18.74555002518897,-16.267414380588534,-14.046694831569809,-12.11338729759067,-10.315640296293159,-8.88650624753521,-7.594095015840645,-6.213228823786545,-5.136039996083892,-4.473524401966583,-3.7131513254300033,-3.0291459394106113,-2.4315363308014604,-1.831884671893725,-1.1936773870114807,-0.6597591958381189,-0.32230284847884744,
1,-1.0,1990s,0.0,0.0,0.0,0.0,0.0,-1.0488833887820448,-1.7573884639139976,-2.3295702481907767,-2.788697687627547,-3.1984757576028358,-3.529046246601439,-3.8590452760198417,-4.140980781585114,-4.414695968674607,-4.663700167362677,-4.903228820668957,-5.1267741790590975,-5.359256229256218,-5.572064068684668,-5.813364874569217,-6.02169716428719,-6.251579620475596,-6.452449295701683,-6.6893228610578745,-6.918109554134631,-7.140839956233123,-7.405176863699182,-7.65957772290497,-7.955676071499639,-8.270913845705309,-8.590610864612003,-8.915990543863245,-9.269132804916339,-9.634454855806496,-10.03419583788893,-10.460898131224383,-10.8576559044741,-11.307419890153326,-11.801512839843596,-12.312210066505259,-12.841549412700147,-13.43933340387781,-14.095068242521705,-14.874464183793833,-15.64674763075736,-16.48178315414303,-17.442638617324775,-18.58610855247227,-19.90994400609189,-21.097840954743162,-22.274422981385058,-23.642872490499514,-24.963047021071304,-26.472848894534344,-27.62185700324281,-29.0449101909672,-30.332156253948824,-31.653806695315865,-32.90512719330196,-34.26607129491063,-35.42267874470126,-36.53108728053941,-37.53305449872951,-38.49914478143469,-39.260817216398344,-39.78150558200421,-40.375706143370266,-40.858384201129574,-41.08882129580573,-40.83147833911694,-40.82141331314649,-40.15205656866216,-39.47694266293864,-38.61249608653419,-37.5875765441159,-36.44784660707784,-34.8703997734274,-33.396659120629366,-31.376986375555514,-29.312684419096442,-26.740337395201657,-24.199018234656727,-21.433711204442538,-18.81952046464948,-16.196101910937145,-14.251859788009742,-12.41959774245929,-10.658252766894453,-9.052709632356615,-7.685054462234255,-6.2953893806661245,-5.177231255120312,-4.492575639969348,-3.643818159636448,-2.942436782609488,-2.280290785937897,-1.7679255040375597,-1.1570371911813757,-0.6212503742978909,-0.275389654430509,
1,-1.0,Age0-4,0.0,0.0,0.0,0.0,0.0,-1.090878822519116,-1.8441632796728413,-2.4816676078600324,-2.976742133256238,-3.3924906742151393,-3.7338429741799786,-4.0360330981571195,-4.331102943380316,-4.5960312547435365,-4.837987790290796,-5.079991561799758,-5.280195014115492,-5.545389561936034,-5.729680034149638,-5.947664547961907,-6.1245677201330295,-6.323786579801919,-6.538008680733967,-6.750362217107252,-6.966982966628308,-7.188473034053999,-7.41224873277875,-7.652106045614104,-7.907478145014494,-8.13513562245501,-8.438634512617227,-8.727793759978297,-9.039579580933122,-9.335405085861453,-9.660802125869452,-10.006256456756873,-10.372143651037959,-10.794925405509218,-11.229272425800502,-11.683767383160543,-12.173366357102879,-12.742922119390059,-13.44002062234837,-14.221269342175859,-15.081788222272081,-16.061803537427082,-17.05016662888839,-18.479543741569415,-20.072703155437864,-21.54431180903447,-22.91214674246781,-24.367754730526784,-25.90098724819292,-27.332502000980497,-28.796943581189005,-30.08827702177254,-31.506023859788776,-33.17230221711948,-34.67094091882324,-36.203252543184874,-37.8785236065941,-39.4885899826477,-41.27015241605801,-42.98471873489079,-44.71994108362168,-46.10978120028655,-47.65387327365291,-49.06287370667551,-49.88785872920444,-50.627252773423194,-51.11654865395678,-51.32467531650255,-51.471605588947966,-51.4303765089654,-51.06970327170679,-50.572865132031325,-49.73236026454319,-48.65577637709016,-47.310703399824845,-45.27495877551712,-42.939234120441824,-39.65220859467619,-35.81067012520154,-31.727733895901746,-28.028479086439788,-24.6686697328226,-21.76599934317513,-18.981101489887067,-16.287943317909132,-14.183909121396734,-11.846574193495053,-10.15564368452777,-8.7830470937253,-7.661562502583704,-6.557523737785923,-5.790674727463019,-4.056223039187154,-2.639134659093232,-1.4550980774179698,-0.6761585827886554,
1,-1.0,Age5-9,0.0,0.0,0.0,0.0,0.0,-1.6819310573440447,-2.726680597959472,-3.522262297001234,-4.186976640466739,-4.764105280290778,-5.235643757573882,-5.653939586860105,-6.0574014111696926,-6.398674011731657,-6.768791853522288,-7.037373282896425,-7.34788890300068,-7.5814611988268865,-7.8738670717430495,-8.173053553970433,-8.455911124445748,-8.70821386587771,-8.964577212554417,-9.26788618264537,-9.514155145406662,-9.747333115098229,-10.035893509109712,-10.353807127345078,-10.625876521948086,-11.013418142568128,-11.341837091780747,-11.680448256142327,-12.05839898609635,-12.469548675802486,-12.88271681392851,-13.307413271023051,-13.77287107761181,-14.152554479499585,-14.685204111919205,-15.179423281924343,-15.734582485904909,-16.331147332454663,-16.953413137208216,-17.65086572016253,-18.309324641368633,-19.039660679878367,-19.72806268198663,-20.54411903977902,-21.273424148252943,-22.224155654162644,-23.066679930920827,-23.92437241988351,-24.88042359652505,-25.74091615684489,-26.817728684688923,-27.743356540320356,-28.732641711440593,-29.722782550482165,-30.731395325710288,-31.967862594815465,-32.918285085204104,-33.971055985305966,-34.89527234382258,-35.9350255071849,-37.03448217323156,-37.81421860917182,-38.584036203917364,-39.132126232439084,-39.651120936672555,-39.81446243569698,-39.83847475540384,-39.46544535927602,-38.647509541156964,-37.50229307537379,-35.7665923275141,-33.90974188940581,-31.364725701244506,-28.758630460331958,-25.907027687770423,-23.127223850044928,-20.405439904874243,-17.920229476693525,-15.916097342990994,-13.940384042554413,-12.191422582767176,-10.596429680448752,-9.253834521923464,-8.016580200361313,-6.995783341641156,-6.1116283453402325,-5.2944707869498435,-4.013469075274691,-2.9824212569032906,-1.9388003342465474,-1.0962970964295358,0.0,0.0,0.0,0.0,0.0,
1,-1.0,Age10-14,0.0,0.0,0.0,0.0,0.0,-1.6763916409096424,-2.8389474336233604,-3.7368017453142244,-4.482979128134545,-5.159559098229707,-5.692865779942025,-6.181205083667564,-6.6487264757784885,-7.064070947806272,-7.494171273647538,-7.858838970133533,-8.252265334682761,-8.62431285536077,-8.968866846889654,-9.293299409404,-9.65103997628431,-10.037660062986362,-10.364458412606055,-10.74034139281035,-11.073942340907308,-11.436196524917918,-11.779685925170767,-12.205793492465858,-12.656086193701796,-13.078906841359583,-13.61473902964326,-14.135323300079435,-14.673028989275664,-15.25491927019307,-15.810193778995782,-16.42259607596047,-16.990403247867036,-17.667746508850996,-18.379723407520487,-19.012466408103833,-19.756505530029116,-20.461790059449996,-21.29897044009627,-22.163649014395332,-23.048060901264364,-23.968687018795308,-25.03577809446186,-26.01249981457427,-27.114079359450756,-28.308529996808602,-29.621313734060138,-30.824533150283003,-32.14394256477688,-33.242411126719276,-34.61299358839187,-35.76346362647297,-36.90034343661982,-37.93623886987605,-38.76974747100136,-39.56957280719685,-40.16180348187648,-40.45615067702538,-40.61279354594201,-40.42752196780242,-40.30667410804989,-39.78950309663563,-39.184057671925316,-38.283573016068964,-37.150128036355895,-35.55230635055829,-33.69315197548423,-31.43133632544562,-28.919803296664558,-26.10196739980961,-23.327834778559264,-20.56474940386596,-18.064121471357495,-15.9582658716325,-14.125338973362185,-12.205321009202901,-10.759882373380847,-9.317618769387595,-8.134875492254876,-7.056332587902212,-6.165991070507062,-5.319435974591326,-3.8585305919501827,-2.6560988734508277,-1.562205735570622,-0.8072221658061215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,-1.0,Age15-20,0.0,0.0,0.0,0.0,0.0,-2.4503338243847423,-3.9952779146136805,-5.198027052162885,-6.2055684266642,-7.066254981210491,-7.8344776140537675,-8.509042884407066,-9.135990880909347,-9.719202180765393,-10.314097365583521,-10.830668559356823,-11.355236432722947,-11.853504139281284,-12.357744891709658,-12.91229920025917,-13.420797199918738,-13.882097420541015,-14.308192695580573,-14.858597515713726,-15.418077128671825,-15.998839947322764,-16.584173249591245,-17.147417544732704,-17.854250477980514,-18.54318789214676,-19.26180584400882,-19.99509968953744,-20.751729690783094,-21.549817577837317,-22.38170905937079,-23.185850638783506,-24.087165629469553,-25.0538888154677,-25.986547932702052,-26.923158459497657,-27.916272437997577,-28.810984187262648,-29.809922352148604,-30.925208148719108,-32.00426370679577,-33.039360811078495,-34.06567992303316,-35.23195068381957,-36.32740086221836,-37.34137306013951,-38.411495968555464,-39.45173889348584,-40.546531741375965,-41.37300948340195,-42.10870567767401,-42.60489384489401,-43.09405505470315,-43.18318593480244,-43.26974452140663,-42.89017384238053,-42.392676082279024,-41.58679147456644,-40.56441442165661,-39.18582543484938,-37.69768012789761,-35.71065855582189,-33.44145837457357,-30.78165816022493,-28.021185233858212,-25.130553722368532,-22.171673675237077,-19.5502107488933,-17.176211227319705,-15.096771132936134,-13.20994781304194,-11.468450099470441,-10.042612955899767,-8.721565224698741,-7.484265694892688,-6.5264872267881255,-5.327876213343762,-4.2803690283973665,-3.2368102586642307,-2.174121614113583,-1.1288650292639828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
