Iteration,Score,Group,surv_0,surv_1,surv_2,surv_3,surv_4,surv_5,surv_6,surv_7,surv_8,surv_9,surv_10,surv_11,surv_12,surv_13,surv_14,surv_15,surv_16,surv_17,surv_18,surv_19,surv_20,surv_21,surv_22,surv_23,surv_24,surv_25,surv_26,surv_27,surv_28,surv_29,surv_30,surv_31,surv_32,surv_33,surv_34,surv_35,surv_36,surv_37,surv_38,surv_39,surv_40,surv_41,surv_42,surv_43,surv_44,surv_45,surv_46,surv_47,surv_48,surv_49,surv_50,surv_51,surv_52,surv_53,surv_54,surv_55,surv_56,surv_57,surv_58,surv_59,surv_60,surv_61,surv_62,surv_63,surv_64,surv_65,surv_66,surv_67,surv_68,surv_69,surv_70,surv_71,surv_72,surv_73,surv_74,surv_75,surv_76,surv_77,surv_78,surv_79,surv_80,surv_81,surv_82,surv_83,surv_84,surv_85,surv_86,surv_87,surv_88,surv_89,surv_90,surv_91,surv_92,surv_93,surv_94,surv_95,surv_96,surv_97,surv_98,surv_99,
1,-1.0,all,0.0,0.0,0.0,0.0,0.0,-1.20991046749152,-2.1257212486547243,-2.8645789042889973,-3.479934215750184,-4.00270885085893,-4.460848276980301,-4.8694493265263885,-5.240401537033981,-5.584191649333645,-5.904358797475563,-6.210336114809174,-6.5007807400459345,-6.783528700849968,-7.060683024158463,-7.33444809171334,-7.606667451722442,-7.88124203357493,-8.159774221496289,-8.443659267285565,-8.732129963361393,-9.028809770535226,-9.344804681819715,-9.677629042979817,-10.02238467615746,-10.377958645680815,-10.770733414593789,-11.16804154213815,-11.577397146327304,-12.004609328955851,-12.447255779975048,-12.909142488040631,-13.392296876355623,-13.894394864859848,-14.417717455219508,-14.96900653174607,-15.542368485343546,-16.14891220172173,-16.786513962170236,-17.45190269275991,-18.145667958947616,-18.87300885067316,-19.632369804339696,-20.428895796824573,-21.26988307082663,-22.12809073794539,-22.994572049264793,-23.864291687853548,-24.736785862190686,-25.610093080350484,-26.477534623566108,-27.332094357763953,-28.16721542126247,-28.9786396893242,-29.753380050432273,-30.482768048301057,-31.147415699826986,-31.7522020455847,-32.28364126255231,-32.730899847790305,-33.07300534321126,-33.28876142250253,-33.369465596620365,-33.29526339136986,-33.072811063295305,-32.673058054543105,-32.1149969441824,-31.390573433576613,-30.512843705919934,-29.495209165272442,-28.344345923871348,-27.075842518426878,-25.69706792407624,-24.196790038821277,-22.578844530977932,-20.854899594877107,-18.985915623092236,-17.054655769954476,-15.089146322202971,-13.1347165005137,-11.258666274907474,-9.499850271598365,-7.977340810399702,-6.6743835648282035,-5.554042988392521,-4.611517498630897,-3.8003530055687857,-3.1161361256306757,-2.5401698463141664,-2.0485060913535973,-1.628890462965606,-1.2499658258823099,-0.9079031977578167,-0.5998342634988504,-0.3352928566696527,-0.14421207574836625,
1,-1.0,Male,0.0,0.0,0.0,0.0,0.0,-1.4761230209020666,-2.5601188134178443,-3.421104904191925,-4.124073703161307,-4.713978809990832,-5.222680089097683,-5.671374436951287,-6.072526641014203,-6.441483057357463,-6.781180659017617,-7.102555038863515,-7.404594314333995,-7.695848422043437,-7.977825673403738,-8.252819371634944,-8.525268815017697,-8.796840854353974,-9.073060786732283,-9.35205466784612,-9.632802877291024,-9.920176394030069,-10.226826087269638,-10.547631183516529,-10.878608796971887,-11.222965952921962,-11.606424359762848,-11.989360529667438,-12.382317944113554,-12.791575872870022,-13.216617789172798,-13.656985754848256,-14.117708384328264,-14.593266083868679,-15.090412192031122,-15.613992144062774,-16.1578582878433,-16.73626174729033,-17.339854737638746,-17.97079164086638,-18.626279770737902,-19.316908341992065,-20.03727258618296,-20.791879594395954,-21.593022592195734,-22.407416282327006,-23.22484802398033,-24.04483441699291,-24.861500949410242,-25.675726471677383,-26.474710299134017,-27.266455787193678,-28.035542774963922,-28.78033540764053,-29.485990016380704,-30.148680101938965,-30.742289481258368,-31.283438669646003,-31.75108077786402,-32.14422702729757,-32.439111407059066,-32.62146727720293,-32.67435925329206,-32.58729352718676,-32.36140271344701,-31.960394574304484,-31.421253030362568,-30.72103648364494,-29.872250135609246,-28.891992939730283,-27.78163543467498,-26.553235262128755,-25.22017334648014,-23.776428250361533,-22.230589248250972,-20.601389432687363,-18.852763144159205,-17.059550815946725,-15.23387748811772,-13.421161189841856,-11.673467498436917,-10.021872859707228,-8.573262903741298,-7.3058227135342495,-6.188421928515698,-5.239582158132082,-4.399070200010036,-3.6706868059534945,-3.0398523934156927,-2.4874566568507808,-2.008945311333602,-1.5611578880166996,-1.145472477814797,-0.7627639933178616,-0.4266437419389927,-0.18529966780030505,
1,-1.0,Female,0.0,0.0,0.0,0.0,0.0,-0.8799488464595613,-1.5872998902130246,-2.174783405459358,-2.6815447081395476,-3.1211133524490005,-3.516583040574197,-3.8754897780650746,-4.209010099275243,-4.521607413296411,-4.817567212761864,-5.10446038233213,-5.380533823575502,-5.652738697715356,-5.9239151618365025,-6.196157382461183,-6.468091561767619,-6.746387695376687,-7.027785847270727,-7.317733329276011,-7.615775791124634,-7.923990436299857,-8.251568435066067,-8.599290276016191,-8.961123307174386,-9.330600144695289,-9.734922235069957,-10.150043926924079,-10.579724542839443,-11.02919042701666,-11.493657114302389,-11.982215589084408,-12.493173397685156,-13.028167193156555,-13.58393466407531,-14.169568280401393,-14.779489310932906,-15.420911941451333,-16.100666443263684,-16.808757069982523,-17.54996557573852,-18.322810169748415,-19.13050625002255,-19.978989431697798,-20.869362363123823,-21.78187599998596,-22.709152624339044,-23.64051496955218,-24.58220565243265,-25.528742670992397,-26.48103527992575,-27.413451186623362,-28.330419294491282,-29.224431262276727,-30.084801119626174,-30.896858965267526,-31.649556196546314,-32.33321868595229,-32.94373230099197,-33.458061329795484,-33.85869583021747,-34.11585035977676,-34.231026829916956,-34.17276853166489,-33.954578092406656,-33.55638077609979,-32.974869491339284,-32.22044225272553,-31.306838167021343,-30.242875648553866,-29.041806891842608,-27.723596860747147,-26.288162918919987,-24.71781451855991,-23.010495390976327,-21.169117023743425,-19.150953699736686,-17.048588522975848,-14.909756847487925,-12.77967781876966,-10.74453393077758,-8.852820606088518,-7.238715161801435,-5.8917357053603165,-4.767751355071442,-3.83305220649087,-3.058262921961551,-2.428788969834891,-1.9208299198874337,-1.5044414396723316,-1.1578250971813933,-0.8642535972185657,-0.6134439630192109,-0.3978882730611706,-0.22206646745530548,-0.09328536961041652,
1,-1.0,1970s,0.0,0.0,0.0,0.0,0.0,-1.9778456054377587,-3.4627761227444966,-4.637968988318157,-5.606681407163757,-6.414868604903871,-7.123392364673192,-7.749241427689908,-8.312252023962989,-8.830882335603244,-9.311946402522423,-9.773556074212868,-10.208058776341417,-10.63470281641513,-11.045468634781397,-11.45164168773293,-11.856436028506636,-12.259192979878144,-12.666778330194624,-13.087673669001596,-13.505450198262903,-13.942370270882531,-14.398162839132288,-14.873178793295693,-15.365250433809019,-15.86901098009837,-16.414326054886345,-16.97099343480872,-17.54214527576155,-18.136423309412265,-18.740400455072724,-19.36885936998926,-20.025914238627845,-20.690870620718393,-21.38117542075888,-22.09284410208919,-22.82261376646476,-23.577997396056897,-24.347441419286643,-25.1446799775411,-25.952858887284233,-26.787526965243444,-27.655358397727223,-28.545275677181962,-29.45501659312975,-30.36404142063799,-31.251031831521747,-32.12472570148672,-32.97499799950968,-33.78753259317233,-34.5771594299529,-35.306683127447705,-35.98514190252034,-36.606344406130944,-37.16020066512708,-37.63868170083344,-38.02773165227955,-38.310528384689164,-38.49188585099717,-38.54961088806631,-38.46975254612273,-38.24285421023157,-37.848634820114555,-37.279082912061085,-36.56192468375201,-35.689705183439216,-34.65969378539226,-33.48997763684131,-32.20504390384996,-30.797041841513842,-29.309597944762512,-27.73772289288069,-26.091245520605888,-24.366146916471326,-22.590469379270278,-20.760017942752874,-18.80124517275007,-16.826008451260265,-14.864684341744418,-12.952907717033398,-11.140086296385995,-9.410737604685133,-7.908437980708858,-6.607015418557529,-5.497174287150075,-4.566720876112101,-3.7602259490037295,-3.0675006889430856,-2.489670865935972,-1.9895042121836164,-1.579945042415777,-1.2167969776457812,-0.8759653759829343,-0.5884875731728682,-0.3419085704233472,-0.16281993130324407,
1,-1.0,1980s,0.0,0.0,0.0,0.0,0.0,-1.2307479764803881,-2.184533136159089,-2.956549431035829,-3.598623019998045,-4.150722031756843,-4.627897467328896,-5.050882987683977,-5.436823724939616,-5.794829991211161,-6.126358388966467,-6.442628268624664,-6.74160683935097,-7.033554534284518,-7.3194934832223195,-7.599519826285248,-7.876298466383675,-8.155503940378432,-8.44008644541995,-8.726311608654296,-9.022153266153184,-9.321882464741162,-9.640801848036512,-9.976929970693137,-10.325323655804095,-10.687864450678916,-11.0887904586871,-11.49069672914829,-11.9015781141261,-12.331127901907863,-12.783370803579523,-13.251675855476277,-13.739686492762702,-14.24738029120338,-14.77704236988744,-15.336950131525574,-15.918050795420386,-16.528436186277045,-17.175111928631896,-17.843440634881834,-18.544365174724568,-19.276595687303434,-20.038660955302948,-20.85222677720859,-21.706398361320932,-22.57633838509851,-23.45371478611415,-24.33425534836703,-25.214392620979922,-26.101506747003715,-26.971211439180486,-27.830939114475214,-28.670996574649113,-29.480837544821522,-30.253179843297684,-30.97157433511753,-31.62968555518094,-32.22689505882766,-32.74023992004585,-33.17655776905523,-33.51804834208511,-33.721497615425896,-33.79257866218299,-33.703825401104346,-33.46970848836647,-33.0635886758867,-32.50224736870071,-31.780828418046312,-30.906095077175355,-29.892040827994375,-28.749221165261385,-27.491860001153324,-26.136816047456602,-24.654555812505357,-23.04349709821955,-21.32708369077274,-19.45082748022284,-17.506194808654072,-15.508139857181277,-13.521664715073113,-11.615931878051008,-9.818376659951728,-8.259463399166174,-6.920079954957195,-5.760380800775216,-4.788143109491355,-3.9563190612764987,-3.259959367045355,-2.6662125904398644,-2.1593503824762403,-1.7190483250530735,-1.3254403917002433,-0.9589726558737091,-0.6317447457376101,-0.3538864369034818,-0.15536537915882243,
1,-1.0,1990s,0.0,0.0,0.0,0.0,0.0,-0.8378600277834848,-1.4606858359448232,-1.9718189844497633,-2.4028593447645608,-2.7708288618462587,-3.098285583063607,-3.3951318247094786,-3.6655469955624223,-3.9173756892168687,-4.154233476098146,-4.380161113368785,-4.5972699656353075,-4.806247345055633,-5.014717972969169,-5.222290042160204,-5.429542524114989,-5.641132231296096,-5.855188622820319,-6.073749792789565,-6.296616049531691,-6.525931012829079,-6.774861993098773,-7.039221859376375,-7.312880777517485,-7.594404846544028,-7.910203752766905,-8.230095388076668,-8.563257589900562,-8.911211078320292,-9.271698683593865,-9.651430167783767,-10.050227622922733,-10.472522457908157,-10.913560101672985,-11.383880221472277,-11.878788954500344,-12.41337336745828,-12.982890206784694,-13.5848885353745,-14.220116992172054,-14.893945384085145,-15.600937417177814,-16.341107149161722,-17.14011555945638,-17.965773546764453,-18.814400267831648,-19.67398932737294,-20.550933932729027,-21.441846685283963,-22.34363751420058,-23.25221825769382,-24.156202742239284,-25.057045363495604,-25.936046210874284,-26.790199513844524,-27.587647882163154,-28.347543693579293,-29.055174031107946,-29.69143856219835,-30.229679380691234,-30.660119787979173,-30.968416047618604,-31.135051808598334,-31.150928171627392,-30.97513389161256,-30.638428118606274,-30.11818532406174,-29.426980898302514,-28.58761738132605,-27.586665803389263,-26.45030180426026,-25.177485547534012,-23.76765718868451,-22.217577333765725,-20.537251004664803,-18.715471837447748,-16.814846252603445,-14.872322622827685,-12.922658008520585,-11.040022498781573,-9.297212833758966,-7.79321370435822,-6.517443602566359,-5.422379120957081,-4.4970123505149155,-3.699505707679207,-3.0285343228071886,-2.4670502259166356,-1.990969733821341,-1.5825346397301872,-1.2075403328377132,-0.8835987169987065,-0.5806555218750812,-0.3179843569896751,-0.12704132556789302,
1,-1.0,Age0-4,0.0,0.0,0.0,0.0,0.0,-0.8395917307711475,-1.5026647672750753,-2.0470839897622275,-2.5012090315651463,-2.8867286931048706,-3.2275247013520714,-3.5293381453000086,-3.802502658982199,-4.053673549944462,-4.28762809406332,-4.510439515083448,-4.720288958180293,-4.925360296207495,-5.124974868986505,-5.322314255835858,-5.5177112911308015,-5.714616048117076,-5.914108891130469,-6.117076997110749,-6.323398086916883,-6.5306875723519155,-6.751301881833705,-6.9805888886233936,-7.21943334849345,-7.463366892816496,-7.730280584619947,-8.002020452619426,-8.283685326938395,-8.577797839309774,-8.883716132200348,-9.20676973100842,-9.547579287054093,-9.913103427137035,-10.301859004928987,-10.721709923624296,-11.163949211025969,-11.655529286222372,-12.188695215626847,-12.758242641133368,-13.360523852590255,-14.01171578909561,-14.715843132756747,-15.480102887557276,-16.318282995335345,-17.195511581098692,-18.09279120902851,-18.99992519885801,-19.927656759120293,-20.889694878619675,-21.870387514327916,-22.88914893347163,-23.920693405031383,-24.984830949825646,-26.06339233842548,-27.155764930879684,-28.239542814509544,-29.333370167025326,-30.424601601398823,-31.519046554755555,-32.60107658274374,-33.65785492747169,-34.66589943343113,-35.603960648222866,-36.4593344733763,-37.17042362081678,-37.7348865659032,-38.128887145631545,-38.32510416093571,-38.31115220756948,-38.07653836370202,-37.62646097232538,-36.927570820638735,-35.92061340704766,-34.58066291224497,-32.891930551181105,-30.856353730854245,-28.37589669673312,-25.563375560472625,-22.575338820561804,-19.568514463077396,-16.677684269425885,-14.167192241894998,-12.005921100127335,-10.135092512440972,-8.525345663272981,-7.153373358241975,-5.99030726807606,-5.011105589573693,-4.191947550530585,-3.4968623264319607,-2.9119807430019624,-2.115095127912394,-1.3974028634490716,-0.7811144286276489,-0.3359634149926929,
1,-1.0,Age5-9,0.0,0.0,0.0,0.0,0.0,-1.3188976324756065,-2.287040734870354,-3.0546546190328994,-3.6810111426898864,-4.207570490551744,-4.658496114720358,-5.0576809374048,-5.4192911785348,-5.752225459578762,-6.056564457658722,-6.346006957388026,-6.616739902383163,-6.879525816201996,-7.134117528845045,-7.384529145799172,-7.630789000885451,-7.878112242506826,-8.128459054805989,-8.385002846147168,-8.640635572098514,-8.903178880471511,-9.182252946683162,-9.473621930359847,-9.765970515960953,-10.068690267382012,-10.412199208415542,-10.758998706628839,-11.1140151689913,-11.484982519445154,-11.871140237095647,-12.272881979751581,-12.698635102028868,-13.133789663308225,-13.586890050365218,-14.06013408089714,-14.549243976245098,-15.06342396611245,-15.59836496332184,-16.150488463101535,-16.72910458787696,-17.34049272272597,-17.962284931722532,-18.615977028628826,-19.30266571462798,-20.008478691139086,-20.737146939611282,-21.49449857469502,-22.276343500300236,-23.07556030080634,-23.89236211472064,-24.703483434136814,-25.527804262846193,-26.35362370471213,-27.16872670596283,-27.97101431428275,-28.767738589385157,-29.522039776453866,-30.241707864241167,-30.884769559009822,-31.44398462747301,-31.893658585760964,-32.22171087261807,-32.39745821931405,-32.43347520768698,-32.314359308293724,-32.0259375872786,-31.53318897356595,-30.807763739791834,-29.855213180344133,-28.61053346673562,-27.10024112204135,-25.207032173591006,-23.02684887264178,-20.66297850425001,-18.21221514234508,-15.69999971249719,-13.493099651871656,-11.569997287771061,-9.892190350267834,-8.435477576184667,-7.173375698644304,-6.084602278785021,-5.145023613123225,-4.343163317402813,-3.6651274128087623,-3.086459279119936,-2.3041506496180046,-1.6458757314285488,-1.0535950975435764,-0.540783678251288,0.0,0.0,0.0,0.0,0.0,
1,-1.0,Age10-14,0.0,0.0,0.0,0.0,0.0,-1.350386714333397,-2.382391526213362,-3.221283455007918,-3.928303293704125,-4.531777514650301,-5.066095467083412,-5.542647050685292,-5.9755492337446,-6.379938278258965,-6.760120665107562,-7.126039204789148,-7.4780877075448595,-7.814171913771042,-8.145791798500412,-8.473689645995858,-8.801269687614266,-9.132313266568476,-9.462057674706593,-9.796398565603432,-10.137733076951452,-10.487542364106341,-10.86014668521611,-11.261597489539051,-11.683358079727563,-12.12128839520681,-12.605226587118015,-13.093367060292628,-13.597296950447157,-14.133472330688493,-14.69627499581431,-15.277704078499177,-15.882310765075873,-16.50936405447246,-17.153347248481428,-17.822564742651295,-18.522788320432184,-19.247307024277024,-20.006815711160503,-20.790627526271187,-21.60550510158259,-22.453272289420017,-23.341553731981396,-24.254872384417876,-25.19799228631616,-26.149034064753966,-27.125672222752637,-28.100761096744854,-29.06860172421286,-30.027311383991016,-30.971231584737453,-31.891368944364974,-32.77363807759807,-33.59393104708283,-34.323595577668264,-34.94403022708655,-35.410869729438666,-35.740251051098596,-35.91064129760424,-35.90968853983884,-35.726381514815074,-35.37146170189859,-34.786117672765876,-33.947537387195176,-32.82158170867235,-31.37003059905499,-29.65536006782231,-27.471668495292324,-25.004261141604648,-22.340546831249746,-19.66904457364153,-17.022524773225015,-14.688250599733905,-12.635306866700507,-10.821986592124386,-9.248148227579799,-7.883671048406846,-6.705771794298841,-5.691678208715452,-4.8171806571232985,-4.072976325594228,-3.4332304281315604,-2.435266058916076,-1.6203021855163682,-0.940468975634607,-0.45479087835863585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,-1.0,Age15-20,0.0,0.0,0.0,0.0,0.0,-1.9390680157384854,-3.3620546187051947,-4.496020271545978,-5.448559824135607,-6.263968502391503,-6.979942356263868,-7.629550140762269,-8.222709616057692,-8.777736890340606,-9.29914139350543,-9.798663271270426,-10.27811498720581,-10.752323219162035,-11.223286405471455,-11.68929886181264,-12.157560122284428,-12.631324276767774,-13.121308143560924,-13.621754525512097,-14.13618394090003,-14.681796918906544,-15.264311679523225,-15.879469152190318,-16.52044863792783,-17.18289564408615,-17.907131180465946,-18.637472670032647,-19.38746639145836,-20.155792383254976,-20.936226435251577,-21.748758424173268,-22.585971160303373,-23.436126590076043,-24.31242546702294,-25.22365300595499,-26.15459290399163,-27.095849962664172,-28.048892698653386,-29.026121366925064,-30.01855011921377,-31.00179167489581,-31.979760947092412,-32.95164011936612,-33.91895594527511,-34.84837520874797,-35.705802783738996,-36.512145887505326,-37.24682677319469,-37.8701895860264,-38.38941885618739,-38.74880923931006,-38.96528269128249,-39.00151746988272,-38.87855453534558,-38.56625062836724,-38.043088504197826,-37.3265471088659,-36.376653088250954,-35.18601397269228,-33.68305621244057,-31.78839150528085,-29.606339016729322,-27.142404868234383,-24.502741241382136,-21.743403801781767,-18.943680704438297,-16.43900429920697,-14.206713367920331,-12.253547005606858,-10.51901773208108,-9.009489597125071,-7.6939860453277875,-6.554243428556606,-5.576248389647444,-4.729864958347195,-3.74044740500095,-2.897495541172676,-2.1256733789287154,-1.368874818482356,-0.6782630780384766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
