Iteration,Score,Group,surv_0,surv_1,surv_2,surv_3,surv_4,surv_5,surv_6,surv_7,surv_8,surv_9,surv_10,surv_11,surv_12,surv_13,surv_14,surv_15,surv_16,surv_17,surv_18,surv_19,surv_20,surv_21,surv_22,surv_23,surv_24,surv_25,surv_26,surv_27,surv_28,surv_29,surv_30,surv_31,surv_32,surv_33,surv_34,surv_35,surv_36,surv_37,surv_38,surv_39,surv_40,surv_41,surv_42,surv_43,surv_44,surv_45,surv_46,surv_47,surv_48,surv_49,surv_50,surv_51,surv_52,surv_53,surv_54,surv_55,surv_56,surv_57,surv_58,surv_59,surv_60,surv_61,surv_62,surv_63,surv_64,surv_65,surv_66,surv_67,surv_68,surv_69,surv_70,surv_71,surv_72,surv_73,surv_74,surv_75,surv_76,surv_77,surv_78,surv_79,surv_80,surv_81,surv_82,surv_83,surv_84,surv_85,surv_86,surv_87,surv_88,surv_89,surv_90,surv_91,surv_92,surv_93,surv_94,surv_95,surv_96,surv_97,surv_98,surv_99,
1,-1.0,all,0.0,0.0,0.0,0.0,0.0,-1.046790088288077,-1.9051944596448038,-2.5995114100336423,-3.1875938406173248,-3.6744334923656368,-4.1227642247820455,-4.502736240186238,-4.856257953524008,-5.195547556021083,-5.504854975955638,-5.814945065185711,-6.0857277748462195,-6.34628484021853,-6.623085537857349,-6.877048303493069,-7.139973877294011,-7.403727795238709,-7.658742387953325,-7.9568356354748175,-8.222654092329108,-8.522068242527993,-8.853364139144063,-9.166110075144232,-9.50133330863602,-9.850593829805945,-10.219090945261229,-10.610890775096678,-11.021247864143177,-11.436372537428696,-11.874296645963753,-12.305140985215616,-12.798922263473699,-13.261025387375582,-13.768060496986422,-14.306987596270659,-14.84416456285939,-15.41170195651111,-15.992303931334718,-16.589586784540487,-17.208888768344153,-17.84496367311226,-18.4976488423613,-19.1740589375662,-19.866103522156564,-20.57245599073235,-21.25241556854381,-21.93420584015736,-22.580067003287382,-23.208017829487716,-23.821839016189358,-24.48284413964521,-25.03861866535219,-25.611156065091734,-26.12294215851537,-26.58592055579504,-27.025009139469887,-27.442758238170114,-27.68556765922437,-27.906494517808945,-27.95406449136555,-28.024064128339134,-27.9153001470429,-27.633428154857334,-27.294653575676776,-26.81974614604774,-26.163722079286295,-25.445848689545628,-24.684951569199285,-23.78869017007799,-22.843049163727358,-21.829536583877193,-20.67443148409761,-19.45895148725122,-18.058284334234994,-16.674253201942662,-15.145869689091551,-13.590972690008552,-12.066696356617593,-10.4195061859913,-8.82700296282449,-7.295629923455877,-5.9903084182012,-4.916424754654039,-3.988458778395805,-3.179701074105041,-2.485032580051333,-1.9346458980539847,-1.5156291221013343,-1.1796883978663553,-0.8886389897948261,-0.6573884829219325,-0.4609880086368998,-0.29966144085359553,-0.1576871700922332,-0.050405222482639477,
1,-1.0,Male,0.0,0.0,0.0,0.0,0.0,-1.235338767881359,-2.2270088496800327,-3.049408023207306,-3.7050204408438105,-4.262765450736495,-4.741525443678,-5.167940556405526,-5.557773469755048,-5.896445899452317,-6.20416857904786,-6.525765752740469,-6.842936431260853,-7.091570818630089,-7.377908801168601,-7.6592132812418185,-7.922737893589556,-8.194800209643674,-8.458017612214874,-8.738481912674018,-9.001082251802046,-9.256115325177205,-9.548201252475408,-9.856092793868868,-10.14167559400056,-10.451886846119635,-10.845608419808443,-11.230685984279077,-11.593153340663719,-11.982060247577223,-12.377054616960649,-12.791253376964733,-13.223915241674078,-13.652153821585884,-14.132415655392933,-14.609349267819965,-15.120420008145715,-15.612840416210815,-16.16503613335314,-16.747672625452196,-17.312766502091762,-17.939357870729793,-18.57392266543792,-19.227766465737545,-19.918868295877388,-20.55851548515865,-21.186281303798168,-21.829956570797492,-22.43970051135358,-23.046164931947807,-23.588165461176864,-24.100284963526413,-24.70911930930879,-25.168817742038456,-25.533706124878115,-25.965685482925622,-26.25268314376102,-26.476857564328007,-26.680797075863957,-26.75024138920864,-26.8053402146938,-26.722415050755778,-26.598826802299698,-26.277272986203023,-25.898224246440257,-25.420278262284633,-24.884932939702075,-24.271928994602277,-23.481862099965824,-22.695091449913214,-21.802102358225603,-20.81164330133973,-19.717071434994516,-18.58588571298039,-17.37147004138305,-16.01467818687203,-14.626784352481828,-13.210585275574951,-11.689702997368428,-10.137286037041774,-8.751907008011344,-7.2164885496716815,-5.950864212442137,-4.9490724022610815,-4.032903606192123,-3.2951557113242487,-2.6572746067145943,-2.1178518724921607,-1.6615132674463986,-1.2928906016730533,-0.9933788736537263,-0.7242517494905892,-0.5173270157811867,-0.3353951730313208,-0.17788559084229677,-0.05826277051136069,
1,-1.0,Female,0.0,0.0,0.0,0.0,0.0,-0.6718155046985146,-1.3045434349296272,-1.8365993099248072,-2.3146354295615623,-2.7059314635669267,-3.0699943167225,-3.408738823446342,-3.720658748431859,-4.007297231940385,-4.294380090736965,-4.563996409002115,-4.825746613940453,-5.071429833266066,-5.331982505449872,-5.576574433956864,-5.83252437015139,-6.089596836835867,-6.344204695366372,-6.587483295528756,-6.877785283823101,-7.165090831211899,-7.475368059695938,-7.800175767463699,-8.109871064297167,-8.477647448346218,-8.841543235247457,-9.255753214417012,-9.655305281546504,-10.095145140296694,-10.550711203498366,-11.07799186532921,-11.53180023569692,-12.070630346712619,-12.600385825270138,-13.198520199668948,-13.772512273798426,-14.414810833673968,-15.06469915079731,-15.747240971490996,-16.40746206031322,-17.11088213444323,-17.891630961509705,-18.642314633976397,-19.388260160540852,-20.085713596553035,-20.8910714386041,-21.661047724258836,-22.46922564153803,-23.19583940111623,-23.876277326227253,-24.560436097616055,-25.212384968418853,-25.78541553006808,-26.393928252324457,-26.93220806750508,-27.352348693104844,-27.883327046395898,-28.31235744317236,-28.620400992823143,-28.861275840145836,-29.02236746221807,-28.88478063927998,-28.80179513747172,-28.461276986066146,-27.95928438214687,-27.470514856767295,-26.637300967120943,-25.762031686410253,-24.783761489570917,-23.694255225153615,-22.634731320481105,-21.39659766737708,-20.062281261645467,-18.570092096030372,-17.08744923866558,-15.39280616027584,-13.734067919640008,-11.964557751451487,-10.234302677727358,-8.475978901583565,-6.720954050535379,-5.330798020492889,-4.097254194356002,-3.1409674241245047,-2.3999000661262837,-1.8108253402031156,-1.3747091950830168,-1.0205494415346934,-0.7551850688695861,-0.5534545094072572,-0.3828184676411482,-0.2610430691603461,-0.15805026327267885,-0.07568268301665401,-0.023789239329505964,
1,-1.0,1970s,0.0,0.0,0.0,0.0,0.0,-1.5795722584721403,-2.9207232022856147,-4.027007528524976,-4.891912209256233,-5.638169530933283,-6.3310217302950775,-6.9392751606140735,-7.4619330812345765,-7.96798988771819,-8.397859238978754,-8.860836698390926,-9.292506561683254,-9.715728971056592,-10.064234847471852,-10.495168787199361,-10.900324161853035,-11.288616681947417,-11.65329148161186,-12.06529098022007,-12.460960029538441,-12.901714060839126,-13.338768888263075,-13.80152908028549,-14.21653846220714,-14.748358006982727,-15.242759520012626,-15.785602948282232,-16.33711291403,-16.920413699712753,-17.47105383829276,-18.075256461172756,-18.740604862469738,-19.383112081393193,-20.09094171858213,-20.799153364242173,-21.5632262861143,-22.31547045085631,-23.035800946552712,-23.780987918938393,-24.614616387088503,-25.439908188941473,-26.19391016678466,-27.03505764226786,-27.86646958533683,-28.72196674348219,-29.48130504263132,-30.303801005667474,-31.050554997311522,-31.73760221646041,-32.39026023227697,-32.89897559492988,-33.39604141048551,-33.90775226417852,-34.33985492544242,-34.62668190924478,-34.83506372962454,-35.02086490224396,-34.99869592184075,-34.93806731336536,-34.65427038718073,-34.47858835143572,-33.9631873286407,-33.23951502137557,-32.51658835281145,-31.51768462729959,-30.584594239868,-29.42844357960768,-28.14624323808211,-26.90495799148647,-25.580671928231784,-24.10117705378233,-22.57993235863285,-21.043340952346146,-19.405768397187963,-17.728867563502835,-15.981391209368848,-14.177812749146122,-12.418532394281971,-10.648042209911361,-8.9947247191592,-7.345383471271115,-5.928364207309787,-4.825653355974338,-3.894901758736657,-3.0726458524492166,-2.3999828418328377,-1.8901890179511704,-1.4540240111168092,-1.117525726745434,-0.8481562539728126,-0.5891983675597483,-0.40914807523662117,-0.2414471899198815,-0.12068243963265975,-0.03290156429190426,
1,-1.0,1980s,0.0,0.0,0.0,0.0,0.0,-0.9887148926706146,-1.8550382134404089,-2.5573792529440595,-3.159733220361076,-3.678696753731927,-4.135032906859593,-4.525122192489661,-4.87555926011386,-5.2294471822710165,-5.566008693164193,-5.891790706759821,-6.1626374581852446,-6.437007230143152,-6.725556696592591,-7.0024492130400375,-7.256281964483932,-7.513910392925311,-7.7994811413689575,-8.075456696591246,-8.352801725569975,-8.642084915033351,-8.964225198884108,-9.292048132479621,-9.630331872646835,-9.963533511669482,-10.371573864331012,-10.729101968960634,-11.14036329078155,-11.568267746796167,-12.017439800160076,-12.470044093206283,-12.933042611673997,-13.390001591708142,-13.909317206238256,-14.429732032814968,-14.99173228516321,-15.555822279019992,-16.183004129340986,-16.776500175336267,-17.406892714720172,-18.079399683703386,-18.830907255375692,-19.590613469675247,-20.305436658739694,-20.97642127245659,-21.661411301182184,-22.40391525977229,-23.02324320314726,-23.68373457372425,-24.414534927034573,-24.99157113166831,-25.62707286288461,-26.141604950974546,-26.688826732411613,-27.162052075050127,-27.528843060526505,-27.852058992879186,-28.097543446507245,-28.34331941661717,-28.47551048876693,-28.358861434626988,-28.319401196385,-28.09833644470683,-27.726880326238586,-27.227906047414713,-26.65639659255639,-25.857011284679384,-25.100613414138188,-24.321786488041813,-23.365841008850662,-22.328715125243868,-21.176229194931707,-19.900461980391807,-18.574828953856432,-17.139280518176385,-15.657415030406428,-14.00604630870752,-12.398687671930054,-10.718335644851471,-9.079391056795043,-7.543495307893956,-6.163282236838605,-5.014090327939914,-4.032283053752464,-3.2675290574672573,-2.5823626234255044,-2.0443970056884657,-1.6034716395079691,-1.2371985738287878,-0.9532973681968234,-0.6975012204096118,-0.4789930688332118,-0.2969274141923538,-0.15709445575570108,-0.04876655357739682,
1,-1.0,1990s,0.0,0.0,0.0,0.0,0.0,-0.6488033342020003,-1.2042222903045712,-1.6901895184412297,-2.081150194540186,-2.4242236049241654,-2.7281776921972636,-3.01605438016567,-3.253930345210449,-3.489971797057109,-3.6985614247605128,-3.9333769889768746,-4.141965293302661,-4.325494190839933,-4.533311360888547,-4.744868802919484,-4.935190025725063,-5.139339348508244,-5.362350514049552,-5.549973980419139,-5.754572147858241,-5.986845607778591,-6.234850518429994,-6.462439038694399,-6.742491054531598,-7.00456934057658,-7.302838057367524,-7.600793885541151,-7.908168152664359,-8.222760550499132,-8.543599101221702,-8.906688209468186,-9.29422128765799,-9.669982976756586,-10.037544594827082,-10.471390295849147,-10.91569168231166,-11.39905980294698,-11.862960672680913,-12.370082497014309,-12.921164055070435,-13.513743791821824,-14.074741090570654,-14.629237889451645,-15.252220858748132,-15.895397619056595,-16.45908877277168,-17.104425332495197,-17.797393216381025,-18.41753462348713,-19.036334664254795,-19.627025780018997,-20.22756530656204,-20.80823198087191,-21.386792478521812,-21.94671152666497,-22.5670546061031,-23.10598569324233,-23.458525657253674,-23.79729993821914,-24.096813336448484,-24.255708989769083,-24.43682831423022,-24.27629252439103,-24.087274109299607,-23.757613855846017,-23.342358835432734,-22.79789513044122,-22.21316386490368,-21.50869896634604,-20.73902464872828,-19.853976050443926,-18.913582086883668,-17.886738919228925,-16.761817174126225,-15.451850196849602,-14.080447012068678,-12.650766352383094,-11.21572006306193,-9.684901729842338,-8.227498488508893,-6.795215281354363,-5.541888441688753,-4.607577205053616,-3.6716186033342555,-2.9536163868810306,-2.3164486505058397,-1.8395981685332028,-1.426302264938162,-1.078416362066691,-0.7991666416682188,-0.5899925329512694,-0.39965054803146305,-0.25810591946482,-0.13246633563856577,-0.03524436425412119,
1,-1.0,Age0-4,0.0,0.0,0.0,0.0,0.0,-0.6098806817686437,-1.1765921626816294,-1.6339061190244877,-2.077658853763154,-2.4375289920564143,-2.7717326610953705,-3.058449387241339,-3.3247695810045172,-3.5600275852728487,-3.7762736738908274,-3.970993861053273,-4.188924989918547,-4.379848150505552,-4.562222706958778,-4.764846643444088,-4.964302752909191,-5.136905215524877,-5.336093462151496,-5.535113588973815,-5.7331208919452905,-5.925560043930304,-6.125846030885782,-6.342266948240052,-6.568003581102744,-6.807611299841582,-7.051848748669983,-7.300269768580122,-7.581343067752002,-7.868881896033216,-8.156567776331201,-8.443261565162345,-8.773380483052065,-9.133594615093912,-9.515152645534215,-9.867594109453535,-10.225759504740182,-10.638113536674837,-11.08810565404545,-11.553144294042,-12.010335055435817,-12.543311777111398,-13.096099930136873,-13.633923290028491,-14.261279050342694,-14.87708648843325,-15.457184348009122,-16.158857801347324,-16.760985539512788,-17.423039456916698,-18.053616797445088,-18.6429021984912,-19.308364481301325,-19.935375379896087,-20.68837239719464,-21.3680855618597,-22.138590842702342,-22.852924792559662,-23.618483574317317,-24.341730061749125,-25.069975314930367,-25.837995722293712,-26.41956455810177,-27.014518865071416,-27.577964708040916,-28.000488626780502,-28.4100761052094,-28.566333788787112,-28.787909074382384,-28.810036377123232,-28.630045956137096,-28.36875986987809,-27.88866020673874,-27.20266522442148,-26.3073331191732,-25.194745891962942,-23.849271603432918,-21.92507914269088,-19.802274290850505,-17.52742840836281,-15.169206410544403,-12.881026273426903,-10.689342519977927,-8.857124401173623,-7.234710048992984,-5.864499142602901,-4.744301840733749,-3.7725136109037574,-3.005681809922151,-2.42431062956873,-1.9331739736042648,-1.5314839520422092,-1.0739399238838614,-0.698105761867487,-0.3673556454256956,-0.11742644012892864,
1,-1.0,Age5-9,0.0,0.0,0.0,0.0,0.0,-1.021191780002539,-1.9001963841538867,-2.6012791627341585,-3.1630440806823117,-3.6504904569039667,-4.06868683803593,-4.441098652403042,-4.7744856657628105,-5.052760857541855,-5.344598431210258,-5.622472714520441,-5.847570113071498,-6.105762770487743,-6.3801167212072585,-6.6339705991292846,-6.866706330608139,-7.113277487476424,-7.349382824298061,-7.5735631473568645,-7.809016894859084,-8.072788929008937,-8.37158347427463,-8.629785064173134,-8.897335577030873,-9.186090016435713,-9.489350928810353,-9.824161159525616,-10.15419379481358,-10.498476376235033,-10.89571283825508,-11.252304530803258,-11.646987733170178,-12.057338211621854,-12.451709265865688,-12.875638580623274,-13.332488951450841,-13.7996715635322,-14.253534900878094,-14.70556321325806,-15.153874525275029,-15.73637931911314,-16.27301076169421,-16.821081067913312,-17.43913800897498,-18.002092151529766,-18.595273294156286,-19.166364377298876,-19.824428193918422,-20.439136426975764,-21.01821143207681,-21.595890158164508,-22.28814498470392,-22.88805245585678,-23.4683140223541,-23.99276434039998,-24.447838569397575,-24.924380900034194,-25.200376092779592,-25.49344371127132,-25.713723270705387,-25.92216223546459,-25.956307769760066,-25.811631729986836,-25.611631059342912,-25.40281255134392,-25.06866390271763,-24.624504687252134,-24.06454328505313,-23.223504580695938,-22.267419483802577,-21.169993328704162,-19.792189316014895,-18.150164735663115,-16.335935948592187,-14.351310577787359,-12.293153970823171,-10.50978826256888,-9.051996170532481,-7.540720672601127,-6.316595674478043,-5.206769534413115,-4.243762311852165,-3.525936298002134,-2.824357698824382,-2.3029143269147387,-1.8558722283748534,-1.3466224717854587,-0.8812854080888792,-0.4960268245540933,-0.22269160501434812,0.0,0.0,0.0,0.0,0.0,
1,-1.0,Age10-14,0.0,0.0,0.0,0.0,0.0,-1.0289680789312285,-1.9748930136567822,-2.714246840735896,-3.3647893290991675,-3.913913817006474,-4.417952699372137,-4.860954426201886,-5.2616344073945385,-5.665779096736642,-6.00674066239003,-6.3537307752964125,-6.687336620242689,-6.988044897593426,-7.320444049187472,-7.629650648478815,-7.941570593556236,-8.26426572305563,-8.591181342958805,-8.912912363934254,-9.237798980372332,-9.534919202887068,-9.895044187135369,-10.2309367795161,-10.626537106894801,-11.006743964204006,-11.54042032161692,-12.000871974171602,-12.493757293151603,-13.045545534619563,-13.580553845396409,-14.190177106324015,-14.76423837148603,-15.370445704622298,-15.943302846197938,-16.630011449603458,-17.232970111157698,-17.95833544647924,-18.676935692103783,-19.444906690267814,-20.232654112348285,-20.93603600438699,-21.732585746426466,-22.533201549323564,-23.42045167936938,-24.187816513767203,-25.06532512320686,-25.92583963740585,-26.750569854869482,-27.480772561143525,-28.29471861181989,-29.10485560548434,-29.643947233955316,-30.269207674308802,-30.840493064619814,-31.13110544412997,-31.38847102283362,-31.509802099636858,-31.5815789011235,-31.421808799340333,-31.11959097532752,-30.80573067340235,-30.25377511144326,-29.49506343272014,-28.41599003649471,-27.104499932287805,-25.50936919237535,-23.51803529468867,-21.398526014593276,-18.93488343377527,-16.660522900011944,-14.267558513254944,-12.19399671140798,-10.253797890879113,-8.693751047293704,-7.319407668490334,-6.1195198110635545,-5.067789521887825,-4.197467857266383,-3.481926251308096,-2.8260117876039104,-2.305384275409003,-1.5723258835598597,-0.9874787483141515,-0.5399074539392877,-0.20730439151630436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,-1.0,Age15-20,0.0,0.0,0.0,0.0,0.0,-1.4377135687183369,-2.748813613430144,-3.7794719395478467,-4.637924210988757,-5.423077279962769,-6.0878797836543725,-6.692960999657771,-7.261296330332982,-7.814147454734467,-8.31455174355034,-8.782751108706535,-9.238782592090061,-9.741656500278609,-10.157654825915444,-10.605943318688688,-11.01716935473722,-11.47851728751408,-11.959181090157301,-12.416947506191136,-12.901315671974686,-13.40288456476405,-13.932885907506162,-14.54890440536849,-15.103904300088374,-15.779202424875677,-16.485606427710977,-17.163335640278774,-17.8614217727862,-18.557542815192804,-19.37264894246907,-20.079286186504277,-20.940404838732107,-21.740721922706754,-22.578160276935506,-23.512247058939323,-24.427759118731586,-25.29260048075814,-26.22046696410358,-27.12161325847893,-28.05042486155424,-29.007964578460346,-29.867522910989877,-30.747879520745897,-31.58184045663028,-32.44629756900495,-33.08773111486908,-33.85595038938594,-34.51408628975455,-35.11153574542802,-35.45792534099629,-35.799375049115135,-36.04077248541629,-36.04247571795211,-35.79435047145222,-35.37849043476717,-34.80426296596187,-34.00707473960043,-32.89185310905211,-31.811134024942685,-30.312726691188224,-28.403009075527066,-26.2867479176619,-23.954541713939076,-21.449073795054026,-18.804732211611565,-16.17487192122287,-13.809584543341785,-11.775132239616863,-9.894290332132526,-8.320063621186026,-6.903100022156636,-5.7289859630868865,-4.781217996553542,-3.9587445370290153,-3.2626268623947694,-2.509714762166838,-1.8773896016115958,-1.3058518401976738,-0.8011070059956652,-0.3444454023462692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
