Group,Outcome,prop_0,prop_1,prop_2,prop_3,prop_4,prop_5,prop_6,prop_7,prop_8,prop_9,prop_10,prop_11,prop_12,prop_13,prop_14,prop_15,prop_16,prop_17,prop_18,prop_19,prop_20,prop_21,prop_22,prop_23,prop_24,prop_25,prop_26,prop_27,prop_28,prop_29,prop_30,prop_31,prop_32,prop_33,prop_34,prop_35,prop_36,prop_37,prop_38,prop_39,prop_40,prop_41,prop_42,prop_43,prop_44,prop_45,prop_46,prop_47,prop_48,prop_49,prop_50,prop_51,prop_52,prop_53,prop_54,prop_55,prop_56,prop_57,prop_58,prop_59,prop_60,prop_61,prop_62,prop_63,prop_64,prop_65,prop_66,prop_67,prop_68,prop_69,prop_70,prop_71,prop_72,prop_73,prop_74,prop_75,prop_76,prop_77,prop_78,prop_79,prop_80,prop_81,prop_82,prop_83,prop_84,prop_85,prop_86,prop_87,prop_88,prop_89,prop_90,prop_91,prop_92,prop_93,prop_94,prop_95,prop_96,prop_97,prop_98,prop_99,
all,AnyCHC,0.0,-0.6666666666666666,-0.6571428571428571,-0.65,-0.627906976744186,-0.6,-0.574468085106383,-0.5714285714285714,-0.54,-0.5294117647058824,-0.5192307692307693,-0.4807692307692308,-0.4716981132075472,-0.46296296296296297,-0.43636363636363634,-0.41818181818181815,-0.4107142857142857,-0.40350877192982454,-0.38596491228070173,-0.3793103448275862,-0.3620689655172414,-0.3559322033898305,-0.3389830508474576,-0.35,-0.3442622950819672,-0.32786885245901637,-0.3114754098360656,-0.3225806451612903,-0.31746031746031744,-0.30158730158730157,-0.30158730158730157,-0.296875,-0.28125,-0.2923076923076923,-0.27692307692307694,-0.2878787878787879,-0.2727272727272727,-0.2835820895522388,-0.26865671641791045,-0.26865671641791045,-0.2647058823529412,-0.2647058823529412,-0.2608695652173913,-0.2608695652173913,-0.2608695652173913,-0.2571428571428571,-0.2571428571428571,-0.24285714285714285,-0.2535211267605634,-0.23943661971830985,-0.23943661971830985,-0.25,-0.2361111111111111,-0.2361111111111111,-0.2361111111111111,-0.2328767123287671,-0.2328767123287671,-0.2191780821917808,-0.2191780821917808,-0.22972972972972974,-0.21621621621621623,-0.21621621621621623,-0.20270270270270271,-0.21333333333333335,-0.21333333333333335,-0.2,-0.21052631578947367,-0.19736842105263158,-0.19736842105263158,-0.19736842105263158,-0.19480519480519481,-0.19480519480519481,-0.18181818181818182,-0.18181818181818182,-0.19230769230769232,-0.1794871794871795,-0.1794871794871795,-0.17721518987341772,-0.17721518987341772,-0.16455696202531644,-0.175,-0.1625,-0.1625,-0.16049382716049382,-0.16049382716049382,-0.14814814814814814,-0.15853658536585366,-0.14634146341463414,-0.14457831325301204,-0.14457831325301204,-0.14285714285714285,-0.13095238095238096,-0.1411764705882353,-0.12941176470588237,-0.12790697674418605,-0.12643678160919541,-0.11363636363636363,-0.11235955056179775,-0.1,-0.0967741935483871,
all,Death,0.0,-0.6296296296296297,-0.6388888888888888,-0.6190476190476191,-0.5957446808510638,-0.5882352941176471,-0.5660377358490566,-0.5454545454545454,-0.5263157894736842,-0.5084745762711864,-0.47540983606557374,-0.45161290322580644,-0.42857142857142855,-0.40625,-0.38461538461538464,-0.36363636363636365,-0.3582089552238806,-0.3382352941176471,-0.3235294117647059,-0.30434782608695654,-0.3,-0.2857142857142857,-0.28169014084507044,-0.2676056338028169,-0.2638888888888889,-0.273972602739726,-0.2602739726027397,-0.2465753424657534,-0.24324324324324326,-0.22972972972972974,-0.24,-0.22666666666666666,-0.2236842105263158,-0.2236842105263158,-0.22077922077922077,-0.2077922077922078,-0.2077922077922078,-0.20512820512820512,-0.19230769230769232,-0.19230769230769232,-0.189873417721519,-0.189873417721519,-0.17721518987341772,-0.1875,-0.175,-0.175,-0.1728395061728395,-0.1728395061728395,-0.16049382716049382,-0.16049382716049382,-0.14814814814814814,-0.14634146341463414,-0.14634146341463414,-0.13414634146341464,-0.13414634146341464,-0.13253012048192772,-0.13253012048192772,-0.13253012048192772,-0.12048192771084337,-0.13095238095238096,-0.11904761904761904,-0.11904761904761904,-0.10714285714285714,-0.10714285714285714,-0.09523809523809523,-0.10588235294117647,-0.09411764705882353,-0.09411764705882353,-0.08235294117647059,-0.08235294117647059,-0.08139534883720931,-0.08139534883720931,-0.06976744186046512,-0.06976744186046512,-0.06896551724137931,-0.06896551724137931,-0.06896551724137931,-0.05747126436781609,-0.06818181818181818,-0.056818181818181816,-0.056818181818181816,-0.056179775280898875,-0.056179775280898875,-0.056179775280898875,-0.05555555555555555,-0.05555555555555555,-0.06593406593406594,-0.054945054945054944,-0.06521739130434782,-0.06451612903225806,-0.06451612903225806,-0.06382978723404255,-0.06315789473684211,-0.0625,-0.061855670103092786,-0.061224489795918366,-0.06060606060606061,-0.04040404040404041,-0.020202020202020204,-0.020202020202020204,
Male,AnyCHC,0.0,-0.625,-0.65625,-0.6578947368421053,-0.6341463414634146,-0.6136363636363636,-0.5777777777777777,-0.574468085106383,-0.5714285714285714,-0.56,-0.5294117647058824,-0.5098039215686274,-0.5,-0.49056603773584906,-0.46296296296296297,-0.4444444444444444,-0.43636363636363634,-0.4107142857142857,-0.39285714285714285,-0.38596491228070173,-0.3684210526315789,-0.3620689655172414,-0.3559322033898305,-0.3389830508474576,-0.3389830508474576,-0.3333333333333333,-0.32786885245901637,-0.3114754098360656,-0.3064516129032258,-0.3064516129032258,-0.30158730158730157,-0.30158730158730157,-0.296875,-0.28125,-0.28125,-0.27692307692307694,-0.27692307692307694,-0.2727272727272727,-0.2727272727272727,-0.26865671641791045,-0.26865671641791045,-0.2537313432835821,-0.2647058823529412,-0.25,-0.2608695652173913,-0.2463768115942029,-0.2463768115942029,-0.24285714285714285,-0.24285714285714285,-0.24285714285714285,-0.22857142857142856,-0.23943661971830985,-0.22535211267605634,-0.22535211267605634,-0.2361111111111111,-0.2222222222222222,-0.2222222222222222,-0.20833333333333334,-0.2191780821917808,-0.2191780821917808,-0.2054794520547945,-0.2054794520547945,-0.1917808219178082,-0.20270270270270271,-0.20270270270270271,-0.1891891891891892,-0.2,-0.18666666666666668,-0.18666666666666668,-0.17333333333333334,-0.18421052631578946,-0.18421052631578946,-0.17105263157894737,-0.17105263157894737,-0.16883116883116883,-0.16883116883116883,-0.16883116883116883,-0.15584415584415584,-0.16666666666666666,-0.15384615384615385,-0.15384615384615385,-0.1518987341772152,-0.13924050632911392,-0.13924050632911392,-0.1375,-0.1375,-0.13580246913580246,-0.13580246913580246,-0.13414634146341464,-0.13414634146341464,-0.13253012048192772,-0.13253012048192772,-0.13095238095238096,-0.12941176470588237,-0.11764705882352941,-0.11627906976744186,-0.11494252873563218,-0.11363636363636363,-0.1111111111111111,-0.09782608695652174,
Male,Death,0.0,-0.5833333333333334,-0.625,-0.6052631578947368,-0.6046511627906976,-0.5957446808510638,-0.58,-0.5576923076923077,-0.5454545454545454,-0.5178571428571429,-0.5,-0.48333333333333334,-0.45901639344262296,-0.43548387096774194,-0.4126984126984127,-0.390625,-0.38461538461538464,-0.36363636363636365,-0.34328358208955223,-0.3382352941176471,-0.3333333333333333,-0.30434782608695654,-0.3,-0.29577464788732394,-0.28169014084507044,-0.2777777777777778,-0.2638888888888889,-0.2602739726027397,-0.2602739726027397,-0.25675675675675674,-0.24324324324324326,-0.24,-0.24,-0.22666666666666666,-0.2236842105263158,-0.21052631578947367,-0.22077922077922077,-0.2077922077922078,-0.2077922077922078,-0.20512820512820512,-0.19230769230769232,-0.19230769230769232,-0.189873417721519,-0.189873417721519,-0.17721518987341772,-0.175,-0.175,-0.1728395061728395,-0.1728395061728395,-0.16049382716049382,-0.14814814814814814,-0.15853658536585366,-0.14634146341463414,-0.14634146341463414,-0.13414634146341464,-0.13414634146341464,-0.13253012048192772,-0.13253012048192772,-0.12048192771084337,-0.13095238095238096,-0.11904761904761904,-0.11904761904761904,-0.11904761904761904,-0.10714285714285714,-0.11764705882352941,-0.10588235294117647,-0.10588235294117647,-0.09411764705882353,-0.08235294117647059,-0.09302325581395349,-0.08139534883720931,-0.08139534883720931,-0.06976744186046512,-0.08045977011494253,-0.06896551724137931,-0.06896551724137931,-0.06818181818181818,-0.06818181818181818,-0.056818181818181816,-0.06741573033707865,-0.056179775280898875,-0.056179775280898875,-0.06666666666666667,-0.05555555555555555,-0.06593406593406594,-0.054945054945054944,-0.06521739130434782,-0.06521739130434782,-0.06451612903225806,-0.053763440860215055,-0.06382978723404255,-0.06315789473684211,-0.0625,-0.061855670103092786,-0.061224489795918366,-0.06060606060606061,-0.04040404040404041,-0.020202020202020204,0.0,0.0,
Female,AnyCHC,0.0,-0.6875,-0.6666666666666666,-0.627906976744186,-0.6,-0.574468085106383,-0.5510204081632653,-0.54,-0.5098039215686274,-0.4807692307692308,-0.4716981132075472,-0.46296296296296297,-0.42592592592592593,-0.41818181818181815,-0.4107142857142857,-0.39285714285714285,-0.38596491228070173,-0.3793103448275862,-0.3620689655172414,-0.3559322033898305,-0.36666666666666664,-0.35,-0.3442622950819672,-0.3442622950819672,-0.3387096774193548,-0.3225806451612903,-0.3333333333333333,-0.31746031746031744,-0.30158730158730157,-0.3125,-0.296875,-0.2923076923076923,-0.2923076923076923,-0.2878787878787879,-0.2878787878787879,-0.2835820895522388,-0.2835820895522388,-0.27941176470588236,-0.27941176470588236,-0.2753623188405797,-0.2753623188405797,-0.2753623188405797,-0.2714285714285714,-0.2714285714285714,-0.2571428571428571,-0.2676056338028169,-0.2535211267605634,-0.2535211267605634,-0.2638888888888889,-0.25,-0.25,-0.2602739726027397,-0.2465753424657534,-0.2465753424657534,-0.2465753424657534,-0.24324324324324326,-0.24324324324324326,-0.22972972972972974,-0.24,-0.24,-0.22666666666666666,-0.22666666666666666,-0.2236842105263158,-0.2236842105263158,-0.2236842105263158,-0.21052631578947367,-0.22077922077922077,-0.22077922077922077,-0.2077922077922078,-0.21794871794871795,-0.20512820512820512,-0.20512820512820512,-0.20512820512820512,-0.20253164556962025,-0.20253164556962025,-0.189873417721519,-0.2,-0.2,-0.1875,-0.1875,-0.18518518518518517,-0.18518518518518517,-0.1728395061728395,-0.18292682926829268,-0.17073170731707318,-0.15853658536585366,-0.1686746987951807,-0.1566265060240964,-0.14457831325301204,-0.15476190476190477,-0.14285714285714285,-0.1411764705882353,-0.12941176470588237,-0.12790697674418605,-0.11627906976744186,-0.11494252873563218,-0.10227272727272728,-0.10112359550561797,-0.0989010989010989,-0.08602150537634409,
Female,Death,0.0,-0.65625,-0.6744186046511628,-0.6530612244897959,-0.5961538461538461,-0.5818181818181818,-0.5614035087719298,-0.5254237288135594,-0.5081967213114754,-0.45161290322580644,-0.42857142857142855,-0.40625,-0.38461538461538464,-0.36363636363636365,-0.34328358208955223,-0.3382352941176471,-0.3235294117647059,-0.30434782608695654,-0.3,-0.29577464788732394,-0.28169014084507044,-0.2777777777777778,-0.2638888888888889,-0.2602739726027397,-0.2602739726027397,-0.25675675675675674,-0.24324324324324326,-0.22972972972972974,-0.24,-0.22666666666666666,-0.2236842105263158,-0.21052631578947367,-0.22077922077922077,-0.2077922077922078,-0.2077922077922078,-0.20512820512820512,-0.19230769230769232,-0.19230769230769232,-0.189873417721519,-0.189873417721519,-0.17721518987341772,-0.17721518987341772,-0.175,-0.175,-0.1625,-0.1728395061728395,-0.16049382716049382,-0.16049382716049382,-0.14814814814814814,-0.14814814814814814,-0.14634146341463414,-0.14634146341463414,-0.13414634146341464,-0.13414634146341464,-0.13253012048192772,-0.13253012048192772,-0.13253012048192772,-0.12048192771084337,-0.12048192771084337,-0.11904761904761904,-0.11904761904761904,-0.10714285714285714,-0.10714285714285714,-0.10714285714285714,-0.09523809523809523,-0.10588235294117647,-0.09411764705882353,-0.09411764705882353,-0.08235294117647059,-0.08235294117647059,-0.08235294117647059,-0.08139534883720931,-0.08139534883720931,-0.06976744186046512,-0.06976744186046512,-0.05813953488372093,-0.06896551724137931,-0.06896551724137931,-0.05747126436781609,-0.05747126436781609,-0.06818181818181818,-0.056818181818181816,-0.056818181818181816,-0.056179775280898875,-0.056179775280898875,-0.056179775280898875,-0.05555555555555555,-0.05555555555555555,-0.054945054945054944,-0.054945054945054944,-0.06521739130434782,-0.06451612903225806,-0.053763440860215055,-0.06382978723404255,-0.06315789473684211,-0.0625,-0.061855670103092786,-0.05102040816326531,-0.04081632653061224,-0.01020408163265306,
1970s,AnyCHC,0.0,-0.6666666666666666,-0.6857142857142857,-0.7,-0.6666666666666666,-0.6363636363636364,-0.6304347826086957,-0.6041666666666666,-0.5918367346938775,-0.58,-0.56,-0.5576923076923077,-0.5471698113207547,-0.5370370370370371,-0.5185185185185185,-0.509090909090909,-0.4909090909090909,-0.48214285714285715,-0.47368421052631576,-0.45614035087719296,-0.43103448275862066,-0.41379310344827586,-0.423728813559322,-0.4166666666666667,-0.4,-0.39344262295081966,-0.3770491803278688,-0.3709677419354839,-0.3709677419354839,-0.3548387096774194,-0.3492063492063492,-0.3492063492063492,-0.34375,-0.328125,-0.3384615384615385,-0.3230769230769231,-0.3076923076923077,-0.3181818181818182,-0.30303030303030304,-0.31343283582089554,-0.29850746268656714,-0.3088235294117647,-0.29411764705882354,-0.30434782608695654,-0.2898550724637681,-0.2898550724637681,-0.2857142857142857,-0.2714285714285714,-0.2714285714285714,-0.28169014084507044,-0.2676056338028169,-0.2676056338028169,-0.2638888888888889,-0.2638888888888889,-0.25,-0.25,-0.2602739726027397,-0.2465753424657534,-0.2465753424657534,-0.2328767123287671,-0.24324324324324326,-0.22972972972972974,-0.22972972972972974,-0.24,-0.22666666666666666,-0.22666666666666666,-0.21333333333333335,-0.21333333333333335,-0.21052631578947367,-0.21052631578947367,-0.21052631578947367,-0.2077922077922078,-0.2077922077922078,-0.19480519480519481,-0.19480519480519481,-0.19230769230769232,-0.19230769230769232,-0.1794871794871795,-0.189873417721519,-0.17721518987341772,-0.17721518987341772,-0.175,-0.175,-0.1728395061728395,-0.16049382716049382,-0.16049382716049382,-0.15853658536585366,-0.14634146341463414,-0.14457831325301204,-0.14457831325301204,-0.14285714285714285,-0.13095238095238096,-0.12941176470588237,-0.12790697674418605,-0.11627906976744186,-0.11494252873563218,-0.11363636363636363,-0.10112359550561797,-0.0989010989010989,-0.08602150537634409,
1970s,Death,0.0,-0.6666666666666666,-0.7027027027027027,-0.6904761904761905,-0.6739130434782609,-0.6530612244897959,-0.6346153846153846,-0.6181818181818182,-0.6140350877192983,-0.603448275862069,-0.576271186440678,-0.5737704918032787,-0.5483870967741935,-0.5238095238095238,-0.49206349206349204,-0.484375,-0.46153846153846156,-0.4393939393939394,-0.43283582089552236,-0.4264705882352941,-0.39705882352941174,-0.391304347826087,-0.38571428571428573,-0.37142857142857144,-0.352112676056338,-0.3380281690140845,-0.3333333333333333,-0.3194444444444444,-0.3287671232876712,-0.3150684931506849,-0.3108108108108108,-0.3108108108108108,-0.30666666666666664,-0.29333333333333333,-0.28,-0.2894736842105263,-0.27631578947368424,-0.2727272727272727,-0.2727272727272727,-0.2597402597402597,-0.2564102564102564,-0.2564102564102564,-0.25316455696202533,-0.24050632911392406,-0.24050632911392406,-0.2375,-0.2375,-0.225,-0.2345679012345679,-0.2222222222222222,-0.2222222222222222,-0.20987654320987653,-0.21951219512195122,-0.21951219512195122,-0.2073170731707317,-0.2073170731707317,-0.20481927710843373,-0.20481927710843373,-0.1927710843373494,-0.1927710843373494,-0.19047619047619047,-0.19047619047619047,-0.17857142857142858,-0.17857142857142858,-0.16666666666666666,-0.16470588235294117,-0.16470588235294117,-0.15294117647058825,-0.15294117647058825,-0.1411764705882353,-0.1511627906976744,-0.13953488372093023,-0.13953488372093023,-0.12790697674418605,-0.13793103448275862,-0.12643678160919541,-0.12643678160919541,-0.11494252873563218,-0.125,-0.11363636363636363,-0.11235955056179775,-0.11235955056179775,-0.10112359550561797,-0.1111111111111111,-0.1,-0.08888888888888889,-0.0989010989010989,-0.08791208791208792,-0.08695652173913043,-0.0967741935483871,-0.08602150537634409,-0.09574468085106383,-0.09473684210526316,-0.09375,-0.09278350515463918,-0.10101010101010101,-0.09090909090909091,-0.0707070707070707,-0.050505050505050504,-0.020202020202020204,
1980s,AnyCHC,0.0,-0.6666666666666666,-0.6666666666666666,-0.6585365853658537,-0.6363636363636364,-0.6086956521739131,-0.574468085106383,-0.5714285714285714,-0.54,-0.5294117647058824,-0.5,-0.4807692307692308,-0.4716981132075472,-0.4444444444444444,-0.43636363636363634,-0.41818181818181815,-0.4107142857142857,-0.40350877192982454,-0.38596491228070173,-0.3793103448275862,-0.3728813559322034,-0.3559322033898305,-0.3389830508474576,-0.35,-0.3442622950819672,-0.32786885245901637,-0.3387096774193548,-0.3225806451612903,-0.31746031746031744,-0.30158730158730157,-0.30158730158730157,-0.296875,-0.28125,-0.2923076923076923,-0.27692307692307694,-0.2878787878787879,-0.2727272727272727,-0.2835820895522388,-0.26865671641791045,-0.26865671641791045,-0.27941176470588236,-0.2647058823529412,-0.2753623188405797,-0.2608695652173913,-0.2608695652173913,-0.2571428571428571,-0.2571428571428571,-0.24285714285714285,-0.2535211267605634,-0.2535211267605634,-0.23943661971830985,-0.23943661971830985,-0.2361111111111111,-0.2361111111111111,-0.2361111111111111,-0.2222222222222222,-0.2328767123287671,-0.2191780821917808,-0.2191780821917808,-0.22972972972972974,-0.21621621621621623,-0.21621621621621623,-0.20270270270270271,-0.21333333333333335,-0.21333333333333335,-0.2,-0.21052631578947367,-0.19736842105263158,-0.19736842105263158,-0.19736842105263158,-0.19480519480519481,-0.19480519480519481,-0.18181818181818182,-0.18181818181818182,-0.1794871794871795,-0.1794871794871795,-0.1794871794871795,-0.17721518987341772,-0.17721518987341772,-0.16455696202531644,-0.175,-0.1625,-0.1625,-0.16049382716049382,-0.14814814814814814,-0.14814814814814814,-0.14634146341463414,-0.14634146341463414,-0.14457831325301204,-0.13253012048192772,-0.14285714285714285,-0.13095238095238096,-0.12941176470588237,-0.11764705882352941,-0.11627906976744186,-0.11494252873563218,-0.11363636363636363,-0.10112359550561797,-0.0989010989010989,-0.08602150537634409,
1980s,Death,0.0,-0.6296296296296297,-0.6388888888888888,-0.6511627906976745,-0.625,-0.6078431372549019,-0.5925925925925926,-0.5535714285714286,-0.5344827586206896,-0.5,-0.47540983606557374,-0.43548387096774194,-0.4126984126984127,-0.390625,-0.38461538461538464,-0.36363636363636365,-0.34328358208955223,-0.3382352941176471,-0.3333333333333333,-0.30434782608695654,-0.3,-0.29577464788732394,-0.28169014084507044,-0.2777777777777778,-0.2638888888888889,-0.2602739726027397,-0.2602739726027397,-0.25675675675675674,-0.24324324324324326,-0.24,-0.24,-0.23684210526315788,-0.2236842105263158,-0.2236842105263158,-0.22077922077922077,-0.2077922077922078,-0.21794871794871795,-0.20512820512820512,-0.20512820512820512,-0.20253164556962025,-0.189873417721519,-0.189873417721519,-0.1875,-0.1875,-0.175,-0.175,-0.1728395061728395,-0.1728395061728395,-0.16049382716049382,-0.16049382716049382,-0.15853658536585366,-0.14634146341463414,-0.14634146341463414,-0.13414634146341464,-0.14457831325301204,-0.14457831325301204,-0.13253012048192772,-0.13253012048192772,-0.12048192771084337,-0.13095238095238096,-0.11904761904761904,-0.11904761904761904,-0.10714285714285714,-0.10714285714285714,-0.10588235294117647,-0.10588235294117647,-0.09411764705882353,-0.09411764705882353,-0.08235294117647059,-0.09302325581395349,-0.08139534883720931,-0.08139534883720931,-0.06976744186046512,-0.06976744186046512,-0.06896551724137931,-0.06896551724137931,-0.06896551724137931,-0.06818181818181818,-0.06818181818181818,-0.056818181818181816,-0.056818181818181816,-0.056179775280898875,-0.056179775280898875,-0.06666666666666667,-0.05555555555555555,-0.06593406593406594,-0.054945054945054944,-0.06521739130434782,-0.06521739130434782,-0.06451612903225806,-0.06451612903225806,-0.06382978723404255,-0.06315789473684211,-0.0625,-0.061855670103092786,-0.061224489795918366,-0.06060606060606061,-0.04040404040404041,-0.020202020202020204,-0.020202020202020204,
