Group,Outcome,prop_0,prop_1,prop_2,prop_3,prop_4,prop_5,prop_6,prop_7,prop_8,prop_9,prop_10,prop_11,prop_12,prop_13,prop_14,prop_15,prop_16,prop_17,prop_18,prop_19,prop_20,prop_21,prop_22,prop_23,prop_24,prop_25,prop_26,prop_27,prop_28,prop_29,prop_30,prop_31,prop_32,prop_33,prop_34,prop_35,prop_36,prop_37,prop_38,prop_39,prop_40,prop_41,prop_42,prop_43,prop_44,prop_45,prop_46,prop_47,prop_48,prop_49,prop_50,prop_51,prop_52,prop_53,prop_54,prop_55,prop_56,prop_57,prop_58,prop_59,prop_60,prop_61,prop_62,prop_63,prop_64,prop_65,prop_66,prop_67,prop_68,prop_69,prop_70,prop_71,prop_72,prop_73,prop_74,prop_75,prop_76,prop_77,prop_78,prop_79,prop_80,prop_81,prop_82,prop_83,prop_84,prop_85,prop_86,prop_87,prop_88,prop_89,prop_90,prop_91,prop_92,prop_93,prop_94,prop_95,prop_96,prop_97,prop_98,prop_99,
all,AnyCHC,0.0,-0.6429277042370197,-0.6585421070592062,-0.642169268151614,-0.6164269015411358,-0.5927722571214833,-0.5725225228697715,-0.5528473297404023,-0.5360776164311897,-0.516292871952842,-0.4992479964648346,-0.48031263212677877,-0.46176443031113223,-0.44459162900342347,-0.4281823552950424,-0.41287010608199226,-0.4000541760130635,-0.3878988567068815,-0.3775018676046926,-0.3673646665978221,-0.35795763520384,-0.349420474876482,-0.3419950127705217,-0.33568331507851135,-0.3287950579070028,-0.32292568112878184,-0.3168568345264353,-0.31195694025552706,-0.3066265291631872,-0.3023132481336292,-0.2975207837899587,-0.2937672638605102,-0.2889735313566718,-0.28547269308755424,-0.28197771258044113,-0.2773339620459651,-0.27544333211738753,-0.2714124824746048,-0.2681354711842776,-0.26596499786620303,-0.2620513133066884,-0.2592518160268574,-0.2578172755308355,-0.25427904201837237,-0.25168873469959685,-0.24985209490924767,-0.24671880962199197,-0.24351252638139353,-0.24135508934128072,-0.2403454257316624,-0.23597009290539034,-0.23382121345952123,-0.23263815628354073,-0.22942709769870218,-0.22605044777075017,-0.22470917260401435,-0.2223732841716877,-0.2194952495800822,-0.21682857233946187,-0.21471261878316686,-0.21356524681133998,-0.2095864603969517,-0.2068714102639061,-0.20653649027823665,-0.2031506786960011,-0.2012021488610974,-0.19882500458763694,-0.19650733435365095,-0.19517573005941483,-0.19218733459522994,-0.19061828855355226,-0.1883072777211691,-0.18639727144940377,-0.18420302726365373,-0.1822248040461648,-0.18052887602903409,-0.1779331079258293,-0.1761516147354754,-0.1738628149530577,-0.1724932310637481,-0.16894640178152845,-0.16822562676523353,-0.1651638476286314,-0.1625294263775976,-0.16127954351280482,-0.15799293615292237,-0.15581599387613634,-0.153701470613386,-0.15060285042609414,-0.14933604283911564,-0.1447307279538313,-0.1421327124012958,-0.13829257703081294,-0.13486575220304658,-0.13079066408221063,-0.12724697151952563,-0.12474221584304866,-0.12079476438043792,-0.11541496522800895,-0.10943534365590761,
all,Death,0.0,-0.6215376492919663,-0.6333938753485213,-0.6215854988586094,-0.6010612398551776,-0.5825064391910597,-0.5624988065866001,-0.541556346304582,-0.5162485144107276,-0.4884651122253327,-0.4606912650724916,-0.43513629798742215,-0.41116937335792964,-0.38972645447492904,-0.370921381194971,-0.35505857241328737,-0.3409365098484344,-0.3288972081537837,-0.31811468002928733,-0.30860078495323573,-0.29856519351761096,-0.29075219621222675,-0.2831684921406798,-0.27582764728467213,-0.26940662223955725,-0.26369521045603755,-0.2574111460899979,-0.2521272863641161,-0.24626419706026614,-0.24135782117734197,-0.23620849582459275,-0.2317948139523811,-0.2274588041466138,-0.22316775036190556,-0.21901834284729127,-0.2153473031473045,-0.2111393194003724,-0.20886986609881356,-0.20387916101442333,-0.2023129270840189,-0.19812532205968522,-0.1953371405964674,-0.19163801778945017,-0.18938850801374896,-0.185572101000265,-0.1828468513436867,-0.17956913313479805,-0.17685152397610193,-0.17293374684116014,-0.1708427846041555,-0.1668608689334083,-0.16467857911297154,-0.16128065117834756,-0.1589272293053158,-0.15586113650627817,-0.15304104185486278,-0.15030461300616044,-0.14799918725748237,-0.14509435626102277,-0.14227281729835833,-0.14043914890430212,-0.13771334622267595,-0.13497055880830142,-0.13199835484590555,-0.1283345532570948,-0.125726509687037,-0.12406204436520456,-0.12101828050917812,-0.11757357669882244,-0.11451259797839036,-0.11221643972803517,-0.10966793963776407,-0.1073997790776296,-0.10437468490202838,-0.10184677612825384,-0.09989607986082778,-0.09783093399202616,-0.09455260421803749,-0.09332934866909559,-0.09156734700122601,-0.08922737266067758,-0.08744677128183305,-0.08606999327269756,-0.08483166731026053,-0.08306783044541656,-0.08241258930660875,-0.08170491165730553,-0.08006532403288986,-0.08094480256433201,-0.07982576298163735,-0.08047209254172089,-0.08042399458169629,-0.08069901174114026,-0.08094158431594088,-0.08154054668839968,-0.08164006683793512,-0.08140661278804408,-0.07887485874152925,-0.06392828346583934,-0.03544589488403946,
Male,AnyCHC,0.0,-0.6183723667636694,-0.6413101225062942,-0.6467429542871348,-0.634545854961777,-0.6156713455477374,-0.5974756848072184,-0.5812859094214529,-0.564838700795732,-0.548772189773832,-0.5323354770250741,-0.5159544929645934,-0.49855796270465896,-0.480488836010437,-0.46270568875223866,-0.446043457480181,-0.4297393961798652,-0.4150131452475564,-0.40128459258168836,-0.3889255715202813,-0.37668948821001136,-0.36624630947185133,-0.356446735292775,-0.34791958929799577,-0.3394790221733522,-0.3320121177737108,-0.3255167772665262,-0.31857905708843187,-0.3127391052687603,-0.3070038177573776,-0.30194031819351885,-0.29663181473850864,-0.2923295351497521,-0.2872402769694809,-0.2830657190840829,-0.27878102120454634,-0.2746452616518384,-0.2709905175341225,-0.26722694379961415,-0.2640512830376051,-0.2604267137566579,-0.2574829501880567,-0.25415451550641277,-0.25127754393306634,-0.2483205794273999,-0.2450995252540532,-0.2436090309664941,-0.23969510473252273,-0.23655448457189385,-0.2353785946182627,-0.23182370472005104,-0.22947740189768048,-0.22648592313834195,-0.2242255709035798,-0.22230810955119773,-0.21863144525799805,-0.21654153670387116,-0.2143099409622227,-0.2115399402749212,-0.20940308504453728,-0.20668930189015947,-0.20463311354990604,-0.2021055477459871,-0.1997597951295897,-0.1975648430443857,-0.19515236018422877,-0.19350128291293506,-0.1906622282315081,-0.18887642491221462,-0.18704431514431533,-0.18407328718091595,-0.18299208008178086,-0.1807487288571971,-0.1781574218209065,-0.17689102894107928,-0.17461367509627848,-0.17314982559911807,-0.17083207657044275,-0.16909809245099292,-0.1679914489148137,-0.16476463822355217,-0.16443711150351456,-0.161306589535859,-0.1604198132945843,-0.15802624319158126,-0.15630578829445424,-0.15492636456125725,-0.15268877310117995,-0.15142529444789077,-0.1492399977354704,-0.14751040465750398,-0.14510887718808996,-0.1423674630525339,-0.1397876314298054,-0.13678772844998602,-0.13474144280788858,-0.13218977102885746,-0.1286918745354244,-0.12456854600226552,-0.11888657025537458,
Male,Death,0.0,-0.5948505594727371,-0.6161740303739398,-0.6177526899231333,-0.6060610553518878,-0.5904371174886843,-0.5766231715429257,-0.5606152919368642,-0.5433109970095851,-0.5229214737241308,-0.4988858477394202,-0.47237212923997224,-0.4472859982840729,-0.42379919315492054,-0.40198292024662063,-0.3821407089438333,-0.3654981215429064,-0.3508087215544577,-0.3381659625944295,-0.3275053964174024,-0.317427422929527,-0.3080573283000671,-0.2995325883178868,-0.2910203911305284,-0.2838567037633572,-0.2770994911098493,-0.2698785888083432,-0.26382795908901757,-0.25812282399195685,-0.2528486956491489,-0.24748367101618263,-0.24188866241872745,-0.23746782515031287,-0.23262865543513397,-0.22792153577036245,-0.22416793513520444,-0.21933193771102286,-0.21615988760409824,-0.21177058026835485,-0.20807620944522282,-0.20534979036952286,-0.20082061601511964,-0.19820368331036048,-0.19467102550181306,-0.19099265563819454,-0.18760624619815958,-0.1849282503403726,-0.18103790270467846,-0.17710244908050243,-0.17528054418100453,-0.17135012549388712,-0.1674351973468001,-0.16494304657827238,-0.16236696741424747,-0.1591491745275075,-0.15529712099499401,-0.15302097146219562,-0.1511221929894885,-0.1476365133977642,-0.14454255344386993,-0.14223919057691733,-0.14013808326380114,-0.13708326129093334,-0.13410464935966207,-0.13037528397366072,-0.12769304318902433,-0.12594314073120227,-0.12201929019720091,-0.11986375246485452,-0.11653166559751524,-0.11407724769273134,-0.1115409659934544,-0.10949023068146822,-0.10628104537725239,-0.10360244349106519,-0.10215327519924153,-0.09917406598060016,-0.09745402759890164,-0.09492544158816195,-0.09371947673354537,-0.09144869949597326,-0.08968192782917034,-0.08891082820302479,-0.08685624321646349,-0.08600887395536932,-0.0852733286883441,-0.08421468783189742,-0.08398631138878074,-0.08325382466155475,-0.08388017779977633,-0.08332781943385952,-0.08361168296585307,-0.08400587616588015,-0.08374950258818575,-0.08366387282458376,-0.08308956445023652,-0.08061675566722908,-0.07120878898654182,-0.05243835047296072,-0.026732758895498386,
Female,AnyCHC,0.0,-0.687074074547938,-0.6554022325549574,-0.6173612052581509,-0.5840217044081264,-0.5564042742577124,-0.5322396418502624,-0.5101773946840512,-0.4896159824650018,-0.469043593142627,-0.45000080831364486,-0.43305070541781987,-0.41733063764143263,-0.40331170918437653,-0.3912811888628261,-0.3808354559326377,-0.3714132300129404,-0.3623325224345695,-0.3542587723171092,-0.3470011034733775,-0.34024550859699787,-0.33402018920341725,-0.32906725438061857,-0.3231465145838288,-0.3183255140596232,-0.3134645632891483,-0.3091332947164044,-0.3048064486761506,-0.3011318244781475,-0.29785149470890887,-0.29371119641176197,-0.2908710011578848,-0.28755623022672355,-0.2842608533216958,-0.2817882223926473,-0.278304425528568,-0.2762754882002968,-0.2730444810442366,-0.27156658700373854,-0.2678227979434899,-0.2669719270092031,-0.26312889833548503,-0.2615444409747002,-0.2592867754130079,-0.25648651332398337,-0.25478608915030426,-0.25222311688314514,-0.2500756957307882,-0.24760628500527074,-0.245463663257367,-0.24265317540928869,-0.24051093107660645,-0.23833603729497638,-0.23541701661695705,-0.23333752889007012,-0.2309240582429257,-0.22896131419781648,-0.22606478277484543,-0.22366728759508983,-0.22158431288876557,-0.21877182218698513,-0.21691738234634542,-0.21402481354774938,-0.21232673273147074,-0.21008946324893768,-0.20728990194727015,-0.2052647416109704,-0.20330533622939362,-0.2010794702321889,-0.19846911628899672,-0.1960322350645138,-0.19463513391727139,-0.19205254899442184,-0.18960634518435185,-0.1874538353719261,-0.1847865270453877,-0.18293675363939044,-0.1796137443350519,-0.17760280255299005,-0.1751301150808624,-0.17203061692185131,-0.16932509645628596,-0.16692425533207841,-0.16408661130520286,-0.16078292923921716,-0.15846838638590996,-0.15532464002350826,-0.15151639309852616,-0.14957703883786744,-0.14466006884681504,-0.14062456454702923,-0.13730911992704112,-0.1317434589232647,-0.12914355236882238,-0.12403747217921937,-0.11976452826244963,-0.11656506120875561,-0.11191234682920004,-0.10666175370252114,-0.10166542552534698,
Female,Death,0.0,-0.66613619439851,-0.6439436612000751,-0.6135414830372482,-0.5857489347698432,-0.5582493179755654,-0.5290693936081632,-0.4977671661387411,-0.4668913543262762,-0.43812691848468616,-0.41224889875875154,-0.3891011984645965,-0.3693897889073293,-0.35230578081978225,-0.3377059005223275,-0.32551214491187547,-0.3145974982913026,-0.3043351333272939,-0.29496693410709235,-0.28691510544053067,-0.2791331931772495,-0.2724908249966532,-0.26569825455945134,-0.25986638432337367,-0.253523742574744,-0.24788237511580463,-0.24330841773086934,-0.23804458074995713,-0.23324642838584872,-0.22873621059776472,-0.22435802681622544,-0.22019497281202569,-0.21664987275830236,-0.2128252100294216,-0.20957055191844734,-0.20583202162927003,-0.2032445204650998,-0.1998210467480547,-0.19663414559069572,-0.19426952121828855,-0.19088489120805918,-0.18823951871468525,-0.1852953939676514,-0.18293173458827458,-0.1793315952839164,-0.17682679067299328,-0.1741782158922286,-0.17107675679346598,-0.16805849717958415,-0.1658294922957886,-0.16245498366431813,-0.16028414595858423,-0.15712167206268055,-0.15438497558436098,-0.15224942094484523,-0.14957179293376865,-0.1468278965649664,-0.14483459311500724,-0.14165612857935816,-0.13966282007627892,-0.13747588443851552,-0.1346040025374437,-0.13208876049391266,-0.12906766368610337,-0.12660726072974007,-0.12409176422846552,-0.12110630589585256,-0.1180240896358547,-0.11543564368868929,-0.1127170400970704,-0.11052623933294298,-0.1073453260373922,-0.10439856192677587,-0.10236991243971559,-0.10026906738637748,-0.09822739909115201,-0.09519615397810345,-0.09262733569479378,-0.09156215366076408,-0.08944118475741532,-0.08680473725978745,-0.0854080712675348,-0.08383585052884131,-0.08183587192851512,-0.08102158665304704,-0.07955941985712414,-0.07897284284981888,-0.07763958798353048,-0.0772315672602927,-0.076963129386281,-0.07659004582588477,-0.07686011453458594,-0.07668665838035277,-0.07718267048060265,-0.07800533367012058,-0.07858545719422046,-0.07862213782370998,-0.07911207849168408,-0.07601842629429223,-0.05050322417314354,
1970s,AnyCHC,0.0,-0.6449101461260137,-0.6775780099812567,-0.6753926761554262,-0.6600804474567785,-0.6391140363360803,-0.6204869256813277,-0.6024670630453803,-0.5858341909071305,-0.5707323033727272,-0.5563474460172744,-0.5440160259701678,-0.5312937283130394,-0.5180104972770057,-0.5043240692497396,-0.4908730901556628,-0.4774296343654335,-0.464538739335454,-0.4520498565132592,-0.4405787177982921,-0.42944365790171024,-0.4192465695280117,-0.41005663480235416,-0.4013768558836279,-0.39243560190474547,-0.38439704630166854,-0.37638817438284483,-0.3699532059334392,-0.3626269648529771,-0.35645361709633233,-0.3503147126226347,-0.3448953163467743,-0.33918083428329343,-0.33415982598332883,-0.3293317551022288,-0.3248796598415576,-0.3204826657181224,-0.3166752321985055,-0.312011253525956,-0.30818795288230344,-0.30435530506901187,-0.30038771419441984,-0.2964574149667214,-0.2935269599577834,-0.2892016556404626,-0.28627593240416954,-0.2832683605964094,-0.28001617769776743,-0.27610745114060475,-0.274122230884008,-0.27042086284773403,-0.2673980348535912,-0.2643905709388813,-0.26234061183074553,-0.25830503794911336,-0.25533934862289726,-0.25339409343303015,-0.2501741908955036,-0.2474082835807029,-0.24412094926130243,-0.24198241881391166,-0.2392524747494447,-0.23553628658218617,-0.23360661752746267,-0.23073056113914142,-0.2279297745364728,-0.22513607298344265,-0.2225225962752298,-0.22018793046687923,-0.2168762654888973,-0.21426688345409833,-0.21201393455534004,-0.20958147787145143,-0.20655332802884455,-0.20405840163057007,-0.20169444595488845,-0.19890567575883988,-0.19596581826323342,-0.19396750994746748,-0.19107511555291015,-0.18762856516042112,-0.18587874882317731,-0.1822222530006589,-0.1791006751940007,-0.17665400137133858,-0.17278317765188994,-0.1699824888662918,-0.16680690784819396,-0.1633411520647041,-0.16018834942146026,-0.15566680841010994,-0.15180428138192764,-0.1473231468690128,-0.14353173431361294,-0.139273952602109,-0.1354571784676822,-0.13179762698664296,-0.12677088189588168,-0.12095188419054449,-0.11393066800368172,
1970s,Death,0.0,-0.6363426588068496,-0.6663256077475312,-0.670245203262973,-0.6588100671649394,-0.6433271764066746,-0.627469711054876,-0.6104310149319548,-0.5956949842605461,-0.5822124989862969,-0.5696598891151963,-0.5543723679289111,-0.5356546849678058,-0.5154711327421538,-0.49491704232991635,-0.4745229370427943,-0.455361386794174,-0.4366907388832285,-0.4201479480870849,-0.40503896690526864,-0.3911076124261241,-0.37856322725322333,-0.36702958038083267,-0.3568320230990925,-0.3478440101964436,-0.33883425850583626,-0.3305853834575194,-0.3227842112550248,-0.31629733430613594,-0.30896558427035803,-0.3028196451931365,-0.2968179907051956,-0.29098264317309186,-0.2855823639717567,-0.28027820000929493,-0.27518928826981365,-0.27051692800798033,-0.26562005274952594,-0.26096205969469094,-0.2569447183063446,-0.25261310906947837,-0.24903700690825947,-0.2447686318400665,-0.24100432118957962,-0.2372842982439502,-0.23356950454608796,-0.2295695509561554,-0.226792951272435,-0.22277750835467203,-0.2197421393857867,-0.21580534115467687,-0.2128317450516269,-0.20862137729218197,-0.2058342228116828,-0.20221803347082892,-0.19907645419074554,-0.19528949515315075,-0.19227530783865893,-0.18897676264484925,-0.18565391557195318,-0.18236561551406208,-0.1793946062997628,-0.1761861138343074,-0.1726071603075544,-0.1690512257268453,-0.16510111538591188,-0.16189662495987378,-0.15854878281937593,-0.15573855288262695,-0.15196613901374528,-0.14821189499055468,-0.1453554135527506,-0.1427977192320389,-0.13963376147572037,-0.13590206295465565,-0.1331481760145914,-0.13061584833904358,-0.12782662957943952,-0.12477426602029855,-0.12173904835002043,-0.11958621224590131,-0.11677378199109008,-0.11416697065580202,-0.11186072232365271,-0.10984676717982529,-0.1071967593783294,-0.10563280214194949,-0.1037214923162471,-0.10248698238817201,-0.10127605942560566,-0.10017521320672529,-0.10005901428508496,-0.10030002753279865,-0.10032942556066973,-0.10028612963829632,-0.10018042701284649,-0.09991523905954189,-0.09439006146038637,-0.07741308307140488,-0.04685427066796771,
1980s,AnyCHC,0.0,-0.6539029433798482,-0.6715142538583458,-0.6545689273978752,-0.6294377526582553,-0.6052854007015094,-0.5840182665856973,-0.5664550444220207,-0.5473780707667687,-0.5294316050425937,-0.5111234135860457,-0.4927845276809743,-0.47449725498121625,-0.45668992467406533,-0.4404266117098546,-0.42543514441799435,-0.4117668681356468,-0.39886462799379335,-0.3876591057601217,-0.3772534115425029,-0.36788807676906227,-0.3590044792222516,-0.3512916572751063,-0.34377757111515006,-0.3365963780538701,-0.3300445495007911,-0.3241301324967484,-0.31853468919715844,-0.3133512215702366,-0.3083205299212274,-0.30346399257490064,-0.2991317657106595,-0.2948218117482764,-0.29042167989954143,-0.2873607318977864,-0.2828231140133695,-0.2798597312695545,-0.27609014044829483,-0.2726458771057659,-0.2700899804415063,-0.2669589598984863,-0.26346956466424876,-0.26153975279273806,-0.2581034214142576,-0.2550256379482991,-0.2532260992061376,-0.2502010378317538,-0.24769098104085932,-0.24471780704234156,-0.2430611315312725,-0.2397334329522536,-0.2367148608850348,-0.2353828395693469,-0.2325463608608752,-0.22924713003637867,-0.22708977266577798,-0.22529560161454082,-0.22237768226165452,-0.2191521953527895,-0.21746598441989218,-0.21567667013083822,-0.21235279601880286,-0.2096201185370627,-0.20876318175196462,-0.20550414940788564,-0.20285662473979832,-0.20114613589824187,-0.1985218554039615,-0.19695691373586144,-0.19416821459242536,-0.1918679164229069,-0.19042718152822133,-0.18739007084410203,-0.18609456066917776,-0.18358371860484624,-0.18137266883959938,-0.1794947337999549,-0.17703992700532753,-0.1754625193840382,-0.1729282157969397,-0.17013224902929566,-0.16858343548344046,-0.16565915920551663,-0.1632225212876254,-0.16116203136847296,-0.1585753106373095,-0.15569179505478312,-0.1539336803919762,-0.15039989717548688,-0.14894224736618067,-0.14446674564624468,-0.14134845687224187,-0.13715956289492603,-0.13392161018376894,-0.1299523268321689,-0.12659257556917658,-0.12353936742473136,-0.118934402738335,-0.1135561910998041,-0.10797844830172586,
1980s,Death,0.0,-0.6340063064660862,-0.6481301337656747,-0.6346319347989327,-0.6139786682481146,-0.5943340721484552,-0.5748242547044761,-0.5539649782809405,-0.5292447184489311,-0.5022200668179825,-0.4739369754122532,-0.44751903966610357,-0.42230274824146347,-0.40004675040589943,-0.3804546750852184,-0.36349506418126176,-0.3481092175064124,-0.335761735258038,-0.3248084869857768,-0.3145973618306972,-0.3048273147505615,-0.2965446307190024,-0.2884292177046351,-0.2810730744369578,-0.2744311945060589,-0.2678594303262481,-0.2619859043147759,-0.25647119032016524,-0.2506762792398788,-0.24588695400880323,-0.24063232465342105,-0.23553475486661934,-0.23142306527147266,-0.22702524634345342,-0.22284633738936704,-0.21917837195995188,-0.2149913490018758,-0.21197484314168558,-0.20819267204481037,-0.20452296149553206,-0.20201242402500807,-0.19848028959991756,-0.19517109989166934,-0.19282936526609032,-0.18925741040682945,-0.1859766390509004,-0.18302822251978376,-0.18052624854244062,-0.17683092759055627,-0.17392310164331515,-0.17131555281562263,-0.16789616603585195,-0.16513677098018517,-0.16186842297436896,-0.15980252713655,-0.1563186570582239,-0.15366408596704526,-0.15140838771915605,-0.14870534117370193,-0.14583053196137205,-0.14313681218615557,-0.14116939778120596,-0.13801168550527682,-0.13534231819674664,-0.13185532809656342,-0.12900412574668454,-0.12667777241178269,-0.1241375671142658,-0.12047652697952305,-0.11806789754287854,-0.11526152929089856,-0.11269213046886799,-0.11057626190813152,-0.10693929599105101,-0.10481646232087626,-0.10274494745627297,-0.1003451857720559,-0.09770528394706995,-0.09563139314201442,-0.09419126310162333,-0.09152904915276376,-0.09007370203298913,-0.08852961632489492,-0.08675062466914442,-0.08551875131197077,-0.08467033195702023,-0.08303430741760007,-0.08261457647573324,-0.08231515122788668,-0.0819522019820843,-0.08183271684967142,-0.0824129442775329,-0.08254917228774426,-0.08311100421347581,-0.0835368665524152,-0.08366839765774073,-0.0831681756410418,-0.07998193106905441,-0.06478947055235776,-0.036377647716381405,
