Group,Outcome,prop_0,prop_1,prop_2,prop_3,prop_4,prop_5,prop_6,prop_7,prop_8,prop_9,prop_10,prop_11,prop_12,prop_13,prop_14,prop_15,prop_16,prop_17,prop_18,prop_19,prop_20,prop_21,prop_22,prop_23,prop_24,prop_25,prop_26,prop_27,prop_28,prop_29,prop_30,prop_31,prop_32,prop_33,prop_34,prop_35,prop_36,prop_37,prop_38,prop_39,prop_40,prop_41,prop_42,prop_43,prop_44,prop_45,prop_46,prop_47,prop_48,prop_49,prop_50,prop_51,prop_52,prop_53,prop_54,prop_55,prop_56,prop_57,prop_58,prop_59,prop_60,prop_61,prop_62,prop_63,prop_64,prop_65,prop_66,prop_67,prop_68,prop_69,prop_70,prop_71,prop_72,prop_73,prop_74,prop_75,prop_76,prop_77,prop_78,prop_79,prop_80,prop_81,prop_82,prop_83,prop_84,prop_85,prop_86,prop_87,prop_88,prop_89,prop_90,prop_91,prop_92,prop_93,prop_94,prop_95,prop_96,prop_97,prop_98,prop_99,
all,AnyCHC,0.0,-0.6538461538461539,-0.6666666666666666,-0.6585365853658537,-0.6363636363636364,-0.6086956521739131,-0.5833333333333334,-0.5510204081632653,-0.5490196078431373,-0.5192307692307693,-0.5094339622641509,-0.5,-0.46296296296296297,-0.45454545454545453,-0.42857142857142855,-0.42105263157894735,-0.40350877192982454,-0.39655172413793105,-0.3898305084745763,-0.38333333333333336,-0.36666666666666664,-0.36065573770491804,-0.3442622950819672,-0.3387096774193548,-0.3225806451612903,-0.3333333333333333,-0.31746031746031744,-0.3125,-0.3125,-0.3076923076923077,-0.2923076923076923,-0.30303030303030304,-0.2878787878787879,-0.2878787878787879,-0.2835820895522388,-0.2835820895522388,-0.27941176470588236,-0.27941176470588236,-0.2753623188405797,-0.2753623188405797,-0.2608695652173913,-0.2714285714285714,-0.2571428571428571,-0.2571428571428571,-0.2676056338028169,-0.2535211267605634,-0.2535211267605634,-0.25,-0.25,-0.2361111111111111,-0.2361111111111111,-0.2465753424657534,-0.2328767123287671,-0.2328767123287671,-0.2191780821917808,-0.22972972972972974,-0.22972972972972974,-0.21621621621621623,-0.21621621621621623,-0.21333333333333335,-0.21333333333333335,-0.21333333333333335,-0.2,-0.21052631578947367,-0.19736842105263158,-0.19736842105263158,-0.2077922077922078,-0.19480519480519481,-0.19480519480519481,-0.18181818181818182,-0.19230769230769232,-0.19230769230769232,-0.1794871794871795,-0.1794871794871795,-0.17721518987341772,-0.17721518987341772,-0.17721518987341772,-0.175,-0.175,-0.1625,-0.1728395061728395,-0.16049382716049382,-0.16049382716049382,-0.15853658536585366,-0.15853658536585366,-0.14634146341463414,-0.1566265060240964,-0.14457831325301204,-0.14285714285714285,-0.14285714285714285,-0.13095238095238096,-0.12941176470588237,-0.12941176470588237,-0.12790697674418605,-0.12643678160919541,-0.11494252873563218,-0.10227272727272728,-0.10112359550561797,-0.08888888888888889,-0.08602150537634409,
all,Death,0.0,-0.6153846153846154,-0.6388888888888888,-0.6190476190476191,-0.6170212765957447,-0.5882352941176471,-0.5660377358490566,-0.5454545454545454,-0.5263157894736842,-0.4915254237288136,-0.4666666666666667,-0.43548387096774194,-0.4126984126984127,-0.390625,-0.38461538461538464,-0.36363636363636365,-0.3333333333333333,-0.31343283582089554,-0.3088235294117647,-0.30434782608695654,-0.2898550724637681,-0.2857142857142857,-0.28169014084507044,-0.2676056338028169,-0.2638888888888889,-0.25,-0.2465753424657534,-0.2328767123287671,-0.24324324324324326,-0.22972972972972974,-0.22666666666666666,-0.22666666666666666,-0.21333333333333335,-0.21052631578947367,-0.21052631578947367,-0.2077922077922078,-0.19480519480519481,-0.19480519480519481,-0.19230769230769232,-0.19230769230769232,-0.1794871794871795,-0.189873417721519,-0.17721518987341772,-0.17721518987341772,-0.175,-0.175,-0.1625,-0.1728395061728395,-0.16049382716049382,-0.16049382716049382,-0.14814814814814814,-0.15853658536585366,-0.15853658536585366,-0.14634146341463414,-0.14634146341463414,-0.13414634146341464,-0.14457831325301204,-0.13253012048192772,-0.13253012048192772,-0.12048192771084337,-0.13095238095238096,-0.13095238095238096,-0.11904761904761904,-0.11904761904761904,-0.10714285714285714,-0.10714285714285714,-0.11764705882352941,-0.10588235294117647,-0.10588235294117647,-0.09411764705882353,-0.09411764705882353,-0.10465116279069768,-0.09302325581395349,-0.09302325581395349,-0.08139534883720931,-0.09195402298850575,-0.08045977011494253,-0.08045977011494253,-0.06896551724137931,-0.07954545454545454,-0.07954545454545454,-0.06818181818181818,-0.07865168539325842,-0.07865168539325842,-0.06741573033707865,-0.07777777777777778,-0.06666666666666667,-0.06666666666666667,-0.06593406593406594,-0.06593406593406594,-0.07608695652173914,-0.07526881720430108,-0.07446808510638298,-0.07446808510638298,-0.07368421052631578,-0.08247422680412371,-0.08163265306122448,-0.08080808080808081,-0.06060606060606061,-0.030303030303030304,
Male,AnyCHC,0.0,-0.6086956521739131,-0.65625,-0.6578947368421053,-0.6190476190476191,-0.6222222222222222,-0.5957446808510638,-0.5918367346938775,-0.56,-0.5490196078431373,-0.5283018867924528,-0.5094339622641509,-0.5,-0.4909090909090909,-0.4642857142857143,-0.45614035087719296,-0.42105263157894735,-0.41379310344827586,-0.4067796610169492,-0.4,-0.38333333333333336,-0.3770491803278688,-0.3709677419354839,-0.3548387096774194,-0.3492063492063492,-0.3333333333333333,-0.31746031746031744,-0.328125,-0.3125,-0.3076923076923077,-0.3076923076923077,-0.2923076923076923,-0.2878787878787879,-0.2878787878787879,-0.2835820895522388,-0.2835820895522388,-0.26865671641791045,-0.27941176470588236,-0.2647058823529412,-0.2647058823529412,-0.2608695652173913,-0.2608695652173913,-0.2608695652173913,-0.2571428571428571,-0.2571428571428571,-0.24285714285714285,-0.2535211267605634,-0.2535211267605634,-0.23943661971830985,-0.23943661971830985,-0.2361111111111111,-0.2361111111111111,-0.2222222222222222,-0.2222222222222222,-0.2328767123287671,-0.2191780821917808,-0.2191780821917808,-0.2191780821917808,-0.21621621621621623,-0.21621621621621623,-0.20270270270270271,-0.20270270270270271,-0.20270270270270271,-0.2,-0.2,-0.18666666666666668,-0.19736842105263158,-0.19736842105263158,-0.18421052631578946,-0.18421052631578946,-0.18181818181818182,-0.18181818181818182,-0.18181818181818182,-0.16883116883116883,-0.1794871794871795,-0.1794871794871795,-0.16666666666666666,-0.17721518987341772,-0.16455696202531644,-0.16455696202531644,-0.1625,-0.1625,-0.1625,-0.16049382716049382,-0.16049382716049382,-0.15853658536585366,-0.15853658536585366,-0.14634146341463414,-0.14457831325301204,-0.14457831325301204,-0.14285714285714285,-0.14285714285714285,-0.1411764705882353,-0.12941176470588237,-0.12790697674418605,-0.12643678160919541,-0.125,-0.11235955056179775,-0.1,-0.08695652173913043,
Male,Death,0.0,-0.6086956521739131,-0.625,-0.6052631578947368,-0.6046511627906976,-0.5957446808510638,-0.56,-0.5660377358490566,-0.5454545454545454,-0.5178571428571429,-0.5,-0.48333333333333334,-0.45901639344262296,-0.41935483870967744,-0.3968253968253968,-0.390625,-0.36923076923076925,-0.3484848484848485,-0.34328358208955223,-0.31343283582089554,-0.3088235294117647,-0.30434782608695654,-0.3,-0.2714285714285714,-0.2676056338028169,-0.2676056338028169,-0.2638888888888889,-0.25,-0.2465753424657534,-0.2328767123287671,-0.22972972972972974,-0.22972972972972974,-0.22666666666666666,-0.21333333333333335,-0.2236842105263158,-0.21052631578947367,-0.22077922077922077,-0.2077922077922078,-0.19480519480519481,-0.20512820512820512,-0.19230769230769232,-0.19230769230769232,-0.189873417721519,-0.17721518987341772,-0.17721518987341772,-0.175,-0.175,-0.1625,-0.1728395061728395,-0.16049382716049382,-0.16049382716049382,-0.15853658536585366,-0.15853658536585366,-0.15853658536585366,-0.14634146341463414,-0.1566265060240964,-0.14457831325301204,-0.14457831325301204,-0.13253012048192772,-0.13253012048192772,-0.14285714285714285,-0.13095238095238096,-0.13095238095238096,-0.11904761904761904,-0.11904761904761904,-0.11764705882352941,-0.11764705882352941,-0.10588235294117647,-0.10588235294117647,-0.09411764705882353,-0.10465116279069768,-0.10465116279069768,-0.09302325581395349,-0.10344827586206896,-0.09195402298850575,-0.09195402298850575,-0.08045977011494253,-0.09090909090909091,-0.07954545454545454,-0.07954545454545454,-0.07865168539325842,-0.07865168539325842,-0.07865168539325842,-0.07777777777777778,-0.07777777777777778,-0.06666666666666667,-0.07692307692307693,-0.06593406593406594,-0.07608695652173914,-0.06521739130434782,-0.07526881720430108,-0.07446808510638298,-0.07368421052631578,-0.08333333333333333,-0.08247422680412371,-0.08163265306122448,-0.08080808080808081,-0.0707070707070707,-0.050505050505050504,-0.020202020202020204,
Female,AnyCHC,0.0,-0.7272727272727273,-0.6666666666666666,-0.6511627906976745,-0.6,-0.574468085106383,-0.5510204081632653,-0.52,-0.5098039215686274,-0.4807692307692308,-0.4716981132075472,-0.4444444444444444,-0.43636363636363634,-0.4,-0.39285714285714285,-0.38596491228070173,-0.3684210526315789,-0.3620689655172414,-0.3559322033898305,-0.3559322033898305,-0.35,-0.3333333333333333,-0.32786885245901637,-0.32786885245901637,-0.3225806451612903,-0.31746031746031744,-0.30158730158730157,-0.3125,-0.296875,-0.3076923076923077,-0.2923076923076923,-0.30303030303030304,-0.2878787878787879,-0.2835820895522388,-0.2835820895522388,-0.27941176470588236,-0.27941176470588236,-0.2753623188405797,-0.2753623188405797,-0.2857142857142857,-0.2714285714285714,-0.28169014084507044,-0.2676056338028169,-0.2676056338028169,-0.2638888888888889,-0.2638888888888889,-0.25,-0.2602739726027397,-0.2465753424657534,-0.2465753424657534,-0.2465753424657534,-0.24324324324324326,-0.24324324324324326,-0.24324324324324326,-0.24,-0.24,-0.22666666666666666,-0.22666666666666666,-0.2236842105263158,-0.2236842105263158,-0.2236842105263158,-0.21052631578947367,-0.22077922077922077,-0.2077922077922078,-0.2077922077922078,-0.19480519480519481,-0.20512820512820512,-0.20512820512820512,-0.19230769230769232,-0.19230769230769232,-0.189873417721519,-0.189873417721519,-0.17721518987341772,-0.17721518987341772,-0.1875,-0.175,-0.175,-0.1728395061728395,-0.1728395061728395,-0.16049382716049382,-0.16049382716049382,-0.15853658536585366,-0.15853658536585366,-0.14634146341463414,-0.1566265060240964,-0.14457831325301204,-0.13253012048192772,-0.14285714285714285,-0.13095238095238096,-0.11904761904761904,-0.12941176470588237,-0.11764705882352941,-0.11627906976744186,-0.11627906976744186,-0.11494252873563218,-0.11363636363636363,-0.10112359550561797,-0.1,-0.08791208791208792,-0.07526881720430108,
Female,Death,0.0,-0.696969696969697,-0.6744186046511628,-0.6458333333333334,-0.6153846153846154,-0.5818181818181818,-0.543859649122807,-0.5,-0.48333333333333334,-0.4426229508196721,-0.4126984126984127,-0.390625,-0.36923076923076925,-0.36363636363636365,-0.3333333333333333,-0.31343283582089554,-0.3088235294117647,-0.27941176470588236,-0.2753623188405797,-0.2714285714285714,-0.2714285714285714,-0.2676056338028169,-0.2638888888888889,-0.25,-0.2465753424657534,-0.2328767123287671,-0.22972972972972974,-0.22972972972972974,-0.21621621621621623,-0.21333333333333335,-0.21333333333333335,-0.21052631578947367,-0.21052631578947367,-0.19736842105263158,-0.19480519480519481,-0.19480519480519481,-0.18181818181818182,-0.19230769230769232,-0.1794871794871795,-0.1794871794871795,-0.17721518987341772,-0.17721518987341772,-0.16455696202531644,-0.175,-0.175,-0.1625,-0.1625,-0.16049382716049382,-0.16049382716049382,-0.14814814814814814,-0.14814814814814814,-0.15853658536585366,-0.14634146341463414,-0.14634146341463414,-0.13414634146341464,-0.13414634146341464,-0.13253012048192772,-0.13253012048192772,-0.12048192771084337,-0.12048192771084337,-0.13095238095238096,-0.11904761904761904,-0.11904761904761904,-0.10714285714285714,-0.10714285714285714,-0.10714285714285714,-0.09523809523809523,-0.10588235294117647,-0.10588235294117647,-0.09411764705882353,-0.09411764705882353,-0.08235294117647059,-0.09302325581395349,-0.09302325581395349,-0.08139534883720931,-0.08139534883720931,-0.06976744186046512,-0.08045977011494253,-0.08045977011494253,-0.06896551724137931,-0.06896551724137931,-0.07954545454545454,-0.06818181818181818,-0.06818181818181818,-0.07865168539325842,-0.06741573033707865,-0.06741573033707865,-0.06666666666666667,-0.06666666666666667,-0.06666666666666667,-0.06593406593406594,-0.07608695652173914,-0.06521739130434782,-0.07526881720430108,-0.07446808510638298,-0.07368421052631578,-0.07291666666666667,-0.07216494845360824,-0.08080808080808081,-0.06060606060606061,
1970s,AnyCHC,0.0,-0.6521739130434783,-0.65625,-0.6923076923076923,-0.6666666666666666,-0.6444444444444445,-0.6170212765957447,-0.6122448979591837,-0.6,-0.5686274509803921,-0.5576923076923077,-0.5471698113207547,-0.5555555555555556,-0.5454545454545454,-0.509090909090909,-0.5,-0.49122807017543857,-0.4827586206896552,-0.46551724137931033,-0.4576271186440678,-0.45,-0.4426229508196721,-0.4262295081967213,-0.41935483870967744,-0.4032258064516129,-0.4126984126984127,-0.3968253968253968,-0.390625,-0.375,-0.38461538461538464,-0.36923076923076925,-0.35384615384615387,-0.3484848484848485,-0.3484848484848485,-0.34328358208955223,-0.34328358208955223,-0.3382352941176471,-0.3382352941176471,-0.3235294117647059,-0.3333333333333333,-0.3188405797101449,-0.3188405797101449,-0.3142857142857143,-0.3142857142857143,-0.3,-0.30985915492957744,-0.29577464788732394,-0.29577464788732394,-0.2916666666666667,-0.2916666666666667,-0.2777777777777778,-0.2777777777777778,-0.2876712328767123,-0.273972602739726,-0.273972602739726,-0.2602739726027397,-0.2702702702702703,-0.25675675675675674,-0.25675675675675674,-0.25333333333333335,-0.25333333333333335,-0.24,-0.24,-0.25,-0.23684210526315788,-0.23684210526315788,-0.2236842105263158,-0.23376623376623376,-0.22077922077922077,-0.22077922077922077,-0.2077922077922078,-0.21794871794871795,-0.20512820512820512,-0.20512820512820512,-0.20253164556962025,-0.20253164556962025,-0.189873417721519,-0.2,-0.1875,-0.1875,-0.18518518518518517,-0.18518518518518517,-0.1728395061728395,-0.17073170731707318,-0.17073170731707318,-0.15853658536585366,-0.1566265060240964,-0.1566265060240964,-0.15476190476190477,-0.14285714285714285,-0.13095238095238096,-0.12941176470588237,-0.12941176470588237,-0.12790697674418605,-0.11627906976744186,-0.11494252873563218,-0.10227272727272728,-0.10112359550561797,-0.0989010989010989,-0.08602150537634409,
1970s,Death,0.0,-0.6521739130434783,-0.65625,-0.6666666666666666,-0.6666666666666666,-0.6530612244897959,-0.6274509803921569,-0.6111111111111112,-0.6071428571428571,-0.5862068965517241,-0.576271186440678,-0.5737704918032787,-0.5483870967741935,-0.5238095238095238,-0.5,-0.49230769230769234,-0.4696969696969697,-0.45454545454545453,-0.43283582089552236,-0.4264705882352941,-0.4057971014492754,-0.391304347826087,-0.37142857142857144,-0.35714285714285715,-0.352112676056338,-0.3472222222222222,-0.3333333333333333,-0.3333333333333333,-0.3287671232876712,-0.3150684931506849,-0.3108108108108108,-0.2972972972972973,-0.30666666666666664,-0.29333333333333333,-0.28,-0.27631578947368424,-0.27631578947368424,-0.2727272727272727,-0.2597402597402597,-0.2597402597402597,-0.2564102564102564,-0.24358974358974358,-0.25316455696202533,-0.24050632911392406,-0.24050632911392406,-0.22784810126582278,-0.2375,-0.225,-0.225,-0.2222222222222222,-0.2222222222222222,-0.20987654320987653,-0.20987654320987653,-0.2073170731707317,-0.2073170731707317,-0.1951219512195122,-0.1951219512195122,-0.1927710843373494,-0.1927710843373494,-0.18072289156626506,-0.18072289156626506,-0.17857142857142858,-0.17857142857142858,-0.16666666666666666,-0.16666666666666666,-0.15476190476190477,-0.16470588235294117,-0.15294117647058825,-0.15294117647058825,-0.15294117647058825,-0.1411764705882353,-0.1511627906976744,-0.13953488372093023,-0.13953488372093023,-0.12790697674418605,-0.13793103448275862,-0.12643678160919541,-0.12643678160919541,-0.125,-0.11363636363636363,-0.11363636363636363,-0.10227272727272728,-0.11235955056179775,-0.10112359550561797,-0.1,-0.1,-0.08888888888888889,-0.0989010989010989,-0.08791208791208792,-0.09782608695652174,-0.0967741935483871,-0.0967741935483871,-0.09574468085106383,-0.09473684210526316,-0.10416666666666667,-0.10309278350515463,-0.10204081632653061,-0.08163265306122448,-0.061224489795918366,-0.030612244897959183,
1980s,AnyCHC,0.0,-0.6785714285714286,-0.6944444444444444,-0.6829268292682927,-0.6590909090909091,-0.6086956521739131,-0.6041666666666666,-0.5714285714285714,-0.5686274509803921,-0.5384615384615384,-0.5283018867924528,-0.49056603773584906,-0.48148148148148145,-0.45454545454545453,-0.44642857142857145,-0.43859649122807015,-0.42105263157894735,-0.41379310344827586,-0.4067796610169492,-0.3898305084745763,-0.38333333333333336,-0.3770491803278688,-0.36065573770491804,-0.3548387096774194,-0.3387096774193548,-0.3333333333333333,-0.3333333333333333,-0.328125,-0.3125,-0.296875,-0.3076923076923077,-0.2923076923076923,-0.30303030303030304,-0.2878787878787879,-0.29850746268656714,-0.2835820895522388,-0.29411764705882354,-0.27941176470588236,-0.2898550724637681,-0.2753623188405797,-0.2753623188405797,-0.2714285714285714,-0.2714285714285714,-0.2571428571428571,-0.2676056338028169,-0.2676056338028169,-0.2535211267605634,-0.2638888888888889,-0.25,-0.25,-0.25,-0.2465753424657534,-0.2465753424657534,-0.2328767123287671,-0.2328767123287671,-0.24324324324324326,-0.22972972972972974,-0.22972972972972974,-0.21621621621621623,-0.22666666666666666,-0.22666666666666666,-0.21333333333333335,-0.21333333333333335,-0.21052631578947367,-0.21052631578947367,-0.19736842105263158,-0.19736842105263158,-0.2077922077922078,-0.19480519480519481,-0.19480519480519481,-0.18181818181818182,-0.19230769230769232,-0.19230769230769232,-0.1794871794871795,-0.189873417721519,-0.17721518987341772,-0.17721518987341772,-0.175,-0.175,-0.1625,-0.1728395061728395,-0.16049382716049382,-0.16049382716049382,-0.15853658536585366,-0.15853658536585366,-0.14634146341463414,-0.1566265060240964,-0.14457831325301204,-0.14457831325301204,-0.14285714285714285,-0.13095238095238096,-0.12941176470588237,-0.11764705882352941,-0.11627906976744186,-0.10465116279069768,-0.10344827586206896,-0.10227272727272728,-0.10112359550561797,-0.0989010989010989,-0.08602150537634409,
1980s,Death,0.0,-0.6785714285714286,-0.6666666666666666,-0.6428571428571429,-0.6170212765957447,-0.6078431372549019,-0.5849056603773585,-0.5636363636363636,-0.5357142857142857,-0.5,-0.48333333333333334,-0.45901639344262296,-0.41935483870967744,-0.4126984126984127,-0.390625,-0.36923076923076925,-0.3484848484848485,-0.3283582089552239,-0.31343283582089554,-0.3088235294117647,-0.30434782608695654,-0.2753623188405797,-0.2714285714285714,-0.2676056338028169,-0.2676056338028169,-0.2638888888888889,-0.2602739726027397,-0.2465753424657534,-0.2465753424657534,-0.24324324324324326,-0.22972972972972974,-0.22666666666666666,-0.21333333333333335,-0.2236842105263158,-0.21052631578947367,-0.22077922077922077,-0.2077922077922078,-0.19480519480519481,-0.20512820512820512,-0.19230769230769232,-0.19230769230769232,-0.189873417721519,-0.189873417721519,-0.17721518987341772,-0.1875,-0.175,-0.175,-0.175,-0.1728395061728395,-0.1728395061728395,-0.16049382716049382,-0.17073170731707318,-0.15853658536585366,-0.15853658536585366,-0.14634146341463414,-0.1566265060240964,-0.1566265060240964,-0.14457831325301204,-0.13253012048192772,-0.13253012048192772,-0.14285714285714285,-0.13095238095238096,-0.13095238095238096,-0.11904761904761904,-0.11904761904761904,-0.10714285714285714,-0.11764705882352941,-0.11764705882352941,-0.10588235294117647,-0.10588235294117647,-0.09411764705882353,-0.10465116279069768,-0.09302325581395349,-0.09302325581395349,-0.09302325581395349,-0.09195402298850575,-0.09195402298850575,-0.08045977011494253,-0.08045977011494253,-0.09090909090909091,-0.07954545454545454,-0.07954545454545454,-0.07865168539325842,-0.07865168539325842,-0.06741573033707865,-0.07777777777777778,-0.06666666666666667,-0.07692307692307693,-0.07692307692307693,-0.07608695652173914,-0.07608695652173914,-0.07526881720430108,-0.07446808510638298,-0.07446808510638298,-0.07368421052631578,-0.08247422680412371,-0.08163265306122448,-0.07142857142857142,-0.05102040816326531,-0.030612244897959183,
