Group,Outcome,age_0,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,age_11,age_12,age_13,age_14,age_15,age_16,age_17,age_18,age_19,age_20,age_21,age_22,age_23,age_24,age_25,age_26,age_27,age_28,age_29,age_30,age_31,age_32,age_33,age_34,age_35,age_36,age_37,age_38,age_39,age_40,age_41,age_42,age_43,age_44,age_45,age_46,age_47,age_48,age_49,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89,age_90,age_91,age_92,age_93,age_94,age_95,age_96,age_97,age_98,age_99,
all,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-9.196131525390783E-5,-3.354456851488256E-4,-7.719483766081245E-4,-0.0014184324560657887,-0.0022725426990925566,-0.00324112480188276,-0.004444596836799988,-0.005764571562068257,-0.007240367877807215,-0.008801444533344641,-0.010385046883305622,-0.012062668161015958,-0.013832681888613344,-0.01564643797053929,-0.017528905150031752,-0.019515158417577286,-0.02162770370467522,-0.02381318502916894,-0.026090436484447217,-0.02845209917492081,-0.030881772048015593,-0.03337310393967871,-0.03592807045251524,-0.03853573132493248,-0.04121384959173453,-0.04390471705814392,-0.04664186874297771,-0.04943341158808745,-0.052288137769549346,-0.05521736155888116,-0.058190890535035344,-0.06124479056192153,-0.0644054975233345,-0.0676388224485979,-0.07095862708997691,-0.074391643225127,-0.07792263953880188,-0.08156222675953699,-0.08527593544334522,-0.08907744786944817,-0.09296542901807363,-0.09693574161007593,-0.10099160026154214,-0.10517101811958879,-0.10945948359234335,-0.11385792372362724,-0.11833400450344517,-0.1229065500169385,-0.1275550004520477,-0.13229833386141268,-0.13715637365464764,-0.14207962891992829,-0.1470532350045577,-0.15210239747518164,-0.15721395800949914,-0.16235465256477313,-0.16752860771433625,-0.17269576507557796,-0.17788482121747495,-0.18304316312891153,-0.18819366408373703,-0.19330494297949535,-0.19833686405024178,-0.20326298477291022,-0.2080880530980545,-0.21276782703539351,-0.21722957080970892,-0.22145108710792227,-0.22540008252149493,-0.22904423655866998,-0.2324062400800454,-0.23544215799742393,-0.23812459441281975,-0.24048282405682458,-0.2425483289631048,-0.24432645770298872,-0.24584690510979343,-0.24713699305201856,-0.24819161505714782,-0.24905197462709622,-0.24973659655604036,-0.2502488250406531,-0.2506552023263232,-0.25097269881275297,-0.251217327634776,-0.2514047962233731,-0.2515513141943233,-0.2516579245025796,-0.25174382912711674,-0.2517972073652713,-0.25183538940054834,-0.2518628121678665,-0.2518792559273406,-0.25189169858016075,-0.25189891952791665,
Male,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-3.9600031033722637E-5,-2.185450637432001E-4,-5.991247365351295E-4,-0.0012469550020440395,-0.0022492736259734935,-0.0033474225591819087,-0.00475157087635171,-0.006335693896392708,-0.008022544955731159,-0.009830958098853673,-0.011677191738689696,-0.013625073415823986,-0.015683061338385155,-0.017811550446639696,-0.020005414169189314,-0.02229292357258687,-0.024703332864217113,-0.027203377244121134,-0.029739121047516782,-0.0323782008212206,-0.035092565383354604,-0.03787246614907032,-0.04070096515372759,-0.043547657592701565,-0.04647400631524165,-0.04939574440927057,-0.05232955127075039,-0.05531389660360215,-0.05833521200239145,-0.06142496631025964,-0.06452396439535237,-0.06766284530611026,-0.07085829164460027,-0.07410307917065312,-0.07738895510188125,-0.0807860796813496,-0.08425040126533674,-0.08777874652156072,-0.09137974728509154,-0.0950656954524462,-0.09884044678650296,-0.10270272372893204,-0.10662183569735403,-0.11067874740420107,-0.1148378978200825,-0.11910206307724402,-0.12342653570390917,-0.12782788336972636,-0.13227479262486924,-0.13680448524832792,-0.14141875466271497,-0.14608883599992015,-0.15083334231933518,-0.1556209181740708,-0.16045190906815768,-0.16529665246959319,-0.17016829006778436,-0.17502054456138136,-0.1799115324117821,-0.18477044548242208,-0.18962769914621114,-0.1944416829784537,-0.19917082686004325,-0.20377914401860509,-0.20829190029471034,-0.21269083461231603,-0.21686333719753276,-0.22081032896973707,-0.22448707101341958,-0.2278317225062331,-0.23087599988477842,-0.23360175885289966,-0.23598831067814674,-0.23803900784593096,-0.23979783530563348,-0.241290068390783,-0.24256674994691046,-0.24364302656766398,-0.24452854454655526,-0.24527024388056753,-0.24585665093525702,-0.24628682270220556,-0.24664156087592654,-0.2469169405454018,-0.2471315534192014,-0.24730113319035327,-0.24742798663124888,-0.2475188200838038,-0.2475956264955026,-0.2476349760077575,-0.24765842788961528,-0.24767457644826846,-0.2476835997025278,-0.24768558751664776,-0.24768558751664776,
Female,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-1.5686138851937298E-4,-4.80340775013933E-4,-9.86155902052984E-4,-0.00163096943430421,-0.0023013833021650605,-0.0031093734110039864,-0.004064102458516016,-0.005056639666158871,-0.006270825312828838,-0.00752532343212963,-0.008783435128490344,-0.01012611697956401,-0.011539343831814052,-0.012963175674038246,-0.014459944400652942,-0.016073177788911198,-0.017817064443393624,-0.019613481143407954,-0.021571322298266405,-0.023590432041702254,-0.025668683878722343,-0.027803967467940303,-0.030021910580182973,-0.03233547280830698,-0.034708072646530044,-0.03711507699347686,-0.03961086180004047,-0.0421658532143191,-0.044816351908621786,-0.04754902800760522,-0.050369315282771714,-0.05332012568541925,-0.05643989408222649,-0.05966088658279332,-0.06302435705588233,-0.06650377502098809,-0.07011924707209778,-0.07389836738344882,-0.0777532565400287,-0.08169933247222182,-0.08572908410548725,-0.08983451354730691,-0.09406080500306889,-0.09839301600439752,-0.1028424796668321,-0.1074080620799523,-0.11207271069814671,-0.11685811594874249,-0.12175672412893246,-0.1267650548584014,-0.13192481284445715,-0.1371608506619472,-0.14241761393421767,-0.14778963534611728,-0.15324701406937888,-0.15875229590749415,-0.16429813623173348,-0.16985229920505643,-0.17540727815897272,-0.18093268061697643,-0.18644234909008436,-0.19191732423074184,-0.19731933509116342,-0.20263356480211217,-0.20783962178490223,-0.2128615962073114,-0.21767526055311945,-0.222230232455058,-0.2265092681344403,-0.23051571620536374,-0.2342611910610188,-0.23767048706435087,-0.2407082890687674,-0.2434351021852167,-0.24586730274173563,-0.24798654594021918,-0.24979739182734098,-0.25134193034910335,-0.2525976262061152,-0.25359886199776766,-0.2544000681458062,-0.25500963603635207,-0.2554772677050274,-0.2558447141233519,-0.2561248694921293,-0.2563335200425939,-0.25650336033226884,-0.2566286898873506,-0.2567253684773865,-0.25679538083381614,-0.2568510166883084,-0.25689179369710075,-0.25691702875503303,-0.25694186917050005,-0.2569576526703847,
1970s,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-9.989790858918231E-5,-4.545208677400002E-4,-0.0010408195574769775,-0.0018196990049962182,-0.0029315667389581018,-0.004281280764612533,-0.005984490480030553,-0.00791978736466872,-0.009961665174511136,-0.012131669705934205,-0.014386712908973358,-0.016664614308912095,-0.019034233633246935,-0.021439330652820263,-0.023971594940554043,-0.02659909723084604,-0.02948375576474523,-0.03249024410154424,-0.03561213064374103,-0.038835435905092475,-0.04219923692579249,-0.04558185293913509,-0.04901178848051658,-0.05259365624429759,-0.05620259791717346,-0.05983002086016287,-0.06348596602899931,-0.06710318268378779,-0.07077955261148018,-0.07453695480351896,-0.07838073221392353,-0.08226892760144908,-0.08622470917870256,-0.0902061090831383,-0.09422833164282352,-0.09835234780797524,-0.10252497667439509,-0.106816926121415,-0.1111613911099567,-0.11557203716509619,-0.11999560767341086,-0.12450060271753413,-0.12908441327012368,-0.13382093331951703,-0.13858401549437546,-0.14346390564270098,-0.14838874930177529,-0.15338286595408815,-0.15838918115467462,-0.16348574743557126,-0.16862907227346982,-0.17376996097052486,-0.1789236402926593,-0.18413989756815072,-0.1893911064974226,-0.19463649828342613,-0.1999147190755742,-0.20514222429507165,-0.21033507353228464,-0.21540808552939694,-0.22043790483044728,-0.22539169271884027,-0.23019637719209649,-0.234870371001634,-0.23941956648792054,-0.24382440774884775,-0.24799087159328054,-0.25194479263795333,-0.25563729570349764,-0.25902069624184276,-0.26211401691006897,-0.2648707619548208,-0.2672998425986966,-0.2694501535953117,-0.2713299668227013,-0.27296098587992745,-0.2743670699944979,-0.2755749643006194,-0.27659030885935837,-0.2774518457702622,-0.2781529820926527,-0.2787041554041074,-0.27916378733221564,-0.2795170062325371,-0.27978093109931435,-0.27999655332241313,-0.28017509540472507,-0.28030578773977666,-0.28040584325375756,-0.28046373781078476,-0.28050011904896344,-0.2805275499442958,-0.2805417881420478,-0.28055233851864125,-0.28055883611267923,
1980s,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-6.944777477224663E-5,-2.4402698477870343E-4,-6.205479217313663E-4,-0.0013110975053453827,-0.0022369814175358478,-0.0033531262895815433,-0.0047076722273430216,-0.006137964331815525,-0.007681103064109891,-0.00927484077216748,-0.010908813715835065,-0.01268632266348984,-0.014484389374240106,-0.016351675144559055,-0.01829196807082941,-0.020341979653095022,-0.02246812717139288,-0.02466940650246104,-0.026969850135507935,-0.02928670773536596,-0.03163858177457386,-0.03410410950088702,-0.0366344678670133,-0.03920359356419488,-0.04185145702848026,-0.04453060536257892,-0.04724507528255731,-0.05002969997591089,-0.052895248128448924,-0.05582881736752506,-0.05879393529480878,-0.0618677982124664,-0.06505307330796062,-0.06832970460692803,-0.0717005766068916,-0.07518022804679395,-0.07876569181388832,-0.0824869166649562,-0.0862816177876375,-0.09011625040423284,-0.09406205843519883,-0.09807907697329647,-0.10218321409466577,-0.10641121492180658,-0.11077410373961306,-0.1152438430374444,-0.11979287184077396,-0.12442614625598573,-0.12914298610241332,-0.13392199770329735,-0.13881946115214502,-0.14376702914783568,-0.14874316659875186,-0.15380595020799828,-0.15892590685096888,-0.16407362991950628,-0.16923329132345838,-0.17439083610564024,-0.1795383662181509,-0.18466860807937474,-0.189779526915382,-0.1948239853898452,-0.19977531953603359,-0.20459587916402533,-0.20931633660963508,-0.213838651333003,-0.21819873524801703,-0.22233487490457998,-0.22617320205852465,-0.22973700858685697,-0.2330230169448034,-0.23600540337469741,-0.23861423476337512,-0.24089728000667981,-0.24288288590058354,-0.24460377524284554,-0.2461017102921981,-0.24736574053440938,-0.24840914451098722,-0.24927611836140498,-0.24997849401093006,-0.25051482221339394,-0.25093191577884816,-0.2512688529533218,-0.251537184040059,-0.25173360760523766,-0.2518851112565836,-0.25198784680598846,-0.25206310193880926,-0.2521078412870206,-0.2521383528138839,-0.2521618693273811,-0.25217639502322464,-0.25218979549892795,-0.2521950233302414,
1990s,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-1.0552421183958789E-4,-3.5024970243509855E-4,-7.632332472187359E-4,-0.0013145787923575587,-0.00199420630045543,-0.0026730697409330043,-0.003529136320602134,-0.004479338211623366,-0.005641107702717994,-0.0068948657694994035,-0.008128537517181332,-0.009451364355846942,-0.01092178639150892,-0.012420396276221357,-0.01395723121805008,-0.015597283011429116,-0.01734111899922299,-0.019133483931490152,-0.021001121728832495,-0.02299749534201588,-0.025053517550434296,-0.027151325023007367,-0.029319092593440257,-0.03150407094736271,-0.033773154525443126,-0.036038258430243414,-0.03836649013127896,-0.040779942927095116,-0.0432449358292616,-0.04578658086121639,-0.048362828714732284,-0.05101420765633147,-0.053787132547285496,-0.05664033876402072,-0.059595584432651304,-0.06267268626324865,-0.06586435317185196,-0.06913922261261324,-0.07249926156198577,-0.07599437334573024,-0.07959151528085079,-0.08327958296072566,-0.08705483486015198,-0.0909398239367999,-0.09495296828378003,-0.09907507658786009,-0.10328865672237605,-0.10762062860178312,-0.11205234569382831,-0.1166059130888802,-0.12130359484300518,-0.12610939252647627,-0.13100013611268324,-0.13596422756730883,-0.1410074982614723,-0.14609698591317571,-0.1512355359234351,-0.15638369114882594,-0.16160601757124032,-0.1668293191219309,-0.17207024539871305,-0.17730989559739557,-0.18251269453515973,-0.18763974578191578,-0.19267630841523573,-0.19760697557805892,-0.20228594553684354,-0.20669919684687943,-0.2108534069713525,-0.21468140306090355,-0.21822687953862915,-0.22143519943263268,-0.2242929537465851,-0.2268065896713035,-0.2290206169514836,-0.23091137265923758,-0.23250150202981248,-0.23384861512163035,-0.2349284267612047,-0.23578109309965953,-0.23644234133005285,-0.23691559862911232,-0.23728655827061984,-0.23757069548595958,-0.23778669287865561,-0.2379530025864781,-0.238079784094571,-0.23817753836238753,-0.23826469242687123,-0.23832249696501484,-0.23836745410939755,-0.2383978421245529,-0.23841679390483095,-0.2384294012588157,-0.23843852318427275,
Age0-4,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-2.142375203987671E-4,-7.814809937794177E-4,-0.001798431142795095,-0.003304619687056155,-0.005294619966255739,-0.0074361331713819635,-0.00979120017912962,-0.012154695318699319,-0.014575519942425503,-0.0169599344774862,-0.019162041618368732,-0.021387020525363013,-0.023570582469474733,-0.025721148843022082,-0.02785856680863782,-0.03001398070917199,-0.03217224045841211,-0.034308490414023035,-0.036463885587318126,-0.03859626735057899,-0.040736209334051185,-0.042921636116679776,-0.04513524269912941,-0.04734962511219838,-0.04964165322785355,-0.05193822412280747,-0.05429873309524475,-0.056736218640309616,-0.05922713599169439,-0.06180556465448509,-0.06445282217943334,-0.06719064563106569,-0.06997778971971146,-0.07281192645346121,-0.07573342867786176,-0.07879095865265666,-0.0819918179066869,-0.08529992144560826,-0.08865961717128581,-0.09209468776505132,-0.09561488770370417,-0.09924783938666741,-0.10294033259961587,-0.10674204166480464,-0.11064782033544647,-0.11472493201364477,-0.1189019610316196,-0.12320226858876887,-0.12757103196817207,-0.1320748912208469,-0.13671216368316066,-0.14141798480932208,-0.14622075194209797,-0.15109846061784532,-0.15605243874083907,-0.16102451257914577,-0.16602841445425448,-0.17106313573632442,-0.1761645328594515,-0.18122610053990484,-0.18630829898956702,-0.1913831246108621,-0.19637217504778015,-0.20125950591301378,-0.20605242553433759,-0.21068806983253868,-0.21508922883636125,-0.21926443547477867,-0.22320013768086383,-0.22680127299370978,-0.23013457371892973,-0.23313702758410917,-0.23578487503782344,-0.23808309792236917,-0.2401066853478213,-0.2418294885736734,-0.24328143971779492,-0.24452920233784012,-0.245545634078944,-0.2463803705885465,-0.2470504072200633,-0.24755168996256768,-0.2479528982774047,-0.24826816082591874,-0.24851131038573904,-0.24869274834279298,-0.24883403201425516,-0.24892752596841353,-0.24900693116929348,-0.24905493081219238,-0.2490898853046517,-0.24911546825650077,-0.24913103451477137,-0.24914085039561137,-0.24914707556334842,
Age5-9,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.092005445581783E-4,-0.0010245869009256447,-0.0023177592410808688,-0.004166299526281384,-0.006442195573588743,-0.008934174327327914,-0.011545615041585654,-0.014276601491089265,-0.016952174436941792,-0.019603914066948426,-0.0222298764054631,-0.02486706239742486,-0.027509018478428116,-0.030153234833334472,-0.032798631959154195,-0.035427479052241626,-0.038088065886933496,-0.04086138231980548,-0.043672151210969956,-0.04647804837590715,-0.04928483043926413,-0.05208169652184065,-0.054875437977189793,-0.057692722327506184,-0.060579901962912734,-0.06351742853107455,-0.06655504836398216,-0.06978835760115816,-0.07312833587788246,-0.07653183052391867,-0.08004706944953101,-0.08361918864090398,-0.08730412878659322,-0.09104179433827582,-0.09486276896657563,-0.09877322467303308,-0.1027539502370278,-0.10683524621648702,-0.1110166748115522,-0.1153377869944752,-0.1197129814597599,-0.124164705456499,-0.12871765692787682,-0.1333714184261661,-0.13805796223962974,-0.1428388730745081,-0.14766303310012588,-0.1524947233193031,-0.15742227079486504,-0.16247469946634197,-0.16757494502211764,-0.17271287190274637,-0.17782876774197254,-0.1829424930428406,-0.18807431172566116,-0.1931412288405804,-0.1981267364808998,-0.20309928717595954,-0.2079755172988345,-0.21276703536429176,-0.2174241919604696,-0.22188613616422215,-0.22609910023013394,-0.22995901222720005,-0.233550492544537,-0.2368361301134504,-0.23975724279962476,-0.24236486366204296,-0.24467802983696707,-0.2466935449268936,-0.24843261273432984,-0.24994333901020374,-0.2512119603248715,-0.25225907054729574,-0.2530887448573476,-0.25372495204058115,-0.25418768969919664,-0.25455238672719277,-0.25482603980322643,-0.25503735487507684,-0.2552073478420198,-0.255349104589485,-0.25545202357983654,-0.255537050130353,-0.2555870215926445,-0.2556252605095553,-0.25565001156534994,-0.25566330359428246,-0.25567524002429876,-0.2556839203280009,
Age10-14,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.650590583546108E-4,-8.289297291528142E-4,-0.001830238263911907,-0.0032099699499314707,-0.005016199997758706,-0.007135301034691825,-0.009468889655073268,-0.011938381829195802,-0.014571016639416423,-0.0173527729692107,-0.020133689665380792,-0.022907658405294167,-0.025729231863557515,-0.028588058623006198,-0.03149274261959642,-0.0343925157283385,-0.03732261425562389,-0.040286826057163966,-0.04334847136265505,-0.04643073293928569,-0.04949872996503067,-0.05259347678813494,-0.055796584447139426,-0.05907593815680204,-0.06245163141940107,-0.06594194949756646,-0.06949604285397103,-0.0732098469301559,-0.07709927600722265,-0.08109868278106795,-0.08522492838744303,-0.08940887161609912,-0.0936894941416089,-0.09817348451394513,-0.10277341524839274,-0.10740586546062346,-0.1120727358523777,-0.11681246167947554,-0.12164110951454371,-0.1266020382602105,-0.1317178987940445,-0.13693385027643712,-0.14216053220105923,-0.14741113114220405,-0.15267048870035835,-0.15803133408436412,-0.16340193014324303,-0.16876806264286034,-0.174127345130903,-0.17948725885131805,-0.18487276077864268,-0.1902131394863023,-0.19547675983226506,-0.200630969088856,-0.20566109665123236,-0.21055897646981764,-0.2151977615048609,-0.21956856925026894,-0.22367490196381104,-0.22747422229841333,-0.23094144599171293,-0.2341204689935358,-0.23699444580285922,-0.23953825249680277,-0.24177331607413002,-0.24371108334550637,-0.24536387939891444,-0.24673610990386277,-0.24784973360975077,-0.24878454830270297,-0.24952207220274267,-0.25005335096849474,-0.25044418796044043,-0.2507524800070887,-0.2509776499312585,-0.2511498054487868,-0.25128071694701126,-0.25138876952358824,-0.2514722560748348,-0.25152604476563084,-0.2515656873417615,-0.25159871623592794,-0.25162074518199,-0.2516381165440602,-0.2516461556462765,
Age15-20,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.955135063740257E-4,-0.0011499418310128213,-0.0023855689928500693,-0.003976933735276999,-0.006016971117501091,-0.008525643075401398,-0.011279147144357194,-0.014141273708921433,-0.01725119266660806,-0.020563754583978876,-0.02395396573287161,-0.02744945480947472,-0.031051441859596178,-0.034764739974408106,-0.038590598362789,-0.04245423624058758,-0.04640547170780344,-0.05048711704618376,-0.05465652335888488,-0.05893408706601786,-0.06325883604008047,-0.06765887531541252,-0.07209949075683575,-0.07658446415511211,-0.08117169434910328,-0.08579294309012571,-0.09045874200658452,-0.09524743272995813,-0.10013740609780135,-0.10509350483835389,-0.11016928593455624,-0.11531465743595407,-0.12050063262655596,-0.12572752091762268,-0.13098385333370732,-0.1362817390841552,-0.14162576878894967,-0.1470033471699302,-0.1524912001300238,-0.1579694484322208,-0.1633866715595252,-0.16886435177454653,-0.17424662591668066,-0.17959526907070444,-0.18482168485727324,-0.19000660804765648,-0.19513430447947577,-0.20009123246455346,-0.2049199453208345,-0.2096310235088808,-0.2141977195838886,-0.21861028658746784,-0.2227912508084087,-0.22672278875180069,-0.23038023166179808,-0.2338158911704103,-0.23695296714126052,-0.23961358436995556,-0.24198372385807185,-0.2440366490530219,-0.24583598828097533,-0.24740378311067115,-0.24874779822216445,-0.24985106337225463,-0.2507409026501231,-0.2514787364435372,-0.25207865304193283,-0.2525872914288958,-0.25299369842159586,-0.25332109164354794,-0.2535737877172484,-0.25376310337858055,-0.2539119079442694,-0.25402118954939706,-0.25409515041288144,-0.25414074773843776,-0.2541706403063051,-0.25418756261500464,-0.2542021690962896,-0.25420889385946055,
