Group,Outcome,age_0,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,age_11,age_12,age_13,age_14,age_15,age_16,age_17,age_18,age_19,age_20,age_21,age_22,age_23,age_24,age_25,age_26,age_27,age_28,age_29,age_30,age_31,age_32,age_33,age_34,age_35,age_36,age_37,age_38,age_39,age_40,age_41,age_42,age_43,age_44,age_45,age_46,age_47,age_48,age_49,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89,age_90,age_91,age_92,age_93,age_94,age_95,age_96,age_97,age_98,age_99,
all,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-6.928119312267912E-5,-2.910312442608797E-4,-7.176573556494759E-4,-0.0013594595978070323,-0.002199647369865948,-0.003210431099894769,-0.004367455732804116,-0.005653562657217864,-0.007040831516101828,-0.008518489641964434,-0.010079579192211353,-0.011710098764598411,-0.013415847490384282,-0.015190246498780745,-0.01703574619898217,-0.018956009513256735,-0.02095793764235299,-0.023035350961906263,-0.025185262237514286,-0.027409809127900527,-0.029709268864834586,-0.03206809679754607,-0.03447900058425418,-0.03693869962496574,-0.03944795988210666,-0.042008071669975125,-0.044621638886052535,-0.04729373893587695,-0.050028445064158746,-0.05282805282470485,-0.05569536279635052,-0.05863456674873205,-0.061650855467104825,-0.06474767730315541,-0.06792844658243564,-0.07119986269775237,-0.0745642787975748,-0.07802175708623758,-0.08157578700492167,-0.08522892341698922,-0.08899246531236912,-0.09286851753561925,-0.09685434631859761,-0.10095047955317761,-0.10516163696303787,-0.10949181613171213,-0.11393396513462865,-0.11848626410148114,-0.12314239049718632,-0.12789700149317076,-0.13274479685893412,-0.1376798511504361,-0.14269618159010972,-0.14778526386102656,-0.1529420370741623,-0.15815299877931496,-0.16340535293558306,-0.16868008800209217,-0.17395944793071624,-0.179225116471292,-0.18445609578904493,-0.18963172119595373,-0.19472900279706148,-0.19972273767956783,-0.20458819373305306,-0.20928950438783425,-0.21379342312872116,-0.2180650224403199,-0.2220774774842941,-0.22580752015693323,-0.22924173532410017,-0.23237273876273623,-0.23520191168188972,-0.23773646832458015,-0.23998855043320488,-0.2419602900232658,-0.2436627008180525,-0.24511096908098812,-0.24632441419413537,-0.24732583773058028,-0.24810576605852075,-0.24870924805590233,-0.24917305348390467,-0.2495278268885682,-0.24979648442243516,-0.24999811086991067,-0.25014774410265556,-0.250257054006458,-0.25033551075908117,-0.2503907641190984,-0.2504291918169101,-0.25045560979299153,-0.2504734391419332,-0.2504854398054197,-0.2504934818543713,
Male,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-7.363025824025294E-5,-3.0582657062697306E-4,-7.788127115800572E-4,-0.0015129934424353098,-0.002488303912741485,-0.003675617937204674,-0.005030958892096956,-0.006547158388921143,-0.00818477980485686,-0.00992226548031734,-0.011748199459682872,-0.013642820168140264,-0.01561621541751748,-0.017655076651814774,-0.019758178611498593,-0.021932566365738218,-0.024187113181180185,-0.026515454171614414,-0.028912357865783042,-0.03138149014387869,-0.03392595226194514,-0.036521286229384886,-0.03915790320406882,-0.041829024356905456,-0.04453241264766242,-0.04726779112196142,-0.05003639837086475,-0.0528430609007002,-0.05569142283380627,-0.05858325966523398,-0.06152268169334889,-0.06451521797968741,-0.0675671206143248,-0.07068337214017975,-0.07386935446468183,-0.07713340526472699,-0.08047957298765038,-0.08391039113802785,-0.08743224490696863,-0.0910500579772035,-0.09477693048732795,-0.09861612636403656,-0.10256649626915519,-0.10663088887357579,-0.11081503882862744,-0.11512318678006986,-0.11954851574199675,-0.12408913816995179,-0.1287391998692936,-0.13349368701065734,-0.13834668132923555,-0.14329196060260954,-0.14832280457421992,-0.153430596262407,-0.15861088381710478,-0.16384837712414765,-0.16912911476736062,-0.17443167232886528,-0.17973693085821021,-0.1850229940601205,-0.19026525150927268,-0.19543979061817499,-0.20051991752644496,-0.20547605377796777,-0.21027941000372108,-0.2148893394098622,-0.21927050757754732,-0.22338755926858153,-0.2272158776637419,-0.23073655263443124,-0.2339415719053376,-0.23683072470852148,-0.23941230449369533,-0.2417006311709227,-0.24371532922716105,-0.24546552243504569,-0.24696981605606586,-0.2482479524441618,-0.24932081478865334,-0.25021044075866555,-0.2509125126772715,-0.25146422631590043,-0.2518948135576713,-0.25222947208341034,-0.2524868566961123,-0.2526827556826066,-0.252829287212377,-0.2529366278926417,-0.253013379412631,-0.2530666430485942,-0.2531029881431954,-0.25312751972490044,-0.253143567945018,-0.25315402897026107,-0.25316087530185777,
Female,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-6.38906844246261E-5,-2.726930334340287E-4,-6.41857968468363E-4,-0.001169162050956827,-0.001841874373782257,-0.0026338643693668727,-0.003545099974289464,-0.004546044193171229,-0.005623061694133056,-0.006778759424702451,-0.008011718712369166,-0.009315094204138997,-0.010689383451148874,-0.012136368959670556,-0.013663077167008205,-0.015269009979692789,-0.016958646792339844,-0.018726050613363174,-0.020571018899526807,-0.022493799637754427,-0.024491169533931163,-0.026558599869436348,-0.028691624638549105,-0.030891275209866557,-0.033161999088929896,-0.03550701854809213,-0.03793061159557515,-0.040438135875028605,-0.043034159141092584,-0.045721578985534854,-0.04850153964404226,-0.05137654271461959,-0.054350445829579354,-0.05742476714158274,-0.060600459660747195,-0.06388218831982546,-0.06727018335170204,-0.07076144634854407,-0.07435587662546025,-0.07805309029978486,-0.08186215798881748,-0.08578373993553695,-0.08981314353951488,-0.0939480271028481,-0.09819185252062235,-0.10254834760593264,-0.10701021570888589,-0.11157577628051008,-0.11623815204481412,-0.12099163037137049,-0.12583168455209875,-0.13075276886408058,-0.13574980847093535,-0.14081441497419148,-0.14594079609821228,-0.15111768003597068,-0.15633374399311062,-0.1615730029001295,-0.16681946139751155,-0.17205927701250107,-0.17727602119736188,-0.1824530949773178,-0.1875721463769705,-0.1926133994362763,-0.1975571447501429,-0.20237339878750113,-0.20703137829771553,-0.21149653840036456,-0.21573911413284827,-0.21973025295304588,-0.22344967334941707,-0.22688098093125816,-0.23001694364542696,-0.23285593836521512,-0.2354009207435906,-0.2376454963785425,-0.23959146741887455,-0.24124855207274326,-0.24263426911327932,-0.24377246638432368,-0.24464745769675955,-0.24531400605446588,-0.24581814869289118,-0.24619722449259213,-0.24647937787523796,-0.2466877375312548,-0.2468409179332172,-0.2469524293469744,-0.2470328057425643,-0.24709035859069078,-0.24713122636789103,-0.24715986744297627,-0.24717981038003095,-0.2471936458220341,-0.24720311317766674,
1970s,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-5.8076993241103965E-5,-2.7519255368811847E-4,-7.595158613092242E-4,-0.0015356848266564506,-0.0026466364415951653,-0.004006545654608751,-0.005555726271782706,-0.007277832709820559,-0.009145540128521664,-0.011138213627256826,-0.013226620784770804,-0.015384031145409744,-0.017636396959495673,-0.019962295721089818,-0.022367705210828735,-0.02485839063658403,-0.027444401165317812,-0.03012392109856686,-0.032906837617287625,-0.035812651291937427,-0.03883918287523091,-0.04195456336333854,-0.045138143300242385,-0.04837969958634188,-0.05167617390055254,-0.05502527069653119,-0.05843117840314533,-0.061896559552032486,-0.06542399278639208,-0.06901607755619178,-0.07267511046189365,-0.07640358057090849,-0.080206152153789,-0.08408553049000698,-0.08804349995818272,-0.09208412895074337,-0.09620985159321681,-0.10041867339507936,-0.10471597503838438,-0.10910092491473666,-0.11359070840160873,-0.11818347225705425,-0.12287545399408932,-0.1276667008025004,-0.132556805013088,-0.13755072830134787,-0.14263778435286956,-0.147813184489502,-0.15306637734827977,-0.15839064201175274,-0.1637787813352594,-0.16922199276706526,-0.17471144919671097,-0.18023440664717827,-0.18578204702035273,-0.19133975694968128,-0.19689027174100227,-0.20241751072579325,-0.20790235923379996,-0.21332536044349057,-0.21866869574916464,-0.2239132383472035,-0.22903681946804813,-0.23401864029771816,-0.2388389082489789,-0.24347011602175256,-0.2478830886905351,-0.252049879525209,-0.2559478141182418,-0.2595600411654217,-0.2628764663948076,-0.2658935663874696,-0.26861409525297897,-0.2710489399655089,-0.2732103690330103,-0.2751051625441239,-0.2767441150688884,-0.27814288931154496,-0.27931880263109027,-0.2802948859728385,-0.2810630210170748,-0.28166393872017753,-0.2821303328653813,-0.28249103769951894,-0.282767167403573,-0.28297661758706505,-0.28313410552163176,-0.2832502026111688,-0.283334775710029,-0.2833952443971687,-0.28343795620530987,-0.28346767037157233,-0.2834878657787792,-0.2835017197897912,-0.2835111974584636,
1980s,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-8.403882416455818E-5,-3.4019580974301413E-4,-8.378950494517504E-4,-0.0015847871162123894,-0.002541289806283812,-0.0036908353121903516,-0.004994479728663738,-0.006419151127709323,-0.00793503324191129,-0.009522887034438019,-0.011192686116962515,-0.012928279454417144,-0.014734736229767077,-0.016610428078817203,-0.01856426529209827,-0.020595790489154976,-0.022709681336931326,-0.024897664509588587,-0.02715595460604019,-0.029486507911578624,-0.03188385580527415,-0.0343348660362537,-0.036834123787285455,-0.0393795280314918,-0.04197377447045582,-0.04461837778718022,-0.04731573973414673,-0.050070760056529384,-0.05288679725271218,-0.05576751421112755,-0.05871553729120556,-0.061733998818197564,-0.06482908996913833,-0.06800302974351227,-0.07125980513038688,-0.07460624054974757,-0.07804473704265534,-0.08157519500300765,-0.08519963801971864,-0.08892019512152276,-0.0927464459343723,-0.09668288688042909,-0.10072610628256246,-0.10487731552664041,-0.10913963378301918,-0.11351998161945799,-0.11800926048972102,-0.122605589493231,-0.12730222850155368,-0.13209378085743725,-0.13697471412371146,-0.14193787057041166,-0.14697564004535518,-0.1520830177580587,-0.15725427477942683,-0.16247357316071348,-0.16772866407355122,-0.17299934193811475,-0.17826861287886217,-0.1835187647906852,-0.18872905143026905,-0.19388033702208166,-0.1989491369737665,-0.20391128028803424,-0.20874058007412472,-0.21340313812765535,-0.21786610031736234,-0.22209618669507988,-0.22606780707919544,-0.229759281632592,-0.23315764745941656,-0.23625431333637065,-0.23905089696217457,-0.24155561481619514,-0.24378248654939638,-0.24573335702087606,-0.2474196070196271,-0.2488550764256579,-0.25005935073119084,-0.2510550593894715,-0.25183228449646144,-0.25243503904281017,-0.2528989875715479,-0.2532543657040687,-0.25352353475035366,-0.2537255977330329,-0.25387576544322926,-0.2539858135969292,-0.25406499571200425,-0.25412078786935166,-0.25415955474809593,-0.25418626063630784,-0.25420421074247473,-0.2542162447363615,-0.2542243339579058,
1990s,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-6.317373538445506E-5,-2.6072062662499824E-4,-6.061583345638352E-4,-0.0011051685687084498,-0.0017307239400423352,-0.0024733528925562553,-0.0033362571446660305,-0.00431409089155226,-0.005380110725057089,-0.00653460520441767,-0.007767981768566127,-0.009073790730006139,-0.010449049461776874,-0.011890275213823898,-0.01339334198233103,-0.014964095341327296,-0.016609679657261667,-0.018323506989351004,-0.020097239153234518,-0.021925109074411413,-0.02381293647974623,-0.025750906316008463,-0.027736478673285766,-0.029768679777903578,-0.03184857724952227,-0.0339789379915652,-0.03616178948094204,-0.0384034570938488,-0.040709255987312384,-0.043080285631002,-0.04551971869390917,-0.0480333396415914,-0.05062581840074265,-0.05330189343867672,-0.056065292177088874,-0.05892386654468146,-0.06187986320487518,-0.06493443961724243,-0.06809133289329193,-0.07135499207033769,-0.07473530154711013,-0.07823436388636615,-0.08185043211434766,-0.08558377385799656,-0.08944267307400035,-0.09342845910445564,-0.09753733594953734,-0.10176889979991588,-0.10611910004180315,-0.11058326898885645,-0.11515717546742393,-0.11983715028252796,-0.1246197841118868,-0.12949582537275317,-0.13446243770186941,-0.1395084037669152,-0.14462258014278093,-0.14978547938467515,-0.15497940377461308,-0.16018610785476478,-0.1653828713404629,-0.17054714267027996,-0.1756559403200225,-0.18068118485805074,-0.1855969353954745,-0.1903619398643825,-0.1949407120436681,-0.19929380601455365,-0.20339151744633446,-0.20720639569343183,-0.21072315612855635,-0.21393355756544866,-0.21683822137080833,-0.21944189868078873,-0.22175521364816317,-0.22377828855438223,-0.22552200606748318,-0.22700241312914837,-0.22823957531579922,-0.229256295503083,-0.23004280829215373,-0.23064704685838916,-0.231108601205808,-0.23145929680825875,-0.2317233404771268,-0.23192036598276097,-0.23206540379235652,-0.23217056004629494,-0.2322452706275599,-0.23229741482807076,-0.23233338393366193,-0.23235789474241653,-0.23237442374243164,-0.2323854581411584,-0.23239273710815359,
Age0-4,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-1.6140146004554816E-4,-6.780095871399392E-4,-0.0016719385409285907,-0.003167230716252317,-0.005124836184849166,-0.007303546757172353,-0.009580770723418178,-0.011884814581967686,-0.01417544780524728,-0.01643928057345305,-0.018666947871218784,-0.02085659311109197,-0.023011283332347802,-0.02513424630925106,-0.027229629521056252,-0.02930047326753773,-0.0313539333308171,-0.03339417619162196,-0.035430196794272804,-0.037465961171828134,-0.03951052244750483,-0.04157094899656289,-0.043652853574746193,-0.0457635595725383,-0.04790878166514068,-0.050094482659168674,-0.05232433459300491,-0.05460587910796899,-0.05694558460010675,-0.05934753250616168,-0.06181527248457458,-0.06435380768925605,-0.06696849559184477,-0.06966347485495888,-0.07244444702216658,-0.07531731022783827,-0.07828784759492817,-0.08136006934295503,-0.08453788385233375,-0.08782700024357187,-0.09124289892152937,-0.09478882026415335,-0.0984604784496685,-0.10225919270518354,-0.10619565674460371,-0.11028358549813479,-0.11451262382166838,-0.11888327247425325,-0.12338682138715007,-0.12801485942853996,-0.13276360006334298,-0.13762573111007367,-0.14259301118820183,-0.14765792455220225,-0.15281646098285243,-0.15805068272511255,-0.16334594080022427,-0.16868101259887144,-0.17403522328463733,-0.17938796934454224,-0.18471533795227513,-0.18999273109570752,-0.19519555521798293,-0.20029508678858698,-0.20526487649767425,-0.21006622129429267,-0.21466462558627233,-0.2190230387962352,-0.22311391860557778,-0.226913005184987,-0.23040693042545987,-0.23358917080384994,-0.2364615861307716,-0.23903157026287122,-0.24131287263279413,-0.24330753239894212,-0.24502613452653407,-0.24648443516320864,-0.247702783308512,-0.2487040710859113,-0.24947879144340337,-0.250075079742542,-0.250530477235387,-0.2508772452837435,-0.2511379577072674,-0.2513322730552639,-0.2514755168776928,-0.2515796462344325,-0.2516537530155652,-0.25170568513154584,-0.2517415437767253,-0.2517659463123314,-0.25178235388702486,-0.25179329045740045,-0.251800577133181,
Age5-9,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.203958232566818E-4,-0.001080735642712205,-0.0023385972835195594,-0.004048992254180315,-0.006190745627225859,-0.008576204362518356,-0.011092425973676231,-0.013679433294640855,-0.016299643891968106,-0.01892779848917412,-0.02154904155327983,-0.024158712377377687,-0.02675376781974133,-0.029335141028918675,-0.03190462394628395,-0.03446473434875116,-0.03702148638345716,-0.0395809211123778,-0.04214815256999815,-0.044731924849325956,-0.04733812126917048,-0.049975333872959445,-0.05265234165346293,-0.0553754142557745,-0.05814881683568421,-0.0609762821512527,-0.06386419479766042,-0.06681945968939146,-0.06984700931079789,-0.0729479299401233,-0.07613227728957143,-0.0794000730684374,-0.08274777469247165,-0.08617978479665518,-0.08969729173166113,-0.0933035816058125,-0.09700079971999896,-0.10079030989419194,-0.10467302461282617,-0.10865225964831593,-0.11272505827866668,-0.11688834030094415,-0.12114122866497633,-0.1254814570266325,-0.12990771969686987,-0.1344136160819286,-0.13899757476836339,-0.14365671348597764,-0.14838003212153028,-0.15316438637465218,-0.1580004615958913,-0.16287996645333225,-0.16778565670297052,-0.17270165762816453,-0.17761212925867656,-0.1824993530107354,-0.18734615733485632,-0.19213057140795203,-0.1968307000231836,-0.20142127819941996,-0.2058669379427152,-0.21013418818618868,-0.2141890950376916,-0.21800461558221876,-0.22155800666534095,-0.22483633943864054,-0.22782973502405532,-0.23054132471977212,-0.2329757251581486,-0.23514172475795972,-0.23704070686084727,-0.23868378903125548,-0.24008409190694685,-0.24125969715482373,-0.2422320263157842,-0.24299153654404856,-0.24357944681583626,-0.24403277207494675,-0.24437968456806505,-0.2446430387842764,-0.24484103310690844,-0.2449882392874026,-0.24509570050621385,-0.24517284599893752,-0.2452269309085367,-0.2452644868358026,-0.2452904561011714,-0.24530794268598094,-0.24531962667830848,-0.24532747221898552,
Age10-14,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2062813288963013E-4,-7.337856006243978E-4,-0.0016387240628915475,-0.002940286834523999,-0.004673754006250397,-0.006698799789262021,-0.00893005407405367,-0.011306415335564104,-0.01379130393193891,-0.016351872434625596,-0.018975296794361936,-0.02165204407700508,-0.02437617463708652,-0.02714293128549583,-0.029954753627398207,-0.0328156198572045,-0.03572912201435698,-0.03869780613139109,-0.04172560725270025,-0.044816369927772166,-0.04797409047468392,-0.051203333766051615,-0.05450905625126083,-0.0578966318664861,-0.06137010227135317,-0.06493360287413447,-0.06858968102772457,-0.07233801157503582,-0.07618108277875889,-0.08012112323215159,-0.08416331950521842,-0.08831042874248966,-0.09255891714406352,-0.09691067205493926,-0.10136603939528273,-0.10592021817798308,-0.11056824622284443,-0.11530655430145845,-0.1201293585102468,-0.12503542993775513,-0.13001801092255535,-0.13507189795487312,-0.14019230741681432,-0.14537207325975823,-0.15060653340519006,-0.15588428076049687,-0.16119153356578875,-0.16651055958388697,-0.17182780126220631,-0.17712661859012327,-0.18238701510172015,-0.18759037658241007,-0.19271348974917096,-0.19773216997579654,-0.2026231938375409,-0.20735087742188474,-0.2118824730340033,-0.21618430128030058,-0.2202291217863926,-0.22399220103780082,-0.22745992105106475,-0.2306247034903919,-0.23348398899028172,-0.23604526159970668,-0.23832175149181736,-0.2403159158873024,-0.24203882515940092,-0.243506397028268,-0.24473742838696777,-0.24575636000584763,-0.24655285321824197,-0.24717089597808448,-0.24764761602681037,-0.24801358486047584,-0.24829224537571706,-0.24850227786904486,-0.2486588981144259,-0.2487734713826291,-0.24885622355040413,-0.24891478857475444,-0.24895590277536797,-0.24898418324900584,-0.24900330535238327,-0.2490163422216211,-0.24902507849763256,
Age15-20,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1976164735658933E-4,-8.020393664307635E-4,-0.0017754415069432543,-0.00313831149561167,-0.004932581972817938,-0.007145874975050601,-0.009654016187879077,-0.01238877346549273,-0.015304289715832038,-0.018371929652119357,-0.02156851933153356,-0.02488261924292236,-0.028309415293470547,-0.03184267869942163,-0.035474354955993194,-0.039202052712236965,-0.043023616254809445,-0.046941306966023916,-0.05095169686179839,-0.05505448358363839,-0.05925659596424072,-0.06355386126140466,-0.06794112820215428,-0.07242049286256481,-0.07698792557347957,-0.08166325699179844,-0.08644436071871647,-0.09132747781625591,-0.09630846799937465,-0.10138247294457696,-0.10654757031764878,-0.11179725538383141,-0.11712369063138353,-0.12252032029716863,-0.12797899680550584,-0.1334936392953644,-0.1390544521042314,-0.1446554916768934,-0.15028755216963957,-0.15593892130056444,-0.1615995925149933,-0.16725618225172303,-0.17289168660928458,-0.1784885005807038,-0.18402880591973456,-0.18949353399163865,-0.19486528621934857,-0.20012439752252068,-0.20524929244583304,-0.21021918428547498,-0.21500549621542728,-0.2195783079732526,-0.2239057408548595,-0.2279640357560751,-0.23173383767967012,-0.23520103605197673,-0.2383599528534594,-0.24121285532686654,-0.24377031511080108,-0.2460437520685583,-0.24803637220962269,-0.24976026589372854,-0.251231263114037,-0.2524683424597567,-0.25349421671186895,-0.2543007146225169,-0.254931336710688,-0.25541980262550357,-0.255796090928901,-0.2560835034583477,-0.2563014022503692,-0.2564645317705016,-0.25658509609311697,-0.2566727881880698,-0.2567353200685808,-0.256779165173981,-0.25680977031111507,-0.25683062211772817,-0.2568448939427212,-0.25685455828964293,
