Group,Outcome,age_0,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,age_11,age_12,age_13,age_14,age_15,age_16,age_17,age_18,age_19,age_20,age_21,age_22,age_23,age_24,age_25,age_26,age_27,age_28,age_29,age_30,age_31,age_32,age_33,age_34,age_35,age_36,age_37,age_38,age_39,age_40,age_41,age_42,age_43,age_44,age_45,age_46,age_47,age_48,age_49,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89,age_90,age_91,age_92,age_93,age_94,age_95,age_96,age_97,age_98,age_99,
all,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-6.530842692426397E-5,-3.3898272074800765E-4,-8.793393763908885E-4,-0.001672713178937606,-0.002599435876661473,-0.003672176624326235,-0.004899223445144236,-0.006212840935346387,-0.007664992277129489,-0.0091883669466554,-0.010773530534219315,-0.01240511080031858,-0.014100659749623476,-0.015852237481824794,-0.017714848953527297,-0.019622583480985292,-0.021590918447315807,-0.023671880691092828,-0.025808777199390405,-0.02799772086122359,-0.03030309042864489,-0.03262802307290917,-0.03502636661154531,-0.03746067772093572,-0.03992458788414212,-0.042461602530494046,-0.045040562335291925,-0.04766195088344209,-0.05037423920747282,-0.05311539373474317,-0.05593780071706943,-0.05881444835688853,-0.06176063790318076,-0.06478939112655678,-0.06787258758106028,-0.07107105103316806,-0.07434158620425081,-0.07767281346028258,-0.081080300064498,-0.0845670494921359,-0.08814872527537526,-0.09183900250904345,-0.09566286465753103,-0.09961848260652952,-0.10367348129155675,-0.10785154778395356,-0.11212419777216172,-0.11651500647719833,-0.12103734400272384,-0.12564576948510417,-0.13037181939076642,-0.13517471653927082,-0.14008001170108736,-0.14508167230223332,-0.15017145462213613,-0.1553145596674103,-0.16051418765230438,-0.16574795546585622,-0.1709914020202216,-0.17624263438163068,-0.18147441293169406,-0.18667711225620154,-0.1918147255236147,-0.19691935210802095,-0.20194283789178152,-0.206806964036776,-0.21151749266500397,-0.2160080360946292,-0.22023792273249257,-0.2241661493399376,-0.22778279990993022,-0.2310871780388598,-0.2340766494812515,-0.2367219959704926,-0.2390553679659316,-0.24111170632908868,-0.24289960117740908,-0.24440476314097126,-0.245662998817821,-0.246701605541895,-0.24751402704110392,-0.24814993706415625,-0.24864092960737594,-0.24901052807178106,-0.24928191160011293,-0.24946984444906095,-0.24959777896027277,-0.24968986014933048,-0.24975114136969484,-0.24979721325314752,-0.24982781433092652,-0.24984826032460372,-0.24986275210719044,-0.2498732215957551,-0.24987863156160126,
Male,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-7.882365717127913E-5,-3.3587066812946614E-4,-9.288342986459883E-4,-0.0018143842464244029,-0.0028019921716044074,-0.00392536558257415,-0.005266172620314859,-0.0067041497011946635,-0.008329117317891014,-0.009972766761009198,-0.01170552129425027,-0.013515907447392452,-0.015414077648387588,-0.017362266117228315,-0.019458415296165234,-0.021595444417251426,-0.02375741660611994,-0.026050133322026898,-0.028399444284853928,-0.030798410389835027,-0.03332760189687129,-0.035897138232753596,-0.038500660308594545,-0.0411253512005366,-0.04378245262522894,-0.046500937549422375,-0.04925379614871723,-0.05201517449826258,-0.0548600342347767,-0.05771377342032463,-0.06061981662027396,-0.06354738716554988,-0.06653490671903868,-0.06959257264616929,-0.07267583962864096,-0.07585481072688886,-0.07909767462589182,-0.08236145955715875,-0.0856855431399259,-0.08909460472332911,-0.0925950540138912,-0.09620149711661531,-0.09994950927932722,-0.10384718812816171,-0.10786543779806818,-0.11202125367953326,-0.11627706786216377,-0.12068058711085064,-0.12525450210402334,-0.12992854651784552,-0.1347194812566601,-0.13959066631391803,-0.14456569484043982,-0.14966844675712634,-0.1549003304403128,-0.16020645368993303,-0.16557211065190663,-0.17099932368410656,-0.1764263968604111,-0.1818472082566144,-0.1872701292347828,-0.1926415243056516,-0.19791299460727418,-0.20311527409620544,-0.20821138937615075,-0.2131034347537994,-0.21778260742749175,-0.22218262475141923,-0.22628623952158614,-0.2300573176629924,-0.23344450587898175,-0.23649779345978722,-0.23921522406035906,-0.2415837757120463,-0.2436459973306669,-0.2454717866850145,-0.24704821687684986,-0.24836047043245155,-0.24945148807334516,-0.2503617583926913,-0.25108590157946326,-0.2516484824609756,-0.25209151760186377,-0.2524225378108658,-0.25265962003003384,-0.2528299454272311,-0.25295018437800526,-0.25303781066807035,-0.25309154913424803,-0.25312550465031186,-0.25314581073607495,-0.2531573898578895,-0.25316618129840723,-0.2531706744711747,-0.253172470319099,
Female,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-4.85569645592617E-5,-3.428399210671428E-4,-8.179942707590151E-4,-0.0014971259970079213,-0.002348389016842175,-0.003358377527838144,-0.004444438617831478,-0.005603929419456227,-0.006841907784955007,-0.008216245595156779,-0.009618548852285889,-0.011028610766749969,-0.012473240149636845,-0.01398141230594716,-0.015554947940962054,-0.017178972291467868,-0.018907886032957753,-0.020727228477939834,-0.022601864451453818,-0.02453168927560056,-0.02656098864928153,-0.02858437373919732,-0.030730017506469753,-0.03293011358339396,-0.035156338281335596,-0.037470188260502815,-0.039835457049570665,-0.04228516385183585,-0.04483496281870954,-0.04743842331943366,-0.05015890172502483,-0.052974027589456324,-0.05587057370279526,-0.058864971197090776,-0.06194928621723467,-0.06517301897845093,-0.06847883104829917,-0.0718942633284211,-0.07540558539856779,-0.07898901202839895,-0.08267153783973112,-0.08646562742664761,-0.09038328805178177,-0.09441081061114695,-0.09851136836904192,-0.10271675437262104,-0.10700995420977316,-0.11138496822845673,-0.11584359466389067,-0.12037084778364272,-0.12501669561915033,-0.12973496817167718,-0.1345535384062527,-0.1394296655535384,-0.14434321265821176,-0.14928413746654307,-0.15427731227170205,-0.15927067920679036,-0.1642863716501896,-0.16932768436819595,-0.17432320772079635,-0.17931776672482141,-0.18429120601041613,-0.18927726616474386,-0.19421409751542704,-0.19904796678239642,-0.2038023893933227,-0.20841115329173485,-0.21280376818208485,-0.21693271387860735,-0.2208389307707847,-0.22445838546858735,-0.227787997797828,-0.2307783998821646,-0.23344891620222066,-0.23579130998890876,-0.23784098454352495,-0.2395845280511957,-0.2410490671774709,-0.2422458825256783,-0.24316707678399935,-0.2438932193034152,-0.2444431947064214,-0.2448601738701806,-0.2451737170745193,-0.2453832446584952,-0.24552060511244195,-0.2456181317023262,-0.24568864897668966,-0.2457495610709802,-0.2457927707827451,-0.24582406406397783,-0.24584554824515814,-0.2458633490176196,-0.24587318971653332,
1970s,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,0.0,-3.1379107995085524E-4,-9.655639818686446E-4,-0.002064760509936557,-0.0033264129350780605,-0.004764761741111137,-0.006355502015928687,-0.008170425089532111,-0.010143141440587219,-0.012129229963399468,-0.01424405993576432,-0.016334238480482977,-0.018467700465449866,-0.020606826095157293,-0.022935433480965654,-0.025421354257403283,-0.02801171073025777,-0.030728976736066983,-0.03352645457097757,-0.03647596664781215,-0.039604397967679596,-0.04276091635231701,-0.046058415243750754,-0.04935024345292642,-0.052705694479878266,-0.056147768047397746,-0.05959784200119822,-0.06308754032626748,-0.06672691301323402,-0.07039208527582969,-0.07412991585290754,-0.07794198390857413,-0.08181789440738264,-0.08580089964154236,-0.08976643693356937,-0.09386101490029759,-0.09804378809830468,-0.1022798549602377,-0.10655088444663091,-0.11084907595132272,-0.11533483764083236,-0.11998483762384154,-0.12482146198175942,-0.1297956267014339,-0.13487502311502528,-0.14005341690097217,-0.14528970238004074,-0.1506017080952186,-0.15602112556482445,-0.1614661176617283,-0.16696638113877588,-0.17248890810563366,-0.17802962883011728,-0.18363869456604656,-0.18928162995150274,-0.19495662966183253,-0.2005873936583549,-0.2061917759423246,-0.21169791794972317,-0.2171571393575986,-0.22254227572479057,-0.2277825095314016,-0.23292960212195177,-0.23794302214349702,-0.24282270960975896,-0.24748789537005805,-0.25196226104523634,-0.25619828707265896,-0.2601246774920999,-0.26374473255694164,-0.26708995777832495,-0.27018555721285786,-0.27296602004239684,-0.27543887380693255,-0.27761372759678105,-0.2795119158569773,-0.28117264708414486,-0.28258933351433185,-0.28376205223392525,-0.28471996888310513,-0.28545974640443783,-0.2860479676886461,-0.2864998450628358,-0.2868586401476129,-0.287126051477264,-0.2873212421050328,-0.287456216981368,-0.28756014184714046,-0.28763658685481874,-0.28769679694227923,-0.28773317362730855,-0.28776339068185,-0.28778063141504456,-0.28779369893138457,-0.2878016269030482,
1980s,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-9.953778860197439E-5,-3.3025138909209876E-4,-0.0010200281770633413,-0.0019746502346570443,-0.0030368854744544497,-0.0042805798512404415,-0.005693224955769997,-0.007194680265698061,-0.00885588510299631,-0.0106108955620367,-0.012426764142212198,-0.014275666587623904,-0.016130675185129475,-0.018035476531727206,-0.020041023233101203,-0.022082024755377346,-0.024209750004758782,-0.026428470406667858,-0.02872112253851073,-0.031038477569323746,-0.03351034488825601,-0.03597414694611883,-0.03848007086796923,-0.04104761506944597,-0.04362040169429754,-0.04629523419536772,-0.04905026091899378,-0.05186476188351281,-0.05473522481732509,-0.05762236033270031,-0.060576628733389565,-0.06360877798927632,-0.06669756583036293,-0.06988221305202807,-0.07311980475617856,-0.07643495997391014,-0.0798038114199419,-0.08326104723909626,-0.08679454499649027,-0.09041771564092219,-0.09407317519011123,-0.09782561573506662,-0.10171616571035878,-0.1057250818670034,-0.1098340071800781,-0.11404315440007556,-0.11838697044068075,-0.12285170587615643,-0.1274452910619389,-0.13211592705803313,-0.13694878465267785,-0.1418581677259701,-0.14688906335933008,-0.15200909123055092,-0.15720239840372005,-0.1624078687319574,-0.16768742554630175,-0.17295924438077873,-0.1781996113963819,-0.1834738046981958,-0.1887144855045016,-0.19391209880683377,-0.1989946729452205,-0.20405827400785562,-0.20901685332398298,-0.2138314576218266,-0.21847747093749317,-0.2229253814197714,-0.22708419761643794,-0.2309564543714948,-0.2344831654909965,-0.23769643081613093,-0.24057667849656506,-0.2431382797756725,-0.245422505264481,-0.247440824283511,-0.249203236896236,-0.2506968958631594,-0.2519383429965233,-0.2529395572699213,-0.253678832469906,-0.25427197230128723,-0.2547373185361607,-0.25509769878735583,-0.255369114480882,-0.25557515625889843,-0.25571966251643224,-0.25582481033862825,-0.2558992087638349,-0.25595438070728754,-0.25599076798261583,-0.2560197003904368,-0.2560404857156476,-0.25605448639856865,-0.2560607934791728,
1990s,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-6.937622724863719E-5,-3.5735114396067455E-4,-7.316099704012258E-4,-0.0012596886235601722,-0.0019273394553522398,-0.002699648743517035,-0.003615959008636724,-0.004553368183817652,-0.005604214542191703,-0.006735856993411083,-0.007898946729549708,-0.009151654588927012,-0.010522348604054899,-0.011977135924459236,-0.013514445778149448,-0.015052280377767518,-0.016610540236920393,-0.018291412018734576,-0.020003454695937034,-0.021742392563948384,-0.02353965719596699,-0.025373684012418518,-0.027273920592055353,-0.02921010312544077,-0.03117874387463896,-0.033192089764862334,-0.03523406830485009,-0.037306658817783785,-0.03946995393065612,-0.04167293880362687,-0.04397215677778238,-0.04629855729949829,-0.04870721501063786,-0.05117646246255978,-0.053734500750911796,-0.05643042665728217,-0.0592054941258771,-0.062023182711028725,-0.06493584428360484,-0.06794436225929612,-0.07105290184231114,-0.07425316236116189,-0.07755922542898921,-0.08100480749871067,-0.08454603735761328,-0.08823916303860115,-0.09201249052121342,-0.09592216826894874,-0.09997667206881103,-0.10415377163687102,-0.10844358872348646,-0.11283558770123302,-0.11735427757033416,-0.12198682763078557,-0.12674333600588691,-0.13159424707405562,-0.1365344466340171,-0.1415693726523246,-0.14669546065751513,-0.15183525945181742,-0.15699136818481665,-0.16218208797727526,-0.16735820038874202,-0.1725367974693288,-0.17767784129228767,-0.18267496553454143,-0.187547959502929,-0.19218994213209536,-0.1966170566936198,-0.2007322547635094,-0.2045436564810042,-0.20801420439221566,-0.21118521023535006,-0.21397458738412062,-0.2164183549012711,-0.21857617236914556,-0.2204410803995029,-0.2219939704147568,-0.22330442732213013,-0.22440941996560446,-0.22531361573163874,-0.22600575577677753,-0.22653529098106065,-0.22691689688145178,-0.2271900923901714,-0.22735978166294984,-0.22747105044218685,-0.22754694104300374,-0.22759047078259842,-0.22762237839472382,-0.2276456556502264,-0.22765473833714503,-0.22766287700192694,-0.22766926921361474,-0.22767274295733514,
Age0-4,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-1.5214711380295381E-4,-7.897234074862293E-4,-0.0020486057117590144,-0.0038969869537312553,-0.006056101685688685,-0.008398090238031432,-0.010701126901182616,-0.013012066272533457,-0.015310576422067498,-0.017563335184173672,-0.019749306968977073,-0.02185202345926936,-0.023935183774088795,-0.025974974067127284,-0.028026006099317508,-0.030038073157733318,-0.03200459618540162,-0.03395385323461925,-0.03594364588621055,-0.03790740164252175,-0.039917383688027074,-0.04192964834768414,-0.04396552023426694,-0.0460178024331344,-0.04809102843126014,-0.050249608821573484,-0.05241896476892647,-0.054619820952318376,-0.056910979078102594,-0.05921321578394177,-0.06161116245721708,-0.06404202591253194,-0.06651591976673718,-0.06905177368215241,-0.07163158972066837,-0.07435105930009858,-0.0771502291042408,-0.08000812629038437,-0.08294900655217606,-0.08598206924281221,-0.08910202115254985,-0.09237039676994738,-0.09578107071850439,-0.0993508930765546,-0.10305699707688493,-0.10691005384361882,-0.11087295477157325,-0.11497521646276655,-0.11930874934490447,-0.12374990148236362,-0.12831943318385602,-0.1329647323463982,-0.1377081976371361,-0.1425668274342588,-0.14750877179291882,-0.15250760826489046,-0.15755625050729014,-0.16266746586311082,-0.16778231648876596,-0.17293519861490014,-0.17807878318613113,-0.18326738440492857,-0.18840514189530697,-0.19355504855544747,-0.19865018061516898,-0.20360035402797116,-0.20842259242156938,-0.21304171349066542,-0.2173706128839691,-0.22136252918453245,-0.22503256107646863,-0.22834876139080187,-0.23133791069781007,-0.2339716669150199,-0.2362775072047717,-0.23828412265679322,-0.24004055807737978,-0.24148700961919997,-0.24271585154280637,-0.2437494194382405,-0.2445467139552631,-0.2451785698931784,-0.24566378706705888,-0.24603177983429844,-0.24632237465115392,-0.24651779268211443,-0.24665013115164042,-0.24674831080635576,-0.2468101098271819,-0.24685934486753752,-0.24689446810507257,-0.2469121249553691,-0.24692674176007,-0.2469358260113109,-0.24693854064408738,
Age5-9,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.856491934863925E-4,-0.0012948000501283492,-0.0026559628593533207,-0.004625472549020246,-0.0069797903007836415,-0.009573424675267622,-0.012308287262405659,-0.015070898845607517,-0.0178553358765919,-0.02065365959154287,-0.02331859349005062,-0.025923244665830607,-0.028528202107605913,-0.031036415031957806,-0.0335116287051023,-0.036004830496932975,-0.038451110043279786,-0.04091999719439349,-0.04335885990466304,-0.0458104232387992,-0.0483080577929621,-0.05085521021146437,-0.05338455655117722,-0.05594177684786881,-0.0585826853112616,-0.06129992359270413,-0.06407149093285527,-0.0669368674106718,-0.06987048087696385,-0.0728654504097887,-0.07592659067538429,-0.07906283206244936,-0.08225603696626484,-0.08551948795779438,-0.08885503091031288,-0.09227721765923727,-0.09575520096446119,-0.09931259846732969,-0.10297752756825619,-0.10673268220494202,-0.11060552158385999,-0.11454370003170783,-0.11859835779090941,-0.12274332153374384,-0.12693922080651943,-0.13125354875767264,-0.13556236533785657,-0.14000213217983914,-0.1445133612532045,-0.14914587711717597,-0.1538706232494448,-0.1586686394038962,-0.16350677196265684,-0.16836354238811074,-0.1731756522726082,-0.17793151660212966,-0.18262358828043918,-0.18729176582872709,-0.19190305678036232,-0.19645629683600377,-0.20085767522803982,-0.20512781317582776,-0.20922302646404112,-0.21316397073577129,-0.2168901446384884,-0.22034038837011774,-0.2235094450069016,-0.22638872465231166,-0.22895042223566905,-0.23120149746716995,-0.23321964069083195,-0.23496708363189633,-0.23645849222987406,-0.2377186278327034,-0.2387601599829565,-0.2395832302970019,-0.24020837175748103,-0.24069815658641114,-0.2410719001799176,-0.2413153909497348,-0.24147979270075803,-0.241583049392497,-0.24165376727319782,-0.24170796712407924,-0.24174257415065806,-0.2417593308402487,-0.2417756160006279,-0.24179032634543252,-0.241802988389221,-0.2418100798542353,
Age10-14,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.811830098349114E-4,-6.22975322644152E-4,-0.0014160986183942683,-0.002580290534520945,-0.004292733907646143,-0.006266530561762356,-0.008477193431844608,-0.010951386166938942,-0.01353915770794692,-0.01617212374565789,-0.018875596503013185,-0.021565154883491363,-0.024352403986793034,-0.027210743564566493,-0.030097060330590435,-0.0329834132701197,-0.03594539360498033,-0.0389637948534075,-0.04209918082498384,-0.04526270310163363,-0.04848680298053238,-0.051815570284132056,-0.05521512586582878,-0.058699034776965024,-0.06222704387706417,-0.06587875048772372,-0.06960623300920978,-0.0734394431716142,-0.077392586617224,-0.08140534423101921,-0.08551274936092518,-0.08971632546170015,-0.09407479893144616,-0.09851877796741516,-0.10301210666916935,-0.10763719460706289,-0.11236361380464746,-0.11718220470229433,-0.12205567578191834,-0.12697917205029352,-0.13200582748830858,-0.13709936731086503,-0.14233178197325252,-0.14764987555469986,-0.15302818187885192,-0.158466974499079,-0.16397313950177153,-0.16950911452073425,-0.17507778785082861,-0.18066829156308967,-0.18631717611950777,-0.19187992998757983,-0.19733066138846309,-0.20262553491898047,-0.20777978424384214,-0.21275575463443366,-0.21753267344940083,-0.22204664267947954,-0.22627907939192282,-0.23019778706759483,-0.23381269097698976,-0.23715411960188978,-0.24018159295291663,-0.242851690253036,-0.24524207337000492,-0.24734813965168445,-0.24917262444033594,-0.25073410014529857,-0.2520011695549628,-0.2530182021700556,-0.25382848706168654,-0.2544776531013784,-0.2549658848892029,-0.2553209100757465,-0.255576902118146,-0.25576196482064745,-0.2558914135501843,-0.2559788144671314,-0.256033920398196,-0.25607641106763157,-0.2561067140345678,-0.2561281692547398,-0.2561374090446745,-0.25614272506907576,-0.25614620969056884,
Age15-20,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.027876073169351E-4,-9.472860215193894E-4,-0.00207235597570095,-0.0034686203480844627,-0.0052899578143097105,-0.007649095584187889,-0.01022670515275489,-0.013074061550463265,-0.016074822720608315,-0.019160308379434283,-0.02242049457403023,-0.025759001944306078,-0.029250904573890648,-0.03290312798549218,-0.036548127481561936,-0.04026606912425872,-0.04403488624233763,-0.04791026250083532,-0.05194977527657591,-0.05607680169960251,-0.060315919490762517,-0.06459489261377577,-0.06888884143175295,-0.07319308408117106,-0.07757561722534949,-0.08209058712567718,-0.08669847265608627,-0.09147458027083756,-0.09640088107492437,-0.10139757198566426,-0.1064448382534406,-0.11158056039210547,-0.1168083896777861,-0.12204077299684749,-0.1273991468969369,-0.13286080072103232,-0.13854815021284692,-0.14425775933629362,-0.15006223766761864,-0.1559514694723483,-0.16181216046443606,-0.16770805384897056,-0.1735510290442983,-0.1793772099349787,-0.18518875659610412,-0.19091083270994372,-0.19651603373034002,-0.20200801041842303,-0.2075304765980457,-0.21293334197279518,-0.21814674701503436,-0.22315363704957694,-0.22787526490432441,-0.2322780806900183,-0.23635947946882976,-0.24009178886555138,-0.24353272337172752,-0.2466521188346254,-0.24943486323390787,-0.2519072929732819,-0.25410525973832193,-0.25600239588740503,-0.2576281596655254,-0.2589583589872265,-0.26003556894970603,-0.26087816187706636,-0.26152629547422857,-0.2620395496036793,-0.2624262072829996,-0.2627060427910411,-0.2629131281093517,-0.26306528599744206,-0.2631795009743691,-0.26325859138241453,-0.2633184785518026,-0.2633583377768529,-0.2633921583341497,-0.26341258872786427,-0.26343011727798094,-0.26344303739156844,
