Group,Outcome,80-70,90-70,90-80,
all,condLE,2.640291193099698,3.4669393259250976,8.164486868196251,
all,condQALE,1.9618963334925956,2.2558877305541625,3.1422118747329413,
all,condHLY,1.3371978816421897,1.5447208732218765,2.2222851461390927,
Male,condLE,2.601514785691424,2.554670431009047,2.448906551399847,
Male,condQALE,2.054048978671596,1.90223953170315,1.6132257544101274,
Male,condHLY,1.5225172045791313,1.4797509717053625,1.3920433599537705,
Female,condLE,2.6171480397655986,5.7399080948138534,-8.999426132023153,
Female,condQALE,1.8646830024541037,3.046534364434292,27.198119545193265,
Female,condHLY,1.0188064117206297,1.537373160592117,8.455456339149373,
1970s,condLE,-0.2848939367616075,-0.2848939367616075,0.0,
1970s,condQALE,-0.28340912972455035,-0.28340912972455035,0.0,
1970s,condHLY,-0.3444293633044511,-0.3444293633044511,0.0,
1980s,condLE,-0.20673253104470218,0.0,-0.20673253104470218,
1980s,condQALE,-0.20960193464156904,0.0,-0.20960193464156904,
1980s,condHLY,-0.3033948857831321,0.0,-0.3033948857831321,
1990s,condLE,0.0,-0.16755474054858507,-0.16755474054858507,
1990s,condQALE,0.0,-0.17344967042287224,-0.17344967042287224,
1990s,condHLY,0.0,-0.28465877209319873,-0.28465877209319873,
Age0-4,condLE,4.172877408650258,8.22847723986809,-16.1578052395338,
Age0-4,condQALE,2.6315338856513377,3.6091125244945923,8.802250331761897,
Age0-4,condHLY,7.673276023445691,8.548101752901635,10.34771256785618,
Age5-9,condLE,5.390773476772631,10.132985394772053,-5.905659450479884,
Age5-9,condQALE,3.78093014255063,4.438970463926518,10.853931855640312,
Age5-9,condHLY,9.315096041279665,18.0749097886714,-2.9082184902281374,
Age10-14,condLE,25.808580717637806,16.855418151735794,10.37709350117573,
Age10-14,condQALE,11.416568776708539,6.977678048842007,4.148063184859559,
Age10-14,condHLY,2.123522530270979,15.791291157372335,-4.002402481136432,
Age15-20,condLE,4.748916521420732,6.963940167931742,18.979745923058456,
Age15-20,condQALE,4.161372896618398,5.111261939277248,7.42968298422687,
Age15-20,condHLY,3.179861335989248,2.685600300702132,2.162292584165272,
brain,condLE,2.145212636076082,5.850038554963869,-15.848416608429488,
brain,condQALE,1.9079382553505235,4.502717409092376,-76.01119737416987,
brain,condHLY,1.3510532609027552,7.490896322571254,-6.6487821502490245,
bone,condLE,3.4302427712530834,0.23972262469620578,-2.342685301457303,
bone,condQALE,3.1724920696483014,0.060281869205582976,-2.335380463839685,
bone,condHLY,-3.5267087931947807,-4.149981149512614,-3.673661467735501,
sts,condLE,-0.8346590721120855,-1.41271739128559,-1.9102398440927584,
sts,condQALE,-0.9337069751104066,-1.3693447022883842,-1.6407252405134907,
sts,condHLY,-2.273840287699691,-1.2021402828163907,-0.9520119341488076,
solid,condLE,1.321217357569725,-1.6826013612766113,-34.3511279005394,
solid,condQALE,0.37672348769053254,-1.1914940966455925,-16.24357518925197,
solid,condHLY,-2.8916715236526858,-6.693521897678251,15.304712284883617,
leuk,condLE,4.0173626840504815,9.352458697017148,-5.155764157879239,
leuk,condQALE,2.7006946883123173,3.86397259983593,92.62301796154154,
leuk,condHLY,2.0463338028799574,2.356107658331502,-3.3719955140388547,
lymp,condLE,12.817072374842924,9.03339390691197,6.202040235114974,
lymp,condQALE,7.605622648513269,5.805933276063346,4.262888267436239,
lymp,condHLY,5.859084359720691,5.118483189146351,4.429527467543779,
ALL,condLE,4.807778712663661,12.811119524115124,-4.826008213313852,
ALL,condQALE,3.0422031959961875,4.336637307017321,804.8922755076012,
ALL,condHLY,2.6591453892599475,2.907227508508304,0.617947146061817,
AML,condLE,1.0752760521714444,0.5687540018177849,-8.942677664624986,
AML,condQALE,0.9621940891126733,0.4652800305100475,-2.6448231764296137,
AML,condHLY,-0.08119333171470385,-0.23651096892299023,-1.2224665675316526,
OtherLeukemia,condLE,-1.1665558312466342,-12.634111384792034,-4.573718965229398,
OtherLeukemia,condQALE,-1.2283811153160458,-9.34307247078892,-4.522852314214184,
OtherLeukemia,condHLY,1.8913835201921758,-3.2264779308188625,-8.772625891797317,
Astrocytoma,condLE,4.138413982368656,13.206879340026049,-20.053046155043273,
Astrocytoma,condQALE,3.0765295904202294,7.432917034389227,-206.82479222214587,
Astrocytoma,condHLY,2.5858367695092426,31.409692987971187,-7.8257938066854775,
Medulloblastoma,condLE,2.194427485340935,5.017360669259074,-3.8526906893844104,
Medulloblastoma,condQALE,2.6075711049884167,7.174536234445579,-3.409563069793857,
Medulloblastoma,condHLY,4.2189512214279565,-21.912276579404057,-1.5201553502980483,
Other CNS,condLE,-1.1220354365249692,-0.7853893392232114,0.29792144950732474,
Other CNS,condQALE,-1.1461537771794033,-0.7674046439376127,0.02334329936737794,
Other CNS,condHLY,-1.2626644248746002,-0.877371730463885,0.06980453270850022,
HL,condLE,55.565166274534334,13.207042853094364,6.55971653191357,
HL,condQALE,22.69052734843224,10.444716675452574,6.093306079194909,
HL,condHLY,4.029773924357546,3.9840454706276707,3.941967015906413,
NHL,condLE,11.767243125927896,8.982645762252986,6.785190436990805,
NHL,condQALE,5.900876536732719,4.238100032799021,3.084577423086511,
NHL,condHLY,-5.08013853601934,-29.788412364412,6.184486604516017,
Kidney,condLE,7.859044553096949,3.1355693646017473,-2.42504732986555,
Kidney,condQALE,2.6749903460986477,1.3126470840798565,-4.517181490416702,
Kidney,condHLY,13.568101350688407,188.41721526533388,-25.839830811866214,
NBL,condLE,-1.0693743013773744,-8.083988799887535,3.4907746241799202,
NBL,condQALE,-0.7950478121669852,-2.9053886975556735,5.049229862311568,
NBL,condHLY,-1.886512195150763,-4.603069783367929,3.4839783110027978,
STS,condLE,-0.8346590721120855,-1.41271739128559,-1.9102398440927584,
STS,condQALE,-0.9337069751104066,-1.3693447022883842,-1.6407252405134907,
STS,condHLY,-2.273840287699691,-1.2021402828163907,-0.9520119341488076,
Ewings,condLE,1.7926904738835503,1.9199228892383908,-49.13478202727099,
Ewings,condQALE,1.4395410282498067,1.4687280045915345,2.7959210702302197,
Ewings,condHLY,-22.20967223849021,-3.997668891345493,-0.48459884565980227,
Osteosarcoma,condLE,4.5258709877635335,-1.055171714522534,-3.2445225092765146,
Osteosarcoma,condQALE,5.639053754540953,-1.1213621089895702,-2.8682811671515034,
Osteosarcoma,condHLY,-2.3328311223213705,-3.3531283679435835,-2.7560982132645395,
OtherBoneTumor,condLE,-2.12522434676456,30.13423386841978,-1.0552180427296753,
OtherBoneTumor,condQALE,-2.046382040605546,-5.2149191265258,-1.4056145481418374,
OtherBoneTumor,condHLY,-3.408613414373905,8.116592156781731,-149.57869786790033,
AnthNone,condLE,1.9651316858186385,1.9447914677052136,1.8094069984065333,
AnthNone,condQALE,1.4939985275687588,1.4022713838835374,0.9422558585546759,
AnthNone,condHLY,1.0119196468899376,0.8309658058322287,0.039684301485656694,
Anth<100,condLE,4.105051498031102,5.094859169890171,27.83352690464468,
Anth<100,condQALE,2.7909915667783185,2.8809889299809686,3.212215950831391,
Anth<100,condHLY,3.4382925307563927,4.677714986891638,41.913313871889684,
Anth100_249,condLE,5.311825913450132,6.841240223621065,16.022374664614528,
Anth100_249,condQALE,2.9660833888060267,3.460683091645723,5.256079818677581,
Anth100_249,condHLY,3.853479729942894,2.7667320265311472,1.2218944183091665,
Anth250_399,condLE,2.9347299691178845,-3.1295956538418337,-0.8040627118547633,
Anth250_399,condQALE,3.105699125908724,-2.9343443384250647,-0.854590425160408,
Anth250_399,condHLY,2.875727670862692,-1.5621817356537306,-1.345382487333813,
Anth400+,condLE,2.9226182271208483,0.9764859954325275,-3.322730021589564,
Anth400+,condQALE,2.805673482019606,0.7763419722241095,-3.117488665992525,
Anth400+,condHLY,-2.1033872611425144,-1.6552769394122138,-2.000839210891044,
AlkNone,condLE,2.1244815870901532,2.91589658189387,6.615947810633583,
AlkNone,condQALE,1.5296064478579388,1.9384712078809008,3.2746983992191083,
AlkNone,condHLY,0.8219338093591961,1.548729386630311,13.69489519948601,
Alk<4000,condLE,2.090749647746111,2.7255074898041647,7.381805987939229,
Alk<4000,condQALE,1.680486589850751,1.8878336213732303,2.579060733600447,
Alk<4000,condHLY,1.4071253762195255,1.0354615207494149,0.36617190981549425,
Alk4000_7999,condLE,-7.436787552575173,-7.2653040526247,-6.880632537917469,
Alk4000_7999,condQALE,-90.11045017984976,84.92666793396982,14.681136553055424,
