Group,Outcome,80-70,90-70,90-80,
all,condLE,2.6737198810477296,2.9674422025303318,3.4882774509726513,
all,condQALE,1.9205773597190667,2.0584407151628015,2.2776042507209158,
all,condHLY,1.5803687009532679,2.1014125990900405,3.295090793055132,
Male,condLE,2.1565461500938126,2.3207527465462947,2.5883863924769646,
Male,condQALE,1.7143853122923403,1.7608030159349952,1.8282371094282508,
Male,condHLY,1.7033437049238496,1.70857383477836,1.7160567313273842,
Female,condLE,3.5084843158433574,4.172961907952225,5.615065403429823,
Female,condQALE,2.293650873478672,2.6419605884849595,3.301381564362868,
Female,condHLY,1.4124502923808797,2.603821344152282,9.407407747046596,
1970s,condLE,-0.28342895438774485,-0.28342895438774485,0.0,
1970s,condQALE,-0.2831013394634605,-0.2831013394634605,0.0,
1970s,condHLY,-0.35208205648923585,-0.35208205648923585,0.0,
1980s,condLE,-0.21820592486137597,0.0,-0.21820592486137597,
1980s,condQALE,-0.2197758811671765,0.0,-0.2197758811671765,
1980s,condHLY,-0.30712183078411853,0.0,-0.30712183078411853,
1990s,condLE,0.0,-0.17266961670319578,-0.17266961670319578,
1990s,condQALE,0.0,-0.17543391766718577,-0.17543391766718577,
1990s,condHLY,0.0,-0.27090685879773835,-0.27090685879773835,
Age0-4,condLE,3.5695570063261637,5.399356359394413,9.687200334434714,
Age0-4,condQALE,2.0088539441910145,2.8475877184842004,4.358079644898916,
Age0-4,condHLY,1.68554800983777,6.4592073960199725,-17.19918500250569,
Age5-9,condLE,1.8524107698609205,2.657421211677645,8.346904302093746,
Age5-9,condQALE,1.4530011146868043,1.8292245564951537,3.0910462456358188,
Age5-9,condHLY,1.3951143678515596,2.624635527461136,-15.794462129475116,
Age10-14,condLE,-10.098538050147202,-85.87711223993428,12.387350309676762,
Age10-14,condQALE,-19.693750173155262,14.570618179280352,5.210015709825585,
Age10-14,condHLY,-5.234629607899208,596.9767941003123,5.686329666026392,
Age15-20,condLE,-8.236246632576387,41.24965619522247,2.4165337405143585,
Age15-20,condQALE,-9.803934759129968,13.995326416205724,1.8396399229231544,
Age15-20,condHLY,-8.062590026215421,10.332719451801253,1.5600635399925633,
brain,condLE,0.5892015120638148,2.588745918510711,1288.2942597135784,
brain,condQALE,0.5295305346911288,2.0854937647992893,14.391425518235396,
brain,condHLY,-0.23611208365258005,1.0116067426705297,-20.910653153596314,
bone,condLE,-3.776345532668537,2.7492536665216183,-0.8968566728186536,
bone,condQALE,-4.207130665042186,1.9778788826259028,-0.8722772635664106,
bone,condHLY,-2.50988577147803,2.756808339851924,-0.8113367076460293,
sts,condLE,-1.336260361512483,-0.342411384031786,-0.03443622153675625,
sts,condQALE,-1.5239485727776492,-0.3507423637297047,0.00817006427377501,
sts,condHLY,-1.9789032346025206,-0.5023754039940654,0.5579854195361196,
solid,condLE,-1.5729879016657187,-24.23646018757576,-2.391921187766921,
solid,condQALE,-5.013386646135174,-1.5451267495104604,-2.339758765800579,
solid,condHLY,-0.14233638913823604,1.0725082528620489,13.480028568711194,
leuk,condLE,2.460376529422595,3.6578209252048715,11.07517018873527,
leuk,condQALE,1.9154721598406206,2.462927292723174,4.084085019616762,
leuk,condHLY,2.694552605158721,3.920995254689355,13.634616407786458,
lymp,condLE,11.494222339620507,8.089314624003208,5.7059923319512595,
lymp,condQALE,6.37702647031372,5.248040973950521,4.205267777737106,
lymp,condHLY,4.783387358942343,4.749595782959345,4.7132473376138675,
ALL,condLE,2.3439743295648103,3.4094483851598487,8.977496343865097,
ALL,condQALE,1.8069071333127154,2.290262310131575,3.6271194833954525,
ALL,condHLY,3.0940494539481618,4.662549317447959,29.314418598519865,
AML,condLE,1.6401231130713418,2.634847173978084,20.008005942863004,
AML,condQALE,1.2788528901585738,1.770424513449963,4.1929715286827935,
AML,condHLY,-0.014066312924129548,0.033690661909242026,0.29542161315859805,
OtherLeukemia,condLE,-54.384107102734426,-10.366891041540653,-4.9045742913240495,
OtherLeukemia,condQALE,-18.866065676965114,-8.579683137140202,-4.9107506228054865,
OtherLeukemia,condHLY,-2.9432293248002157,-6.044435791325336,7.187921931486009,
Astrocytoma,condLE,1.434130316735959,5.132290540454029,-18.04481270730695,
Astrocytoma,condQALE,1.1558642250879687,3.413101371594245,65.76904589984957,
Astrocytoma,condHLY,0.19981540773426068,2.6464224529768052,-7.69014974086021,
Medulloblastoma,condLE,0.7188827172111901,14.599708687398124,-6.71486239302503,
Medulloblastoma,condQALE,1.0189868314009052,127.12721993394466,-5.953756867430423,
Medulloblastoma,condHLY,-1.7467451886670433,1.4064439563210511,-1.5725964662525864,
Other CNS,condLE,-0.41426066735312106,0.3065476597165037,2.742860954236954,
Other CNS,condQALE,-0.41269783696925083,0.2379237541120379,1.7229297676550388,
Other CNS,condHLY,-0.5055596944847509,-0.16290000628338225,0.45020711681709713,
HL,condLE,-65.56146064937879,17.109395427787963,6.223892408166906,
HL,condQALE,77.01458271389349,13.871310666218974,6.5704849631313405,
HL,condHLY,21.26612515188283,8.081788383843662,4.906878206177283,
NHL,condLE,5.025529087792508,5.6642091666974785,6.426623830869588,
NHL,condQALE,2.66753733104497,2.856525284868112,3.054928519285285,
NHL,condHLY,1.8431412381185772,4.13462663037556,6.390346060027577,
Kidney,condLE,-1.5823979830209014,-6.319693894241165,-0.20912000896088295,
Kidney,condQALE,-1.9639696196961047,28.9845605707009,-0.1677069663881756,
Kidney,condHLY,-0.17179121778370954,-0.6646091409219335,0.40164643421648316,
NBL,condLE,-1.5518016997811312,-9.602079707009334,-19.03243373312406,
NBL,condQALE,-0.511976689055031,-3.2296518677503583,-15.479327714037371,
NBL,condHLY,-1.3628858876824266,2.222239425070661,1.9765123403800058,
STS,condLE,-1.336260361512483,-0.342411384031786,-0.03443622153675625,
STS,condQALE,-1.5239485727776492,-0.3507423637297047,0.00817006427377501,
