Group,n,wt,
all,0.0,0.0,
Male,0.0,0.0,
Female,0.0,0.0,
1970s,0.0,0.0,
1980s,0.0,0.0,
1990s,0.0,0.0,
Age0-4,0.0,0.0,
Age5-9,0.0,0.0,
Age10-14,0.0,0.0,
Age15-20,0.0,0.0,
brain,0.0,0.0,
bone,0.0,0.0,
sts,0.0,0.0,
solid,0.0,0.0,
leuk,0.0,0.0,
lymp,0.0,0.0,
ALL,0.0,0.0,
AML,0.0,0.0,
OtherLeukemia,0.0,0.0,
Astrocytoma,0.0,0.0,
Medulloblastoma,0.0,0.0,
Other CNS,0.0,0.0,
HL,0.0,0.0,
NHL,0.0,0.0,
Kidney,0.0,0.0,
NBL,0.0,0.0,
STS,0.0,0.0,
Ewings,0.0,0.0,
Osteosarcoma,0.0,0.0,
OtherBoneTumor,0.0,0.0,
AnthNone,0.0,0.0,
Anth<100,0.0,0.0,
Anth100_249,0.0,0.0,
Anth250_399,0.0,0.0,
Anth400+,0.0,0.0,
AlkNone,0.0,0.0,
Alk<4000,0.0,0.0,
Alk4000_7999,0.0,0.0,
Alk8000_11999,0.0,0.0,
Alk12000+,0.0,0.0,
CispNone,0.0,0.0,
Cisp<400,0.0,0.0,
Cisp400+,0.0,0.0,
PlatNone,0.0,0.0,
Plat<400,0.0,0.0,
Plat400+,0.0,0.0,
ChestNone,0.0,0.0,
Chest<10,0.0,0.0,
Chest10_19,0.0,0.0,
Chest20_29,0.0,0.0,
Chest30+,0.0,0.0,
HeartNone,0.0,0.0,
Heart<5,0.0,0.0,
Heart5_14,0.0,0.0,
Heart15_34,0.0,0.0,
Heart35+,0.0,0.0,
CRTNone,0.0,0.0,
CRT<20,0.0,0.0,
CRT20_29,0.0,0.0,
CRT30_49,0.0,0.0,
CRT50+,0.0,0.0,
OvaryNone,0.0,0.0,
Ovary<10,0.0,0.0,
Ovary10-19,0.0,0.0,
Ovary20+,0.0,0.0,
AbdPelNone,0.0,0.0,
AbdPel<15,0.0,0.0,
AbdPel15_24,0.0,0.0,
AbdPel25_34,0.0,0.0,
AbdPel35+,0.0,0.0,
MaxRTNone,0.0,0.0,
MaxRT<20,0.0,0.0,
MaxRT20_29,0.0,0.0,
MaxRT30+,0.0,0.0,
ALL_70,0.0,0.0,
AML_70,0.0,0.0,
OtherLeukemia_70,0.0,0.0,
Astrocytoma_70,0.0,0.0,
Medulloblastoma_70,0.0,0.0,
Other CNS_70,0.0,0.0,
HL_70,0.0,0.0,
NHL_70,0.0,0.0,
Kidney_70,0.0,0.0,
NBL_70,0.0,0.0,
STS_70,0.0,0.0,
Ewings_70,0.0,0.0,
Osteosarcoma_70,0.0,0.0,
OtherBoneTumor_70,0.0,0.0,
ALL_80,0.0,0.0,
AML_80,0.0,0.0,
OtherLeukemia_80,0.0,0.0,
Astrocytoma_80,0.0,0.0,
Medulloblastoma_80,0.0,0.0,
Other CNS_80,0.0,0.0,
HL_80,0.0,0.0,
NHL_80,0.0,0.0,
Kidney_80,0.0,0.0,
NBL_80,0.0,0.0,
STS_80,0.0,0.0,
Ewings_80,0.0,0.0,
Osteosarcoma_80,0.0,0.0,
OtherBoneTumor_80,0.0,0.0,
ALL_90,0.0,0.0,
AML_90,0.0,0.0,
OtherLeukemia_90,0.0,0.0,
Astrocytoma_90,0.0,0.0,
Medulloblastoma_90,0.0,0.0,
Other CNS_90,0.0,0.0,
HL_90,0.0,0.0,
NHL_90,0.0,0.0,
Kidney_90,0.0,0.0,
NBL_90,0.0,0.0,
STS_90,0.0,0.0,
Ewings_90,0.0,0.0,
Osteosarcoma_90,0.0,0.0,
OtherBoneTumor_90,0.0,0.0,
brain_70,0.0,0.0,
bone_70,0.0,0.0,
sts_70,0.0,0.0,
solid_70,0.0,0.0,
leuk_70,0.0,0.0,
lymp_70,0.0,0.0,
brain_80,0.0,0.0,
bone_80,0.0,0.0,
sts_80,0.0,0.0,
solid_80,0.0,0.0,
leuk_80,0.0,0.0,
lymp_80,0.0,0.0,
brain_90,0.0,0.0,
bone_90,0.0,0.0,
sts_90,0.0,0.0,
solid_90,0.0,0.0,
leuk_90,0.0,0.0,
lymp_90,0.0,0.0,
SurgOnly_NoTrt,0.0,0.0,
ChemoOnly,0.0,0.0,
RadOnly,0.0,0.0,
ChemoRad,0.0,0.0,
NoChemoRT,0.0,0.0,
AnyChemoRT,0.0,0.0,
NoChemo,0.0,0.0,
AnyChemo,0.0,0.0,
NoRad,0.0,0.0,
AnyRad,0.0,0.0,
SurgOnly_NoTrt_70,0.0,0.0,
ChemoOnly_70,0.0,0.0,
RadOnly_70,0.0,0.0,
ChemoRad_70,0.0,0.0,
SurgOnly_NoTrt_80,0.0,0.0,
ChemoOnly_80,0.0,0.0,
RadOnly_80,0.0,0.0,
ChemoRad_80,0.0,0.0,
SurgOnly_NoTrt_90,0.0,0.0,
ChemoOnly_90,0.0,0.0,
RadOnly_90,0.0,0.0,
ChemoRad_90,0.0,0.0,
NoChemoRT_70,0.0,0.0,
AnyChemoRT_70,0.0,0.0,
NoChemoRT_80,0.0,0.0,
AnyChemoRT_80,0.0,0.0,
NoChemoRT_90,0.0,0.0,
AnyChemoRT_90,0.0,0.0,
NoChemo_70,0.0,0.0,
AnyChemo_70,0.0,0.0,
NoChemo_80,0.0,0.0,
AnyChemo_80,0.0,0.0,
NoChemo_90,0.0,0.0,
AnyChemo_90,0.0,0.0,
NoRad_70,0.0,0.0,
AnyRad_70,0.0,0.0,
NoRad_80,0.0,0.0,
AnyRad_80,0.0,0.0,
NoRad_90,0.0,0.0,
AnyRad_90,0.0,0.0,
noRecur,-0.14026508744742097,-0.13807477004057647,
recur,0.0,0.0,
noRecur_70,-0.16819148936170236,-0.17824648210440203,
recur_70,0.0,0.0,
noRecur_80,-0.14306757550828564,-0.1472966901805062,
recur_80,0.0,0.0,
noRecur_90,-0.12036648313833437,-0.11238411752100107,
recur_90,0.0,0.0,
Age0-4_70,0.0,0.0,
Age5-9_70,0.0,0.0,
Age10-14_70,0.0,0.0,
Age15-20_70,0.0,0.0,
Age0-4_80,0.0,0.0,
Age5-9_80,0.0,0.0,
Age10-14_80,0.0,0.0,
Age15-20_80,0.0,0.0,
Age0-4_90,0.0,0.0,
Age5-9_90,0.0,0.0,
Age10-14_90,0.0,0.0,
Age15-20_90,0.0,0.0,
Male_70,0.0,0.0,
Female_70,0.0,0.0,
Male_80,0.0,0.0,
Female_80,0.0,0.0,
Male_90,0.0,0.0,
Female_90,0.0,0.0,
HL grp: Salvage,0.0,0.0,
HL grp: Extended,0.0,0.0,
HL grp: Chest RT>=35 plus chemo,0.0,0.0,
HL grp: Chest RT>=35 no chemo,0.0,0.0,
HL grp: Chest RT<35 plus chemo,0.0,0.0,
HL grp: Chemo without chest RT,0.0,0.0,
HL grp: Other,0.0,0.0,
HL AHOD: Contemporary,0.0,0.0,
HL AHOD: High Chest RT,0.0,0.0,
HL AHOD: Other,0.0,0.0,
HL grp 2: Salvage,0.0,0.0,
HL grp 2: Extended,0.0,0.0,
HL grp 2: Chest RT>=35,0.0,0.0,
HL grp 2: [empty],0.0,0.0,
HL grp 2: Chest RT<35 plus chemo,0.0,0.0,
HL grp 2: Chemo without chest RT,0.0,0.0,
HL grp 2: Other,0.0,0.0,
HL AHOD2: Contemporary with RT,0.0,0.0,
HL AHOD2: Contemporary without RT,0.0,0.0,
HL AHOD2: High Chest RT,0.0,0.0,
HL AHOD2: Other,0.0,0.0,
AnyRad_ALL,0.0,0.0,
AnyRad_AML,0.0,0.0,
AnyRad_OtherLeukemia,0.0,0.0,
AnyRad_Astrocytoma,0.0,0.0,
AnyRad_Medulloblastoma,0.0,0.0,
AnyRad_Other CNS,0.0,0.0,
AnyRad_HL,0.0,0.0,
AnyRad_NHL,0.0,0.0,
AnyRad_Kidney,0.0,0.0,
AnyRad_NBL,0.0,0.0,
AnyRad_STS,0.0,0.0,
AnyRad_Ewings,0.0,0.0,
AnyRad_Osteosarcoma,0.0,0.0,
AnyRad_OtherBoneTumor,0.0,0.0,
ChemoOnly_ALL,0.0,0.0,
ChemoOnly_AML,0.0,0.0,
ChemoOnly_OtherLeukemia,0.0,0.0,
ChemoOnly_Astrocytoma,0.0,0.0,
ChemoOnly_Medulloblastoma,0.0,0.0,
ChemoOnly_Other CNS,0.0,0.0,
ChemoOnly_HL,0.0,0.0,
ChemoOnly_NHL,0.0,0.0,
ChemoOnly_Kidney,0.0,0.0,
ChemoOnly_NBL,0.0,0.0,
ChemoOnly_STS,0.0,0.0,
ChemoOnly_Ewings,0.0,0.0,
ChemoOnly_Osteosarcoma,0.0,0.0,
ChemoOnly_OtherBoneTumor,0.0,0.0,
SurgOnly_NoTrt_ALL,0.0,0.0,
SurgOnly_NoTrt_AML,0.0,0.0,
SurgOnly_NoTrt_OtherLeukemia,0.0,0.0,
SurgOnly_NoTrt_Astrocytoma,0.0,0.0,
SurgOnly_NoTrt_Medulloblastoma,0.0,0.0,
SurgOnly_NoTrt_Other CNS,0.0,0.0,
SurgOnly_NoTrt_HL,0.0,0.0,
