Group,Age1,Age2,
all,-0.22082326566587707,-0.17708775946306388,
Male,-0.21884185969694206,-0.1683891834301417,
Female,-0.22306115256222794,-0.1893509369413702,
1970s,-0.2361899369230399,-0.18115661578687703,
1980s,-0.22371502575896304,-0.17658932899162505,
1990s,-0.21254910716679956,-0.17561712540276214,
Age0-4,-0.21959461643116546,-0.1770742957076993,
Age5-9,-0.22327258286442184,-0.176240570930507,
Age10-14,-0.22000345896702606,-0.17932523314695767,
Age15-20,-0.2216740670443085,-0.17500570877873825,
brain,-0.30349288770135285,-0.22142967260489788,
bone,-0.24630608843139937,-0.1904578109209509,
sts,-0.2535929782292207,-0.1987504166702237,
solid,-0.26213327055126656,-0.21635634524995623,
leuk,-0.15986593857362313,-0.1406231136799729,
lymp,-0.24075518223472323,-0.19298991313023686,
ALL,-0.14205697192334887,-0.13023153639953192,
AML,-0.3102485413884814,-0.2553560497208411,
OtherLeukemia,-0.3304673868458757,-0.19248872804375,
Astrocytoma,-0.249293748458243,-0.17531196014648995,
Medulloblastoma,-0.4008531738258898,-0.3106189292373478,
Other CNS,-0.3673263750894432,-0.3139397255354317,
HL,-0.28404879282762274,-0.23249011113414478,
NHL,-0.17590774670069712,-0.13742511300026186,
Kidney,-0.2597841698263297,-0.21393327868807033,
NBL,-0.26521883522639944,-0.21959092245964829,
STS,-0.2535929782292207,-0.1987504166702237,
Ewings,-0.29452269067311615,-0.2151745461925069,
Osteosarcoma,-0.22007588475042297,-0.17329012637281083,
OtherBoneTumor,-0.24418228069131054,-0.2367176029948269,
AnthNone,-0.21589169589874752,-0.16097515691142714,
Anth<100,-0.18661951305097801,-0.1735406243692354,
Anth100_249,-0.2282940216560785,-0.19750451507404412,
Anth250_399,-0.2618616492807095,-0.19450884364969762,
Anth400+,-0.2559418046474977,-0.17878064935766685,
AlkNone,-0.20338306433024628,-0.15833593091773598,
Alk<4000,-0.18908183875582452,-0.16951408861180026,
Alk4000_7999,-0.22356064703979842,-0.18417403353799505,
Alk8000_11999,-0.24218145980245648,-0.19070004045779532,
Alk12000+,-0.3034206804087724,-0.23651561626364467,
CispNone,-0.210142579075595,-0.1697670972221288,
Cisp<400,-0.34373236655850653,-0.26667368409986625,
Cisp400+,-0.35105453984537655,-0.2766982144816704,
PlatNone,-0.2077746528295676,-0.16837879378860707,
Plat<400,-0.33688142098192364,-0.25856763596736676,
Plat400+,-0.34642327251770505,-0.2720508865771839,
ChestNone,-0.17490089821619367,-0.14724406940057141,
Chest<10,-0.23200562740299488,-0.17701688291925566,
Chest10_19,-0.30347109556011215,-0.24429080225670988,
Chest20_29,-0.27921003521789156,-0.2095697686152236,
Chest30+,-0.3687687677487867,-0.31161698363759804,
HeartNone,-0.17457384371752876,-0.14719684395571114,
Heart<5,-0.23168528986812298,-0.17573224964415513,
Heart5_14,-0.29210293951392363,-0.23407335127671705,
Heart15_34,-0.335622873380848,-0.26232700121792146,
Heart35+,-0.3772564413994755,-0.33679510438165444,
CRTNone,-0.17467035142167192,-0.14712615471734275,
CRT<20,-0.2539595472140606,-0.2112979070580812,
CRT20_29,-0.1963098686811342,-0.13817957145969945,
CRT30_49,-0.3532357285370959,-0.25751076802746475,
CRT50+,-0.39240680762743885,-0.29333727684838956,
OvaryNone,-0.18076156718867134,-0.1600463600165278,
Ovary<10,-0.2722048947353621,-0.22440546701551806,
Ovary10-19,-0.3028006522387947,-0.2601613964874885,
Ovary20+,-0.25419194629187775,-0.2421033981610601,
AbdPelNone,-0.174810186001705,-0.1471974062138265,
AbdPel<15,-0.24641489760107976,-0.19095303986363982,
AbdPel15_24,-0.2940988905797583,-0.22876993039345098,
AbdPel25_34,-0.3180044053338629,-0.2698884958906035,
AbdPel35+,-0.35507167523374605,-0.29636259872707144,
MaxRTNone,-0.1751331187233656,-0.1469289255738539,
MaxRT<20,-0.20690228892833878,-0.1781590076486214,
MaxRT20_29,-0.22021679649583104,-0.16616394359983516,
MaxRT30+,-0.3446877037537382,-0.27563758791001264,
ALL_70,-0.12713424997572156,-0.07857449503884312,
AML_70,-0.26654197413381847,-0.20392446543230736,
OtherLeukemia_70,-0.35379316642968417,-0.146909359577132,
Astrocytoma_70,-0.30423716543803925,-0.20158928673585733,
Medulloblastoma_70,-0.42157983873867394,-0.316129899049728,
Other CNS_70,-0.29249260673057076,-0.2786021567367736,
HL_70,-0.3323735625503271,-0.29231177742710684,
NHL_70,-0.2218370570648734,-0.17808520864731545,
Kidney_70,-0.24647830448267508,-0.196809773185207,
NBL_70,-0.2307198517746653,-0.19653566094644487,
STS_70,-0.23597162523942378,-0.19082440418959348,
Ewings_70,-0.3298672754700743,-0.2308496362173633,
Osteosarcoma_70,-0.2339910999055261,-0.1757861225592301,
OtherBoneTumor_70,-0.14726931355983758,-0.13002252908225528,
ALL_80,-0.13484458678130565,-0.1218566969704973,
AML_80,-0.31219036716627097,-0.2528353045206873,
OtherLeukemia_80,-0.41891403132696303,-0.24171352962837597,
Astrocytoma_80,-0.2746097538375022,-0.191063466271292,
Medulloblastoma_80,-0.38634484651134493,-0.3085775455119134,
Other CNS_80,-0.3963456792726335,-0.35019444258941396,
HL_80,-0.29326334101473195,-0.23483876503996004,
NHL_80,-0.1818409233767279,-0.14854150720914458,
Kidney_80,-0.25972958047627115,-0.21271857991649745,
NBL_80,-0.2714436809896557,-0.21486396176281736,
STS_80,-0.2707826961373515,-0.20770589567267342,
Ewings_80,-0.27260478178286673,-0.21010084642598803,
Osteosarcoma_80,-0.1993523716069402,-0.1559305677516951,
OtherBoneTumor_80,-0.18991812560658572,-0.17054930715617764,
ALL_90,-0.14995572326471793,-0.14498656016169587,
AML_90,-0.31911146773330057,-0.26879789565567985,
OtherLeukemia_90,-0.26683659649450314,-0.1749454651853924,
Astrocytoma_90,-0.2179873837876445,-0.1605711709694405,
Medulloblastoma_90,-0.4060314232545996,-0.31128422480198115,
Other CNS_90,-0.36539719855247593,-0.3018718784560447,
HL_90,-0.23482622025717517,-0.18357427489766576,
NHL_90,-0.14746349644508042,-0.10848531832788737,
Kidney_90,-0.26598187683139823,-0.22000553330626768,
NBL_90,-0.276348156577189,-0.23276988571944235,
STS_90,-0.2535244800783117,-0.19696153155267962,
Ewings_90,-0.29478917205445804,-0.21134681924911036,
Osteosarcoma_90,-0.22982261295490972,-0.18887078335791577,
OtherBoneTumor_90,-0.307548769577941,-0.30092273740358644,
brain_70,-0.3246913392761071,-0.2287348108955214,
bone_70,-0.2596306265140092,-0.19006838825327013,
sts_70,-0.23597162523942378,-0.19082440418959348,
solid_70,-0.2393210725033882,-0.1965144868764928,
leuk_70,-0.14383680353773165,-0.08954125572316406,
lymp_70,-0.29775671275732163,-0.2555902134391814,
brain_80,-0.317740342410872,-0.23374393952577904,
bone_80,-0.22427000636081643,-0.17515484703080203,
sts_80,-0.2707826961373515,-0.20770589567267342,
solid_80,-0.26454602232835167,-0.21358970339989855,
leuk_80,-0.1572910523533293,-0.13473350168321177,
lymp_80,-0.24537528521060628,-0.19588576828943333,
brain_90,-0.28986685054768485,-0.21294982699785978,
bone_90,-0.2581447191913581,-0.2054661339338172,
sts_90,-0.2535244800783117,-0.19696153155267962,
solid_90,-0.27079068230002074,-0.22588676384811665,
leuk_90,-0.1654223334867008,-0.15415584526140608,
lymp_90,-0.19651362840736986,-0.14997946209017401,
SurgOnly_NoTrt,-0.17039482917503282,-0.13859752210125287,
ChemoOnly,-0.17373560694842152,-0.14813792880518664,
RadOnly,-0.326489947933475,-0.24235014283679104,
ChemoRad,-0.26393252924878136,-0.2097363812555592,
NoChemoRT,-0.17039482917503282,-0.13859752210125287,
AnyChemoRT,-0.22528305673713325,-0.18056900737301496,
NoChemo,-0.23979017614559842,-0.17864369214075587,
AnyChemo,-0.2175118344917366,-0.17665618127922378,
NoRad,-0.17325255762559572,-0.1468292732901105,
AnyRad,-0.2724841533037406,-0.21369389905070332,
SurgOnly_NoTrt_70,-0.17911473236048903,-0.13337630985320745,
ChemoOnly_70,-0.1901108723360108,-0.14419880704843605,
RadOnly_70,-0.31241197336789794,-0.24803605776062176,
ChemoRad_70,-0.24067351161958567,-0.185847538670928,
SurgOnly_NoTrt_80,-0.16536255556131166,-0.13804136318853846,
ChemoOnly_80,-0.17303000012071676,-0.14137124400149265,
RadOnly_80,-0.32870879908449085,-0.23919847750024695,
ChemoRad_80,-0.2592961176666246,-0.20689325637542438,
