Group,Age1,Age2,
all,-0.22069907645159276,-0.175588901866388,
Male,-0.22381760606082923,-0.17206908681881283,
Female,-0.21669759307315153,-0.1805872075890329,
1970s,-0.23996628174320667,-0.1899454917000426,
1980s,-0.22421556481576368,-0.17775179006735917,
1990s,-0.21006738558123797,-0.16824116736511757,
Age0-4,-0.22513460247239375,-0.17990146298110973,
Age5-9,-0.2127882247977049,-0.16551301770664506,
Age10-14,-0.21922968762574685,-0.17484785374495213,
Age15-20,-0.22392819672918182,-0.18304804878067713,
brain,-0.3099991795347361,-0.24208759711775849,
bone,-0.2422524102452093,-0.18526156022887974,
sts,-0.25533921724362363,-0.20266453061938486,
solid,-0.24526008624822054,-0.20840330079158267,
leuk,-0.1542635566615385,-0.12005373650546294,
lymp,-0.25654390631062374,-0.21448723387316249,
ALL,-0.14039406373230454,-0.10916949125761473,
AML,-0.26436100623915687,-0.21554750265797126,
OtherLeukemia,-0.3028750329528516,-0.23819770251284358,
Astrocytoma,-0.2662692525700308,-0.20556451781605728,
Medulloblastoma,-0.3959118221912332,-0.3155466521935127,
Other CNS,-0.3447965777632625,-0.28394941337141844,
HL,-0.2907321864169698,-0.2491604994392582,
NHL,-0.2066340311943179,-0.16707339267957802,
Kidney,-0.2337358476577558,-0.1961228375492564,
NBL,-0.2585030417190278,-0.22192117144852078,
STS,-0.25533921724362363,-0.20266453061938486,
Ewings,-0.29469403363473673,-0.2263920335028197,
Osteosarcoma,-0.21055022576176882,-0.15975317914370976,
OtherBoneTumor,-0.2565826566796377,-0.20973962865925502,
AnthNone,-0.22292295936908593,-0.17513742496804768,
Anth<100,-0.170180215806743,-0.13961998908336182,
Anth100_249,-0.2121330383983503,-0.17504195281339194,
Anth250_399,-0.27563892814881474,-0.2137859140234677,
Anth400+,-0.27438353667754206,-0.20642900328659344,
AlkNone,-0.20303675639256388,-0.16085112821850597,
Alk<4000,-0.17841492981045098,-0.14365924585601564,
Alk4000_7999,-0.2279076876370047,-0.1831629474015761,
Alk8000_11999,-0.2513349312680752,-0.19946721087675742,
Alk12000+,-0.3040960917571564,-0.24113638078529306,
CispNone,-0.21104478246866748,-0.16855332486162056,
Cisp<400,-0.3419110352817209,-0.27267288225294234,
Cisp400+,-0.33138086029890734,-0.2596486782540529,
PlatNone,-0.20801488317934239,-0.16626757027941264,
Plat<400,-0.3337508259968056,-0.2666291645665972,
Plat400+,-0.34059529096392116,-0.2690697179848313,
ChestNone,-0.17173476669879947,-0.1411170294921493,
Chest<10,-0.2372099531015204,-0.17891478459691723,
Chest10_19,-0.2961993364164839,-0.23206829638982293,
Chest20_29,-0.29206767966522373,-0.2367645614222268,
Chest30+,-0.35960945196208505,-0.3051052486689193,
HeartNone,-0.17208807575171833,-0.14133193474128775,
Heart<5,-0.236644511992908,-0.1784349637911693,
Heart5_14,-0.2862732226859117,-0.22314224063707797,
Heart15_34,-0.33883682376321944,-0.2752246949080018,
Heart35+,-0.36177468612985614,-0.3219001914474593,
CRTNone,-0.17174316253021973,-0.1411281429715225,
CRT<20,-0.2573270209812331,-0.2119261182933685,
CRT20_29,-0.19182998182976885,-0.14079783997932732,
CRT30_49,-0.3453241548935816,-0.25571471086963754,
CRT50+,-0.39304845415399964,-0.30308681064628573,
OvaryNone,-0.16682124663015827,-0.1423377297143988,
Ovary<10,-0.27144886642917204,-0.2236432391924131,
Ovary10-19,-0.30040682013110254,-0.24947671446935293,
Ovary20+,-0.28967918895849576,-0.24720902653108018,
AbdPelNone,-0.17172505135917754,-0.1411161088530411,
AbdPel<15,-0.2507580970752426,-0.1934673299903553,
AbdPel15_24,-0.28664596528244646,-0.22908597947821158,
AbdPel25_34,-0.3163796786413754,-0.25735666245256145,
AbdPel35+,-0.3527891391763018,-0.29521561045171046,
MaxRTNone,-0.17219305950174402,-0.1413556137618276,
MaxRT<20,-0.20686016932453358,-0.16500339827046656,
MaxRT20_29,-0.22472537335541398,-0.18049483826008586,
MaxRT30+,-0.3442840846950311,-0.27512840233820174,
ALL_70,-0.1452532655118383,-0.09832694026699945,
AML_70,-0.25896493358385747,-0.20648850027367657,
OtherLeukemia_70,-0.37812312058696085,-0.3022158164743326,
Astrocytoma_70,-0.3098737742300633,-0.22794652109418218,
Medulloblastoma_70,-0.39401673634264595,-0.303927152824333,
Other CNS_70,-0.3244969428656621,-0.2608946559334502,
HL_70,-0.32840318200004076,-0.28730063837064485,
NHL_70,-0.23063981590492413,-0.18665695042069996,
Kidney_70,-0.2316235532099496,-0.1941942249640405,
NBL_70,-0.24403255697129422,-0.21022506391905657,
STS_70,-0.2424983730303683,-0.19286294389472847,
Ewings_70,-0.3016148339509717,-0.2307713022015971,
Osteosarcoma_70,-0.2057053164978822,-0.15416374842659802,
OtherBoneTumor_70,-0.15506605183904756,-0.12642861453864537,
ALL_80,-0.1414324844101609,-0.10829981053412006,
AML_80,-0.254862990310819,-0.20590157130022127,
OtherLeukemia_80,-0.306852372206333,-0.24138779490863682,
Astrocytoma_80,-0.2885773919987909,-0.21987938585918915,
Medulloblastoma_80,-0.39687844903346864,-0.3135462855845082,
Other CNS_80,-0.35215539873909657,-0.2884256814561436,
HL_80,-0.29386482597108116,-0.2526933627571876,
NHL_80,-0.21261878415505672,-0.17160827056570613,
Kidney_80,-0.2372889219838713,-0.19864156962826698,
NBL_80,-0.25383116377625076,-0.21825815834342258,
STS_80,-0.2663241170320228,-0.21238469637191046,
Ewings_80,-0.29349193514967853,-0.224499514540638,
Osteosarcoma_80,-0.20643352283161084,-0.1579900282898628,
OtherBoneTumor_80,-0.20766959375989275,-0.1668610038035971,
ALL_90,-0.1383581986955882,-0.11170737841621098,
AML_90,-0.2719665679624327,-0.22390259091959,
OtherLeukemia_90,-0.27154310888113736,-0.21550716296969558,
Astrocytoma_90,-0.24015980284949348,-0.1919859538988447,
Medulloblastoma_90,-0.3956722010292644,-0.3181154412434048,
Other CNS_90,-0.34476331685051614,-0.28579605285922777,
HL_90,-0.2542752968576772,-0.2159174635517362,
NHL_90,-0.19003444608907266,-0.15444913885846834,
Kidney_90,-0.23134197283690805,-0.19446045777966495,
NBL_90,-0.2686051392399712,-0.22977931316762162,
STS_90,-0.25736101200600664,-0.20179654732053548,
Ewings_90,-0.29123443968447416,-0.2251812825131926,
Osteosarcoma_90,-0.2181888830790102,-0.16555023582503767,
OtherBoneTumor_90,-0.3171741750094378,-0.25846066221031455,
brain_70,-0.32808580819652294,-0.24619429570660772,
bone_70,-0.2354320159580289,-0.17770485878276807,
sts_70,-0.2424983730303683,-0.19286294389472847,
solid_70,-0.23754107534592508,-0.20209536617412055,
leuk_70,-0.16120546932582955,-0.11214732241342815,
lymp_70,-0.2984035629869839,-0.2547335411366627,
brain_80,-0.32290496536905355,-0.24951323820249635,
bone_80,-0.23664587188131475,-0.18094700114284815,
sts_80,-0.2663241170320228,-0.21238469637191046,
solid_80,-0.2444654582528559,-0.20736968504071654,
leuk_80,-0.15500286011835995,-0.11910303356472775,
lymp_80,-0.2588312382652993,-0.2165157200034939,
brain_90,-0.29815035909966,-0.23697948696912,
bone_90,-0.25193023738738746,-0.19386472737574326,
sts_90,-0.25736101200600664,-0.20179654732053548,
solid_90,-0.2496247883408494,-0.21205430298876957,
leuk_90,-0.15189619929468173,-0.12206904048498346,
lymp_90,-0.22515897596310863,-0.1873568600742246,
SurgOnly_NoTrt,-0.17033929703766554,-0.14595023136087,
ChemoOnly,-0.17071424621095163,-0.13938634872638336,
RadOnly,-0.3264228486080869,-0.25880018540306216,
ChemoRad,-0.2649020511301876,-0.20902508896033004,
