Group,Age1,Age2,
all,-0.21788067240065342,-0.1749163877908983,
Male,-0.2232940304789283,-0.1726512723482107,
Female,-0.21119810111450105,-0.17795416829821167,
1970s,-0.24708678853279756,-0.20045023984284552,
1980s,-0.22532892050027467,-0.1793665297058426,
1990s,-0.20065824072857832,-0.1622746802054593,
Age0-4,-0.2157927275431273,-0.17375824000783946,
Age5-9,-0.20358862441563597,-0.16481490759184989,
Age10-14,-0.22947939971101675,-0.18404828667767242,
Age15-20,-0.23328449396746703,-0.18376179896140135,
brain,-0.31626315305733016,-0.24721670421408787,
bone,-0.27198659433369204,-0.20851388653105232,
sts,-0.26131418422794245,-0.21654598947084916,
solid,-0.2469851216183146,-0.2162153830990445,
leuk,-0.1253709200988535,-0.09489966958736004,
lymp,-0.2809947614542703,-0.232728132692816,
ALL,-0.10192313283991385,-0.07267453201784237,
AML,-0.31606933272243315,-0.26035349897838655,
OtherLeukemia,-0.3060137511794021,-0.21545522611564052,
Astrocytoma,-0.280550088745757,-0.2299349378153707,
Medulloblastoma,-0.4072650109707887,-0.3116296510048378,
Other CNS,-0.3272912244679119,-0.24515153695733014,
HL,-0.30794700860613095,-0.2532824503126128,
NHL,-0.24363436012874307,-0.2069247996995852,
Kidney,-0.23705576192189534,-0.20319864848324912,
NBL,-0.25984295647785394,-0.2332462638593062,
STS,-0.26131418422794245,-0.21654598947084916,
Ewings,-0.3306689418024855,-0.2490290226886218,
Osteosarcoma,-0.23858636743205527,-0.1864723650125199,
OtherBoneTumor,-0.24380029739409786,-0.18396012938604914,
AnthNone,-0.2259760023250965,-0.18287629437829434,
Anth<100,-0.14690402827938906,-0.120397371401054,
Anth100_249,-0.20990605643145238,-0.16715474333211233,
Anth250_399,-0.2826469206781137,-0.2278898422853698,
Anth400+,-0.27279933364862136,-0.21015190558767102,
AlkNone,-0.20054407641357985,-0.16311079124900596,
Alk<4000,-0.16594370665711058,-0.12810525500979586,
Alk4000_7999,-0.2297993792460145,-0.18657616514398723,
Alk8000_11999,-0.2517427336333795,-0.2049451859735707,
Alk12000+,-0.30930715927792485,-0.24492629048307651,
CispNone,-0.20744886690919806,-0.16696507356938392,
Cisp<400,-0.3615602569253526,-0.28688539351815706,
Cisp400+,-0.335008947881273,-0.2729016225792821,
PlatNone,-0.20423875277462275,-0.16445252497664892,
Plat<400,-0.3530548485719853,-0.27811186923309056,
Plat400+,-0.3440184289616166,-0.280913729090187,
ChestNone,-0.1696870058170462,-0.14293458440884965,
Chest<10,-0.22780416998322417,-0.17493567817359282,
Chest10_19,-0.28605611188919655,-0.2198574841467009,
Chest20_29,-0.30214396744377736,-0.24303094968787192,
Chest30+,-0.3725944120790448,-0.311775841728348,
HeartNone,-0.17036480628315084,-0.14337263001218725,
Heart<5,-0.2273146958536888,-0.17412428483494802,
Heart5_14,-0.2766219420258198,-0.2112706294613453,
Heart15_34,-0.349025000595533,-0.28472936780538793,
Heart35+,-0.3826452954128728,-0.32653762172712375,
CRTNone,-0.16959083601732067,-0.14304505790474975,
CRT<20,-0.25606187480836995,-0.20906734793431608,
CRT20_29,-0.16751619213330263,-0.12060005467408833,
CRT30_49,-0.33139468212221335,-0.25529027656007003,
CRT50+,-0.3980971215368312,-0.30681279933878125,
OvaryNone,-0.16157784758808352,-0.1438280049703713,
Ovary<10,-0.2674762255882214,-0.2210208905607497,
Ovary10-19,-0.28938411062995806,-0.22266203126902573,
Ovary20+,-0.30756598799632123,-0.25252074030579974,
AbdPelNone,-0.16959968178974907,-0.1428435407682426,
AbdPel<15,-0.24280705736009767,-0.18844952918765737,
AbdPel15_24,-0.28246337547611877,-0.23238508120269344,
