Group,LE,QALEcond,LEcond,HealthyLY,HealthyLYCond,
all,-0.17549610614240535,-0.2080528486701439,-0.20489310296300053,-0.25372853187791755,-0.3032543549262446,
Male,-0.17833540444397916,-0.2105733550707924,-0.20853661872052306,-0.24951076049552223,-0.299221776488092,
Female,-0.17202895085353764,-0.20486312729245243,-0.20045943537917923,-0.2587914267312594,-0.3080591964956225,
1970s,-0.23983690020900153,-0.28340912972455035,-0.2848939367616075,-0.2826036421212591,-0.3444293633044511,
1980s,-0.1772249715778729,-0.20960193464156904,-0.20673253104470218,-0.2540249184985421,-0.3033948857831321,
1990s,-0.14455170524249825,-0.17344967042287224,-0.16755474054858507,-0.24016896362810325,-0.28465877209319873,
Age0-4,-0.17415096900594806,-0.1908366388899871,-0.18894032668889815,-0.2509543312090538,-0.2753704650177585,
Age5-9,-0.16286885267365167,-0.1943271074015606,-0.18868747095577706,-0.2575479661141144,-0.30522289387295987,
Age10-14,-0.17699591954147587,-0.22702952518214697,-0.22248655901773545,-0.2534721321115822,-0.33058038766214637,
Age15-20,-0.19768762873801404,-0.2720621540198221,-0.2690264591803288,-0.2560536137107804,-0.3678434779073917,
brain,-0.29474013808314187,-0.34255888360092895,-0.3456346025220565,-0.34649478697801744,-0.41579439097879395,
bone,-0.20266686146780302,-0.26506664139974967,-0.2573524134663188,-0.29645790515421844,-0.39129329502696936,
sts,-0.23951700615063054,-0.2823585972052107,-0.282535918590554,-0.30273161055167597,-0.3660882189087043,
solid,-0.20845368164152506,-0.22823188333224667,-0.22772942472625762,-0.29187535066567166,-0.3219450401609733,
leuk,-0.10155827037826402,-0.12387755740678943,-0.11550829487964624,-0.19028359142179196,-0.2209231099381427,
lymp,-0.18567112430809296,-0.2364971664666936,-0.23414372171426287,-0.2546939650798048,-0.3340736215840809,
ALL,-0.08377533671069544,-0.10385213441497695,-0.09489620295622059,-0.17147886423030767,-0.19824639878333544,
AML,-0.23523944361575724,-0.27898065387521004,-0.27472187568677103,-0.3510809255560894,-0.41880670483900156,
OtherLeukemia,-0.3147170624244088,-0.3782553061945052,-0.3814840867093526,-0.34101626071641583,-0.4216022644371461,
Astrocytoma,-0.2374806400849522,-0.27830331658809754,-0.2779782112612885,-0.3007024697702865,-0.36108865462102335,
Medulloblastoma,-0.39277666692579516,-0.45734464170372185,-0.4608674326699747,-0.4564687064059658,-0.5443728940422794,
Other CNS,-0.3683987736121069,-0.4214729742012596,-0.4345913488259063,-0.3534145128299282,-0.4268920759266807,
HL,-0.22189477136066463,-0.2895113949873185,-0.2866889780848781,-0.2925753399823873,-0.39501253767843963,
NHL,-0.13071404340978252,-0.1620764280255096,-0.15906070369812472,-0.19717797254689035,-0.2479105664517609,
Kidney,-0.18380246703374387,-0.20629023278768185,-0.20321374562292238,-0.28741462816456,-0.3207696979949787,
NBL,-0.23586866778106774,-0.2520249501844856,-0.2543182509475684,-0.29698140804950285,-0.3232571773621018,
STS,-0.23951700615063054,-0.2823585972052107,-0.282535918590554,-0.30273161055167597,-0.3660882189087043,
Ewings,-0.25819162583546634,-0.326692089614961,-0.3217092875725434,-0.34633717250144874,-0.44753324450137644,
Osteosarcoma,-0.1710509322291325,-0.23000375251888774,-0.22006531078088204,-0.2667255565728386,-0.3569663005848907,
OtherBoneTumor,-0.1772526571679305,-0.23268097580151012,-0.22162800122583626,-0.2919661431117945,-0.38158691307325854,
AnthNone,-0.20459866173765312,-0.2356114918070448,-0.23806015851169854,-0.24963188771492956,-0.29702540752631124,
Anth<100,-0.09656237650043245,-0.12209785375194043,-0.10958127261187939,-0.21749305935772764,-0.25184235889411033,
Anth100_249,-0.14415970067660086,-0.17817757718076493,-0.16897139020877172,-0.25804805809645975,-0.309961938711705,
Anth250_399,-0.19743656512558055,-0.24139007671399138,-0.23679083640981005,-0.28920486658958505,-0.35618793509649826,
Anth400+,-0.22310425735508568,-0.2767343991136769,-0.2727517627160906,-0.30622429137577917,-0.3866476826750585,
AlkNone,-0.168134225368552,-0.19642020056155346,-0.19498613989959704,-0.2334999740060188,-0.2767319861498879,
Alk<4000,-0.11685164476701768,-0.1436764141649044,-0.13440655603274393,-0.22292206215823832,-0.2619841186499188,
Alk4000_7999,-0.1607255020676975,-0.19741368598599876,-0.1919177968970801,-0.25073058049493535,-0.30773919858462645,
Alk8000_11999,-0.19174566863845474,-0.23072120851573188,-0.22695690635089308,-0.27406042831146493,-0.33321330797123183,
Alk12000+,-0.27572406264388627,-0.3270408757850752,-0.32539152454268666,-0.34962720644661166,-0.4233980379607551,
CispNone,-0.1641257947296273,-0.1950358626219955,-0.19146862397445977,-0.24212534832095733,-0.2891882968682839,
Cisp<400,-0.3123073451913497,-0.3648947683056508,-0.3643599871929795,-0.390810197046418,-0.46533178809737835,
Cisp400+,-0.31207314490910254,-0.3734809730966338,-0.3715941750528475,-0.3914833813998071,-0.47746798835894166,
PlatNone,-0.16071314000146136,-0.19127720696060316,-0.1875778518780161,-0.2389366261848885,-0.28554936835186784,
Plat<400,-0.3035817559725983,-0.3563274816729675,-0.3555131727863011,-0.3825524780303113,-0.4579030004403046,
Plat400+,-0.3177516475971215,-0.37266608362192316,-0.3719427442602915,-0.39267449784875313,-0.46951710422001575,
ChestNone,-0.10679254242302752,-0.1303879928177409,-0.1229870060787474,-0.19661578181989892,-0.2312676418591767,
Chest<10,-0.2110715180935188,-0.24634159219167115,-0.24502068129263074,-0.2742940805472139,-0.3259296493976493,
Chest10_19,-0.2668502472527704,-0.3130956555239712,-0.3081754934364917,-0.3594940370932563,-0.42382046291722597,
Chest20_29,-0.23390991213286622,-0.2862365034854334,-0.2831258012635214,-0.31372741072608523,-0.3904209862006209,
Chest30+,-0.34654498774535997,-0.4355215813157553,-0.43752364588387455,-0.39613928917829516,-0.5184349145691544,
HeartNone,-0.10767293156019757,-0.13135149200465623,-0.12402821446190733,-0.19686515022428527,-0.23162654908781538,
Heart<5,-0.2093676921258286,-0.24457932208283498,-0.24329398965953775,-0.27252916898810925,-0.3242259591468898,
Heart5_14,-0.27167376833610735,-0.3193275501907061,-0.3162120154252325,-0.3484313398503196,-0.41426526754702775,
Heart15_34,-0.2998296050993519,-0.36504861189097687,-0.36369939841826726,-0.37780335206041993,-0.4707957759038486,
Heart35+,-0.33628035358935265,-0.44322883965415316,-0.4452846044137609,-0.3828556484156419,-0.5335768135017457,
CRTNone,-0.10701982276526911,-0.13062707402258403,-0.12324515127351417,-0.1966092584534307,-0.23125197743608705,
CRT<20,-0.21428421377666565,-0.2592603995156588,-0.2562889043717473,-0.28737293723287904,-0.3534871078473005,
