Group,LE,QALEcond,LEcond,HealthyLY,HealthyLYCond,
all,-0.1894558616625842,-0.222189652897965,-0.22155044343221958,-0.2523049904754442,-0.3012984843844212,
Male,-0.19410981984007192,-0.2274342687505936,-0.22731691871455967,-0.25500662595352364,-0.30516996753248266,
Female,-0.18375265267939384,-0.21551540065237418,-0.21450685807103478,-0.24897291818765255,-0.2965529089609702,
1970s,-0.23816970889317884,-0.2826675022435941,-0.28327855761292414,-0.28556717974707246,-0.34766174484581697,
1980s,-0.19348323601523706,-0.22680741809267824,-0.22617751073054163,-0.25606338611243107,-0.3056510544833355,
1990s,-0.16391866158941987,-0.1918419480943375,-0.19026637946352118,-0.23407078831382705,-0.2771724598409924,
Age0-4,-0.1927040311200363,-0.2086258372440545,-0.20921368053226658,-0.25362200253496153,-0.2782226153176939,
Age5-9,-0.17709886639503689,-0.20723961896337714,-0.20549376773870956,-0.24710337492842643,-0.2924630500981181,
Age10-14,-0.18598128355171042,-0.23665690990910224,-0.23442149983595947,-0.25082518070087667,-0.32675321419553255,
Age15-20,-0.20436366621866212,-0.28169878363541073,-0.27944719804863344,-0.25870874974047536,-0.3708179764976625,
brain,-0.3052211940951131,-0.3534517981596795,-0.3588398197356539,-0.3414568218878146,-0.40937350041130466,
bone,-0.20192818153306286,-0.26338269835640854,-0.2570257988143189,-0.2895523179131916,-0.38161729393440064,
sts,-0.21867715789330244,-0.2605800167971061,-0.2581560179203515,-0.2935305919203586,-0.35480676106618203,
solid,-0.19724329354849846,-0.2168604824134275,-0.21500052722091023,-0.27949170635377435,-0.3080413640609197,
leuk,-0.13315827719355341,-0.15400412741403452,-0.15191380391872045,-0.18675384306951723,-0.21673615878622327,
lymp,-0.19717629101690237,-0.25239548283474994,-0.24911722615475212,-0.274589474543705,-0.35947396607635834,
ALL,-0.11852429646037912,-0.13735864392426841,-0.1347258043003702,-0.17266892111077614,-0.1995687633231394,
AML,-0.23709388992086733,-0.27447987223852083,-0.2768933296120698,-0.28861888900395805,-0.3438504163311942,
OtherLeukemia,-0.3096139718720023,-0.37074269877199195,-0.37315231534429893,-0.34716856428020876,-0.4275289768617305,
Astrocytoma,-0.2580312187207829,-0.3001761244592807,-0.3035689058420337,-0.2986509266098481,-0.3582399825200088,
Medulloblastoma,-0.4121490340383933,-0.47417059235495773,-0.48167759365010576,-0.4392383098548751,-0.5235943302906351,
Other CNS,-0.32054302776749893,-0.37343020722755993,-0.3792329614116399,-0.3555616220611224,-0.4290277394470693,
HL,-0.23429399315449861,-0.30641612259618134,-0.3033938471772472,-0.306794502165319,-0.41403877893958885,
NHL,-0.14094616291498124,-0.17683140701875588,-0.17175240143670886,-0.22629666712494684,-0.2835169607142688,
Kidney,-0.1770974583919308,-0.1975138821797928,-0.19511530061592966,-0.2611658550921521,-0.2912804108837406,
NBL,-0.2201730678071309,-0.2382874941097168,-0.23714509132703926,-0.3003734565536923,-0.3266626710974008,
STS,-0.21867715789330244,-0.2605800167971061,-0.2581560179203515,-0.2935305919203586,-0.35480676106618203,
Ewings,-0.2585740045467101,-0.3289422408889946,-0.3234457208390299,-0.3499958566980916,-0.4514251308380327,
Osteosarcoma,-0.16707887993264617,-0.22298088337489322,-0.2150527266761874,-0.2531158589655461,-0.33833583902224007,
OtherBoneTumor,-0.2124750730295324,-0.27179139110601314,-0.26910343513638285,-0.2874371169162177,-0.3752568205804679,
AnthNone,-0.21369340329297323,-0.24630250653218927,-0.24900384866873101,-0.2560103598679302,-0.304347012442355,
Anth<100,-0.1270746740873612,-0.14841047104297964,-0.1446292463339922,-0.1981548435120215,-0.22940166350305427,
Anth100_249,-0.16210893996350806,-0.19389633082680457,-0.19021450613863858,-0.24037360801829386,-0.2883359257847315,
Anth250_399,-0.20833603284611785,-0.2554951490155743,-0.25013176884152055,-0.3064468204295532,-0.3774353178272223,
Anth400+,-0.22148820181649934,-0.2764158482345336,-0.27127492952033516,-0.31514789874643095,-0.39712500358220665,
AlkNone,-0.17962852742308918,-0.20832794555680986,-0.20868555708733227,-0.23176762596933853,-0.27459626386692265,
Alk<4000,-0.14138333428427555,-0.16564679657549178,-0.1629067044421566,-0.20806526285236954,-0.2442994620446805,
Alk4000_7999,-0.1772326697098306,-0.21499252646360098,-0.21170371800064391,-0.2559877294390486,-0.3135099432481277,
Alk8000_11999,-0.208187362254809,-0.24843515816483808,-0.24710873332237007,-0.2807026074689405,-0.34111580714773543,
Alk12000+,-0.28029114953319545,-0.33249705851171113,-0.33118859589484834,-0.35316496578189355,-0.4269356218512625,
CispNone,-0.17870635785489086,-0.20981058496509097,-0.20886148917129038,-0.24087509869129847,-0.2874568407768944,
Cisp<400,-0.3194778278516799,-0.3722160345615894,-0.3725640861855413,-0.39072698657016297,-0.4651760598988436,
Cisp400+,-0.3131775740718226,-0.3730191337993884,-0.37220957038854924,-0.3839081765846261,-0.4671785939603651,
PlatNone,-0.17568673606324578,-0.2064736536319066,-0.20544752474152175,-0.2375402627257143,-0.28366296416070763,
Plat<400,-0.3050504557672179,-0.3573478652650663,-0.3570766367636457,-0.37995430807011626,-0.45430420018568035,
Plat400+,-0.32138707176228815,-0.3754089418425866,-0.3756574856710135,-0.3914745623876352,-0.46722043426672855,
ChestNone,-0.12768916305657535,-0.15047495277357675,-0.1472778097107656,-0.19225134717122702,-0.22596877436602505,
Chest<10,-0.2177238097250718,-0.2538512651193337,-0.25320734877479706,-0.27739415102496434,-0.32906448622895157,
Chest10_19,-0.27513645744998666,-0.31993169709528896,-0.31822855618467316,-0.3499100146567777,-0.4126040134284902,
Chest20_29,-0.24873199333039758,-0.3038113178798879,-0.30141752643014375,-0.323964279717115,-0.4035324575234057,
Chest30+,-0.3447713906756406,-0.43380181738020446,-0.4355691801454378,-0.3941781967511626,-0.5152868464264098,
HeartNone,-0.1283885451526216,-0.15125940037215427,-0.14809787966122762,-0.1928759387572033,-0.22672664951388494,
Heart<5,-0.21664671112891878,-0.25287764187276224,-0.25226734710292953,-0.2762162785957601,-0.32814431995805116,
Heart5_14,-0.2766064388782381,-0.32354426663052377,-0.32251624816075697,-0.34243974070553634,-0.4075392808646842,
Heart15_34,-0.31218155279830007,-0.3785341339842044,-0.3787908484409325,-0.37841734233379276,-0.4717484196509522,
Heart35+,-0.32778467664780836,-0.43493587534558786,-0.43506228614894593,-0.38192238705938053,-0.5302519102605662,
