Group,LE,QALEcond,LEcond,HealthyLY,HealthyLYCond,
all,-0.18043342753636948,-0.2123359787427189,-0.21080121804154228,-0.2516643507236039,-0.29984501056471097,
Male,-0.18515827343577945,-0.21752209964477887,-0.21661563870554132,-0.2549974041245543,-0.3044790587228691,
Female,-0.174646795563019,-0.20574163578442098,-0.20370165036084542,-0.24761177439042695,-0.294237697211426,
1970s,-0.23843695916321334,-0.2831013394634605,-0.28342895438774485,-0.28986656495899005,-0.35208205648923585,
1980s,-0.18681454830861766,-0.2197758811671765,-0.21820592486137597,-0.2578910186086137,-0.30712183078411853,
1990s,-0.1489332816484285,-0.17543391766718577,-0.17266961670319578,-0.22929655657300063,-0.27090685879773835,
Age0-4,-0.17159474284505233,-0.1876509377690641,-0.18616073835988317,-0.2487024193941334,-0.27249455471367523,
Age5-9,-0.1741426162735637,-0.20358610647667144,-0.20197542929545023,-0.24354230409062091,-0.2876979517447501,
Age10-14,-0.18741481258848583,-0.2386238287717129,-0.2358853098847393,-0.25797238973466785,-0.3346721829695925,
Age15-20,-0.20748213286229292,-0.2857251171278396,-0.28349575889103934,-0.2653267027002936,-0.3787377262804711,
brain,-0.2971738412201296,-0.34660391465046775,-0.34962489978521444,-0.3510636352692235,-0.4200495951526038,
bone,-0.22641275061275173,-0.2939313715739196,-0.28784470098632375,-0.3131572965672188,-0.4109992067117147,
sts,-0.2152087743347327,-0.25741556276637434,-0.2541373936340039,-0.2952928992222834,-0.3560728479215396,
solid,-0.202907808362889,-0.22299259272992117,-0.22079416419276388,-0.2853407365957892,-0.31411379261286393,
leuk,-0.1046561713950981,-0.1226283863634459,-0.11929431053361032,-0.1652562771666966,-0.19143405965842555,
lymp,-0.20567034252815805,-0.2634535476087879,-0.25940807580314235,-0.29738608467817507,-0.38767002803908523,
ALL,-0.09120162425532433,-0.1062665830639722,-0.10362240122231574,-0.14346544176597906,-0.16554113539919132,
AML,-0.1756197155606236,-0.218132773707676,-0.20404404213219413,-0.340752919331201,-0.4043253443303478,
OtherLeukemia,-0.3208362629165457,-0.3823450735025481,-0.3837238109232866,-0.35910757283808137,-0.4410496951482193,
Astrocytoma,-0.25389373430245227,-0.29857521902225104,-0.2992077499376412,-0.3135604280970467,-0.3755979325739578,
Medulloblastoma,-0.3917282882363733,-0.4544533173696007,-0.4591769189142914,-0.44128350646083153,-0.5247908344867598,
Other CNS,-0.3170332864280831,-0.3667154796623414,-0.37271226938435653,-0.35615980983107487,-0.42817802516789555,
HL,-0.22972655286658558,-0.3027458943521627,-0.2970566676386595,-0.3246438656795651,-0.43572236428120203,
NHL,-0.16937597318008435,-0.20865483880934008,-0.20598621376406812,-0.2563083162270664,-0.320254396868541,
Kidney,-0.1830722358942361,-0.20418794967363935,-0.20121295538917686,-0.27182091626022714,-0.30262061540297663,
NBL,-0.22563061924292202,-0.24397866231477333,-0.2427519225779255,-0.30088336381725805,-0.32701243701276617,
STS,-0.2152087743347327,-0.25741556276637434,-0.2541373936340039,-0.2952928992222834,-0.3560728479215396,
Ewings,-0.2821743816505385,-0.3592365008135283,-0.3529320883162254,-0.37698760170435663,-0.48394566804831834,
Osteosarcoma,-0.19829796642507508,-0.26140898527638784,-0.2547772048463068,-0.27922711952380413,-0.37157587687403515,
OtherBoneTumor,-0.16441966781726855,-0.21258581760382023,-0.20733304423285986,-0.25424191823708775,-0.3330136384760461,
AnthNone,-0.20721910865435467,-0.23972835807147008,-0.2413736313181383,-0.2561366319003149,-0.30396995583100495,
Anth<100,-0.1014832978153937,-0.12069750991933906,-0.11543838263612259,-0.18518976268459167,-0.2139374655865417,
Anth100_249,-0.1518789445811849,-0.1824457939303555,-0.17786494653241172,-0.24268303464698082,-0.2902900962231093,
Anth250_399,-0.2109709535227601,-0.258789428471103,-0.25300372067459437,-0.31393997533917073,-0.3856918514904151,
Anth400+,-0.2179172208733091,-0.2705465016786056,-0.2658894865163181,-0.3142067533159311,-0.39364165049911654,
AlkNone,-0.17194422120027011,-0.20024452811251994,-0.19958613020666532,-0.23147560650993296,-0.27364784022584115,
Alk<4000,-0.12167437384147485,-0.14391892116737784,-0.1399640078468385,-0.19932155124569742,-0.2334325518610638,
Alk4000_7999,-0.1676385212694582,-0.20394343808239013,-0.19999570969198077,-0.25686721118799705,-0.3139385923049031,
Alk8000_11999,-0.20281820831276517,-0.24337368960570993,-0.24076763315031954,-0.28660203875949164,-0.3472950729885225,
Alk12000+,-0.27673832475713434,-0.32821906780094934,-0.3267533917582327,-0.3541526463623442,-0.42730957927224394,
CispNone,-0.16869141629436957,-0.1989267604960319,-0.1969665874306812,-0.23974080517856672,-0.2854448378519532,
Cisp<400,-0.3227183927090605,-0.375213670320128,-0.37543258487247605,-0.39780974886781134,-0.47164195305033535,
Cisp400+,-0.31655459570029604,-0.37702662830532724,-0.3766984632214878,-0.3883628825931951,-0.47264824532011235,
PlatNone,-0.16541668215733324,-0.1953339311381709,-0.19325327197745037,-0.23651054866249732,-0.281787057434526,
Plat<400,-0.30707568319206163,-0.35880734219972854,-0.3587484046830125,-0.38366646110279884,-0.4570787457744835,
Plat400+,-0.32468576914129693,-0.37881087504152683,-0.3794487160120022,-0.39451254108368594,-0.47013991947238387,
ChestNone,-0.11709931160840004,-0.1392194569720209,-0.1349357338953663,-0.19208393707118204,-0.22534687459994715,
Chest<10,-0.2080384639658496,-0.24242671177728248,-0.2417545857872618,-0.2682732109510446,-0.3175861243798065,
Chest10_19,-0.2606656888201898,-0.30405799663151284,-0.3009845405524433,-0.34852372980750834,-0.41046217113075684,
Chest20_29,-0.25110589105460485,-0.308396896295852,-0.30422754263750446,-0.3409346236047336,-0.4233223846857915,
Chest30+,-0.3436406371327486,-0.4335110037475576,-0.4337101145232009,-0.4050204594671341,-0.5261437079589375,
HeartNone,-0.11808896061162934,-0.1403281098345851,-0.13609466282345925,-0.19295770161731662,-0.22640994342718587,
Heart<5,-0.20630951235429607,-0.24074983310908407,-0.24005880795287327,-0.2669247459948411,-0.31642930038012407,
Heart5_14,-0.2686615073461525,-0.31516481819873476,-0.3127342745178727,-0.34608967184298134,-0.4110073008513627,
Heart15_34,-0.30855800576819203,-0.3756841581031356,-0.3740826898271224,-0.3899647863622963,-0.48428911471594915,
Heart35+,-0.3314804134460587,-0.4402908333288881,-0.43942750702880656,-0.3948482309320743,-0.5438074486947501,
CRTNone,-0.11724640558838871,-0.13936904098632866,-0.13510186463457263,-0.19207752472121248,-0.2253321207829841,
CRT<20,-0.2176907063566204,-0.262683328752938,-0.26034310177490483,-0.29085721461764363,-0.3562787384579217,
CRT20_29,-0.18623412576555312,-0.21572870214339895,-0.21435532503171154,-0.2342253341032988,-0.27405732017531886,
CRT30_49,-0.3536229703082929,-0.40869906924009364,-0.4092592637202804,-0.40690765517580263,-0.47980352466207915,
CRT50+,-0.3689969963015347,-0.4356213589163243,-0.4369147471882279,-0.4320103308528382,-0.5204521545549455,
OvaryNone,-0.11605823118056532,-0.13791796249514326,-0.13337893976352097,-0.19043696086244585,-0.22253782884692622,
Ovary<10,-0.23492005798938662,-0.280942065152221,-0.2792924872074764,-0.30541530979747855,-0.3708538647375579,
Ovary10-19,-0.2809690320237028,-0.32605206013415816,-0.3245241470690177,-0.3591649307185014,-0.42223847236941386,
Ovary20+,-0.2707616328523761,-0.32640083026611094,-0.32352508084923737,-0.3486824223140429,-0.426578992081621,
AbdPelNone,-0.1170186508670469,-0.13912502231928273,-0.13483104196271486,-0.19199931256283123,-0.22522699147970066,
AbdPel<15,-0.21578925613243813,-0.2559825583061275,-0.2542249510933922,-0.2838004340569409,-0.34122844849147294,
AbdPel15_24,-0.25103761495404714,-0.29261534048990967,-0.2904678564044044,-0.33007598179176684,-0.3895159734303988,
AbdPel25_34,-0.2942583223408837,-0.3477061528480936,-0.34829923468222934,-0.3614258845986569,-0.4373565888945315,
