Group,Outcome,prop_0,prop_1,prop_2,prop_3,prop_4,prop_5,prop_6,prop_7,prop_8,prop_9,prop_10,prop_11,prop_12,prop_13,prop_14,prop_15,prop_16,prop_17,prop_18,prop_19,prop_20,prop_21,prop_22,prop_23,prop_24,prop_25,prop_26,prop_27,prop_28,prop_29,prop_30,prop_31,prop_32,prop_33,prop_34,prop_35,prop_36,prop_37,prop_38,prop_39,prop_40,prop_41,prop_42,prop_43,prop_44,prop_45,prop_46,prop_47,prop_48,prop_49,prop_50,prop_51,prop_52,prop_53,prop_54,prop_55,prop_56,prop_57,prop_58,prop_59,prop_60,prop_61,prop_62,prop_63,prop_64,prop_65,prop_66,prop_67,prop_68,prop_69,prop_70,prop_71,prop_72,prop_73,prop_74,prop_75,prop_76,prop_77,prop_78,prop_79,prop_80,prop_81,prop_82,prop_83,prop_84,prop_85,prop_86,prop_87,prop_88,prop_89,prop_90,prop_91,prop_92,prop_93,prop_94,prop_95,prop_96,prop_97,prop_98,prop_99,
all,AnyCHC,0.0,9.49,12.076,14.403,16.57,18.486,20.183,21.824,23.246,24.749,26.084,27.521,28.927,30.26,31.556,32.796,33.935,34.994,35.996,36.959,37.885,38.768,39.548,40.308,41.05,41.769,42.464,43.115,43.751,44.369,44.945,45.531,46.117,46.659,47.21,47.741,48.212,48.746,49.197,49.697,50.16,50.612,51.043,51.459,51.896,52.313,52.739,53.16,53.569,53.918,54.37,54.742,55.127,55.546,55.922,56.294,56.725,57.093,57.457,57.892,58.215,58.649,59.057,59.358,59.833,60.144,60.554,61.004,61.308,61.75,62.12,62.527,62.929,63.335,63.739,64.16,64.607,64.982,65.48,65.86,66.377,66.787,67.304,67.78,68.285,68.807,69.335,69.902,70.484,71.04,71.748,72.407,73.126,73.967,74.882,75.885,76.959,78.241,79.973,82.475,
all,Death,0.0,10.119,13.228,16.088,18.718,21.029,23.178,25.267,27.557,29.996,32.403,34.686,36.832,38.819,40.602,42.207,43.681,45.012,46.261,47.424,48.541,49.528,50.456,51.356,52.183,52.95,53.732,54.478,55.189,55.91,56.555,57.213,57.853,58.433,59.077,59.607,60.215,60.694,61.307,61.754,62.348,62.789,63.354,63.79,64.307,64.761,65.263,65.712,66.209,66.624,67.139,67.547,68.001,68.448,68.862,69.311,69.717,70.158,70.563,71.0,71.342,71.804,72.195,72.578,73.034,73.418,73.768,74.224,74.626,75.047,75.442,75.861,76.276,76.668,77.117,77.529,77.947,78.417,78.8,79.226,79.682,80.103,80.567,80.99,81.441,81.926,82.351,82.904,83.298,83.882,84.362,84.999,85.603,86.351,87.186,88.133,89.205,90.484,92.321,95.13,
Male,AnyCHC,0.0,9.084,11.391,13.39,15.301,17.136,18.804,20.313,21.734,23.061,24.353,25.636,26.961,28.306,29.662,30.971,32.256,33.457,34.615,35.7,36.767,37.734,38.658,39.522,40.362,41.145,41.863,42.597,43.295,43.921,44.577,45.177,45.747,46.36,46.888,47.46,47.99,48.491,49.012,49.475,49.966,50.402,50.877,51.312,51.729,52.181,52.543,52.997,53.404,53.762,54.22,54.566,54.974,55.377,55.714,56.167,56.522,56.897,57.302,57.658,58.047,58.416,58.825,59.188,59.556,59.959,60.3,60.732,61.074,61.461,61.884,62.221,62.654,63.067,63.395,63.878,64.238,64.653,65.125,65.47,65.995,66.367,66.875,67.313,67.804,68.287,68.802,69.316,69.881,70.429,71.047,71.707,72.402,73.199,74.054,74.99,76.074,77.348,79.003,81.506,
Male,Death,0.0,9.691,12.304,14.777,17.147,19.382,21.345,23.215,25.05,27.001,29.158,31.448,33.643,35.74,37.72,39.58,41.231,42.763,44.168,45.43,46.626,47.731,48.786,49.777,50.68,51.537,52.399,53.185,53.935,54.643,55.369,56.082,56.723,57.371,58.036,58.609,59.237,59.823,60.387,60.954,61.48,62.053,62.547,63.106,63.604,64.127,64.623,65.119,65.653,66.107,66.625,67.1,67.553,68.04,68.481,68.949,69.399,69.828,70.289,70.694,71.149,71.564,72.009,72.379,72.86,73.287,73.645,74.17,74.511,74.985,75.391,75.849,76.235,76.707,77.149,77.544,78.063,78.44,78.921,79.36,79.826,80.275,80.713,81.218,81.66,82.166,82.625,83.163,83.679,84.192,84.801,85.459,86.145,86.968,87.857,88.851,89.993,91.404,93.417,95.95,
Female,AnyCHC,0.0,10.212,13.419,16.14,18.478,20.507,22.33,24.033,25.622,27.174,28.657,30.016,31.3,32.519,33.599,34.607,35.572,36.476,37.373,38.186,38.982,39.723,40.423,41.134,41.803,42.449,43.082,43.685,44.281,44.816,45.411,45.93,46.484,47.014,47.504,48.044,48.501,49.025,49.42,49.962,50.338,50.861,51.244,51.713,52.129,52.518,52.976,53.343,53.779,54.165,54.589,54.974,55.387,55.782,56.167,56.572,56.944,57.358,57.75,58.145,58.562,58.917,59.327,59.718,60.101,60.513,60.891,61.291,61.686,62.097,62.531,62.891,63.332,63.749,64.163,64.633,65.023,65.518,65.936,66.424,66.892,67.368,67.887,68.378,68.916,69.457,70.018,70.614,71.186,71.853,72.501,73.235,74.003,74.823,75.744,76.748,77.869,79.196,80.864,83.271,
Female,Death,0.0,11.044,14.981,18.287,21.137,23.759,26.381,29.111,31.807,34.323,36.629,38.724,40.592,42.271,43.784,45.135,46.373,47.546,48.657,49.638,50.585,51.444,52.287,53.078,53.863,54.614,55.292,55.995,56.665,57.289,57.939,58.529,59.093,59.678,60.2,60.766,61.262,61.778,62.288,62.76,63.257,63.7,64.194,64.609,65.1,65.525,65.968,66.41,66.843,67.24,67.712,68.077,68.518,68.935,69.294,69.723,70.123,70.487,70.925,71.276,71.651,72.069,72.415,72.809,73.19,73.567,73.947,74.332,74.744,75.128,75.502,75.916,76.288,76.694,77.082,77.474,77.877,78.298,78.672,79.104,79.514,79.901,80.345,80.782,81.14,81.629,81.994,82.506,82.92,83.378,83.904,84.411,85.006,85.637,86.341,87.186,88.172,89.297,90.824,93.339,
1970s,AnyCHC,0.0,8.976,10.923,12.736,14.435,16.159,17.704,19.184,20.546,21.777,22.942,23.988,25.016,26.096,27.183,28.278,29.377,30.451,31.498,32.5,33.493,34.414,35.285,36.138,36.985,37.795,38.58,39.295,40.028,40.737,41.397,42.049,42.695,43.291,43.908,44.441,45.016,45.548,46.107,46.638,47.155,47.658,48.183,48.645,49.15,49.592,50.062,50.491,50.976,51.377,51.847,52.233,52.692,53.09,53.528,53.952,54.342,54.789,55.146,55.607,56.007,56.41,56.855,57.242,57.693,58.089,58.501,58.94,59.356,59.804,60.234,60.659,61.097,61.55,62.002,62.46,62.921,63.396,63.873,64.364,64.882,65.359,65.931,66.449,67.032,67.618,68.215,68.852,69.492,70.183,70.898,71.662,72.455,73.334,74.303,75.342,76.509,77.913,79.714,82.354,
1970s,Death,0.0,9.228,11.459,13.517,15.544,17.513,19.328,21.057,22.617,24.065,25.422,26.925,28.594,30.347,32.123,33.893,35.606,37.275,38.834,40.273,41.645,42.917,44.094,45.16,46.153,47.13,48.04,48.912,49.709,50.541,51.295,52.015,52.736,53.422,54.093,54.748,55.391,56.014,56.639,57.221,57.808,58.36,58.939,59.477,60.034,60.538,61.077,61.552,62.069,62.531,63.075,63.526,64.056,64.49,65.014,65.46,65.959,66.418,66.919,67.366,67.838,68.29,68.773,69.228,69.674,70.137,70.578,71.058,71.497,71.966,72.43,72.883,73.345,73.806,74.297,74.765,75.237,75.737,76.218,76.753,77.244,77.777,78.29,78.849,79.362,79.963,80.503,81.082,81.665,82.274,82.908,83.541,84.214,84.983,85.833,86.79,87.864,89.152,90.932,93.944,
1980s,AnyCHC,0.0,9.115,11.538,13.851,15.975,17.892,19.607,21.133,22.64,24.046,25.443,26.828,28.213,29.579,30.854,32.083,33.238,34.347,35.389,36.348,37.292,38.174,38.986,39.79,40.558,41.297,41.992,42.658,43.318,43.946,44.56,45.152,45.724,46.3,46.815,47.387,47.884,48.415,48.889,49.383,49.831,50.311,50.745,51.201,51.643,52.046,52.481,52.863,53.317,53.689,54.104,54.52,54.904,55.313,55.703,56.096,56.49,56.879,57.279,57.677,58.043,58.45,58.858,59.185,59.645,60.017,60.379,60.83,61.163,61.588,62.016,62.361,62.842,63.19,63.635,64.08,64.485,64.933,65.37,65.817,66.3,66.754,67.269,67.739,68.286,68.779,69.358,69.895,70.517,71.094,71.785,72.493,73.247,74.065,74.975,75.984,77.091,78.455,80.149,82.658,
1980s,Death,0.0,9.698,12.588,15.438,18.048,20.362,22.466,24.533,26.756,29.123,31.561,33.846,36.049,38.067,39.914,41.573,43.112,44.466,45.735,46.932,48.034,49.053,50.024,50.928,51.771,52.589,53.357,54.1,54.831,55.52,56.202,56.884,57.504,58.105,58.742,59.285,59.879,60.417,60.954,61.501,62.011,62.513,63.025,63.501,64.003,64.465,64.962,65.401,65.885,66.341,66.789,67.266,67.675,68.174,68.56,69.025,69.438,69.847,70.284,70.704,71.113,71.502,71.95,72.317,72.738,73.157,73.552,73.955,74.394,74.761,75.208,75.617,76.02,76.468,76.876,77.313,77.735,78.174,78.619,79.028,79.503,79.923,80.386,80.855,81.292,81.764,82.255,82.732,83.208,83.755,84.273,84.867,85.501,86.217,87.053,87.996,89.068,90.382,92.201,95.002,
