Group,Outcome,age_0,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,age_11,age_12,age_13,age_14,age_15,age_16,age_17,age_18,age_19,age_20,age_21,age_22,age_23,age_24,age_25,age_26,age_27,age_28,age_29,age_30,age_31,age_32,age_33,age_34,age_35,age_36,age_37,age_38,age_39,age_40,age_41,age_42,age_43,age_44,age_45,age_46,age_47,age_48,age_49,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89,age_90,age_91,age_92,age_93,age_94,age_95,age_96,age_97,age_98,age_99,
all,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,5.999274469635224,6.997171295071825,7.9925479291594215,8.984725787832135,9.973107782133734,10.9576653004771,11.938082287007893,12.91404960194236,13.885155141302223,14.852102500308389,15.814339506008947,16.771883679018124,17.723677950158596,18.670463339814013,19.61159835342932,20.54511403873704,21.47296031171438,22.3941514712252,23.308482324089475,24.215531523954354,25.11565369093959,26.009465976938994,26.894479041682615,27.774113121209055,28.644445305233106,29.50482022113203,30.362051866878268,31.21040734544409,32.04705915249172,32.87690933485842,33.699863672980754,34.50985117857174,35.30944772400064,36.09851130973082,36.87179413511229,37.63726919962387,38.38783258274539,39.124553498806314,39.84857191570743,40.55185696340558,41.238421889095406,41.90806511270188,42.56253304512602,43.18896523783925,43.798955004922604,44.383338019237584,44.94315708234985,45.46587837307746,45.95962674201634,46.436765750857326,46.89364512980081,47.321166676071556,47.719007971795335,48.096404564329916,48.42314712903068,48.73011245664898,49.00712050229745,49.25396254847855,49.48508369152059,49.684661166691924,49.864431681220466,50.02539985764559,50.16613398831325,50.29078954590545,50.39873173303321,50.49441153632678,50.57674521411136,50.64919738212948,50.707587114244234,50.75029688991886,50.78958818254978,50.82589796551734,50.85623647463697,50.87703247184349,50.89839352480313,50.91494206687785,50.929454104432885,50.94212096337408,50.950526313235464,50.95692319281331,50.961058906923164,50.964129509417965,50.96652339218077,50.96829522662701,50.96955596100645,50.970624426433865,50.97114732017345,50.971444365526224,50.97164130002506,50.97176739702583,50.9718094541261,50.97185151122637,50.971893568326635,50.97193562542691,50.971977682527175,
Male,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,5.999143001314442,6.996729890597702,7.991413460423999,8.981985122777967,9.968213173478553,10.949518908012907,11.925783315343287,12.896854138655247,13.862093489990611,14.822401846822027,15.776943879305861,16.725271869749164,17.667338294170996,18.604172183900403,19.533528075992773,20.45694038449292,21.372339385129777,22.280754266943088,23.181625784602108,24.07515994149635,24.958066063336005,25.835368548459087,26.70456695528269,27.566547273699044,28.420249226661156,29.265545750069492,30.10261341934828,30.933078465122396,31.75485731600902,32.56741050564189,33.372829347894864,34.167131047180696,34.95400913750854,35.72674497495998,36.48593805965038,37.23959254326,37.98232783452922,38.70980197625517,39.41599831286424,40.116343499253496,40.795874075267236,41.45698317567961,42.094892153657916,42.715902956824294,43.314310588754374,43.89834511658804,44.45748932203488,44.98325157341085,45.48503590791333,45.9522145390183,46.38845706550432,46.79497665913901,47.174037150400075,47.52702609811484,47.827903790903505,48.129486172690676,48.40160681688618,48.64545264808488,48.861907020378865,49.048733675962296,49.208889839245515,49.34384338916233,49.45759574358537,49.554283119442246,49.63464492193812,49.702747892322826,49.75911770907199,49.80188460264741,49.832046980839706,49.85544105582628,49.87304062886484,49.886282406353274,49.89682520255972,49.90451694545678,49.910604935599665,49.914341702496955,49.91673025114889,49.918148078335605,49.91907009194504,49.91954929378762,49.919692408865,49.919692408865,49.919692408865,49.919692408865,49.919692408865,49.919692408865,49.919692408865,49.919692408865,49.919692408865,49.919692408865,49.919692408865,49.919692408865,49.919692408865,49.919692408865,49.919692408865,
Female,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,5.999226254999992,6.996965603117075,7.992627253723933,8.985756748890914,9.976001777250104,10.963067661565278,11.946329093599921,12.926555550647256,13.903296493501422,14.875035088961463,15.843934329283556,16.80900176913711,17.76898294726534,18.724699594411558,19.674722745162324,20.6202854468338,21.559934111737636,22.493299736684165,23.421457182897253,24.341893324933963,25.256380781486758,26.164240661362495,27.063844147459026,27.956493774496636,28.841905944835716,29.71756063497766,30.589215174213052,31.452373502679194,32.303328829648756,33.147189778031404,33.981291256818935,34.804923089133325,35.61606606409953,36.41172756806788,37.20149390008232,37.97496642069195,38.735829645983735,39.48114682819562,40.20731194902827,40.916397387978094,41.60408163064511,42.27391078173603,42.92201725593811,43.55329023257531,44.17051345901854,44.76563498414055,45.30138613604848,45.80056213634451,46.303574275069664,46.7842341648081,47.23717727013285,47.66536202610085,48.07070060147549,48.445078283814816,48.79145840090547,49.09833087600487,49.3996195214844,49.65909363710376,49.901301518860365,50.116885914039045,50.31264568092843,50.482264911976685,50.63725915958093,50.774647576512514,50.897421794504545,51.005466343221656,51.09918951186521,51.177906441736006,51.24971157097982,51.312679721219055,51.36480984078565,51.40824241485828,51.4457659195106,51.477174425447146,51.503578921746815,51.524376644552255,51.53850486885172,51.5466227756648,51.55260947170478,51.55604873662677,51.558748731172166,51.56076611539699,51.5626370568405,51.56430359422442,51.565424741696,51.56614513729596,51.56637218375933,51.566599230222685,51.56667668043636,51.56667668043636,51.56667668043636,51.56667668043636,51.56667668043636,51.56667668043636,51.56667668043636,
1970s,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,5.999014710169186,6.996406437210792,7.990462135544126,8.98022913952192,9.964501176981436,10.943047400823486,11.916179604162165,12.883683007324223,13.844833970557334,14.799690440418042,15.74853416281177,16.691286758582883,17.627065291647828,18.55649001449127,19.478497692966673,20.392616648398562,21.29918989702916,22.198100228707258,23.0866122659323,23.964422037361704,24.832521160362987,25.689665915106477,26.537838538245428,27.37628362983318,28.206828881109562,29.027944228880415,29.837627284409223,30.63776281181902,31.42721058880716,32.20756601637962,32.97872852421103,33.73832028212058,34.485666075756264,35.2192755693079,35.938701205569444,36.64398896507101,37.33420131911534,38.00991459094795,38.67445951916569,39.326312873158365,39.95405232697018,40.563546553553174,41.153670211617275,41.727918336681775,42.28277768141487,42.819707604478026,43.330399901586226,43.81300056173476,44.274298947814444,44.71778150823042,45.13682826620943,45.52964536942827,45.90148093238371,46.2380234157002,46.52607687191971,46.81802210477733,47.07680009642938,47.31899217013876,47.54331955589896,47.72120846862903,47.87579862815335,48.01565852490838,48.14952792100747,48.258823191059605,48.34608296023694,48.424570710710974,48.49209569466017,48.549823640181565,48.594279664066065,48.62283477929578,48.652863584329694,48.678598260843174,48.69958048210497,48.717100871821145,48.731831590960354,48.74401373735448,48.752435274256506,48.75632697592431,48.760114261942135,48.76382105144443,48.765840591487105,48.76718312623965,48.76814290174417,48.76871114993086,48.76908042505733,48.76908042505733,48.76908042505733,48.76908042505733,48.76908042505733,48.76908042505733,48.76908042505733,48.76908042505733,48.76908042505733,48.76908042505733,48.76908042505733,
1980s,CumHealthyLY,1.0,2.0,3.0000000000000004,4.0,5.0,5.99898293656346,6.996210925975601,7.990417575800432,8.980859900204926,9.966690002446743,10.948162250774798,11.925081546173612,12.896774331787451,13.864384476063908,14.827815947781563,15.786560116428722,16.73901458475691,17.68532227058696,18.62726025522733,19.56182349571989,20.48986702448454,21.412800797319196,22.32810990491242,23.236848721291192,24.138827429419596,25.032983245568794,25.917330252259887,26.797656666653392,27.669934371830575,28.53276321308619,29.389895307369823,30.239233712542326,31.077515445936314,31.907171381636267,32.72750748473999,33.539780316559614,34.34314185069893,35.13130705182548,35.91056670677982,36.6741688204248,37.431413394624265,38.171166377710406,38.90342478347454,39.61222422638336,40.30500480588523,40.98555951717794,41.645069655163525,42.28325066528003,42.90941847896746,43.50721460923765,44.087319293647816,44.644707859681944,45.17754334390855,45.67988096195782,46.147400729749585,46.60832754007059,47.04339157770383,47.44725544087781,47.81981579352599,48.15843717661832,48.48557499160924,48.77759900834603,49.04209516895062,49.27694438956608,49.48785893004016,49.677073152946456,49.84661378597053,49.99520091014626,50.12616810906032,50.24896545671254,50.35305848330851,50.42758026018014,50.4893289474618,50.55731033361972,50.60653760714822,50.640951636656496,50.677560571258894,50.699487388847224,50.71661692247793,50.73822766654271,50.76032829986858,50.77664236907454,50.78172165477823,50.784721978789285,50.78707058406632,50.78880952482314,50.78997477640289,50.790832251706654,50.79115027283561,50.79146829396457,50.7916796594667,50.7916796594667,50.7916796594667,50.7916796594667,50.7916796594667,50.7916796594667,50.7916796594667,50.7916796594667,50.7916796594667,50.7916796594667,
1990s,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,5.999214117960992,6.996974348148,7.99283671983678,8.985961219154872,9.976671168934782,10.964089498323615,11.94804060572435,12.928608979821325,13.905568331316841,14.878134393138406,15.845310481232147,16.809563475561852,17.76995543670711,18.72495440380486,19.675446041822017,20.621590831013275,21.560497103736072,22.493764583632732,23.420282088490314,24.341081602341912,25.255294596709383,26.16375827104426,27.06704287666717,27.964984565538874,28.856596103277287,29.73831372920546,30.613742641161952,31.484358462531958,32.34756642077703,33.201095675079536,34.04564532502566,34.880909679286106,35.709694783304506,36.525211903302846,37.32858094135639,38.11813786260224,38.8984471663209,39.661086647528435,40.4087124555143,41.146914976801575,41.85320962842636,42.54974196203703,43.23085980924499,43.88800224297647,44.52051701615386,45.13236409348208,45.710238533878474,46.2735112748403,46.79672042897921,47.298788146508194,47.75476008099844,48.19289595928708,48.5979986168388,48.97138762073356,49.315045720229975,49.611594440256056,49.88849739850795,50.130222724214995,50.34133743633937,50.523311089377344,50.683750439413515,50.82469986381185,50.94677338119499,51.053409999389544,51.14494965762643,51.22408693184051,51.29290462013459,51.351227579836745,51.400966440487835,51.440981864237244,51.47342359756558,51.4995636184262,51.52208458642164,51.540382239423685,51.55476894165342,51.56585344314754,51.57552853803559,51.5833999616236,51.58921792904745,51.59414842500459,51.597680539322,51.60054229456087,51.60280845924239,51.60376751600083,51.60431277959331,51.60485804318578,51.60500852292657,51.60500852292657,51.60500852292657,51.60500852292657,51.60500852292657,51.60500852292657,51.60500852292657,51.60500852292657,51.60500852292657,
Age0-4,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,5.998309769429738,6.993410112414343,7.982639295944015,8.964416457813208,9.93735059075885,10.903445054927118,11.863359156305314,12.817517027369572,13.766314617033405,14.710980137226926,15.651048218897184,16.587065703697974,17.517771688625896,18.445616233353324,19.367182107152818,20.28462931745224,21.197910032002937,22.104362675602342,23.00884555448918,23.904707110764324,24.797759227733685,25.68455272109474,26.56300072956097,27.435478855834205,28.303530391030996,29.165516335567265,30.02010592709739,30.87070081789171,31.70770505006306,32.54111669012425,33.36399953655762,34.17964276052109,34.9863562609209,35.78595841424814,36.572192893406964,37.34487037995208,38.10642702927139,38.8539465599,39.584888815533965,40.30150908540395,40.99914291293692,41.67413448602522,42.33423035818052,42.96107320685801,43.574451425163566,44.156585436170545,44.7021837440966,45.21885484944157,45.68416639374776,46.12728035049909,46.536558829514796,46.9321025736693,47.30126772359934,47.649778154639485,47.95417844939314,48.228153911330864,48.478293602682996,48.69866307959894,48.89481204628308,49.06951138909685,49.227595912462604,49.36808960010899,49.489711129622144,49.60068587352295,49.69656770421675,49.78289833578425,49.85705758714786,49.91541102995992,49.979310741621454,50.03376370088519,50.07447866365491,50.096044016308205,50.129958012285854,50.15901265698962,50.184189289988126,50.20420268957952,50.21556706453137,50.22187067586681,50.223951002078174,50.22515205842061,50.22969000321372,50.235004712124486,50.238990277407666,50.24130752614142,50.24249852117225,50.243128113312856,50.243519421711326,50.243910730109796,50.244302038508266,50.244612777836586,50.244612777836586,50.244612777836586,50.244612777836586,50.244612777836586,50.244612777836586,
Age5-9,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,6.0,7.000000000000001,8.0,9.0,10.0,10.994720991260285,11.982743854388668,12.962038746282161,13.93140962026005,14.889705510195313,15.838818897493644,16.77871081307615,17.71194972806348,18.63854336465497,19.557597815309556,20.472797651001553,21.380146895123726,22.279452266871036,23.17474788917831,24.063562031160053,24.94790796993358,25.826198817597724,26.698962182925644,27.56459658358467,28.423364225311804,29.275725760442793,30.120638741852126,30.9574016106884,31.786204251808098,32.60587482395066,33.41216772428638,34.214227661800734,35.001102582543666,35.778210419213465,36.545895541026596,37.30713318968424,38.06149604745674,38.789095626657556,39.510911720909455,40.21552098501349,40.898821448572164,41.56300863017092,42.20972416942333,42.84205683717991,43.45938563792203,44.05572870155276,44.628526853369166,45.179116818617196,45.68811505914308,46.19622232328275,46.66074185495442,47.10379874895119,47.51518010785067,47.90292687837049,48.26496983415553,48.60024299265755,48.903999855370074,49.18256474540288,49.4377836162686,49.66629635186941,49.86347855491779,50.04148837344207,50.198292973319504,50.33522284528807,50.44652803716613,50.54101153919386,50.62275272465084,50.696211670771035,50.76952592979256,50.817926454721025,50.8565453284537,50.894959152789475,50.92337187864754,50.95043502227488,50.962451394506694,50.970551641863125,50.976937834607426,50.98081797801341,50.98355530375952,50.98501124263448,50.9860088713987,50.98658904280003,50.98934074507539,50.9927473242913,50.99511663278189,50.99708114287823,50.99871507802105,51.00020418007729,51.0010677775142,51.00193137495112,51.00279497238803,51.00348192060811,51.00400389339883,51.00447012491477,51.00447012491477,
Age10-14,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,6.0,6.999999999999999,7.999999999999999,9.0,10.0,11.0,12.000000000000002,13.000000000000002,14.000000000000004,15.000000000000004,15.994691978801505,16.983141412220892,17.96215163604665,18.93117907125803,19.886831252508134,20.830479141556165,21.766497061071068,22.69168412823605,23.607380158413832,24.51321406720193,25.411735003215842,26.304068874648294,27.186666200457143,28.06251497059563,28.93139013320241,29.789971410302876,30.641794705074304,31.48568199301171,32.319584782082,33.141989197220184,33.951266408020324,34.75055944468447,35.540593125535125,36.318470278386556,37.08275361990329,37.83643952514226,38.57759013801631,39.3009945679533,40.01139451375158,40.705676563599184,41.38833662512862,42.047836207919495,42.68033958898177,43.293806697429986,43.893364538595506,44.47111574907762,45.02830707183172,45.55915314749167,46.06260560143071,46.55121955634491,47.01248101152715,47.444106212584806,47.85167789850889,48.22720576350637,48.57919907882128,48.899223173426904,49.20154900792337,49.478102020229024,49.72373394383477,49.934380486063866,50.123524304726416,50.291854750445275,50.45304249535022,50.597536762255544,50.71699960595511,50.80644019444342,50.88682084604715,50.967064085588966,51.033747347066935,51.08215658855175,51.11922937354477,51.151849485528864,51.17697301895854,51.19732055849634,51.21296291782503,51.225145552021985,51.23569687197046,51.24367575051194,51.24845746401917,51.24936900536622,51.250009725657804,51.2506504459494,51.25089127358735,51.25089127358735,51.25089127358735,51.25089127358735,51.25089127358735,51.25089127358735,51.25089127358735,51.25089127358735,51.25089127358735,51.25089127358735,51.25089127358735,51.25089127358735,51.25089127358735,
Age15-20,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,6.0,7.000000000000001,8.0,9.0,9.999999999999998,10.999999999999998,11.999999999999998,12.999999999999996,13.999999999999996,14.999999999999995,15.999999999999995,16.999999999999993,17.999999999999993,18.999999999999993,19.999999999999993,20.992811482931778,21.975925125159264,22.94694467681045,23.905517617032313,24.847827345575567,25.774132257308764,26.685169330191005,27.583948373378057,28.470430675959154,29.34570668545176,30.20841817315788,31.061107079304687,31.902752968988292,32.73040378384721,33.54487435953645,34.34759681818902,35.13818968092495,35.91528194024833,36.679621967364746,37.428888433578344,38.16416222896233,38.88635589745035,39.59075835361278,40.27540622311325,40.945610106088175,41.595482196512286,42.22808067091609,42.839140582949526,43.4332577402623,44.00531056320747,44.554893986513505,45.08403850780416,45.58092366451789,46.058153522797696,46.50954275447159,46.93968448776841,47.33092668215963,47.70774113764089,48.06593362282819,48.388869344521744,48.70021989068371,48.991387768373656,49.25620288206279,49.49052255237456,49.70026965803467,49.90399800634547,50.09071835602021,50.24982087678635,50.393802688895484,50.50717415737529,50.618261284850284,50.70460881258867,50.77782202299615,50.84028070829868,50.89444105542596,50.946462694219136,50.979910837753565,51.00903032612829,51.02662269672855,51.04578260311194,51.0616105730232,51.06881644928823,51.07349339373269,51.07765670002006,51.08105877939292,51.08343608206572,51.086244164610264,51.088358727464865,51.088880351192415,51.088880351192415,51.088880351192415,51.088880351192415,51.088880351192415,51.088880351192415,51.088880351192415,51.088880351192415,51.088880351192415,51.088880351192415,51.088880351192415,51.088880351192415,
