Group,Outcome,age_0,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,age_11,age_12,age_13,age_14,age_15,age_16,age_17,age_18,age_19,age_20,age_21,age_22,age_23,age_24,age_25,age_26,age_27,age_28,age_29,age_30,age_31,age_32,age_33,age_34,age_35,age_36,age_37,age_38,age_39,age_40,age_41,age_42,age_43,age_44,age_45,age_46,age_47,age_48,age_49,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89,age_90,age_91,age_92,age_93,age_94,age_95,age_96,age_97,age_98,age_99,
all,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,5.9995663827023575,6.99789209425395,7.994081618511358,8.987407053319709,9.977373256352623,10.963677971943932,11.946085734454863,12.924354404969428,13.89841457153607,14.868059895043377,15.8330613276318,16.79333564898833,17.748507217644637,18.698401851645162,19.64267183765261,20.580935681337355,21.51276679880174,22.43802507280506,23.356531923272254,24.268004422183367,25.17220408218868,26.06933609623767,26.95943570007845,27.842435031979807,28.718182878272756,29.58643529085303,30.446913412086563,31.299226260940582,32.14295946173814,32.97773543349762,33.803151459758325,34.618707118214914,35.42387743836891,36.21816451225894,37.00097899479749,37.771448283281444,38.52886493037302,39.27258210671654,40.00179575462724,40.7157352352319,41.413222107252516,42.09348347453204,42.75592799388196,43.39980774312192,44.024026615348305,44.62723722456888,45.20856182343617,45.76687405974996,46.30142181495231,46.811464895533156,47.296411007100374,47.75587973147503,48.18965467395567,48.597652856126054,48.97970271690977,49.3358550769928,49.666164923360725,49.97097190207383,50.25070874348568,50.50597263763948,50.73746549813955,50.9460459467575,51.13275328169393,51.2987556440071,51.44526535998086,51.573386113295875,51.68416875376247,51.77902515889286,51.85927283465558,51.92644632847832,51.98202291987076,52.027529491552826,52.064411836028576,52.094039623921965,52.11764354965654,52.13617813804999,52.150490136299034,52.161396580384704,52.169577818234984,52.175655658553495,52.17988135796144,52.18281415864323,52.18482957222569,52.18621199149459,52.18715028316227,52.18778493262937,52.1882085454487,52.18848600032167,52.188668154725235,52.18878805746394,52.18886326027823,52.18890986265709,52.18893826791985,52.18895533109298,52.18896566095354,
Male,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,5.999537506566092,6.9977816358244045,7.993573386484787,8.985985496172095,9.974408556297377,10.958427732308996,11.937909422570678,12.912413084531314,13.881899528523078,14.846237844344603,15.805218258193124,16.758808619379007,17.706544142319203,18.6483299022065,19.583861381534415,20.512656831364843,21.43422412390481,22.3484211070191,23.255133335013973,24.154059689000405,25.044917533838575,25.928188119523785,26.804018135841993,27.672488150738246,28.533618604308174,29.38724800754056,30.233192716813903,31.0711522743258,31.90082681755122,32.72196272748371,33.534220634578794,34.337166663569135,35.13031631855323,35.91322548115422,36.685335240003134,37.445781297836035,38.19389022256733,38.928988706070335,39.65023474906724,40.35682785921195,41.047555271910106,41.721653808189366,42.37849641918356,43.017267967886944,43.636840541236516,44.235763231436295,44.81302825133595,45.36733129795209,45.89783224568764,46.40363750829478,46.88411169556097,47.33881282482676,47.76752100012486,48.17008438433291,48.54623515191036,48.89608014874443,49.21962984656353,49.51727459418462,49.789339964515214,50.03645616001024,50.259320809301876,50.458852830212656,50.63612414230949,50.792368785138216,50.92891222600935,51.04691245446565,51.14759293512991,51.23255828435348,51.30336135035329,51.36168905846574,51.40924579987461,51.44759711934219,51.478245944931814,51.50260388629317,51.52181335142252,51.53680107839118,51.54832192553309,51.55710127178241,51.56374138709275,51.56872031871096,51.572258189556074,51.57475468974976,51.57651321999781,51.57775252441409,51.578611347444934,51.57921212559971,51.57962562066016,51.579899270331396,51.580081745777825,51.580203162127184,51.580277953967745,51.58032544707593,51.58035266195107,51.58036870686816,51.580378327854035,
Female,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,5.999602173714506,6.998029003809894,7.99471155523369,8.989169026204957,9.981047903635698,10.970185469650435,11.956220001561412,12.939155275170862,13.918884419010013,14.89510760233805,15.867571887741715,16.836130755805637,17.80051905623185,18.76046437046086,19.715565445357434,20.665565048850386,21.610117836524044,22.549086213321974,23.482212106732803,24.40923513571479,25.329971532638293,26.244284326910282,27.152070610699475,28.05307854861933,28.946944167858597,29.833321315005197,30.711813117818103,31.581916394725663,32.44307483480151,33.29475721031159,34.136482288395776,34.967667163904714,35.78773669942095,36.59612631657866,37.392208948707115,38.17510169878691,38.94405495870462,39.698454718662056,40.43754394831898,41.16058901119107,41.86645400861111,42.55435400029401,43.22374189905397,43.87395309325382,44.50393089866956,45.112456241146724,45.69881255335629,46.262094047185336,46.80165768587881,47.31695340113194,47.8074423143914,48.27282031460722,48.7128753467814,49.1276097805772,49.51697137152574,49.88094149893563,50.21963032497599,50.53331465132384,50.82256002642904,51.08792272254624,51.33010996436125,51.549905638691925,51.74830861063852,51.926405342271984,52.08526792533049,52.22593273318119,52.34923666530587,52.45635270582496,52.54830666180442,52.62644421331294,52.69196114248105,52.746336411710786,52.79094499587756,52.82710458357524,52.8561552973228,52.87908610268776,52.89685764006108,52.9104005512899,52.92049195935922,52.92793186052537,52.93301010059932,52.93648368124966,52.938817493196275,52.94037729857296,52.94141408897763,52.94209072081184,52.942526874257126,52.94280904555118,52.94299080203288,52.943108828701426,52.9431845409039,52.94323003925331,52.94325991996222,52.94327824522973,52.94328945371701,
1970s,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,5.99962890924358,6.997981810063202,7.993696488800963,8.985731549945445,9.97276025844476,10.95470750021189,11.931533587649987,12.902845947765014,13.86843129569969,14.828079106887412,15.781805172393728,16.729685317685625,17.67098030591919,18.605733320633924,19.533507087995513,20.45384591145045,21.366231410075883,22.270368206964676,23.165698409915148,24.05142727382001,24.927227505923366,25.793585991583384,26.650855184602765,27.499158852515926,28.33841573470422,29.168518882348067,29.989134862745093,30.79995794615772,31.600619350317,32.39076342282717,33.1699953229327,33.93790344910128,34.6939872395639,35.43778750265398,36.16878748870643,36.886214698432156,37.589445948147464,38.27793551428403,38.950846929892194,39.60760227355393,40.24680405416508,40.86790298229287,41.47043083412536,42.053660981548084,42.6168728234837,43.15876736127904,43.67870133309588,44.17579861420857,44.64965927761961,45.09971675826158,45.525625356781234,45.92728275771669,46.30475056629435,46.65826667100402,46.98803812268847,47.29437696085348,47.577720365232864,47.83846305924469,48.07727168834899,48.2949362570657,48.492180232992425,48.66994632356322,48.82925336729756,48.97116917663077,49.096878748537385,49.2070956160642,49.30281970607241,49.38516402106784,49.45525418708342,49.51425563659546,49.563353296657574,49.60382313169275,49.63685746195623,49.663579981736525,49.68503610486041,49.70203030761661,49.71529016142247,49.725455748510385,49.73314016162562,49.738899266685536,49.742963725831956,49.74582532743853,49.74782793641037,49.749225691968384,49.75018422694546,49.75084008914958,49.75127910121754,49.75156795924247,49.75176047154238,49.75188521017514,49.75196449434963,49.752014622451995,49.752047977309296,49.752068656293,49.752081809807315,
1980s,CumHealthyLY,1.0,2.0,3.0000000000000004,4.0,5.0,5.99947458521772,6.997542862618197,7.993108891492305,8.985353939840625,9.973907577505896,10.958312096295073,11.938439548488727,12.914228804874892,13.885666742691303,14.852702706363319,15.814888567427545,16.772189005775953,17.72424918885497,18.67080510959958,19.611374396176917,20.545644843561163,21.47324023518073,22.394049510687317,23.30792775042621,24.21459729163135,25.113987766678598,26.006266428759442,26.891416248225312,27.769345956925005,28.63986134379441,29.502716762490557,30.357631735579915,31.20423900225047,32.04215594639115,32.87096008415638,33.690262255447166,34.49959965698165,35.29842208417624,36.08627135960112,36.862565685063686,37.62639418882849,38.37708930907993,39.113993401865685,39.83636306073244,40.54346730319458,41.23423958089551,41.907814927909605,42.56364733702052,43.20092840684184,43.81866256455586,44.41532235646465,44.990181875488155,45.54215899467424,46.07051014997981,46.574572765320255,47.05368414372851,47.50762263935817,47.93622240249459,48.33926440641883,48.716648590004574,49.06854076989426,49.39501296672035,49.69648378063991,49.97328866848317,50.22601745073144,50.45545022426226,50.662305277260906,50.84775289747994,51.0129436744922,51.159038840598996,51.28709949543062,51.3981277783142,51.49346932266275,51.57435026049242,51.642217675696685,51.69857811091467,51.744960375048706,51.78277417734543,51.81328250351731,51.83770786868272,51.85696870873653,51.871902947886355,51.88332542681571,51.89196195425935,51.89840929715276,51.902913038309165,51.9060539562171,51.90822829578592,51.90973275991734,51.910769116322875,51.91147919791346,51.91195668060165,51.91227732998183,51.912484386740545,51.91262361193749,51.91271117577929,51.91276491582722,51.91279726549749,51.91281641808536,51.91282796168951,
1990s,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,5.999607696753516,6.9981179691219015,7.99500521319274,8.98975645992838,9.9821666591253,10.971947290592567,11.958689758715106,12.942083045676648,13.922081341485088,14.898361010015117,15.87074726529135,16.839046450875628,17.80303558671778,18.76250849555258,19.717262127943236,20.666896328500155,21.610988503280122,22.549448274214175,23.482247167542162,24.409335551841288,25.330387356103653,26.245506210702114,27.154620287576165,28.057590793574555,28.954267009490547,29.84434276142001,30.727565738754677,31.60348726220721,32.47164748985986,33.33169306350143,34.18320723191347,35.02561957429775,35.85841312859538,36.68104160456438,37.49287621451171,38.29302724804547,39.08071763656032,39.85526195089788,40.61582470883362,41.36151553576353,42.09117186503612,42.80398763031174,43.499279675269285,44.17633652462403,44.83381095074928,45.47047104408336,46.08521403224994,46.67676366067601,47.24419794791652,47.78663674198703,48.30342732377286,48.793938715535866,49.25778690185475,49.694844317747076,50.10470907832417,50.487222802031226,50.84225020728061,51.170044929963254,51.471005735809314,51.74564605125237,51.99459791486309,52.218788439247604,52.419166085028856,52.5969589582407,52.75343119056081,52.88989999332849,53.00747713658463,53.1077638222504,53.19223651407956,53.26266790606146,53.3206484287572,53.367819840276,53.40577310415534,53.436073659911415,53.46004438097788,53.478737010033115,53.49306031352033,53.50391506213278,53.511977971613256,53.51792060774812,53.522008122366636,53.52481454131512,53.52671417119297,53.52799600504184,53.52884980225242,53.529416842027665,53.529792055366926,53.530031139991955,53.53018941876637,53.53029228005995,53.53035612305605,53.5303956238284,53.53041871295129,53.53043249919532,53.53044059012504,
Age0-4,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,5.998989824206065,6.995089320993063,7.986212252712972,8.970662863358887,9.947287645459056,10.917359477105768,11.881677102386869,12.840852653947014,13.79527641578834,14.745127981541547,15.690569182933471,16.63166563717081,17.568442638337917,18.500884386339248,19.428929385215806,20.352533487103535,21.271585548080736,22.186041517193367,23.09572603042172,24.000552953253322,24.900273539731728,25.794685589454673,26.683581527350814,27.56667015538954,28.443698996843164,29.314322907267407,30.178270645165675,31.035092609278603,31.884314904014797,32.725504903253224,33.558239810159286,34.3819719222528,35.196180779195416,36.00033437080944,36.79374491016076,37.57557669202132,38.34497342928809,39.10111223602554,39.84314072661153,40.570145843206525,41.280700099319255,41.973900551121005,42.64917011487162,43.305710263715405,43.94205073161503,44.556264124009324,45.147625553076026,45.71479881389624,46.25707903930032,46.77378660544788,47.264183551735755,47.727927527249165,48.1648243210871,48.574715780238655,48.95730740116873,49.31282755996003,49.64139818830584,49.9434032724281,50.219461389840696,50.47034001050091,50.69686598417393,50.900114269014345,51.081232938166124,51.24157580515389,51.38251302371626,51.505270896146044,51.61096248886363,51.701114112184825,51.77711615574731,51.84052351508818,51.89284566060742,51.93558247639868,51.97018619528109,51.997941693620255,52.020055756032406,52.037433154021095,52.05083607025929,52.06104865495804,52.06869574578853,52.07441576031004,52.07837073893481,52.08111423879298,52.082988306985975,52.0842586077994,52.085113852679626,52.085689805557905,52.08607814255109,52.08633014831905,52.08649340717658,52.08660014969582,52.08666614111106,52.086705746992386,52.08672973068531,52.08674381978994,52.08675269463577,
Age5-9,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,6.0,7.000000000000001,8.0,9.0,10.0,10.996410817040752,11.98678651011805,12.968991697277506,13.942024272533878,14.904685514121807,15.85860888642855,16.80492688176882,17.744266302212132,18.677077836148285,19.603698021978147,20.524355351437812,21.43918269146456,22.34821860496277,23.251496776080057,24.14902279750875,25.04078256315754,25.926648147579783,26.806492909028186,27.680144348438986,28.547331310922903,29.40774949970633,30.261034726126617,31.10673389608762,31.944389220871766,32.77362937724079,33.5940421411059,34.40512716959113,35.20631817362113,35.99709927628474,36.77701268691058,37.54507790642524,38.300736876091925,39.043507103726206,39.772584958743565,40.48728110506432,41.18679776255848,41.87050415162835,42.53764742578163,43.18751301458174,43.819150531732326,44.43166628843278,45.023995181701,45.59503223968444,46.14381772813607,46.66944182776105,47.17136707405061,47.64894363909527,48.101817002536166,48.530070140765055,48.933285695018114,49.311291805183075,49.66390100287935,49.99138139154538,50.29391158023438,50.571881216865826,50.825721441135414,51.056082324647676,51.2637689228488,51.44975283412196,51.61512381144644,51.76098305366256,51.88819905757315,51.9981561128224,52.09210435597378,52.171575838825845,52.237991116803514,52.292907292074275,52.33774308564901,52.37411217065986,52.40334519872907,52.42646757415909,52.444480359496104,52.458342719502696,52.46883539824206,52.47668175539102,52.482189208246425,52.48604617908576,52.48873219664581,52.49060671341156,52.49189604191326,52.492774848546176,52.49336170835855,52.493749865425876,52.49401609186123,52.494194789199184,52.494309393393294,52.49438029553104,52.494422210208896,52.494447214160196,52.494463707801636,
Age10-14,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,6.0,6.999999999999999,7.999999999999999,9.0,10.0,11.0,12.000000000000002,13.000000000000002,14.000000000000002,15.000000000000002,15.996354527072652,16.98704498453275,17.96922466491793,18.941435018304162,19.901541749110397,20.851123437660267,21.791161269803784,22.72244160899829,23.645414350475104,24.56057961348332,25.46807681041008,26.367985506232287,27.260309184185385,28.145029232851563,29.02198223241047,29.890881825897957,30.75138077304414,31.603217489975076,32.445994066744205,33.27925141901334,34.10257867169942,34.91544526419418,35.71732863408902,36.50771251377293,37.28595356584136,38.051250047490754,38.802856760525906,39.54017158749269,40.26244653175302,40.96890520682826,41.65867189707965,42.33097237143936,42.985320521902686,43.62089840303107,44.236812111414885,44.83218223262859,45.40599202114229,45.95729272589482,46.48541205737823,46.98950457563666,47.4690740882118,47.92370534369435,48.353140514599474,48.757222311742204,49.136006563240876,49.48937643281297,49.81742251463552,50.120444573729614,50.39870775690734,50.65263827601061,50.88297425272513,51.09037034209552,51.27594789623081,51.44083133657855,51.586140185083465,51.71291339647287,51.82235756639565,51.9157535095159,51.99447010416488,52.06010832048173,52.11416189425218,52.15822161273697,52.193805300456184,52.22230162347225,52.24489710040487,52.26254256568035,52.27613481100014,52.286457140643094,52.29417085517802,52.299844730306624,52.303766107375715,52.30647584873148,52.308337701143586,52.30960031876982,52.31045045763432,52.31101931529314,52.311387636198006,52.31163006038436,52.31178411945378,52.31188419542655,52.311946730540505,52.3119893393322,52.31201615408028,52.31203221927767,52.31204123512334,
Age15-20,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,6.0,7.000000000000001,8.0,9.0,9.999999999999998,10.999999999999998,11.999999999999998,12.999999999999998,13.999999999999998,14.999999999999998,15.999999999999998,16.999999999999996,17.999999999999996,18.999999999999996,19.999999999999996,20.995131777043355,21.98133603322833,22.956714636486563,23.91993102323078,24.86865569233244,25.80183342421975,26.721562105950962,27.628890556254007,28.524511155004124,29.408778704566018,30.281897612391468,31.143792133936362,31.99417740818022,32.83286244666986,33.65972539268295,34.47444818505504,35.276707476053474,36.066028687105366,36.84206639632293,37.60437662346708,38.3520619385438,39.084658335638146,39.80171231060399,40.50248885272174,41.186510814276716,41.85232691901637,42.499317682706696,43.12697572816819,43.734737387742776,44.32210851547758,44.888108986073505,45.43189377006481,45.95268923418474,46.44983755706394,46.92282981886466,47.371288859639606,47.795202257414935,48.194564702762165,48.56934092267971,48.91982482043249,49.24612133564016,49.5484349870587,49.827142107383295,50.082755904295645,50.31592882957778,50.52738732544085,50.71795423595105,50.8886229895736,51.040390936767395,51.17432475438051,51.29125580606505,51.392147252524666,51.47828822412878,51.55082551196826,51.611152885017454,51.6607237491588,51.701013378987405,51.733400023203465,51.75908361247353,51.77926020539764,51.7949204473132,51.80684563098473,51.815762993927024,51.822377922072405,51.82716763301944,51.83050790457023,51.832789683992004,51.83433373191165,51.835403991944,51.83613204688875,51.836628953229976,51.836963329899184,51.83718158801505,51.83731943365106,51.83740842022165,51.837463259232635,51.8374962610864,51.837517856324254,51.837532096680256,51.83753842583819,
