Group,Outcome,age_0,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,age_11,age_12,age_13,age_14,age_15,age_16,age_17,age_18,age_19,age_20,age_21,age_22,age_23,age_24,age_25,age_26,age_27,age_28,age_29,age_30,age_31,age_32,age_33,age_34,age_35,age_36,age_37,age_38,age_39,age_40,age_41,age_42,age_43,age_44,age_45,age_46,age_47,age_48,age_49,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89,age_90,age_91,age_92,age_93,age_94,age_95,age_96,age_97,age_98,age_99,
all,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,5.99981139343001,6.998595069893227,7.995477125866721,8.989943500413535,9.981315008411723,10.969363234862291,11.953626318105886,12.934207417437461,13.91075664005906,14.88313843964385,15.851062407461917,16.813812675491803,17.771698393205206,18.72457155021291,19.671970886481393,20.61367926424738,21.549083540558257,22.47785193378315,23.400566025272912,24.315835881415072,25.22393855248224,26.125444816732234,27.02127519539009,27.90974196442232,28.791237031414422,29.664636069843876,30.530919050230235,31.389736980566752,32.23772042251907,33.076241120384445,33.9074177043603,34.72957381050963,35.543918720374805,36.3434797275258,37.13206859508318,37.91080028230278,38.67432827571351,39.424615931247395,40.16589651262707,40.88869693273549,41.59552540329713,42.28384196035225,42.959248143843,43.61388728168281,44.24830224615802,44.86913212845833,45.465314565473626,46.04854552027223,46.60146691350997,47.13113119308913,47.64475135508898,48.135894343066646,48.61212712307358,49.059788263691864,49.484704093470675,49.8928726990832,50.267816000784414,50.62638299832698,50.95591102772211,51.259244397959,51.54416686213557,51.801167781967465,52.0384803662145,52.25231048847069,52.44030065727389,52.60667885610027,52.75891552393406,52.88355225897432,52.98916316493123,53.08301959499657,53.163613014407424,53.236375836541264,53.28918981229661,53.32921821824554,53.37296489034316,53.399881156580406,53.422754995233525,53.444646651313704,53.46277264064273,53.476852743795995,53.48890169942382,53.49942120324785,53.506942447625626,53.51178524053313,53.51393269363345,53.5142578119862,53.514322701577406,53.51435193368863,53.51435193368863,53.51435193368863,53.51435193368863,53.51435193368863,53.51435193368863,53.51435193368863,53.51435193368863,
Male,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,5.999863645369544,6.998718942633096,7.9955491959447835,8.98960122643464,9.97997399189584,10.96660848175576,11.949018271179847,12.92691295174135,13.899780208388128,14.867375052370924,15.830843233151539,16.788113125050227,17.739129579523023,18.68567779428675,19.6261283488493,20.560907094518836,21.487682853699265,22.40783017417773,23.320589247010677,24.225269085525106,25.12287190946584,26.010909733452433,26.89283318013233,27.766944368852172,28.633911646127807,29.494665573979237,30.34832711657904,31.193022001863813,32.03102514962672,32.85830102345134,33.677692331619646,34.48978990075458,35.293314599764244,36.08746439106219,36.87252073267078,37.64519543392967,38.40070004354805,39.14800332436071,39.88217118357706,40.60181806708879,41.303760395230036,41.99606479281978,42.6637309019488,43.32077235803242,43.96189800931871,44.56997585979801,45.16472885494599,45.73288350296459,46.282269432277346,46.81703555521549,47.3290271125014,47.80385771368414,48.26676524152813,48.708744001563076,49.12189221925173,49.50748383969171,49.872805353875954,50.22572747909618,50.550503027792175,50.8623795550719,51.13737290758674,51.402080824393316,51.63812499203262,51.84933182242751,52.05153877199479,52.25226737810568,52.417570114965244,52.55595917820233,52.67070484509709,52.76716275130081,52.852087438831916,52.92299290804392,52.97396566297954,53.032157367006405,53.07153153241591,53.107036803359634,53.13703627623067,53.16181387858188,53.18049085234247,53.19068938566153,53.19698050066805,53.20016109313175,53.204778106794556,53.20891537823668,53.21235014435881,53.21529556932273,53.21647897773308,53.217162672524715,53.21770357516533,53.21806566403565,53.21813254783189,53.218199431628136,53.21826631542437,53.21826631542437,53.21826631542437,
Female,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,5.999918458510401,6.998959926376766,7.996599662264101,8.992183223566917,9.985681209358544,10.976807981797892,11.964930540720957,12.950472057784127,13.933326916477446,14.913282196326973,15.889238282898008,16.861196200573577,17.82971451622935,18.793799964221005,19.752676223094475,20.70734911325347,21.656242754348547,22.599575559801544,23.53786734064547,24.471109428250926,25.397523329387095,26.318242208898475,27.234463604193763,28.142492968655006,29.042438020381322,29.93823554595223,30.823667013272686,31.700246312669375,32.57080031871638,33.43013420554843,34.28145045238698,35.12156407310402,35.95026632687877,36.76645755711466,37.57285876648339,38.365607125984354,39.14461142634053,39.904204897284096,40.65646035615658,41.39279192088115,42.11195106280467,42.81879800090343,43.5015401051284,44.170329734250785,44.81402185789459,45.44204003484579,46.05207038906222,46.64466959821773,47.21289015991991,47.75478323779302,48.27782357572,48.79324087536906,49.26629888846117,49.730660988924456,50.180065970787126,50.60833932962789,51.003387196183965,51.37680458643946,51.72094342943598,52.04676679647756,52.35190032963274,52.627886543909206,52.885148214360655,53.11927934490304,53.33853716238593,53.53925925822425,53.71900440535188,53.87702665495719,54.01527964190057,54.130136487183336,54.22577621421054,54.30439681003593,54.369854825235244,54.424185195614434,54.46835496594545,54.50400344256267,54.5295718435453,54.55029097520407,54.56597675055824,54.57675282394739,54.582690962794146,54.58695541998421,54.58912510211952,54.59027872974727,54.591819686460276,54.59265001113322,54.59304566569377,54.59327831188046,54.59351095806716,54.5935849910605,54.59365902405385,54.59373305704719,54.59373305704719,54.59373305704719,54.59373305704719,
1970s,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,6.0,6.999310943888869,7.996455004869917,8.990379535301058,9.980036969769953,10.965205280313642,11.946106696339868,12.920962024850017,13.89023083620522,14.855004870324144,15.81389832011115,16.767747494136163,17.71489150721926,18.655214490004496,19.589989445017835,20.516791288295295,21.43649360869463,22.34823633147866,23.25219642204527,24.142769719792586,25.02528891866962,25.90162633384176,26.769018992608768,27.62460096543762,28.474652490955236,29.31872184156272,30.14743136652702,30.96757904092529,31.77807907869488,32.57688054086537,33.36649604605388,34.14206730237495,34.90443068671828,35.65904134913951,36.39601661335571,37.127401943148655,37.84281171097383,38.54489047185917,39.22504687808097,39.89363538195283,40.542506912551865,41.17711216749655,41.78812127176834,42.38462222417428,42.96019884544033,43.514940167246216,44.04835682552451,44.558905144870344,45.05272586613558,45.52263360554981,45.964420373946666,46.37532600535298,46.77609075281774,47.14234638772665,47.47853119867694,47.797055603007884,48.08847022084635,48.37565590843072,48.626242118485145,48.87603016538326,49.11804111519026,49.32669799711029,49.50422125223562,49.669316869579134,49.80917740864112,49.93716039247224,50.0467212101333,50.14250454937096,50.22081682091467,50.288811668895626,50.34358099983041,50.38905960655124,50.43224178949601,50.46522270740178,50.48369629750832,50.50223588044837,50.518436752528395,50.53085990760201,50.5435680734438,50.55451063738809,50.56196067414788,50.563763445398536,50.56479302177708,50.565480994061396,50.566026450899756,50.566026450899756,50.567013024728766,50.567728843242016,50.56810380391072,50.56828395901508,50.56846411411946,50.56846411411946,50.56846411411946,50.56846411411946,50.56846411411946,
1980s,CumHealthyLY,1.0,2.0,3.0000000000000004,4.0,5.0,5.999893660569563,6.998736396882965,7.995596001350305,8.98962502526687,9.980788630588636,10.967867426491917,11.95114673862409,12.93001947842477,13.905253397561896,14.875725444995275,15.84231412598468,16.803264782951285,17.76048000014126,18.711829699761424,19.656189149216168,20.594585949274812,21.527547161190203,22.45358897240785,23.372659702187953,24.285301899701356,25.190150940576775,26.08670605620658,26.978985842570797,27.865704395083505,28.743088617933005,29.61184855202754,30.473105164193182,31.3276732128018,32.17670521436047,33.01527687212976,33.84268202673262,34.660673389546275,35.465655004381304,36.263202717945276,37.04591802960137,37.8177217168006,38.5805335282687,39.32500983989115,40.05541196433635,40.77115123375232,41.471664246234575,42.16061885619886,42.82454562925813,43.47499778646642,44.10908726388249,44.71586991973257,45.30784203392008,45.87766037103787,46.42536341508171,46.951536628222264,47.44185898485528,47.93054629057126,48.39165283436879,48.83115322768816,49.23728639949048,49.63100849805935,49.99594519342901,50.34526118755042,50.66725083183666,50.969783070330884,51.24636733507763,51.49622173908765,51.72455543628524,51.929605992762276,52.1178277760372,52.28309055508674,52.428103413398986,52.552573869278675,52.660180034917616,52.75344336658571,52.83771944109212,52.90702269148865,52.96137743595466,53.00658673885302,53.045651147289114,53.07628081135132,53.1011810048769,53.11956695491515,53.12908426957866,53.13701370900929,53.14618325712008,53.14997710134554,53.15275479923715,53.15459649972863,53.1554993250088,53.15600712182161,53.156320546574925,53.1564267229505,53.15653289932607,53.15653289932607,53.15653289932607,53.15653289932607,53.15653289932607,53.15653289932607,53.15653289932607,
1990s,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,5.999921440211184,6.9990421473851825,7.996861553746938,8.99294040230746,9.986996812704806,10.97861088250553,11.968073164240323,12.954138745728516,13.936926092801187,14.916773152639623,15.891889458567118,16.86302889741364,17.830955529589282,18.79428560932819,19.75376605902699,20.707428075376534,21.656679255332264,22.599992562733803,23.538661314845772,24.470542118480516,25.398487219818612,26.31891752002929,27.234535228899855,28.145190583692635,29.047262879820202,29.94375261335132,30.833496149221837,31.717939308055236,32.594708372053105,33.46267961696049,34.32175681015993,35.1731779122063,36.01379134323712,36.84228481648971,37.66508340276916,38.4769524084578,39.27209416539089,40.05532230223764,40.82321102391272,41.584358492614705,42.329670978900594,43.059681830344196,43.772921530199554,44.466042623452076,45.1499076934526,45.808078184670116,46.44539747328081,47.06823123737503,47.67194160091801,48.25464104605124,48.81352795358665,49.35248007981539,49.8600491690147,50.34320969592383,50.80318101780202,51.23521448387433,51.64670526470472,52.034238563394936,52.40419046315104,52.754239892314764,53.06930611330964,53.3650731948314,53.6267878038338,53.86730315684577,54.07778536908506,54.26661836460311,54.454035907264206,54.596836266243706,54.72228262579062,54.83869807266254,54.93834981417734,55.01700866289321,55.09627409864156,55.168738515609824,55.2196394335292,55.2478936368142,55.283332544868735,55.299155101879954,55.312470225469205,55.329420856809314,55.3420925092573,55.34910265120263,55.35100826139127,55.35254052441119,55.35308679710821,55.35326565046197,55.35334898543876,55.35334898543876,55.35334898543876,55.35334898543876,55.35334898543876,55.35334898543876,55.35334898543876,55.35334898543876,55.35334898543876,
Age0-4,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,5.99956061302762,6.996727006985734,7.989463294030598,8.976571892981868,9.956470541384766,10.930219864793562,11.898737049268284,12.862488705295933,13.822255308982601,14.777504533934323,15.72779482673375,16.67429548487396,17.61671780509824,18.554787147616267,19.48841382305969,20.418014897046774,21.34298260883875,22.26197447294611,23.177650360175974,24.08943071209302,24.99605843007336,25.896472947527304,26.79155354025973,27.68213953422148,28.566422466584715,29.444539059591637,30.31689307960807,31.18345211965075,32.04075368884547,32.890560290619256,33.733588484400585,34.57114390339322,35.396711652077585,36.20786380681831,37.01050106915146,37.803994447648485,38.583200400008,39.35017900560616,40.103612489810246,40.843322756745046,41.56722811235136,42.27077057736466,42.96259442737836,43.64341002641306,44.312541214043456,44.953640075060584,45.57199259009463,46.160830122226265,46.74029532617055,47.27874324326502,47.805316173227354,48.32311986058431,48.82661337885091,49.29948854223289,49.751869463911646,50.17788521079488,50.5672074667846,50.95343730548128,51.302002317176886,51.62320238866222,51.93002370330225,52.21229296291057,52.47355406125333,52.70249783410438,52.90388094471625,53.08528391471599,53.246523097799056,53.39432230823233,53.506424523283876,53.59572849245188,53.6977189871269,53.79843341925881,53.88185419836435,53.93510859543193,53.98739935648294,54.03090456456521,54.06841824606009,54.096860366056134,54.1199176396252,54.137452878718975,54.14956586112748,54.151065959375934,54.1519836375398,54.15255720235088,54.15264564793682,54.15264564793682,54.15264564793682,54.15264564793682,54.15264564793682,54.15264564793682,54.15264564793682,54.15264564793682,54.15264564793682,54.15264564793682,54.15264564793682,
Age5-9,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,6.0,7.000000000000001,8.0,9.0,10.0,10.997926641034988,11.99054423666903,12.97577827301962,13.952430834755,14.918858426487649,15.877969531158962,16.829313830497956,17.77404592635967,18.71358368724834,19.646781324608394,20.575966052160595,21.498643513068348,22.416716541919822,23.328060242138026,24.234760091435014,25.135976662500546,26.030198278771085,26.918707631377707,27.802712092168996,28.679741393476544,29.549436601858968,30.41314642259396,31.27097276444291,32.120765200615224,32.9625532651601,33.79426698406662,34.613073498507326,35.427071262594495,36.228082550165844,37.02102069592639,37.80178927790725,38.568591480875455,39.32515894558305,40.069578496974145,40.78896072283716,41.50591514358401,42.20230108323731,42.879298152451156,43.558428770829345,44.214498545515205,44.8507577990417,45.46490406214505,46.06183146765609,46.622520566388474,47.173546414265346,47.70635071877145,48.21358823323813,48.70484873832673,49.17147113429123,49.6104114631932,50.03215243237621,50.43301961664001,50.81757583753067,51.17802050653593,51.50260836322051,51.80989513750274,52.08047264581227,52.34349768822265,52.575990926095194,52.783419748884455,52.967974746732445,53.13949668744292,53.284356212112314,53.40636751615614,53.519175632374186,53.61318734813847,53.68731709255676,53.75486050832607,53.819567690830155,53.86659416519493,53.90904796519991,53.94223381656936,53.970606910684275,53.99298119430998,54.00983703074454,54.02255430915805,54.03504839137276,54.03973832699821,54.040148655040106,54.04275593988977,54.044920491651915,54.04643358255316,54.04778820977263,54.048699075815655,54.048987446233504,54.048987446233504,54.048987446233504,54.048987446233504,54.048987446233504,54.048987446233504,
Age10-14,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,6.0,6.999999999999999,7.999999999999999,9.0,10.0,11.0,12.000000000000002,13.000000000000002,14.000000000000004,15.000000000000004,15.99780754635171,16.99058457950746,17.975808465189463,18.952203108952343,19.917175647490225,20.872386813232822,21.818703464468108,22.75652297169525,23.685755134750167,24.607866306446045,25.522057225183236,26.43029911581046,27.33056683142492,28.224795327441665,29.109701335981388,29.986796317290064,30.85829975950297,31.72113564337386,32.57573109674202,33.41886478984921,34.25058888466584,35.07279803813974,35.88526489763449,36.68781779088994,37.47888130305771,38.25695451401387,39.02261875771517,39.771614108346604,40.50913076692708,41.23102745646181,41.93734730655669,42.62570587313129,43.28925283777611,43.94037304784526,44.56961561139445,45.17326589927701,45.76206125673278,46.327933320914795,46.86708592666168,47.387579290584995,47.87552644238657,48.346284609719305,48.78990730542125,49.21655585534049,49.61111353884288,49.99879069741845,50.35741802085472,50.68794237579421,50.99382093280685,51.260548708270264,51.52271043596375,51.76348977513554,51.98838635877422,52.18850369779428,52.35898842185092,52.52399280154331,52.663199521723,52.782592466027054,52.88113224433205,52.97317848912384,53.046167290435044,53.103950590573426,53.147948470488195,53.19016486592356,53.22424962207993,53.24552722968897,53.264964351086626,53.277920935781054,53.2870751422303,53.292404586733426,53.29563533767543,53.29795609469781,53.299483234041354,53.3009032271425,53.301607204417444,53.301781105082696,53.30195500574794,53.302128906413195,53.30232685895684,53.30255342737267,53.302779995788505,53.30300656420433,53.30300656420433,53.30300656420433,53.30300656420433,
Age15-20,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,6.0,7.000000000000001,8.0,9.0,9.999999999999998,10.999999999999998,11.999999999999998,12.999999999999996,13.999999999999996,14.999999999999995,15.999999999999995,16.999999999999993,17.999999999999993,18.999999999999993,19.999999999999993,20.997308359106768,21.98640022834186,22.965973285978997,23.934118288856673,24.8890456630756,25.82801395507733,26.755370867577305,27.671869618410643,28.576300044406757,29.470207701159918,30.352342083176342,31.226556055127165,32.08900675349112,32.939508844060434,33.77892838280492,34.607438322628205,35.4218438669644,36.22370285218261,37.01531632631303,37.79325338204531,38.5523875681913,39.29803306876404,40.0322455283137,40.750155564257774,41.447706744387396,42.1321401642857,42.7930657204222,43.43689003927943,44.066613468858016,44.67245112350506,45.25280667297913,45.80734902163284,46.33891808750276,46.85266075426893,47.34523173270876,47.81322967194789,48.25216794950756,48.67231986678213,49.065590169433186,49.43289094458126,49.77828463347216,50.10199268205193,50.4026317582489,50.68089458087051,50.93747402990578,51.162233247436916,51.374314185662364,51.57275677697883,51.754839096692685,51.90133280711261,52.03105490958033,52.15283604369375,52.247451218522556,52.324760799053614,52.38470633413297,52.4352683033576,52.48631109094701,52.52784657515246,52.55690087774806,52.58006038224265,52.600293309414056,52.617213980822484,52.63266051891272,52.6424623690615,52.64742683950211,52.65100515967462,52.65256182627844,52.65411849288226,52.65540439223859,52.65617403879902,52.65694368535946,52.6577133319199,52.658482978480336,52.658714710710875,52.65894644294141,52.659178175171945,52.659178175171945,52.659178175171945,52.659178175171945,52.659178175171945,
