Group,Outcome,80-70,90-70,90-80,
all,condLE,3.6297969004587003,5.892089523127126,1.9577886661743165,
all,condQALE,2.958870917131712,4.830952573428206,1.6974734467899992,
all,condHLY,2.2754030298641297,3.532778715420548,1.080070339928696,
Male,condLE,3.6108109709460408,6.165070719123136,2.0060455847366327,
Male,condQALE,2.9617900266353985,5.132039794641123,1.7826941880023455,
Male,condHLY,2.2220197593042172,3.775080668406993,1.2148220023683152,
Female,condLE,3.2212438481000234,5.070112815716044,1.3947204164553995,
Female,condQALE,2.595632995467369,4.122831691818689,1.2219821306134762,
Female,condHLY,2.0827910746886857,2.9799089588627794,0.6487491332591233,
1970s,condLE,-48.0557034727763,-48.0557034727763,0.0,
1970s,condQALE,-35.68125416475784,-35.68125416475784,0.0,
1970s,condHLY,-37.759771318197046,-37.759771318197046,0.0,
1980s,condLE,49.21038549954876,0.0,-53.46685249908213,
1980s,condQALE,37.08942762685325,0.0,-39.893506467621854,
1980s,condHLY,39.07834226273197,0.0,-41.44887642145165,
1990s,condLE,0.0,51.55384122955387,51.55384122955387,
1990s,condQALE,0.0,39.02409599604431,39.02409599604431,
1990s,condHLY,0.0,40.33723939778561,40.33723939778561,
Age0-4,condLE,1.0330996015078995,1.9966502355162987,0.682357615519237,
Age0-4,condQALE,1.071718701521327,2.029353815474394,0.7674664500685537,
Age0-4,condHLY,0.16728873731346994,0.8511103924136734,0.1392576084921089,
Age5-9,condLE,2.8328455853366776,4.438323151299038,0.5521451880086801,
Age5-9,condQALE,2.3258859954483384,3.832860438142525,0.7432740957093742,
Age5-9,condHLY,1.488087191810834,2.22223918936119,-0.03558484600174694,
Age10-14,condLE,2.222430752002211,4.502414824032321,1.4378471413217326,
Age10-14,condQALE,1.6665132967446965,3.55552960624005,1.2934427873476437,
Age10-14,condHLY,0.8304913012388297,2.295302986516205,0.8363192979463392,
Age15-20,condLE,3.5422412615391963,6.605555599575752,1.9940792540203987,
Age15-20,condQALE,2.628896780883032,5.0419658820421915,1.611345265451444,
Age15-20,condHLY,2.0260667360314955,4.0164064092877005,0.9850386057518037,
brain,condLE,1.86602475881417,5.0407877633559295,2.2658524826264212,
brain,condQALE,1.3826130934914893,3.8604498453367917,1.8019833086822352,
brain,condHLY,0.6476794358457312,3.2068225532459564,1.6530240248772259,
bone,condLE,-2.1497011835487854,-2.2095432002233295,-1.7386082253451818,
bone,condQALE,-1.455827147208307,-1.4921767894635494,-1.2238054611962887,
bone,condHLY,-2.4003211962941364,-3.072470856575329,-2.0519319029396783,
sts,condLE,-2.1490737023062607,-0.652043534980038,-0.3732609827357436,
sts,condQALE,-1.5611235572414301,-0.37857888302733755,-0.08783793284647601,
sts,condHLY,-2.683625566547434,-0.9500005633799233,-0.024801899102847358,
solid,condLE,-0.5868836844564171,-2.042373982369625,-2.57107967910909,
solid,condQALE,-0.17361840985024202,-1.2222837028615885,-1.856646632771664,
solid,condHLY,-1.8593645957179419,-3.1827205328055967,-2.3901144039905304,
leuk,condLE,3.2054803499557423,4.946797129053863,1.1228057376325182,
leuk,condQALE,2.741963335863865,4.4010423266945935,1.194223427241468,
leuk,condHLY,1.4442948410974807,1.28288797728257,-0.43814833352254823,
lymp,condLE,5.985953156302081,9.702803279504558,3.254574344396694,
lymp,condQALE,4.536912229266992,7.501693608650186,2.5632487941607422,
lymp,condHLY,3.4192014353970386,5.8627857883668355,1.8412720359538355,
ALL,condLE,3.156009905282744,4.921148752535494,0.932805258358762,
ALL,condQALE,2.742164087162024,4.3324028114362605,1.0396587582793728,
ALL,condHLY,1.2252754128918042,0.9077462457989824,-0.6222780368386083,
AML,condLE,-0.9393757655558517,-0.45496377477599736,-1.3361713391722176,
AML,condQALE,-0.3121798900604347,0.2123356948320918,-0.8193908971239097,
AML,condHLY,-0.821455925192609,-0.6842754038672041,-1.7497100661707279,
OtherLeukemia,condLE,-0.6984439759804317,3.965572815563185,-0.254762925832523,
OtherLeukemia,condQALE,-0.4373063862549742,2.986895654521568,-0.20047055105921174,
OtherLeukemia,condHLY,-1.8156337102197213,1.4207524691024105,-1.4321779512595398,
Astrocytoma,condLE,3.012436970920639,7.509968275692131,3.351755326479932,
Astrocytoma,condQALE,2.3452203735202133,5.922118244627558,2.673507367574473,
Astrocytoma,condHLY,1.4479338699549658,5.085225099841576,2.592223714072695,
Medulloblastoma,condLE,-2.686523518685341,-1.0658714901563116,0.11189001557755773,
Medulloblastoma,condQALE,-2.0632266931608854,-0.7243751989473921,0.07857328004844888,
