Group,Outcome,80-70,90-70,90-80,
all,condLE,4.757413712238268,7.65936993004448,2.9019562178062186,
all,condQALE,3.7543733409056084,6.122456283175188,2.3680829422695844,
all,condHLY,3.2617409506392896,5.324921850668834,2.063180900029546,
Male,condLE,5.088210787164718,8.32027731557096,3.23206652840624,
Male,condQALE,4.021734331103436,6.665143505455478,2.643409174352046,
Male,condHLY,3.338416969445441,5.60031691998453,2.2618999505391066,
Female,condLE,4.418391896325091,6.929705583868224,2.51131368754315,
Female,condQALE,3.4352183395319806,5.451158930928994,2.015940591397014,
Female,condHLY,3.2148230010609056,5.050128990231504,1.8353059891705954,
1970s,condLE,-46.6029248683676,-46.6029248683676,0.0,
1970s,condQALE,-34.76632816750898,-34.76632816750898,0.0,
1970s,condHLY,-36.93774961431519,-36.93774961431519,0.0,
1980s,condLE,51.3603385806058,0.0,-51.3603385806058,
1980s,condQALE,38.52070150841458,0.0,-38.52070150841458,
1980s,condHLY,40.199490564954544,0.0,-40.199490564954544,
1990s,condLE,0.0,54.26229479841207,54.26229479841207,
1990s,condQALE,0.0,40.8887844506841,40.8887844506841,
1990s,condHLY,0.0,42.262671464984024,42.262671464984024,
Age0-4,condLE,2.8085279529759504,5.172931453506249,2.3644035005302984,
Age0-4,condQALE,2.3568002200554328,4.323605010630585,1.9668047905751498,
Age0-4,condHLY,1.4675818369228684,2.95088659378209,1.4833047568592228,
Age5-9,condLE,4.530545633211255,6.545258353427374,2.0147127202161177,
Age5-9,condQALE,3.5410241306672665,5.293886533910575,1.7528624032433062,
Age5-9,condHLY,2.962214391358227,4.40468049507842,1.4424661037201951,
Age10-14,condLE,3.610717594670923,6.1923949000657235,2.581677305394797,
Age10-14,condQALE,2.6488217799675895,4.7233065605307365,2.074484780563141,
Age10-14,condHLY,2.0671347287864115,3.9876576362198883,1.9205229074334804,
Age15-20,condLE,4.942734245448512,8.340205987250528,3.3974717418020033,
Age15-20,condQALE,3.660704607303237,6.235012015837532,2.574307408534312,
Age15-20,condHLY,3.180446129880111,5.316817780941144,2.1363716510610384,
brain,condLE,3.7994762728551508,7.487302649020509,3.6878263761653507,
brain,condQALE,2.810293169849731,5.627501786169509,2.817208616319782,
brain,condHLY,2.267647971520604,5.066479051916422,2.7988310803958214,
bone,condLE,0.20988037651491712,0.5421800975559852,0.332299721041067,
bone,condQALE,0.16423087480259593,0.35266338078065335,0.18843250597805677,
bone,condHLY,-0.4862257809691062,-0.9918792159258928,-0.5056534349567874,
sts,condLE,0.2158164182196183,2.343553222973182,2.1277368047535647,
sts,condQALE,0.06617364178868869,1.69778579800038,1.6316121562116943,
sts,condHLY,-0.9338354207549141,1.0607731509766585,1.9946085717315745,
solid,condLE,1.2358261861931343,-0.00930448017791268,-1.2451306663710493,
solid,condQALE,1.111952474863855,0.20398476640696672,-0.9079677084568891,
solid,condHLY,-0.3382548799931964,-1.5443134633229305,-1.2060585833297341,
leuk,condLE,5.262844356446951,8.205463511605911,2.942619155158975,
leuk,condQALE,4.238539740540307,6.713128863884501,2.474589123344185,
leuk,condHLY,3.4036311342068672,4.9237627578623195,1.520131623655444,
lymp,condLE,7.730327398597311,12.738012836474734,5.007685437877429,
lymp,condQALE,5.74511914288017,9.481833798296272,3.7367146554161095,
lymp,condHLY,4.627117711371563,7.768444524869664,3.141326813498099,
ALL,condLE,5.379527489453376,8.303546088465087,2.9240185990117062,
ALL,condQALE,4.335900488206617,6.816020584684249,2.4801200964776378,
ALL,condHLY,3.4112142133734893,4.903935576033396,1.4927213626599074,
AML,condLE,3.313505424400776,4.797181819009543,1.4836763946087608,
AML,condQALE,2.761665693722359,4.040300080800143,1.2786343870777845,
AML,condHLY,2.8780661920892006,3.3369418625282155,0.45887567043901645,
OtherLeukemia,condLE,5.4991564273924,10.29283668934816,4.793680261955764,
OtherLeukemia,condQALE,4.160952654520623,7.685757482678096,3.5248048281574893,
OtherLeukemia,condHLY,4.0848158131269,7.07394878073492,2.9891329676080143,
Astrocytoma,condLE,5.73516954652819,11.095383729585176,5.360214183056987,
Astrocytoma,condQALE,4.296741512612613,8.390840339717997,4.094098827105377,
Astrocytoma,condHLY,3.7841363110900486,7.951223097046445,4.167086785956395,
Medulloblastoma,condLE,0.9774219153885673,3.547222820160225,2.569800904771659,
Medulloblastoma,condQALE,0.6591424561632412,2.521220921941952,1.8620784657787135,
Medulloblastoma,condHLY,0.344878375563313,2.0302424329200233,1.6853640573567066,
Other CNS,condLE,2.1788932249238107,4.2625362414749635,2.0836430165511524,
Other CNS,condQALE,1.5398463374148583,3.2862490172515293,1.7464026798366754,
Other CNS,condHLY,0.7485807861862906,2.5304530307675184,1.7818722445812283,
HL,condLE,6.928343255634286,13.003113176283888,6.07476992064961,
HL,condQALE,4.995563420081464,9.257584086090198,4.26202066600874,
HL,condHLY,3.701102119250702,7.269112348073935,3.56801022882323,
NHL,condLE,5.202726192318315,8.358372674309143,3.155646481990838,
NHL,condQALE,4.00456106303829,6.6519755710278625,2.6474145079895774,
NHL,condHLY,2.774001113303217,4.872348458079631,2.098347344776411,
Kidney,condLE,1.873384911605315,2.33745762832413,0.4640727167188183,
Kidney,condQALE,1.4774235521287782,1.7732357969466204,0.2958122448178448,
Kidney,condHLY,-0.167765692294087,0.10569041383875603,0.2734561061328426,
NBL,condLE,0.46014913410217656,-2.426492877176218,-2.8866420112783895,
NBL,condQALE,0.6789086065817521,-1.4197087499992553,-2.0986173565810087,
NBL,condHLY,-0.5331786020252566,-3.2212983257256607,-2.688119723700406,
STS,condLE,0.2158164182196183,2.343553222973182,2.1277368047535647,
STS,condQALE,0.06617364178868869,1.69778579800038,1.6316121562116943,
STS,condHLY,-0.9338354207549141,1.0607731509766585,1.9946085717315745,
Ewings,condLE,0.5920994056068937,3.8511697358000907,3.2590703301932,
Ewings,condQALE,0.5825031512037085,2.8753608326391067,2.2928576814353985,
Ewings,condHLY,-0.3991243414096825,1.1867494811697892,1.5858738225794689,
Osteosarcoma,condLE,0.40400823080028747,-0.7652963554121327,-1.16930458621242,
Osteosarcoma,condQALE,0.23990940785940298,-0.6221650961417777,-0.8620745040011814,
Osteosarcoma,condHLY,-0.17540381505766262,-1.6838683648671742,-1.5084645498095082,
