Group,Outcome,80-70,90-70,90-80,
all,condLE,5.809934079903002,9.493779701919891,3.9184187138570934,
all,condQALE,4.458407301937612,7.31161720887404,3.071498879771866,
all,condHLY,4.185931877826398,6.918388978615006,3.0065275372926266,
Male,condLE,6.420114233239751,10.448152489819648,4.457344187956849,
Male,condQALE,4.966731252806987,8.075318384233611,3.5275888988823354,
Male,condHLY,4.442293325122861,7.475802836945704,3.430220864175567,
Female,condLE,5.69407762090777,8.98092322400364,3.7237148857268636,
Female,condQALE,4.257520642743778,6.718810084733036,2.8590705363173967,
Female,condHLY,4.2492319125727676,6.694865621750182,2.8904607746040654,
1970s,condLE,-45.011204600807886,-45.011204600807886,0.0,
1970s,condQALE,-33.66332689845653,-33.66332689845653,0.0,
1970s,condHLY,-35.960029359619845,-35.960029359619845,0.0,
1980s,condLE,53.45641456431232,0.0,-49.21523768535454,
1980s,condQALE,39.88836867594003,0.0,-37.09850658356524,
1980s,condHLY,41.44319550259125,0.0,-39.112428226622875,
1990s,condLE,0.0,57.0413289760678,57.0413289760678,
1990s,condQALE,0.0,42.71746076150185,42.71746076150185,
1990s,condHLY,0.0,44.085579860298026,44.085579860298026,
Age0-4,condLE,4.344982232877719,7.595557492085291,3.8891924348458318,
Age0-4,condQALE,3.4570861103005868,5.911015493732677,3.0441704844463757,
Age0-4,condHLY,2.868617577155021,5.1181757710632425,2.7278639518558094,
Age5-9,condLE,6.17941892403865,8.806656901452733,3.445330951057393,
Age5-9,condQALE,4.674026150827807,6.7483360603721465,2.807427548704325,
Age5-9,condHLY,4.354934978026947,6.558192355726021,2.8938951987410206,
Age10-14,condLE,5.148338256686074,8.096659906320497,3.927520445537837,
Age10-14,condQALE,3.718047179968057,5.961675172453269,2.9799401577206766,
Age10-14,condHLY,3.38597423554522,5.5592330234622125,3.018964682734399,
Age15-20,condLE,6.304228027584948,10.115300019301735,4.807295775247489,
Age15-20,condQALE,4.635061977674397,7.435267236101847,3.5586891888419956,
Age15-20,condHLY,4.284191486647476,6.626097992219144,3.303106447937452,
brain,condLE,5.8624489884646565,10.203364397490418,5.195302474777677,
brain,condQALE,4.27082660079229,7.451491973388016,3.871285808672244,
brain,condHLY,3.7338653079515893,6.915616405830473,4.22457169089104,
bone,condLE,2.5594314227663304,3.254639804435577,2.504809105618534,
bone,condQALE,1.780453433496099,2.19425787699803,1.7457198257316975,
bone,condHLY,1.4286089945403333,1.0180686973085074,1.1893306464463294,
sts,condLE,2.4845171592696715,5.49922648907679,4.773343579658345,
sts,condQALE,1.7194069888106327,3.8053549920176764,3.468664397031837,
sts,condHLY,0.8036466463650953,3.1801245160861384,3.9957951026462553,
solid,condLE,3.120594380877307,2.210170516274758,0.2804728923656654,
solid,condQALE,2.4506851295542305,1.7766263395124184,0.14859611652305915,
solid,condHLY,1.0201606377707222,-0.04465034630865716,-0.021708981713878472,
leuk,condLE,7.095624073893667,11.283704675580339,4.844738874095199,
leuk,condQALE,5.531921023954126,8.860730725707143,3.8582184924593363,
leuk,condHLY,5.279253715198294,8.110027634719792,3.46334780381806,
lymp,condLE,9.549766713776322,15.304961712511073,6.559031408942467,
lymp,condQALE,7.015226214287271,11.202123927930142,4.787827966184366,
lymp,condHLY,5.908509539619345,9.754511758747661,4.522942486198126,
ALL,condLE,7.364922514366185,11.683479844943925,4.951752516130476,
ALL,condQALE,5.746614253308003,9.21678708519348,3.9541542933762415,
ALL,condHLY,5.495888269137325,8.440527331783649,3.6441361625331297,
AML,condLE,7.995622279892629,10.851975897645957,4.838415046929704,
AML,condQALE,6.200750522445162,8.216232188810803,3.683703145508524,
AML,condHLY,6.904839409235137,7.334355261243488,2.6387881329815883,
OtherLeukemia,condLE,11.90761414578273,16.835247992290686,10.752127005036833,
OtherLeukemia,condQALE,9.025180360341476,12.439300801022839,7.775379665310062,
OtherLeukemia,condHLY,10.030344181864603,12.938888777504271,7.778063477208875,
Astrocytoma,condLE,9.059070328890833,15.864400149309411,7.941302096045796,
