Group,n,wt,
all,22585.0,38884.68535527361,
Male,11933.0,21521.31770073486,
Female,10652.0,17363.367654537702,
1970s,5358.0,8087.0198826829155,
1980s,8509.0,13357.442673618021,
1990s,8718.0,17440.222798972056,
Age0-4,8938.0,16691.225709882907,
Age5-9,5016.0,9194.017799943931,
Age10-14,4781.0,7303.777867536958,
Age15-20,3850.0,5695.663977908949,
brain,3964.0,6012.991035840911,
bone,1857.0,2770.9897603520135,
sts,1513.0,2262.081990864997,
solid,3697.0,5376.346337857984,
leuk,6941.0,15703.955684136889,
lymp,4613.0,6758.320546219942,
ALL,5784.0,14025.1816689109,
AML,860.0,1228.9750681539986,
OtherLeukemia,297.0,449.7989470720002,
Astrocytoma,2375.0,3591.531791937014,
Medulloblastoma,924.0,1430.6482067709992,
Other CNS,665.0,990.8110371330015,
HL,2753.0,4048.4046373499696,
NHL,1860.0,2709.9159088699976,
Kidney,1984.0,2862.8031915160227,
NBL,1713.0,2513.543146342002,
STS,1513.0,2262.081990864997,
Ewings,659.0,993.5596057299975,
Osteosarcoma,1107.0,1639.9428821519957,
OtherBoneTumor,91.0,137.48727247000005,
AnthNone,11784.0,18605.107210638835,
Anth<100,2176.0,5687.156933919999,
Anth100_249,4719.0,8455.862044815998,
Anth250_399,2517.0,3940.4899402290002,
Anth400+,1296.0,2006.3110448469995,
AlkNone,10784.0,18065.629479976913,
Alk<4000,2962.0,6515.467494059989,
Alk4000_7999,3012.0,4875.031759806984,
Alk8000_11999,2321.0,3955.3925468339994,
Alk12000+,3372.0,5230.891470892972,
CispNone,20562.0,35834.88504042114,
Cisp<400,1001.0,1488.6720034489967,
Cisp400+,993.0,1514.6957972149958,
PlatNone,20015.0,35028.09127048497,
Plat<400,979.0,1443.8492621269959,
Plat400+,1555.0,2355.060711121997,
ChestNone,10468.0,19774.285494941825,
Chest<10,6724.0,10743.863086501047,
Chest10_19,1344.0,2286.3684002770037,
Chest20_29,1471.0,2131.7899686379974,
Chest30+,2495.0,3790.552392744984,
HeartNone,10500.0,19833.10987164081,
Heart<5,6844.0,10901.144543879063,
Heart5_14,1657.0,2742.5611524360042,
Heart15_34,2400.0,3606.146026045002,
Heart35+,1091.0,1628.0516953790004,
CRTNone,10470.0,19772.525154634815,
CRT<20,7647.0,12109.72318248506,
CRT20_29,1625.0,2598.9179377919972,
CRT30_49,657.0,1025.356101675001,
CRT50+,2105.0,3224.6801742040093,
OvaryNone,5078.0,9126.827506227937,
Ovary<10,4883.0,7199.499279108927,
Ovary10-19,435.0,664.9395850390006,
Ovary20+,210.0,297.5509994440002,
AbdPelNone,10467.0,19776.91847038682,
AbdPel<15,7788.0,12492.882584043027,
AbdPel15_24,1416.0,2190.3549392220034,
AbdPel25_34,865.0,1276.8394631779993,
AbdPel35+,1966.0,2998.7934338500086,
MaxRTNone,10577.0,20018.973997338795,
MaxRT<20,2839.0,4907.273004848006,
MaxRT20_29,3054.0,4644.625990130991,
MaxRT30+,6040.0,9167.868457754066,
ALL_70,1509.0,2216.181875370982,
AML_70,112.0,162.6738409959999,
OtherLeukemia_70,60.0,94.65558578199996,
Astrocytoma_70,377.0,600.6595611959993,
Medulloblastoma_70,102.0,167.80767117000005,
Other CNS_70,76.0,119.38631228400003,
HL_70,916.0,1404.5152279689974,
NHL_70,396.0,593.7969442200008,
Kidney_70,419.0,624.8758645490002,
NBL_70,358.0,528.5575446499994,
STS_70,552.0,849.7919328299993,
Ewings_70,165.0,253.47139097399997,
Osteosarcoma_70,297.0,442.71727984900076,
OtherBoneTumor_70,19.0,27.928850843000006,
ALL_80,2515.0,4704.244102207989,
AML_80,312.0,436.44208863700015,
OtherLeukemia_80,96.0,150.16390855399996,
Astrocytoma_80,821.0,1228.9603422030013,
Medulloblastoma_80,307.0,464.0221303210001,
Other CNS_80,213.0,314.17783800599983,
HL_80,921.0,1316.1768323040014,
NHL_80,700.0,994.9544730899997,
Kidney_80,772.0,1086.0239278430001,
NBL_80,580.0,822.6469661399977,
STS_80,590.0,854.7094405219987,
Ewings_80,247.0,357.3376850629996,
Osteosarcoma_80,409.0,590.9106904439998,
OtherBoneTumor_80,26.0,36.67224828299999,
ALL_90,1760.0,7104.755691332021,
AML_90,436.0,629.8591385210001,
OtherLeukemia_90,141.0,204.97945273600007,
Astrocytoma_90,1177.0,1761.9118885380012,
Medulloblastoma_90,515.0,798.8184052800016,
Other CNS_90,376.0,557.2468868430003,
HL_90,916.0,1327.7125770770049,
NHL_90,764.0,1121.1644915599993,
Kidney_90,793.0,1151.9033991239974,
NBL_90,775.0,1162.338635551998,
STS_90,371.0,557.580617512999,
Ewings_90,247.0,382.750529693,
Osteosarcoma_90,401.0,606.3149118590005,
OtherBoneTumor_90,46.0,72.88617334400001,
brain_70,555.0,887.8535446500018,
bone_70,481.0,724.1175216659991,
sts_70,552.0,849.7919328299993,
solid_70,777.0,1153.4334091990006,
leuk_70,1681.0,2473.511302148985,
lymp_70,1312.0,1998.312172188997,
brain_80,1341.0,2007.160310530006,
bone_80,682.0,984.9206237899981,
sts_80,590.0,854.7094405219987,
solid_80,1352.0,1908.6708939830012,
leuk_80,2923.0,5290.850099398963,
lymp_80,1621.0,2311.1313053940066,
brain_90,2068.0,3117.9771806610256,
bone_90,694.0,1061.9516148959985,
sts_90,371.0,557.580617512999,
solid_90,1568.0,2314.2420346759995,
leuk_90,2337.0,7939.594282589052,
lymp_90,1680.0,2448.8770686369994,
SurgOnly_NoTrt,2166.0,3193.6973218300177,
ChemoOnly,8044.0,16097.585817956879,
RadOnly,1960.0,2913.5258430900094,
ChemoRad,10376.0,16608.97858598096,
NoChemoRT,2166.0,3193.6973218300177,
AnyChemoRT,20404.0,35667.461832503184,
NoChemo,4134.0,6119.014872194942,
AnyChemo,18434.0,32739.770412002872,
NoRad,10217.0,19303.144401235862,
AnyRad,12345.0,19536.206904512914,
SurgOnly_NoTrt_70,359.0,540.863322021,
ChemoOnly_70,959.0,1450.184938025999,
RadOnly_70,777.0,1188.6267092710013,
ChemoRad_70,3241.0,4872.417605969006,
