Group,n,wt,
all,22585.0,38884.68535527361,
Male,11933.0,21521.31770073486,
Female,10652.0,17363.367654537702,
1970s,5358.0,8087.0198826829155,
1980s,8509.0,13357.442673618021,
1990s,8718.0,17440.222798972056,
Age0-4,8938.0,16691.225709882907,
Age5-9,5016.0,9194.017799943931,
Age10-14,4781.0,7303.777867536958,
Age15-20,3850.0,5695.663977908949,
brain,3964.0,6012.991035840911,
bone,1857.0,2770.9897603520135,
sts,1513.0,2262.081990864997,
solid,3697.0,5376.346337857984,
leuk,6941.0,15703.955684136889,
lymp,4613.0,6758.320546219942,
ALL,5784.0,14025.1816689109,
AML,860.0,1228.9750681539986,
OtherLeukemia,297.0,449.7989470720002,
Astrocytoma,2375.0,3591.531791937014,
Medulloblastoma,924.0,1430.6482067709992,
Other CNS,665.0,990.8110371330015,
HL,2753.0,4048.4046373499696,
NHL,1860.0,2709.9159088699976,
Kidney,1984.0,2862.8031915160227,
NBL,1713.0,2513.543146342002,
STS,1513.0,2262.081990864997,
Ewings,659.0,993.5596057299975,
Osteosarcoma,1107.0,1639.9428821519957,
OtherBoneTumor,91.0,137.48727247000005,
AnthNone,11829.0,18695.975916797826,
Anth<100,2206.0,5766.827062034997,
Anth100_249,4762.0,8549.235950916009,
Anth250_399,2553.0,4009.3654530539998,
Anth400+,1326.0,2056.8889885280005,
AlkNone,10851.0,18191.2644559569,
Alk<4000,3011.0,6613.129631875988,
Alk4000_7999,3062.0,4960.977047256987,
Alk8000_11999,2370.0,4039.7491353229966,
Alk12000+,3426.0,5320.05337771197,
CispNone,20584.0,35869.29673798615,
Cisp<400,1019.0,1519.108049003997,
Cisp400+,1012.0,1546.1239728289952,
PlatNone,20041.0,35069.676385532985,
Plat<400,1000.0,1478.0218233539958,
Plat400+,1581.0,2395.5630774559972,
ChestNone,10514.0,19866.806851854817,
Chest<10,6768.0,10834.149362208062,
Chest10_19,1370.0,2338.4493382750034,
Chest20_29,1496.0,2176.330763793999,
Chest30+,2521.0,3832.6787104929845,
HeartNone,10554.0,19938.6657951598,
Heart<5,6894.0,11002.412456381058,
Heart5_14,1690.0,2804.787662793004,
Heart15_34,2432.0,3660.612263872001,
Heart35+,1110.0,1657.7244157930006,
CRTNone,10519.0,19866.84617761382,
CRT<20,7690.0,12194.647770783064,
CRT20_29,1647.0,2646.704192211998,
CRT30_49,676.0,1057.1295284080004,
CRT50+,2133.0,3270.970957750008,
OvaryNone,5117.0,9189.489135908936,
Ovary<10,4919.0,7258.960983006929,
Ovary10-19,453.0,692.6525034610004,
Ovary20+,210.0,297.5509994440002,
AbdPelNone,10516.0,19868.818970695822,
AbdPel<15,7836.0,12583.88763828203,
AbdPel15_24,1441.0,2236.652363532006,
AbdPel25_34,884.0,1307.827232380999,
AbdPel35+,1993.0,3041.829336920005,
MaxRTNone,10626.0,20114.362091997773,
MaxRT<20,2871.0,4979.5957876820075,
MaxRT20_29,3086.0,4704.796317756995,
MaxRT30+,6077.0,9229.681361892066,
ALL_70,1509.0,2216.181875370982,
AML_70,112.0,162.6738409959999,
OtherLeukemia_70,60.0,94.65558578199996,
Astrocytoma_70,377.0,600.6595611959993,
Medulloblastoma_70,102.0,167.80767117000005,
Other CNS_70,76.0,119.38631228400003,
HL_70,916.0,1404.5152279689974,
NHL_70,396.0,593.7969442200008,
Kidney_70,419.0,624.8758645490002,
NBL_70,358.0,528.5575446499994,
STS_70,552.0,849.7919328299993,
Ewings_70,165.0,253.47139097399997,
Osteosarcoma_70,297.0,442.71727984900076,
OtherBoneTumor_70,19.0,27.928850843000006,
ALL_80,2515.0,4704.244102207989,
AML_80,312.0,436.44208863700015,
OtherLeukemia_80,96.0,150.16390855399996,
Astrocytoma_80,821.0,1228.9603422030013,
Medulloblastoma_80,307.0,464.0221303210001,
Other CNS_80,213.0,314.17783800599983,
HL_80,921.0,1316.1768323040014,
NHL_80,700.0,994.9544730899997,
Kidney_80,772.0,1086.0239278430001,
NBL_80,580.0,822.6469661399977,
STS_80,590.0,854.7094405219987,
Ewings_80,247.0,357.3376850629996,
Osteosarcoma_80,409.0,590.9106904439998,
OtherBoneTumor_80,26.0,36.67224828299999,
ALL_90,1760.0,7104.755691332021,
AML_90,436.0,629.8591385210001,
OtherLeukemia_90,141.0,204.97945273600007,
Astrocytoma_90,1177.0,1761.9118885380012,
Medulloblastoma_90,515.0,798.8184052800016,
Other CNS_90,376.0,557.2468868430003,
HL_90,916.0,1327.7125770770049,
NHL_90,764.0,1121.1644915599993,
Kidney_90,793.0,1151.9033991239974,
NBL_90,775.0,1162.338635551998,
STS_90,371.0,557.580617512999,
Ewings_90,247.0,382.750529693,
Osteosarcoma_90,401.0,606.3149118590005,
OtherBoneTumor_90,46.0,72.88617334400001,
brain_70,555.0,887.8535446500018,
bone_70,481.0,724.1175216659991,
sts_70,552.0,849.7919328299993,
solid_70,777.0,1153.4334091990006,
leuk_70,1681.0,2473.511302148985,
lymp_70,1312.0,1998.312172188997,
brain_80,1341.0,2007.160310530006,
bone_80,682.0,984.9206237899981,
sts_80,590.0,854.7094405219987,
solid_80,1352.0,1908.6708939830012,
leuk_80,2923.0,5290.850099398963,
lymp_80,1621.0,2311.1313053940066,
brain_90,2068.0,3117.9771806610256,
bone_90,694.0,1061.9516148959985,
sts_90,371.0,557.580617512999,
solid_90,1568.0,2314.2420346759995,
leuk_90,2337.0,7939.594282589052,
lymp_90,1680.0,2448.8770686369994,
SurgOnly_NoTrt,2181.0,3217.147281755016,
ChemoOnly,8065.0,16141.710760243877,
RadOnly,1977.0,2939.7257456840093,
ChemoRad,10399.0,16654.963254521947,
NoChemoRT,2181.0,3217.147281755016,
AnyChemoRT,20419.0,35690.87026692418,
NoChemo,4150.0,6144.900583160942,
AnyChemo,18451.0,32765.662261915877,
NoRad,10239.0,19348.107481436873,
AnyRad,12368.0,19581.405012164905,
SurgOnly_NoTrt_70,368.0,554.3959851010001,
ChemoOnly_70,969.0,1465.8205514589986,
RadOnly_70,789.0,1208.4090294600014,
ChemoRad_70,3254.0,4894.116636576005,
