Group,Age1,Age2,
all,53.33549701670525,62.03909994135724,
Male,52.87264374393092,61.48082284851685,
Female,52.984390257840964,61.71590246675947,
1970s,51.84049191830396,61.50954496248825,
1980s,53.04429957126328,61.901001515577995,
1990s,53.434640811658994,61.86556204530537,
Age0-4,51.77201571671558,60.46255845894663,
Age5-9,53.60575018411193,62.51920575317402,
Age10-14,53.68096494248736,62.572472071008455,
Age15-20,53.57009880836162,62.44741672722471,
brain,45.81260435712488,54.39427451793591,
bone,51.78591322940719,61.71039687250914,
sts,50.32161113188053,59.548430514881225,
solid,50.9067135411712,58.61049242332069,
leuk,56.4742562298582,64.25241519994368,
lymp,50.98146393349253,59.42196699874588,
ALL,56.921681676847726,64.53509334490467,
AML,47.26525437997239,55.308753323916825,
OtherLeukemia,43.88089690891323,51.92018505762125,
Astrocytoma,47.48504628847042,55.51846239639243,
Medulloblastoma,39.97137647795791,49.19279065249878,
Other CNS,41.47866983927216,49.302360855205706,
HL,47.834618017668554,55.5132791908624,
NHL,52.83554489844777,61.43071659059949,
Kidney,51.16127674058214,59.045926798070695,
NBL,49.40338845874662,57.131874324294046,
STS,50.32161113188053,59.548430514881225,
Ewings,47.14824620404479,57.537135610385235,
Osteosarcoma,53.59091119105283,63.067259366729175,
OtherBoneTumor,47.76950134406486,56.21638655920462,
AnthNone,53.034728014060896,62.14317504894418,
Anth<100,53.12867477871888,61.35903535467971,
Anth100_249,52.346046165396345,61.045245080111066,
Anth250_399,49.25251589152328,59.298104309787846,
Anth400+,49.19127268987387,59.642835987675795,
AlkNone,54.40199535908084,63.09173754208815,
Alk<4000,54.073807135860356,62.28012353332048,
Alk4000_7999,52.4198344129819,61.28345656470571,
Alk8000_11999,50.60725093315025,59.6609780070733,
Alk12000+,47.73262179444269,57.55649921701733,
CispNone,53.92699195597215,62.431744278149374,
Cisp<400,44.44872544957679,54.03509348357082,
Cisp400+,44.99763252834544,54.76418600191898,
PlatNone,54.1060704667321,62.54213077916036,
Plat<400,45.2773951095463,54.81481505125271,
