Group,Age1,Age2,
all,54.60998439445132,63.55055990181066,
Male,54.657226937213125,63.66795017852906,
Female,54.557228940471006,63.4138001571023,
1970s,53.3171872858102,62.65920220874118,
1980s,54.37610456282896,63.4137695035535,
1990s,55.31742859777652,63.99367072624319,
Age0-4,54.254678193971486,63.10000657178741,
Age5-9,55.18342292453019,64.25863347378294,
Age10-14,54.74066740659294,63.736698662867596,
Age15-20,54.44833074104064,63.26021590517579,
brain,48.35027392454033,58.4499420154103,
bone,53.11186522132714,63.155831056604626,
sts,52.211139817868606,61.8068200454435,
solid,52.81264213589616,61.20835384186121,
leuk,59.253970253928514,67.53377409530977,
lymp,52.16544441291904,60.76750984124576,
ALL,60.22680471173364,68.38972825920942,
AML,51.52173651099481,59.99325129564819,
OtherLeukemia,48.853986203918794,58.47454996678901,
Astrocytoma,51.4005005872543,61.49406316115592,
Medulloblastoma,42.35577717135672,52.53872468233244,
Other CNS,45.9118888315753,54.94457999635377,
HL,49.748668408721905,58.25956777193919,
NHL,55.696080922297035,64.15606978297954,
Kidney,53.61883847109939,62.17702494294573,
NBL,51.88508189113402,60.139939140258555,
STS,52.211139817868606,61.8068200454435,
Ewings,49.42916954400545,59.900882877795276,
Osteosarcoma,55.33715094910031,65.18255074693225,
OtherBoneTumor,52.08325235333176,61.151277768358725,
AnthNone,54.451685588390404,63.66096703514604,
Anth<100,58.11370712106455,66.06734439933,
Anth100_249,55.22144157871839,63.50898115728137,
Anth250_399,50.77058878733636,60.73203516672243,
Anth400+,50.88831828298929,61.29385445218521,
AlkNone,55.8286411152216,64.72177485842751,
Alk<4000,57.556050285236275,65.81031385633487,
Alk4000_7999,54.134987510172046,62.99179915044718,
Alk8000_11999,52.498462504564536,61.70969339753676,
Alk12000+,48.78893330506262,58.59565124330652,
CispNone,55.28681207018618,64.08630442320143,
Cisp<400,46.111798746128464,56.11240959628463,
Cisp400+,46.847397021009755,57.162506381708646,
PlatNone,55.50010441882922,64.26202275596333,
Plat<400,46.67495848504467,56.58239306629586,
Plat400+,46.1971316736772,56.40555656027135,
ChestNone,58.00975008932768,66.14165572550544,
Chest<10,53.47974203549235,63.31079103949937,
Chest10_19,49.3158341238766,59.0996089323906,
Chest20_29,49.620360764320836,58.95585063458613,
Chest30+,44.931195350439424,53.78928102635544,
HeartNone,57.98516065553153,66.12597690315854,
Heart<5,53.523733530489096,63.35512411476194,
Heart5_14,50.003141171582435,59.81768614987021,
Heart15_34,46.36489587961334,55.95108092531424,
Heart35+,44.78070728191639,52.67689588327158,
CRTNone,58.00939228310403,66.14062509499834,
CRT<20,52.071305664370755,60.881955715149296,
CRT20_29,56.67851691859279,66.06386757048077,
CRT30_49,45.881099016980585,57.355387811347114,
CRT50+,42.554273174260715,53.722885062192766,
OvaryNone,57.958211143574616,66.24848070194493,
Ovary<10,50.82292733407508,60.216596726345834,
Ovary10-19,48.67754104012963,57.93407231255208,
Ovary20+,49.57219511524548,58.72701663157979,
AbdPelNone,58.01053759885842,66.14146482865898,
AbdPel<15,52.5291766103009,62.1983174955101,
AbdPel15_24,50.007154722085694,59.451387514216364,
AbdPel25_34,47.925299770328806,57.42018325600947,
AbdPel35+,45.39767571377657,54.502196471368705,
MaxRTNone,57.981364748382035,66.12116419680014,
MaxRT<20,55.580539731975456,64.23121437801734,
MaxRT20_29,54.35288617927071,63.20493336699458,
MaxRT30+,45.98493062945426,56.05325035929588,
ALL_70,59.93812377902126,69.35027550159737,
AML_70,51.9467500542783,60.88076483057798,
OtherLeukemia_70,43.595969514718085,53.661374821555995,
Astrocytoma_70,48.40321825027899,59.91460068672597,
Medulloblastoma_70,42.48154119698491,53.47657294755305,
Other CNS_70,47.43946867017011,56.90675924094429,
HL_70,47.14278751530595,55.40616332518671,
NHL_70,54.03034570638383,62.723834576714836,
Kidney_70,53.878631764830914,62.474095420421534,
NBL_70,52.94424303586824,61.173997902534744,
STS_70,53.1462418124714,62.70268577332286,
Ewings_70,48.96528059152241,59.68871143342788,
Osteosarcoma_70,55.75172048340975,65.77173393855657,
OtherBoneTumor_70,59.18285179879054,67.85456308836228,
ALL_80,60.16747691659167,68.49157370625717,
AML_80,52.22079416879014,60.76007421802703,
OtherLeukemia_80,48.57153626121246,58.23949246450677,
Astrocytoma_80,49.85291716803,60.43119683852394,
Medulloblastoma_80,42.273726029480876,52.70408467151505,
Other CNS_80,45.44155636530429,54.61928294652988,
HL_80,49.54888061888466,57.97744190809584,
NHL_80,55.29305394730722,63.823762319859625,
Kidney_80,53.39490247940877,62.00666140940478,
NBL_80,52.20138688900684,60.45696238864565,
STS_80,51.42165910737347,61.05622966007677,
Ewings_80,49.54469031831228,60.04475260130027,
Osteosarcoma_80,55.60489560169822,65.34976299570053,
OtherBoneTumor_80,55.50196485236132,64.5405001660014,
ALL_90,60.343357043472494,68.13203347984978,
AML_90,50.94833434941679,59.28364729318095,
OtherLeukemia_90,51.01402873250129,60.13728825383985,
Astrocytoma_90,53.194172210064856,62.4574421139995,
Medulloblastoma_90,42.37720970234465,52.320283026855314,
Other CNS_90,45.85837916696113,54.746654282307205,
HL_90,52.23977338822496,60.723621823825624,
NHL_90,56.83152839112827,65.07015545901305,
Kidney_90,53.69774485138947,62.19754566540432,
NBL_90,51.16106648305948,59.44879546682922,
STS_90,52.03846648198152,61.66615973752474,
Ewings_90,49.61384949804288,59.899793510710275,
Osteosarcoma_90,54.76164149262808,64.58908940061026,
OtherBoneTumor_90,47.78511094513441,57.20318496876972,
brain_70,47.135577372811596,58.31426979080672,
bone_70,53.64763917114638,63.900216218698525,
sts_70,53.1462418124714,62.70268577332286,
solid_70,53.43543425611294,61.83772154680171,
leuk_70,58.81943745068424,68.2786670206338,
lymp_70,49.256653637491965,57.79794949437497,
brain_80,47.45972304157862,57.92012032181758,
bone_80,53.50692565757141,63.51357882560238,
sts_80,51.42165910737347,61.05622966007677,
solid_80,52.87838232809596,61.3190460873105,
leuk_80,59.21783674099105,67.64012815370099,
lymp_80,52.025283165777665,60.600336322443844,
brain_90,49.15464536982345,58.76538320117929,
bone_90,52.38879480033963,62.361126695823216,
sts_90,52.03846648198152,61.66615973752474,
solid_90,52.456115599476306,60.83003958598997,
leuk_90,59.39224946910377,67.31456145346527,
lymp_90,54.320746509810434,62.7497537487266,
SurgOnly_NoTrt,58.08821560639273,66.04033703350031,
ChemoOnly,58.0841806721685,66.22445454631288,
RadOnly,47.23789812839936,57.38172105801314,
ChemoRad,51.53810639235143,60.99985967413132,
NoChemoRT,58.08821560639273,66.04033703350031,
AnyChemoRT,54.30482930066876,63.34206511266291,
NoChemo,53.06673645362954,62.2733087411112,
AnyChemo,54.880572873054334,63.748425207329355,
NoRad,58.08431034823784,66.19646429607421,
AnyRad,50.924897791788254,60.54622343032067,
SurgOnly_NoTrt_70,58.420237696706344,66.84059380687849,
ChemoOnly_70,56.67100446283277,65.44082732765392,
RadOnly_70,48.00997028980606,57.61929362401914,
ChemoRad_70,52.896669979718034,62.27725509534446,
SurgOnly_NoTrt_80,58.10715718383817,66.09085488312842,
ChemoOnly_80,58.01208014580758,66.24805376085439,
RadOnly_80,47.38266154683041,57.645601964505325,
ChemoRad_80,51.901652516548644,61.35216092489217,
SurgOnly_NoTrt_90,57.9685549500476,65.74301790197887,
ChemoOnly_90,58.32490215957584,66.32749777263697,
RadOnly_90,45.30025199886659,56.26873310749176,
ChemoRad_90,50.10441870152774,59.69338728185063,
NoChemoRT_70,58.420237696706344,66.84059380687849,
AnyChemoRT_70,52.93933145369923,62.34764215530022,
NoChemoRT_80,58.10715718383817,66.09085488312842,
AnyChemoRT_80,54.07099043199431,63.20243871619441,
NoChemoRT_90,57.9685549500476,65.74301790197887,
AnyChemoRT_90,55.05826013024136,63.83444905241936,
NoChemo_70,51.39732456516128,60.85869542131948,
AnyChemo_70,53.82851327119676,63.09716368035975,
NoChemo_80,52.459576637645426,61.8894440739727,
AnyChemo_80,54.7370655461383,63.66894633182212,
NoChemo_90,54.90854883095205,63.64035980422221,
AnyChemo_90,55.371384091079065,64.03173701686771,
NoRad_70,57.12830682603744,65.78924122953346,
AnyRad_70,51.95371020128195,61.458191116854096,
NoRad_80,58.0289136481789,66.22464551217199,
