Group,Age1,Age2,
all,56.01691951367897,64.85356727896648,
Male,56.35290336424132,65.38075000578418,
Female,56.18565756614056,64.86817788098324,
1970s,54.31416908957402,63.63707733672474,
1980s,55.74976070977619,64.7025984506644,
1990s,57.10046566008984,65.7473768897163,
Age0-4,56.52036046851812,65.37337966203756,
Age5-9,56.56103700047175,65.66283315371878,
Age10-14,55.58923973486872,64.72259122513675,
Age15-20,55.43836150514894,64.22802894506444,
brain,50.193458065603316,60.925760327224154,
bone,54.49589867841689,64.72518799446779,
sts,53.81596125785232,63.376394891757535,
solid,54.58904034995242,63.12698492569414,
leuk,62.60450035316206,70.88262362996392,
lymp,53.668836134625224,62.42460724890194,
ALL,63.87010606870499,72.65019360902626,
AML,56.23040399327684,65.02594972746549,
OtherLeukemia,53.96728375776864,64.02661282492475,
Astrocytoma,54.847113249838436,66.00151570798279,
Medulloblastoma,45.11160914048863,55.71247320197414,
Other CNS,49.89548984233088,60.180781367084535,
HL,51.0629369923935,59.85344215776338,
NHL,58.7088444862789,67.09351020197924,
Kidney,56.216043336676236,64.81160092235734,
NBL,54.541381797158735,63.04977147579221,
STS,53.81596125785232,63.376394891757535,
Ewings,51.566644789305485,62.27579402984611,
Osteosarcoma,57.13309021747378,67.21500866795633,
OtherBoneTumor,56.113268667191164,65.85110690549956,
AnthNone,55.42711242042617,64.74434920834817,
Anth<100,62.44967231435605,70.49490544119377,
Anth100_249,57.64358723722619,66.11997709195131,
Anth250_399,52.01282009117432,62.00949679783106,
Anth400+,52.372721258693716,62.748937578223874,
AlkNone,57.17142403629304,66.06316477640539,
Alk<4000,60.60587321510493,69.15327908076367,
Alk4000_7999,55.60452940661343,64.61470569359116,
Alk8000_11999,54.16948418025295,63.31589919307449,
Alk12000+,49.7316337001358,59.594033584913184,
CispNone,56.7829172173397,65.55813668904828,
Cisp<400,47.74097595269546,58.10029291842121,
Cisp400+,48.64750273461985,59.29075855658842,
PlatNone,57.057592844012085,65.75120276941352,
Plat<400,48.150655481492635,58.303087516781545,
Plat400+,47.700752927051596,58.31793483235708,
ChestNone,59.80916061834576,67.83229026867662,
Chest<10,54.966684940893224,65.09754509406076,
Chest10_19,51.39758464035617,61.33779536732641,
Chest20_29,51.356626639742,60.546882261011,
Chest30+,45.84326985990629,54.75294414477993,
HeartNone,59.793421447112365,67.80837568750792,
Heart<5,54.95058521618341,65.10666902020729,
Heart5_14,51.93045383617658,62.03101068522722,
Heart15_34,47.552928851847696,57.219309480396994,
Heart35+,45.95013453540263,53.86557349083991,
CRTNone,59.810993651870476,67.83169800925116,
CRT<20,53.24524910383315,62.11385601331432,
CRT20_29,59.21329480989733,68.73662726064447,
CRT30_49,48.12705594159337,59.44321948274864,
CRT50+,43.81993728474172,55.372719671330444,
OvaryNone,59.930264962475114,68.18033431239105,
Ovary<10,52.189493941058174,61.4987230223277,
Ovary10-19,51.42823731572736,60.634153432512704,
Ovary20+,52.03760290459092,61.12903211963892,
AbdPelNone,59.81053835375183,67.83578553848746,
AbdPel<15,53.92091747227939,63.66080706763987,
AbdPel15_24,51.55619887904764,60.943521863901566,
AbdPel25_34,49.37791317333153,58.87904124382948,
AbdPel35+,46.45340254231694,55.67115588406136,
MaxRTNone,59.775880575189895,67.82744911669346,
MaxRT<20,58.11869538790208,66.59448655054571,
MaxRT20_29,55.99600942729625,64.8646858742586,
MaxRT30+,46.840614768068754,56.9953184256588,
ALL_70,62.581525948562565,72.42933247402604,
AML_70,57.288084778153554,66.59011328016759,
OtherLeukemia_70,52.188733717113806,64.32840215612808,
Astrocytoma_70,51.90036570499401,63.922514492471926,
Medulloblastoma_70,47.274931426387624,58.72638097811317,
Other CNS_70,53.13361898535708,63.39542090121484,
HL_70,48.31292165003812,56.85670843703013,
NHL_70,57.273839209744196,66.1222088350266,
Kidney_70,56.38718995507504,65.34459634204389,
NBL_70,55.52615601563303,63.9477439409584,
STS_70,54.928494047098866,64.46363995725399,
Ewings_70,52.03135434512829,62.67733473689079,
Osteosarcoma_70,57.82391856658171,68.11350918732053,
OtherBoneTumor_70,66.31104273059135,74.94629021959211,
ALL_80,63.67673542708061,72.26846986542698,
AML_80,57.34722081706263,66.15980895455208,
OtherLeukemia_80,55.28425678662036,66.20272493480078,
Astrocytoma_80,53.1974954962946,64.51407211495626,
Medulloblastoma_80,45.73888239630394,56.27676456698251,
Other CNS_80,50.04281892284518,59.96633460807754,
HL_80,51.01131610851718,59.63264114785803,
NHL_80,58.396216090858246,66.79961316991968,
Kidney_80,56.203931640760345,64.83585052770154,
NBL_80,55.21869452123445,63.41186274032266,
STS_80,53.32470803867933,62.9373976065361,
Ewings_80,52.29125830445481,62.737174787540596,
Osteosarcoma_80,57.96354471804233,67.63374024607295,
OtherBoneTumor_80,61.82559108164314,70.86828239601286,
ALL_90,64.91079983961347,73.05971663537028,
AML_90,56.093146634281204,64.70156374982959,
OtherLeukemia_90,56.59168736820811,65.73103692985174,
Astrocytoma_90,57.153987338875126,67.55535197324389,
Medulloblastoma_90,45.00475134066163,55.79409029617966,
Other CNS_90,50.216239864441256,60.765475347509,
HL_90,54.30959590771214,63.209228175293724,
NHL_90,60.323716045530624,68.39668318078584,
Kidney_90,56.72810523730983,65.15358525209372,
