Group,LE,QALEcond,LEcond,HealthyLY,HealthyLYCond,
all,60.71528029835184,37.31062370595734,49.47280657483039,50.471977682526855,39.22950395900501,
Male,59.76639867497396,37.25797996947876,48.49374531539269,49.41969240886477,38.147039049283705,
Female,61.83368745240016,37.31402302866836,50.62862038573402,51.06667668043694,39.86160961377065,
1970s,57.28331922864252,33.64804446753188,44.96898703315029,48.269080425057446,35.95474822956512,
1980s,60.42372289628365,37.08942762685325,49.21038549954876,50.2916796594666,39.07834226273197,
1990s,62.321610354694556,39.02409599604431,51.55384122955387,51.10500852292656,40.33723939778561,
Age0-4,58.83644741022905,40.41881955866871,52.72469508408725,49.744612777836835,43.632860451694896,
Age5-9,61.656090395850086,38.220077179368616,50.94361633601024,50.5044701249149,39.791996065075196,
Age10-14,61.97116953468462,33.83163297970948,45.89846644046135,50.75089127358747,34.67818817936461,
Age15-20,60.98925541716405,29.795583582929023,40.04959220328074,50.58888035119265,29.649217137309684,
brain,51.22703959890939,29.85669727927523,39.757967023737855,43.944181868031706,32.47510929285997,
bone,60.31898232337129,31.360861614100358,43.62558751521777,47.745713735430364,31.052318927276758,
sts,57.84332953118921,34.20855692006023,45.90980118445421,47.129353706205265,35.19582535947033,
solid,58.507417473369024,39.61729146011798,52.095314779517736,47.970979011256595,41.55887631740538,
leuk,62.58554607183639,40.57756829013639,53.02103328494368,53.507234375503984,43.94272158861148,
lymp,60.27076853529012,32.98109159695564,43.954524492895786,48.93887964372468,32.62263560133042,
ALL,63.211003402426996,41.222971340408094,53.89294201627842,54.125117629852404,44.807056243703485,
AML,52.47925978874149,31.983723907402663,41.35415503908457,44.92108195175215,33.79597720209527,
OtherLeukemia,46.97963854749851,26.097623654389544,33.994492910741265,41.52187310125564,28.536727464498373,
Astrocytoma,53.66256508747357,31.811937829717053,42.16004857839357,46.06206163015472,34.55954512107476,
Medulloblastoma,42.68862905547978,23.47194113252031,31.562823091190854,36.58960672906752,25.463800764778586,
Other CNS,47.784833086626264,27.123533202450115,35.941341176667,42.160932251597465,30.317440341638264,
HL,57.234364209901756,29.386838606181694,39.311514109950906,46.58669860320065,28.66384850324992,
NHL,62.412991297029414,36.95226630850937,48.49689236338837,50.628265693283154,36.71216675964197,
Kidney,59.19964267690969,39.620713444577035,52.04418465897054,48.73647075644063,41.581012738501364,
NBL,57.46441471821347,39.56243574621572,51.898957524490676,46.13800145605007,40.572544262327185,
STS,57.84332953118921,34.20855692006023,45.90980118445421,47.129353706205265,35.19582535947033,
Ewings,54.32422567564575,27.670364509144804,38.78680641571247,42.877145917449866,27.33972665751648,
Osteosarcoma,62.03447295524708,32.281627742681934,44.60029898270199,49.831755428717265,32.397581456172155,
OtherBoneTumor,55.36535424887389,28.45209130224619,39.154221593250554,45.78585602070601,29.57472336508269,
AnthNone,59.02794414427673,36.416386182079655,48.059963750777065,50.49666031858878,39.521395483902225,
Anth<100,62.778325343576135,40.72386081150798,53.356795795731706,50.35417004283828,40.924245283342465,
Anth100_249,62.5040302855115,38.413305960892444,50.9847909814941,49.694911454809414,38.18247656692738,
Anth250_399,59.81127598410592,34.502022651787186,46.79203723069282,46.50276577017254,33.50385817300191,
Anth400+,58.79301684132679,32.783551563230716,44.54129442898826,45.73514335814295,31.498090118190554,
AlkNone,61.15216138345598,38.30851436766785,50.36942514841593,52.077105005297966,41.292575946866016,
Alk<4000,62.57896661632549,39.689864824892425,52.32708096534496,51.3085303583577,41.03937015994378,
Alk4000_7999,61.83572410773763,36.733187599011636,49.12021690799327,49.61278751983285,36.95551025858477,
Alk8000_11999,59.17245344878515,35.0318804267808,46.912287246138106,47.678138045374574,35.444835933376524,
Alk12000+,54.23008627476645,31.262856194582273,42.25644656403527,43.76636198774556,31.8154608539962,
CispNone,61.44603166310262,37.94127201886906,50.245059205602,51.17460306072655,39.972908780720445,
Cisp<400,50.904695955916935,29.482017371243128,39.83104534985062,40.765175884500856,29.66977837199474,
Cisp400+,51.25934035241381,28.751433042777794,38.91815110595155,40.902903104989484,28.596532972868374,
PlatNone,61.671598380285886,38.091522096074186,50.43069492991753,51.36601747953852,40.12516784481544,
Plat<400,52.06295213043629,30.066531983086254,40.71569234981877,41.5320557073213,30.198705762002344,
Plat400+,50.67252123375259,29.2858107530191,39.490773198792084,40.52655339880683,29.326074022952326,
ChestNone,64.50421661506076,41.426601327943324,54.18346465471038,54.205287629091174,43.88155576021927,
Chest<10,58.30556359190053,35.26992858596828,47.464176096239704,48.41792253582026,37.571404681519134,
Chest10_19,53.306708246842895,31.883511908083186,42.817318426212694,42.92859331014739,32.409193729336764,
