Group,LE,QALEcond,LEcond,HealthyLY,HealthyLYCond,
all,62.9149522532992,38.80199997244343,51.672478529777365,51.68896566095331,40.44649193743147,
Male,62.200018182384355,38.97112595717917,50.92736482280324,51.080378327854056,39.80772496827294,
Female,63.80108929660997,38.59237392976984,52.5960222299438,52.44328945371767,41.23822238705141,
1970s,58.91725706385977,34.76632816750898,46.6029248683676,49.25208180980747,36.93774961431519,
1980s,62.573675977340706,38.52070150841458,51.3603385806058,51.41282796168945,40.199490564954544,
1990s,65.03006392355286,40.8887844506841,54.26229479841207,53.03044059012494,42.262671464984024,
Age0-4,62.55333311203756,42.945749907004455,56.44158078589558,51.58675269463593,45.475000368494,
Age5-9,63.81310115983193,39.67746014043219,53.10062709999216,51.99446370780181,41.28198964796208,
Age10-14,63.31884410045473,34.73535591413705,47.24614100623181,51.81204123512349,35.739338140900486,
Age15-20,62.00695159174723,30.460321613830093,41.06728837786411,51.337538425838574,30.397875211955473,
brain,53.332419683962186,31.280191468310946,41.863347108790435,45.52061730621939,34.051544731047755,
bone,62.148639230531906,32.526793740095144,45.45524442237833,49.154088825668076,32.46069401751462,
sts,60.984861082906114,36.26561863078743,49.05133273617142,48.806780339194766,36.873251992459856,
solid,62.35355873164681,42.304790930174946,55.941456037795504,49.8446303283067,43.432527634455354,
leuk,67.22417632136018,43.74501505886806,57.65966353446774,56.2216430380611,46.657130251168596,
lymp,62.834390028829326,34.643791563806,46.51814598643506,50.11592714518581,33.79968310279159,
ALL,68.39871012974605,44.80503449226472,59.08064874359738,57.18945531588313,47.87139392973427,
AML,59.1177902873107,36.58998250933009,47.992685537653806,49.24929728719282,38.12419253753585,
OtherLeukemia,52.74992342994539,30.242074355496445,39.76477779318795,45.094662959361244,32.10951732260404,
Astrocytoma,56.904403139349206,33.99442103236988,45.40188663026926,48.49515919660235,36.99264268752238,
Medulloblastoma,45.28672774109409,25.324685078973335,34.16092177680519,38.7171373580856,27.59133139379668,
Other CNS,52.00185579175889,30.04079547089567,40.15836388179959,44.56203353739907,32.718541627439755,
HL,60.25647692043129,31.282794972050848,42.333626820480525,47.959827684176794,30.036977584226083,
NHL,66.68559269846281,39.66486035182313,52.76949376482164,53.336972871352216,39.420873937711,
Kidney,63.83487277378276,42.7377815059421,56.67941475584367,51.13311933463562,43.97766131669648,
NBL,60.66641420276203,41.811635758357795,55.10095700903906,48.37710412135797,42.811646927634975,
STS,60.984861082906114,36.26561863078743,49.05133273617142,48.806780339194766,36.873251992459856,
Ewings,57.460378305776715,29.658121586094452,41.92295904584336,44.9415007566796,29.40408149674625,
Osteosarcoma,65.10755367049538,34.30449934112251,47.67337969795027,51.69000074603161,34.25582677348645,
OtherBoneTumor,60.73480655160354,32.05301262931918,44.5236738959803,49.348336895935795,33.13720424031254,
AnthNone,60.867353906314776,37.63440845377577,49.891269777738145,51.41008930578146,40.43400517720489,
Anth<100,67.86302720961574,44.237593740691715,58.43746940566391,55.48456661192507,46.059008807973306,
Anth100_249,65.25603428883615,40.29703553321397,53.75034395620657,52.538537591563674,41.03284725893411,
Anth250_399,61.626830665011596,35.732439693511374,48.62046928167118,47.954643205804445,34.94828182246403,
Anth400+,60.485797297279525,33.9445323127759,46.22727430512648,47.29697411962067,33.03845112746763,
AlkNone,63.56434251133244,39.951493840786696,52.77813462137403,53.12057930062539,42.33437141066693,
Alk<4000,66.70695953953832,42.49692306021226,56.44920391427335,54.76791823018012,44.51016260491532,
Alk4000_7999,64.10386985038816,38.28287526305559,51.41787394004112,51.436883306179254,38.750887395832116,
Alk8000_11999,61.57214526691769,36.66503744099838,49.32548622832556,49.733738943408966,37.487079904816824,
Alk12000+,55.87172723800085,32.35505815511863,43.942133265413695,44.65225270288678,32.722658730299514,
CispNone,63.74172745892366,39.50403786282342,52.538586026049096,52.47620036619317,41.27305893331856,
Cisp<400,52.904852041299534,30.840519275744107,41.82735722370669,42.165464794382416,31.087969976789434,
Cisp400+,53.37630624325161,30.17355677718618,41.05021226433234,42.5987107091428,30.272616730223465,
PlatNone,63.97921629775169,39.66006023344101,52.738376849481504,52.70546659308815,41.46462714481793,
Plat<400,54.0384260864654,31.457616083764492,42.70891835178553,42.919366605578986,31.589858870899157,
Plat400+,52.66980808854479,30.657122802786194,41.45667117322071,42.08238872466367,30.869251809339474,
ChestNone,67.7295524628529,43.62664844858369,57.4061769389341,55.87441888899178,45.55104336507303,
Chest<10,60.54447243864697,36.786078925893165,49.70079873037034,49.899648527715996,39.055974819439434,
Chest10_19,56.23918053773527,33.875736002517584,45.73493523164333,44.94186030740464,34.43761500131276,
Chest20_29,58.615827622074725,33.02024759088671,44.97761131739299,46.75013262505217,33.111916320370504,
Chest30+,51.06405042071326,25.671898417545968,34.81884374062259,41.86947752811858,25.62427084802792,
HeartNone,67.6755784146812,43.57567959897232,57.346033791897284,55.8312479737904,45.501703351006405,
Heart<5,60.6417943347561,36.79285154730874,49.71304250684944,49.98278564244151,39.05403381453487,
Heart5_14,56.12768177815305,33.37584627038849,45.08431504942905,45.45968707716734,34.41632034844338,
Heart15_34,53.489731428484646,29.22982563619548,39.814299369622155,42.9591457394912,29.283713680628622,
Heart35+,52.732605131269196,24.728784060963438,33.39000806470636,42.73444031470831,23.391843248145435,
CRTNone,67.7175624464421,43.620989056406984,57.39535956841061,55.86889926938575,45.54669639135432,
CRT<20,60.545972729828236,35.20047327619893,47.697693843336154,49.01785215829894,36.16957327180694,
CRT20_29,62.314968171709374,38.90033298599101,52.133720844086945,52.22642656582432,42.045179238201875,
CRT30_49,48.2563289050788,27.91204535147638,37.656125624563124,40.24043869058125,29.640235410065436,
CRT50+,47.6522261223331,26.279144990219685,35.73907069225397,39.40982492811664,27.496669498037594,
OvaryNone,68.02606199709149,42.965649702035336,57.820939582595315,56.36778622397776,46.16266380948167,
Ovary<10,59.49578787612441,33.89045156473473,47.03682676833529,48.40706173643907,35.948100628649904,
Ovary10-19,56.14258245080225,33.04122423575809,45.54640088548354,45.386477136113015,34.79029557079423,
Ovary20+,55.793194118851,30.85166531683243,42.88157149455174,45.77676884735823,32.86514622305905,
AbdPelNone,67.72592833707188,43.6261877779267,57.4050904151499,55.871927391609475,45.551089469687724,
AbdPel<15,60.072304612214914,35.70660727107633,48.31301005650044,49.11984970973794,37.360555154023636,
AbdPel15_24,57.755331001994634,34.85381113377896,47.06354204537025,46.418192511335455,35.72640355471114,
AbdPel25_34,54.34443221206983,31.203100720386725,42.177863482508144,44.49054162703241,32.32397289747075,
AbdPel35+,50.58060974689756,26.126963445280737,35.42506802456282,41.836597412203226,26.681055689868433,
MaxRTNone,67.58548452709319,43.521576903956294,57.27254734882389,55.75237896221906,45.439441783949704,
MaxRT<20,64.79478908674767,40.55706360985517,54.677260289795704,52.87298087194317,42.75545207499122,
MaxRT20_29,62.7169578100117,37.99124099688119,51.266614354725185,51.06581700016686,39.615473544880324,
MaxRT30+,51.81595133057614,27.974433812229783,38.046706799998255,42.504542472416986,28.735297941839068,
ALL_70,62.678445760288284,39.8979112217519,53.06994037736911,53.8515364336766,44.243031050757374,
AML_70,56.80276420298988,33.53855602483888,44.35737823829881,47.83729154706388,35.39190558237286,
OtherLeukemia_70,44.61721178489826,25.350450462433525,33.23831775214042,38.90101498324547,27.522120950487636,
Astrocytoma_70,49.99228477146644,28.40782249129168,37.99630428536236,43.79309406796317,31.797113581859083,
Medulloblastoma_70,42.939620165477024,23.70314433126281,31.8632693838431,37.42221441284964,26.34586363121573,
Other CNS_70,51.25339681711445,27.704287760905455,37.0701413059553,45.241263994524104,31.058008483365008,
HL_70,53.957083068324884,26.622575119467832,35.81665923744401,44.59016198303782,26.44973815215688,
NHL_70,61.69802935039566,35.44247296557965,47.401214144279244,50.683385064195434,36.38656985807902,
Kidney_70,62.21470863310451,41.463815596609244,55.02821280055519,51.18527365817186,43.998777825622774,
NBL_70,61.57988620922758,42.24595502892754,56.07244068316923,49.98322034665756,44.47577482059937,
