Diagnosis,Treatment,70,80,90,
-1,AnthNone,0.7083909453995793,0.49347278724615246,0.35864284439460536,
-1,Anth<100,0.030672441990053013,0.11928011771997751,0.21929727925468062,
-1,Anth100_249,0.07787389356189682,0.197672364825717,0.2954758699809024,
-1,Anth250_399,0.09287957795595313,0.12782667173659853,0.08381496979053293,
-1,Anth400+,0.08092066325993603,0.05316790571706339,0.035815645420815424,
g0,AnthNone,0.9959757051289257,0.9934813613888445,0.9876213124251226,
g0,Anth<100,0.0,0.0,0.0,
g0,Anth100_249,0.002314017834788171,0.0036489653305599823,0.004135917835122208,
g0,Anth250_399,0.0017102770362859721,0.0020794511295900817,0.006626285042798113,
g0,Anth400+,0.0,0.0,0.0010733775092255384,
g1,AnthNone,0.25006746301261634,0.11081670033368254,0.03927591613492174,
g1,Anth<100,0.01594091571274568,0.025105721698515483,0.016655545918381764,
g1,Anth100_249,0.07510560089593477,0.10571438958435304,0.14280197136839554,
g1,Anth250_399,0.26848945560479826,0.4273903040705864,0.4593173021670759,
g1,Anth400+,0.34312688027676874,0.29460568797762043,0.31785239595313997,
g2,AnthNone,0.6764535551233543,0.5018662777025443,0.6815794418932424,
g2,Anth<100,0.013760502648051464,0.024754059628823533,0.02867519198625519,
g2,Anth100_249,0.07483021599796837,0.05919794385340903,0.09691528502914665,
g2,Anth250_399,0.08775339352146802,0.24946907644985988,0.12208903175048554,
g2,Anth400+,0.12556945921766796,0.1376030169833753,0.05739259357280994,
g3,AnthNone,0.7752931583323993,0.5583148594675909,0.4633093148077363,
g3,Anth<100,0.013941958542858185,0.033264402228876576,0.10296175040151324,
g3,Anth100_249,0.06301085511513999,0.21736769714249934,0.3311058914377028,
g3,Anth250_399,0.09784309742282615,0.16275687261293084,0.07953959138062708,
g3,Anth400+,0.03335239567554693,0.014225478581768435,0.009235112352019906,
g4,AnthNone,0.64989165925637,0.3709792792290517,0.17746740805054528,
g4,Anth<100,0.06962221210769576,0.26051428831683826,0.41532287933921086,
g4,Anth100_249,0.1002622331693156,0.24275325014970534,0.32796840154191,
g4,Anth250_399,0.08813563282108197,0.07470327731207067,0.04454660794262513,
g4,Anth400+,0.0736786411683929,0.03490094246574391,0.022453919144451148,
g5,AnthNone,0.7831564450781832,0.4338070963584131,0.1030731105765503,
g5,Anth<100,0.016894474368846002,0.04133564205635371,0.09923861846085315,
g5,Anth100_249,0.08750809047139269,0.326520832395696,0.6298578876172404,
g5,Anth250_399,0.06597539057152418,0.1467504256800244,0.13488329803130789,
g5,Anth400+,0.032774395613702795,0.03321525194515641,0.018668654033518046,
d0,AnthNone,0.6748039003656442,0.3962379099520167,0.17919681453864447,
d0,Anth<100,0.0716459946877869,0.27125808920291056,0.44282167641279707,
d0,Anth100_249,0.08769141898268921,0.20986125648318785,0.30964752879680707,
d0,Anth250_399,0.08390279165416983,0.0714193207929636,0.04610722460825185,
d0,Anth400+,0.06371674893034732,0.03437913177742857,0.009446906836344249,
d1,AnthNone,0.2716804465573953,0.05209002204851209,0.03775186217800224,
d1,Anth<100,0.05398587213672506,0.19320792578081186,0.18783244812451907,
d1,Anth100_249,0.2775093669553793,0.5798536639702657,0.5504876764988617,
d1,Anth250_399,0.12195947410184925,0.11459074249274898,0.03178920533885758,
d1,Anth400+,0.18465613278743828,0.014729088913206668,0.15620760021047103,
d2,AnthNone,0.6710680094811609,0.4740591296636422,0.5160864424945404,
d2,Anth<100,0.030220305831586382,0.08683452054200448,0.12919187086574305,
d2,Anth100_249,0.049479557538067986,0.22867739672380344,0.2325540969337754,
d2,Anth250_399,0.09858950481266378,0.037137951194141636,0.021528226166568267,
d2,Anth400+,0.1092644769408501,0.10018861789675522,0.05607253410322617,
d3,AnthNone,0.8794495359293195,0.544965890193037,0.09652791413195086,
d3,Anth<100,0.004709716159906258,0.029425914828027058,0.05886394037861658,
d3,Anth100_249,0.028123854985979524,0.25862208582195917,0.6704603396246769,
d3,Anth250_399,0.06591272820008437,0.14569179908776084,0.1390615834079668,
d3,Anth400+,0.017820168322555563,0.002175046814939516,0.016991079927603684,
d4,AnthNone,0.5505501994430592,0.2822067215216199,0.10817871408435456,
d4,Anth<100,0.045715233081331984,0.05573569839610516,0.14553124990961067,
d4,Anth100_249,0.2273936941598226,0.41179026334096325,0.5766429560861646,
d4,Anth250_399,0.06602496792485091,0.14493104185175723,0.12728010655104047,
d4,Anth400+,0.06814581366725238,0.07419928571578169,0.020655281558888607,
d5,AnthNone,0.9940515648183711,0.9961985824972793,0.997679002222754,
d5,Anth<100,0.0,0.0,0.0,
d5,Anth100_249,0.003420421599398464,0.0026843287173013413,0.0011623656059778205,
d5,Anth250_399,0.0025280135822303355,0.0,0.0,
d5,Anth400+,0.0,0.0,0.001158632171268178,
d6,AnthNone,1.0,0.9824723366590865,0.9599244793379806,
d6,Anth<100,0.0,0.0,0.0,
d6,Anth100_249,0.0,0.00867442430863267,0.013579696686129388,
d6,Anth250_399,0.0,0.0054350776249730585,0.0243759481608022,
d6,Anth400+,0.0,0.0,0.0,
d7,AnthNone,1.0,0.9947424825140961,0.9955244105245173,
d7,Anth<100,0.0,0.0,0.0,
d7,Anth100_249,0.0,0.0,0.0,
d7,Anth250_399,0.0,0.0052575174859038135,0.002133075207892354,
d7,Anth400+,0.0,0.0,0.0023425142675902897,
d8,AnthNone,0.6764535551233543,0.5018662777025443,0.6815794418932424,
d8,Anth<100,0.013760502648051464,0.024754059628823533,0.02867519198625519,
d8,Anth100_249,0.07483021599796837,0.05919794385340903,0.09691528502914665,
d8,Anth250_399,0.08775339352146802,0.24946907644985988,0.12208903175048554,
d8,Anth400+,0.12556945921766796,0.1376030169833753,0.05739259357280994,
d9,AnthNone,0.25354319872175285,0.04274933840607039,0.003821131135136736,
d9,Anth<100,0.007216478261989056,0.011397299140956734,0.0202954670637052,
d9,Anth100_249,0.05987664875187746,0.07055720104235544,0.12663336570396508,
d9,Anth250_399,0.3088737196973472,0.5037368698945498,0.6575860771424115,
d9,Anth400+,0.29794196079409413,0.3228245407664239,0.16093253895273849,
d10,AnthNone,0.1934116300321621,0.12207919410257553,0.056845205116801044,
d10,Anth<100,0.02194160029017431,0.030373255653090778,0.016359952430638473,
d10,Anth100_249,0.08496886556998699,0.1310234343853647,0.1351480050750523,
d10,Anth250_399,0.25620965973744614,0.38536562173193656,0.31918489278225953,
d10,Anth400+,0.38170033533056763,0.28376027674843807,0.43964508679111924,
d11,AnthNone,1.0,0.5887018377329195,0.0793084175611457,
d11,Anth<100,0.0,0.07380450457014048,0.0,
d11,Anth100_249,0.0,0.0,0.26652235803787233,
d11,Anth250_399,0.0,0.2504999978487411,0.5146309511677468,
d11,Anth400+,0.0,0.08699365984819894,0.09577403609946333,
d12,AnthNone,0.7181245797177243,0.5246642870233083,0.4838043685258789,
d12,Anth<100,0.010267307111678168,0.020319677761455518,0.07724064359881462,
d12,Anth100_249,0.09343202248359805,0.19336910044062955,0.32023995598635263,
d12,Anth250_399,0.13699921131661336,0.23228710619759826,0.10201463399913986,
d12,Anth400+,0.020323785419630525,0.013092739353580381,0.006315548672338687,
d13,AnthNone,0.8374865203581952,0.5988750721936744,0.43975332594726696,
d13,Anth<100,0.018286236688571326,0.050353483073504145,0.12834011221106517,
