Diagnosis,Treatment,70,80,90,
-1,AnthNone,0.7108945426655927,0.49556827081454474,0.3601818017343233,
-1,Anth<100,0.03186628662072006,0.12081421646891927,0.22107459890475661,
-1,Anth100_249,0.07983242761164668,0.19991301343482806,0.2973916780078682,
-1,Anth250_399,0.09471262710302107,0.12930756996824969,0.08487422418445367,
-1,Anth400+,0.08269411599902073,0.054396929313457805,0.03647769716859756,
g0,AnthNone,0.9959757051289062,0.9942167325143023,0.9881312900744155,
g0,Anth<100,0.0,0.0,0.0,
g0,Anth100_249,0.002314017834788173,0.0037038163561270397,0.004135917835122263,
g0,Anth250_399,0.0017102770362859988,0.0020794511295900804,0.0066594145812497,
g0,Anth400+,0.0,0.0,0.0010733775092255373,
g1,AnthNone,0.26026600012771944,0.11619474009906505,0.04142264638261028,
g1,Anth<100,0.016960362196775648,0.0266959121029354,0.017375159339946232,
g1,Anth100_249,0.0834279310102565,0.1130211040731161,0.1485278348239953,
g1,Anth250_399,0.28224049575626664,0.4389549674224705,0.4672793429200739,
g1,Anth400+,0.3571052109089825,0.3051332763024129,0.3253950165333743,
g2,AnthNone,0.684620248509971,0.5105843068216668,0.6884835600547189,
g2,Anth<100,0.014199819487363579,0.02614329756898568,0.029215978289396788,
g2,Anth100_249,0.07823085083166854,0.06320702104850745,0.0987206410569972,
g2,Anth250_399,0.09293755444389722,0.25658465587138063,0.1245646146000856,
g2,Anth400+,0.13001152672709937,0.14348071868945889,0.0590152059988034,
g3,AnthNone,0.7811729916956741,0.5633059461170611,0.4673726133643723,
g3,Anth<100,0.014611277127756193,0.034537273222395075,0.1060059995410849,
g3,Anth100_249,0.0666886641608714,0.2212240653273343,0.3351733717737789,
g3,Anth250_399,0.10227958075058295,0.1661284382615714,0.08181991892747663,
g3,Anth400+,0.03524748626511544,0.014804277071638198,0.009628096393287256,
g4,AnthNone,0.6550825631705343,0.37493428140190344,0.18031962770438614,
g4,Anth<100,0.07274802680845599,0.26428807587280706,0.4189707970656178,
g4,Anth100_249,0.10409919405019064,0.2473643762752392,0.3314084858429838,
g4,Anth250_399,0.09160163930260125,0.07684170398393551,0.04613981758347533,
g4,Anth400+,0.07646857666821796,0.0365715624661155,0.023161271803536356,
g5,AnthNone,0.7872166704910908,0.43885080584896674,0.10597840622946474,
g5,Anth<100,0.018294891458589025,0.04365905654420288,0.10170650725036491,
g5,Anth100_249,0.09120140692522656,0.33167316734635977,0.6345708938087601,
g5,Anth250_399,0.06831824223619307,0.15047223002828605,0.13806167986306492,
g5,Anth400+,0.034968788888900926,0.03534474023218435,0.019682512848345376,
d0,AnthNone,0.6802927822471602,0.40056416644297893,0.1824483232153086,
d0,Anth<100,0.07469708296513924,0.27519033348857913,0.44675802712621204,
d0,Anth100_249,0.09156753707373169,0.21473802817508397,0.31321063727880927,
d0,Anth250_399,0.08707447384668641,0.07347359516096871,0.047896531710103975,
d0,Anth400+,0.06636812386728215,0.036033876732390245,0.009686480669565867,
d1,AnthNone,0.28755781522323004,0.05411302476750985,0.04148618042549031,
d1,Anth<100,0.06910740873520321,0.20437585929335644,0.19667533519203179,
d1,Anth100_249,0.3036552462604707,0.5970306972593799,0.5639433872152353,
d1,Anth250_399,0.14655866864528844,0.1254066526795739,0.03380152333665489,
d1,Anth400+,0.19312086113580695,0.019073766000180098,0.16409357383058798,
d2,AnthNone,0.6964560519675145,0.5044638332576966,0.5331435473183845,
d2,Anth<100,0.03337127400350112,0.09687988576234619,0.1389102737288176,
d2,Anth100_249,0.05454988949830104,0.2531793965341974,0.24762953010448707,
d2,Anth250_399,0.10314824765403056,0.04120476812651581,0.023163674164094313,
d2,Anth400+,0.11247453687665625,0.10427211631924185,0.057152974684217046,
d3,AnthNone,0.8819050859735196,0.5516916853393872,0.10075577403093507,
d3,Anth<100,0.004920098007859793,0.031142615838441322,0.06142557379213793,
d3,Anth100_249,0.028912364271471598,0.26440000862472557,0.6766935933305714,
d3,Anth250_399,0.06623676589681977,0.1501443038372271,0.1433234604248919,
d3,Anth400+,0.018025685850325286,0.0026213863602189955,0.01780159842146331,
d4,AnthNone,0.5632489947530035,0.2895791001187053,0.11216318509789525,
d4,Anth<100,0.049930455190168845,0.060216446581022987,0.14940825161659538,
d4,Anth100_249,0.23853444693897818,0.4206655537721806,0.5846880814680593,
d4,Anth250_399,0.07324158386629685,0.15090602762109157,0.13183054046973883,
d4,Anth400+,0.07504451925155281,0.07863287190699919,0.021909941347710127,
d5,AnthNone,0.9940515648183859,0.9972609339321936,0.9976790022227534,
d5,Anth<100,0.0,0.0,0.0,
d5,Anth100_249,0.003420421599398388,0.002739066067786842,0.0011623656059778218,
d5,Anth250_399,0.0025280135822303173,0.0,0.0,
d5,Anth400+,0.0,0.0,0.0011586321712681953,
d6,AnthNone,1.0,0.9857982077083988,0.9619150427283217,
d6,Anth<100,0.0,0.0,0.0,
d6,Anth100_249,0.0,0.00876671466662997,0.013579696686129265,
d6,Anth250_399,0.0,0.00543507762497311,0.02450526058552264,
d6,Anth400+,0.0,0.0,0.0,
d7,AnthNone,1.0,0.994742482514086,0.9955244105244961,
d7,Anth<100,0.0,0.0,0.0,
d7,Anth100_249,0.0,0.0,0.0,
d7,Anth250_399,0.0,0.005257517485903873,0.0021330752078923257,
d7,Anth400+,0.0,0.0,0.00234251426759032,
d8,AnthNone,0.684620248509971,0.5105843068216668,0.6884835600547189,
d8,Anth<100,0.014199819487363579,0.02614329756898568,0.029215978289396788,
d8,Anth100_249,0.07823085083166854,0.06320702104850745,0.0987206410569972,
d8,Anth250_399,0.09293755444389722,0.25658465587138063,0.1245646146000856,
d8,Anth400+,0.13001152672709937,0.14348071868945889,0.0590152059988034,
d9,AnthNone,0.27097310281888254,0.04598725331248438,0.00532748577147771,
d9,Anth<100,0.0075494291323010354,0.012427403285055233,0.021061337079237505,
d9,Anth100_249,0.06997022043605762,0.07803665870245052,0.13192082165825042,
d9,Anth250_399,0.3303493964122644,0.5229572734466162,0.672101334687372,
d9,Anth400+,0.32115785120049384,0.34059141125339376,0.1695890208036626,
d10,AnthNone,0.20746963137895125,0.12932681458678277,0.05842007877448519,
d10,Anth<100,0.02341840178634798,0.03240083158667227,0.0166845543570774,
d10,Anth100_249,0.09639600594478653,0.14119117948543813,0.1431754626513999,
d10,Anth250_399,0.27250160040267896,0.3998524050320565,0.3303655545310947,
d10,Anth400+,0.40021436048723574,0.2972287693090492,0.4513543496859436,
d11,AnthNone,1.0,0.588701837732921,0.08957505938132092,
d11,Anth<100,0.0,0.07380450457014016,0.0037626682813713137,
d11,Anth100_249,0.0,0.0,0.28026154654672064,
d11,Anth250_399,0.0,0.25049999784874355,0.5306266896911211,
d11,Anth400+,0.0,0.08699365984819993,0.09577403609946109,
d12,AnthNone,0.7267933508114903,0.5303767111064382,0.4875807202982093,
d12,Anth<100,0.010842275188349508,0.020963663946759022,0.07797198612602897,
d12,Anth100_249,0.09813823890981492,0.197426436317413,0.3242237367354192,
d12,Anth250_399,0.14335582379852072,0.23776867148351397,0.10388191702148425,
d12,Anth400+,0.020870311291823686,0.013464517145875135,0.006341639818855614,
d13,AnthNone,0.8454621603118737,0.60677773732162,0.4473459306447593,
d13,Anth<100,0.01906709914602461,0.052456581342742864,0.13378832936835897,
d13,Anth100_249,0.0295080763329973,0.2526406943243056,0.3460247032481582,
d13,Anth250_399,0.05371806999965458,0.07155201523001492,0.05995598889998744,
d13,Anth400+,0.05224459420944908,0.016572971781315577,0.012885047838735385,
-1,AlkNone,0.5656508268135209,0.46400692596908216,0.4217869272429687,
-1,Alk<4000,0.07326934253079191,0.15926576718939775,0.22057028523130615,
-1,Alk4000_7999,0.0886476774248348,0.12807072122782173,0.1428065337738012,
-1,Alk8000_11999,0.08687372488089665,0.1127634405489467,0.10253251395889865,
-1,Alk12000+,0.1855584283499552,0.1358931450647515,0.11230373979302544,
g0,AlkNone,0.8497620573265272,0.7331721247348267,0.6699305478753401,
g0,Alk<4000,0.01579108944564945,0.03619238447464911,0.029388405148994733,
g0,Alk4000_7999,0.02655950281786723,0.03061141214120851,0.053403768546275855,
g0,Alk8000_11999,0.03973637318263995,0.07935001959032964,0.10481036123489969,
g0,Alk12000+,0.06815097722731597,0.12067405905898641,0.14246691719448865,
g1,AlkNone,0.38211220653678374,0.23174660160980434,0.185577391102667,
g1,Alk<4000,0.0640079520648303,0.11764774475028981,0.07720355338221445,
g1,Alk4000_7999,0.21456269104195905,0.2673884490052851,0.08684070661658852,
g1,Alk8000_11999,0.08525929034782365,0.11093578399935962,0.15565013280297496,
g1,Alk12000+,0.2540578600086025,0.27228142063526123,0.4947282160955557,
g2,AlkNone,0.3753661526619969,0.3453801201835292,0.18344158666260565,
