Diagnosis,Treatment,70,80,90,
-1,AnthNone,0.7132793168186544,0.4978280504815995,0.3617356640669652,
-1,Anth<100,0.03305952743735568,0.12260918842284702,0.22297652538499846,
-1,Anth100_249,0.08176868466219404,0.2022155623467409,0.2991683362367118,
-1,Anth250_399,0.09689460250962438,0.13096668335205838,0.08623058680699007,
-1,Anth400+,0.08456938628684298,0.05561569487865026,0.03718656521803326,
g0,AnthNone,0.9959757051289257,0.99427158353985,0.9881644196128542,
g0,Anth<100,0.0,0.0,0.0,
g0,Anth100_249,0.002314017834788171,0.004439187481565538,0.004135917835122208,
g0,Anth250_399,0.0017102770362859721,0.0020794511295900817,0.007169392230529678,
g0,Anth400+,0.0,0.0,0.0010733775092255386,
g1,AnthNone,0.27208984719317125,0.12259709657247013,0.045183871489944606,
g1,Anth<100,0.020676927566332378,0.029937343110490962,0.01980361228421841,
g1,Anth100_249,0.09341584223700207,0.12073433277132223,0.15540814797024669,
g1,Anth250_399,0.2969353080330191,0.44967234408570056,0.4764782559001561,
g1,Anth400+,0.3706516523636861,0.3171233516251315,0.33315515982773647,
g2,AnthNone,0.6921536171886282,0.5189163322042236,0.6949278976613027,
g2,Anth<100,0.016981515606934863,0.029999015118331335,0.03175453309150797,
g2,Anth100_249,0.08343237423175613,0.0679949334951848,0.10276773433155437,
g2,Anth250_399,0.09866190292697499,0.2639923314000086,0.13018065583728378,
g2,Anth400+,0.1358633056147129,0.15062146847749283,0.06324504287521762,
g3,AnthNone,0.786915143652999,0.5680344062524675,0.4717716992949933,
g3,Anth<100,0.017217026402756,0.03669865733312944,0.1090032773548327,
g3,Anth100_249,0.07125202682058,0.22538955475151273,0.3393306625873051,
g3,Anth250_399,0.10686166531243142,0.17001296503916313,0.08406592445471564,
g3,Anth400+,0.038829796273287046,0.015958102691784052,0.010597671179814024,
g4,AnthNone,0.6597743515641683,0.3793752075465155,0.18337794532849022,
g4,Anth<100,0.0762526456107694,0.2685151750262933,0.422924147532643,
g4,Anth100_249,0.10847217476867552,0.25194569058390415,0.3349201587405161,
g4,Anth250_399,0.09548590506976921,0.07962633791871285,0.048675089132007965,
g4,Anth400+,0.0795051439268314,0.038806949722186034,0.024254010842378524,
g5,AnthNone,0.7915463433645127,0.4437906169221945,0.10925520229070326,
g5,Anth<100,0.020547207878948266,0.0463663568084166,0.1043925221335372,
g5,Anth100_249,0.09504177061132234,0.33722006501319735,0.6390754842594284,
g5,Anth250_399,0.0712129903828364,0.15457650377986498,0.14179842094984016,
g5,Anth400+,0.03738895703375295,0.038016284799111205,0.021255909632071388,
d0,AnthNone,0.6852418621250451,0.40535789754021684,0.18572238207526837,
d0,Anth<100,0.07826393529545692,0.2796137329386495,0.4509162555570403,
d0,Anth100_249,0.09561785978442142,0.21943733398092144,0.3168952174436978,
d0,Anth250_399,0.09063841345619413,0.0762583223019022,0.050692188765674245,
d0,Anth400+,0.06973876065118853,0.03828988955280953,0.01053989755923062,
d1,AnthNone,0.3080162926639943,0.059436143173110245,0.04820933017865173,
d1,Anth<100,0.09044641351624433,0.21659518566419486,0.20903107452272096,
d1,Anth100_249,0.33310546820697745,0.6118058552255842,0.5761128734578193,
d1,Anth250_399,0.17417085350370923,0.13704842434834133,0.03896001925227582,
d1,Anth400+,0.21186895228500488,0.02704796806345232,0.17336973823927343,
d2,AnthNone,0.7124461548768318,0.5336787764296994,0.5524105360981542,
d2,Anth<100,0.053884832731867435,0.11853690887114202,0.1526604466317039,
d2,Anth100_249,0.07314408443834905,0.27985507646724467,0.2630801161931734,
d2,Anth250_399,0.12225403171294484,0.058486278118165404,0.02977096199910111,
d2,Anth400+,0.13292900384113115,0.11367135511035095,0.06431526993575902,
d3,AnthNone,0.8834335323314743,0.5583190431392366,0.10530627704966847,
d3,Anth<100,0.005925796205880459,0.03423687385388649,0.06478257577581992,
d3,Anth100_249,0.030898015871108783,0.2713877361522327,0.6825804543353675,
d3,Anth250_399,0.06712880824605859,0.15488638394139004,0.1482364010532271,
d3,Anth400+,0.019036248368529768,0.004576395011797906,0.02031206560562387,
d4,AnthNone,0.5763702838831024,0.2982447751658661,0.116864839632667,
d4,Anth<100,0.05622108706176053,0.06558096350112864,0.15482696140373645,
d4,Anth100_249,0.25154882387313066,0.42989980912755743,0.5916177016345535,
d4,Anth250_399,0.0831678025640076,0.15817138122536434,0.13695666640168694,
d4,Anth400+,0.08307004014106982,0.08433054068737295,0.024581658673164555,
d5,AnthNone,0.9940515648183711,0.9973156712826986,0.997679002222754,
d5,Anth<100,0.0,0.0,0.0,
d5,Anth100_249,0.003420421599398464,0.00380141750272061,0.0011623656059778205,
d5,Anth250_399,0.0025280135822303355,0.0,0.0,
d5,Anth400+,0.0,0.0,0.001158632171268178,
d6,AnthNone,1.0,0.9858904980663944,0.9620443551530683,
d6,Anth<100,0.0,0.0,0.0,
d6,Anth100_249,0.0,0.012092585715940483,0.013579696686129388,
d6,Anth250_399,0.0,0.0054350776249730585,0.026495823975889895,
d6,Anth400+,0.0,0.0,0.0,
