Group,Outcome,prop_0,prop_1,prop_2,prop_3,prop_4,prop_5,prop_6,prop_7,prop_8,prop_9,prop_10,prop_11,prop_12,prop_13,prop_14,prop_15,prop_16,prop_17,prop_18,prop_19,prop_20,prop_21,prop_22,prop_23,prop_24,prop_25,prop_26,prop_27,prop_28,prop_29,prop_30,prop_31,prop_32,prop_33,prop_34,prop_35,prop_36,prop_37,prop_38,prop_39,prop_40,prop_41,prop_42,prop_43,prop_44,prop_45,prop_46,prop_47,prop_48,prop_49,prop_50,prop_51,prop_52,prop_53,prop_54,prop_55,prop_56,prop_57,prop_58,prop_59,prop_60,prop_61,prop_62,prop_63,prop_64,prop_65,prop_66,prop_67,prop_68,prop_69,prop_70,prop_71,prop_72,prop_73,prop_74,prop_75,prop_76,prop_77,prop_78,prop_79,prop_80,prop_81,prop_82,prop_83,prop_84,prop_85,prop_86,prop_87,prop_88,prop_89,prop_90,prop_91,prop_92,prop_93,prop_94,prop_95,prop_96,prop_97,prop_98,prop_99,
all,AnyCHC,0.0,26.614,35.389,40.262,43.207,45.403,47.223,48.816,50.116,51.175,52.099,52.966,53.754,54.492,55.195,55.87,56.575,57.182,57.838,58.433,59.019,59.604,60.115,60.69,61.17,61.703,62.173,62.675,63.113,63.607,63.994,64.483,64.872,65.313,65.762,66.076,66.552,66.917,67.234,67.716,67.984,68.337,68.785,69.017,69.36,69.748,70.022,70.28,70.622,70.985,71.169,71.457,71.847,72.091,72.262,72.617,72.953,73.155,73.37,73.727,74.03,74.206,74.466,74.814,75.092,75.299,75.586,75.928,76.182,76.445,76.754,77.038,77.351,77.64,77.945,78.3,78.594,78.879,79.266,79.591,79.874,80.299,80.622,80.937,81.419,81.72,82.136,82.6,82.984,83.513,83.891,84.406,84.863,85.5,86.153,86.951,87.929,88.993,90.412,92.615,
all,Death,0.0,26.77,36.105,42.527,46.928,50.376,52.984,55.12,56.969,58.644,60.086,61.41,62.555,63.613,64.546,65.448,66.282,67.076,67.847,68.595,69.207,69.835,70.392,70.921,71.43,71.918,72.363,72.848,73.226,73.702,74.05,74.481,74.892,75.225,75.65,75.972,76.337,76.723,77.013,77.422,77.758,78.037,78.379,78.697,78.964,79.257,79.55,79.832,80.056,80.355,80.587,80.864,81.079,81.384,81.577,81.835,82.05,82.346,82.539,82.776,82.997,83.271,83.458,83.614,83.786,83.974,84.212,84.441,84.567,84.75,84.975,85.201,85.451,85.599,85.859,86.13,86.396,86.602,86.908,87.208,87.485,87.775,88.151,88.494,88.816,89.281,89.676,90.117,90.633,91.158,91.744,92.432,93.117,93.956,94.926,95.967,97.107,98.229,98.627,98.627,
Male,AnyCHC,0.0,23.849,31.818,37.947,41.897,44.611,46.741,48.538,49.967,51.127,52.093,52.98,53.785,54.505,55.227,55.931,56.587,57.217,57.841,58.447,59.013,59.566,60.097,60.636,61.133,61.622,62.093,62.538,63.023,63.405,63.884,64.255,64.67,65.066,65.426,65.828,66.183,66.54,66.906,67.247,67.58,67.898,68.233,68.55,68.834,69.139,69.481,69.719,69.964,70.325,70.595,70.828,71.081,71.393,71.651,71.892,72.152,72.425,72.684,72.937,73.178,73.452,73.731,73.969,74.226,74.503,74.772,75.044,75.302,75.606,75.849,76.162,76.482,76.742,77.022,77.397,77.694,77.976,78.383,78.693,79.017,79.432,79.741,80.179,80.534,80.943,81.419,81.812,82.355,82.789,83.343,83.884,84.423,85.099,85.795,86.673,87.667,88.778,90.252,92.514,
Male,Death,0.0,23.957,32.104,38.694,43.556,47.347,50.435,52.85,54.864,56.609,58.198,59.614,60.878,62.035,63.083,64.067,64.988,65.877,66.741,67.56,68.315,68.986,69.652,70.214,70.772,71.297,71.772,72.251,72.706,73.141,73.584,73.982,74.394,74.77,75.174,75.551,75.887,76.327,76.619,76.977,77.375,77.653,78.017,78.366,78.626,78.943,79.291,79.518,79.789,80.162,80.405,80.597,80.901,81.233,81.444,81.627,81.941,82.262,82.464,82.638,82.948,83.229,83.448,83.586,83.781,84.014,84.256,84.476,84.655,84.873,85.097,85.369,85.604,85.826,86.062,86.363,86.654,86.905,87.194,87.564,87.856,88.18,88.586,88.94,89.341,89.823,90.221,90.786,91.278,91.899,92.511,93.258,94.047,94.92,95.879,96.9,97.879,98.407,98.586,98.586,
Female,AnyCHC,0.0,32.691,38.962,42.193,44.434,46.243,47.754,49.081,50.217,51.194,52.119,52.958,53.735,54.516,55.214,55.912,56.609,57.224,57.896,58.499,59.108,59.669,60.27,60.795,61.346,61.853,62.381,62.862,63.383,63.85,64.317,64.793,65.268,65.708,66.165,66.592,67.038,67.46,67.865,68.258,68.691,69.042,69.412,69.833,70.129,70.49,70.86,71.147,71.492,71.798,72.093,72.397,72.73,72.968,73.274,73.57,73.863,74.123,74.398,74.706,74.97,75.246,75.491,75.823,76.094,76.345,76.625,76.938,77.219,77.48,77.783,78.096,78.393,78.669,78.969,79.289,79.586,79.865,80.179,80.531,80.793,81.102,81.494,81.802,82.121,82.54,82.895,83.226,83.708,84.006,84.367,84.892,85.234,85.92,86.472,87.193,88.146,89.179,90.523,92.701,
Female,Death,0.0,33.142,42.111,47.344,51.045,53.801,56.035,57.978,59.676,61.098,62.331,63.398,64.379,65.274,66.12,66.928,67.668,68.356,69.024,69.62,70.182,70.722,71.215,71.722,72.164,72.622,73.078,73.496,73.91,74.286,74.706,75.063,75.443,75.82,76.168,76.522,76.896,77.212,77.54,77.898,78.187,78.477,78.798,79.079,79.331,79.604,79.884,80.119,80.349,80.609,80.847,81.073,81.292,81.522,81.739,81.986,82.191,82.425,82.63,82.846,83.07,83.278,83.436,83.598,83.798,83.987,84.133,84.276,84.496,84.669,84.881,85.042,85.177,85.437,85.669,85.91,86.067,86.287,86.598,86.871,87.069,87.359,87.694,87.979,88.291,88.682,89.022,89.449,89.858,90.329,90.862,91.438,92.066,92.799,93.645,94.621,95.695,96.967,98.296,98.303,
1970s,AnyCHC,0.0,25.354,33.942,39.266,42.486,44.793,46.665,48.273,49.623,50.744,51.726,52.62,53.385,54.155,54.853,55.555,56.231,56.883,57.498,58.111,58.719,59.273,59.827,60.384,60.89,61.41,61.881,62.383,62.818,63.316,63.733,64.202,64.624,65.032,65.484,65.841,66.262,66.671,67.031,67.429,67.8,68.134,68.5,68.869,69.159,69.496,69.859,70.138,70.43,70.79,71.073,71.307,71.64,71.979,72.178,72.46,72.793,73.076,73.282,73.573,73.893,74.157,74.379,74.696,75.003,75.244,75.504,75.815,76.121,76.372,76.665,76.985,77.303,77.578,77.903,78.246,78.549,78.852,79.249,79.572,79.872,80.287,80.627,80.951,81.419,81.746,82.19,82.641,83.064,83.574,83.973,84.492,84.978,85.628,86.332,87.153,88.13,89.231,90.689,92.951,
1970s,Death,0.0,25.447,34.409,41.034,45.584,49.12,51.898,54.065,55.95,57.61,59.082,60.428,61.585,62.638,63.605,64.505,65.38,66.177,66.977,67.695,68.399,69.065,69.666,70.219,70.773,71.287,71.767,72.229,72.709,73.142,73.579,73.975,74.384,74.781,75.163,75.539,75.936,76.279,76.644,77.012,77.352,77.719,78.046,78.368,78.716,78.991,79.281,79.611,79.864,80.145,80.437,80.706,80.945,81.208,81.497,81.734,81.968,82.231,82.515,82.727,82.97,83.221,83.483,83.672,83.85,84.007,84.212,84.448,84.687,84.863,85.033,85.279,85.564,85.785,85.982,86.249,86.541,86.837,87.083,87.392,87.736,88.059,88.38,88.78,89.155,89.564,90.011,90.465,90.991,91.546,92.139,92.831,93.604,94.462,95.403,96.455,97.618,98.445,98.564,98.564,
1980s,AnyCHC,0.0,26.408,35.165,40.116,43.121,45.339,47.146,48.756,50.03,51.11,52.054,52.903,53.699,54.453,55.15,55.851,56.518,57.151,57.807,58.382,59.01,59.569,60.112,60.65,61.151,61.656,62.144,62.611,63.101,63.548,63.988,64.437,64.854,65.265,65.705,66.089,66.506,66.893,67.229,67.669,67.991,68.321,68.729,69.024,69.333,69.705,70.003,70.277,70.602,70.938,71.172,71.437,71.814,72.08,72.278,72.585,72.925,73.151,73.361,73.712,74.01,74.214,74.474,74.806,75.078,75.296,75.587,75.902,76.17,76.433,76.744,77.035,77.339,77.642,77.949,78.283,78.596,78.905,79.286,79.582,79.896,80.294,80.629,80.956,81.41,81.744,82.152,82.615,83.004,83.539,83.909,84.43,84.893,85.521,86.178,87.001,87.961,89.05,90.422,92.671,
1980s,Death,0.0,26.564,35.822,42.28,46.772,50.205,52.848,55.01,56.843,58.512,60.001,61.267,62.407,63.455,64.43,65.32,66.139,66.947,67.741,68.478,69.101,69.735,70.305,70.843,71.357,71.833,72.303,72.765,73.179,73.627,74.017,74.415,74.824,75.176,75.591,75.932,76.284,76.674,76.987,77.319,77.714,77.999,78.314,78.675,78.948,79.198,79.519,79.811,80.042,80.312,80.598,80.84,81.064,81.343,81.601,81.814,82.047,82.311,82.562,82.775,82.992,83.255,83.469,83.636,83.785,83.991,84.218,84.435,84.583,84.768,85.003,85.218,85.469,85.622,85.875,86.163,86.403,86.636,86.93,87.243,87.51,87.832,88.191,88.533,88.892,89.325,89.702,90.181,90.671,91.231,91.784,92.489,93.195,94.033,94.989,96.031,97.145,98.237,98.59,98.59,
