Group,Outcome,age_0,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,age_11,age_12,age_13,age_14,age_15,age_16,age_17,age_18,age_19,age_20,age_21,age_22,age_23,age_24,age_25,age_26,age_27,age_28,age_29,age_30,age_31,age_32,age_33,age_34,age_35,age_36,age_37,age_38,age_39,age_40,age_41,age_42,age_43,age_44,age_45,age_46,age_47,age_48,age_49,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89,age_90,age_91,age_92,age_93,age_94,age_95,age_96,age_97,age_98,age_99,
all,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,5.999918586542746,6.9997527532597426,7.9994931306228665,8.999136837731347,9.998616549186975,10.997916345256987,11.997085936870963,12.99599656478347,13.994552401110443,14.99297918091998,15.990741813676854,16.98816195329163,17.984724579924173,18.980926202186804,19.97629984581973,20.97069482487663,21.96434640547505,22.957030167233185,23.948651116691483,24.939139058819528,25.928857111271537,26.91704006703464,27.90397304003407,28.889927307355595,29.87498919145092,30.85885127597901,31.84192670322867,32.823043240312366,33.80290470169533,34.78137198117148,35.75843687668041,36.733631729197555,37.70690915606168,38.67770744274481,39.645943414537435,40.61163246452025,41.57476935214437,42.533031858831535,43.48811606436793,44.43763792337069,45.382365918123156,46.32021207888729,47.252361088726836,48.17766110690637,49.096986581671146,50.00624463396198,50.90552418700714,51.7935756284323,52.663987932989386,53.52494446201477,54.37360072393701,55.2030326657645,56.01080532499073,56.80595894085347,57.57662448142659,58.3283299157843,59.05199581466123,59.751788990411136,60.437880617015885,61.105516655125626,61.74961883724926,62.36256051400914,62.94413077661256,63.498042573672286,64.0227307382419,64.51887370017593,64.98716658795891,65.4250835706724,65.82999530326413,66.20147239235953,66.54206616921046,66.84984191883505,67.11903846765763,67.36610884156917,67.5854488603702,67.77598595375245,67.93893632932199,68.07990607511871,68.20016150659177,68.30141573002476,68.37928245499207,68.44166533497324,68.49072688151774,68.52835470673133,68.55740580280724,68.5792032823558,68.5957845318414,68.607575750738,68.61659593495662,68.62326432886286,68.62770817241822,68.630547663016,68.63250087826866,68.6338665809629,68.63467169594354,
Male,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,5.999860625828599,6.999668216977729,7.9993288215839815,8.998811725028848,9.998078759908013,10.997180308080301,11.996116008444123,12.994747263169987,13.992862198240454,14.990385877285942,15.987423018296882,16.9836680457382,17.979103317153214,18.973527703785642,19.967030212443966,20.959465119868078,21.95050750423345,22.9403149353639,23.928206750875876,24.915181785781073,25.89999787864285,26.88340797263408,27.865237126846154,28.844750977054264,29.82305412915294,30.800476066454678,31.777763753574437,32.75301336962439,33.7258439442288,34.69634936220433,35.66714979871526,36.636154690012006,37.59911183132241,38.56051680684835,39.52192804105192,40.480420011995285,41.43459777823706,42.38233214184725,43.327345563242226,44.269107175134195,45.204457771088656,46.135379925625095,47.06461640979817,47.98737195795206,48.90304225697065,49.80913431682085,50.70694756975299,51.58959176251817,52.4610369590861,53.31840869232626,54.15810808542471,54.981732972697024,55.782374051171644,56.56506233991008,57.33440365105368,58.076099396177575,58.798959051921514,59.513519243285245,60.19124576204422,60.84825205122055,61.47931599242567,62.09397133942558,62.68371257212714,63.21852304432166,63.73172037985177,64.20952815709167,64.65239922195124,65.05811173554315,65.42596723890743,65.75987255013999,66.06144053867037,66.32598712296719,66.56220099043077,66.75977401478666,66.93593301670951,67.09711752060225,67.22780292804859,67.33255168293957,67.42987172930893,67.50284813095173,67.55424723035044,67.59849056763306,67.64163922542201,67.66787111510925,67.69182635365983,67.71076554857271,67.72224223524609,67.7272958279414,67.73294582364984,67.73745249412303,67.74004401203837,67.74165342513707,67.74240315931569,67.74300700826362,67.74348614171792,
Female,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,5.999890303045014,6.999668837343515,7.999365449151384,8.998957702636604,9.998337498097412,10.997661884112533,11.996873989073036,12.995823132986187,13.994661925928018,14.993125288044526,15.991346986631955,16.989487460186947,17.987081964560524,18.984182256041773,19.981016760386236,20.97736815742801,21.9732556817289,22.968493442431896,23.96309762456505,24.957110294751132,25.95071792491318,26.943707475057266,27.936073178092453,28.927623798093375,29.918430303255157,30.908053776681424,31.897701905964507,32.885541854165,33.872711872146986,34.85781846005757,35.84022106271075,36.820911306408405,37.80154042490784,38.78014560553563,39.75384253254232,40.72422896648164,41.694157846802675,42.65887150930254,43.621137360558265,44.57465422285895,45.5229629989791,46.46648350292687,47.401657975311764,48.3282156399771,49.243222030770646,50.14420592815512,51.036111395599924,51.921252140569734,52.779533966485786,53.63525362997813,54.469597542003434,55.28620704598957,56.07138467153226,56.85790024717119,57.60322039853128,58.34558239074953,59.09030071596661,59.79152066209977,60.486896129784505,61.12808097509891,61.76175319941253,62.3768425776103,62.957694461385344,63.51194925918512,64.03379224719826,64.52260723101719,64.98342336028817,65.41653812529388,65.81995492504628,66.19079582620483,66.52931825881252,66.83263027240417,67.10548993572093,67.34710892920533,67.56192058146827,67.77302198798094,67.9318421416398,68.09363859189786,68.20883783877547,68.30458748985129,68.38123250090268,68.43679407660184,68.48101369265957,68.5174257645763,68.5436904784748,68.56250066040776,68.57581854890428,68.58520063836953,68.59177261962031,68.59738902635371,68.60141971755628,68.60386373639165,68.60544478246825,68.60663173586514,68.60767458305672,
1970s,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,5.999785810341248,6.999497284415893,7.999055101254374,8.99848416588387,9.997705466292134,10.99668560391815,11.995447436848417,12.994080446779968,13.992064703057995,14.98999051948341,15.987437415658576,16.984234936885716,17.980034933775826,18.97525249680014,19.97003779602103,20.963288201254368,21.955216807066776,22.94618689629306,23.93620697502418,24.92471870524944,25.91176425891287,26.898329469762214,27.883360841937616,28.867699984668906,29.850009119285552,30.831073062894262,31.81101543201465,32.78897835045626,33.765716265982,34.74086011785636,35.71480831848015,36.68747222532596,37.65510904226475,38.622553130101515,39.588236179088405,40.5509940531347,41.511466702336,42.46525142097367,43.4152451630707,44.3617120252665,45.303342353161234,46.23807685020061,47.164925317841735,48.08521910118962,48.99818583536831,49.902976750759066,50.79636227638511,51.679935030320316,52.55095267925953,53.405589069572066,54.24773580032444,55.06166334041175,55.864309549374376,56.650226983499856,57.4251289290722,58.17341158278339,58.90777444321071,59.61467820051822,60.29684172290029,60.96507563642149,61.58317789916808,62.1803391460442,62.75680857379693,63.29674873175082,63.81979249448185,64.32154670974967,64.77215487873022,65.18840715049356,65.57359821910492,65.92828861580423,66.2537083206038,66.56362015249107,66.84175708372373,67.09135052546328,67.31578402370786,67.51658418192106,67.69030169127927,67.84086275301615,67.95606961736503,68.04160078589749,68.10981693595694,68.16290221766045,68.2037041613032,68.2346479661118,68.25804967163477,68.27607103928295,68.28995140841836,68.30011059484968,68.30750141791457,68.31338903480122,68.31785075648811,68.3214794768172,68.32339968190848,68.32461949765076,68.32537359822184,
1980s,CumHealthyLY,1.0,2.0,3.0000000000000004,4.0,5.0,5.999857404698898,6.999562233131379,7.999172236819564,8.99858191262992,9.99784362979368,10.996737636970431,11.995709916411906,12.994282290418745,13.992653220360975,14.99042019493726,15.987878076361296,16.984924426285225,17.98113546474269,18.977019790485922,19.971891259612846,20.966121063243804,21.958724147002854,22.950264960687477,23.94106557407303,24.930596634082278,25.919364296706924,26.907267746398297,27.89423566771584,28.87999885011058,29.864166627549107,30.847178656052634,31.828820936966686,32.80982756032625,33.7893436020434,34.76694071459144,35.7427687792815,36.71717990994529,37.68982187522045,38.65842154750132,39.62745964745088,40.592406835829635,41.55393940602509,42.51094203636393,43.46629901962819,44.412703081727216,45.35675941497228,46.29462105372405,47.22486358098345,48.150666983331384,49.06589996025734,49.972977768776786,50.87095012430756,51.75595818748153,52.62767466478282,53.488286134633164,54.32404747628148,55.154310648460566,55.96305642523685,56.75636683931465,57.523649695022996,58.27933193849658,59.00293983134109,59.70889096708674,60.39513835324279,61.05399582632542,61.677095821210095,62.291137471180214,62.88261822272292,63.446472200979365,63.974537170394605,64.46843551683865,64.9317263420423,65.36047150581112,65.75702714505964,66.11739196832391,66.4476740892681,66.74710225167284,67.01567890843248,67.26067366679611,67.4784300241132,67.66908827271546,67.83673730871318,67.97511512363712,68.08403652508639,68.17710320935565,68.25636136511183,68.3172773397033,68.36403498768891,68.40103005361519,68.42969104514323,68.45051610818284,68.4665767033725,68.47909544246185,68.48744703098465,68.49330915127769,68.49652120906909,68.49873796992904,68.50042398418576,68.50145889150984,68.5021898377666,
1990s,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,5.999898044458635,6.999672717367215,7.999366017317699,8.998895850556098,9.998272696064022,10.99743558912856,11.99636202895672,12.995169888862943,13.99356248785081,14.991679751730034,15.989539257591321,16.986720623758394,17.983375132341713,18.97923060006898,19.97431999783854,20.96889684142711,21.962269114816365,22.955041134578273,23.946850563865357,24.937593466588684,25.926497099741038,26.915281983212285,27.903270067563337,28.890043095899504,29.875483512973297,30.859987197906726,31.84255835663115,32.82513604834127,33.80548379884929,34.784332774359136,35.761216099320954,36.73635246004569,37.7095147985855,38.680881620865414,39.650314673367944,40.61755129139747,41.581344121964115,42.537757509295105,43.493046071837654,44.446022843312946,45.392096046586886,46.33325863465134,47.26879615060139,48.19605532779283,49.11253581404499,50.02142917997356,50.922642926795454,51.814850496089896,52.69067980412097,53.55608420095669,54.40754910439574,55.24119501880777,56.04776707905859,56.841657882642714,57.61688520576293,58.3729085674375,59.108278756986756,59.819507113458364,60.50341083531889,61.15937044341468,61.809115266109906,62.42088380646013,62.995372183735185,63.54089819192768,64.08010156737508,64.57146875390731,65.04650823646033,65.4887408921848,65.89824335682005,66.27610988295419,66.62034493450955,66.93119218837734,67.20467020748697,67.44793499268009,67.66531511663123,67.85334106617587,68.01659858357748,68.1559986988865,68.27184054994284,68.36932862486842,68.44586691948474,68.50374320619339,68.53827425018369,68.56211106195175,68.58999901955842,68.61203717588185,68.62708600084184,68.63750395110516,68.64477769244198,68.65037612423252,68.65425319671786,68.65652478850734,68.6579458807664,68.6586006924297,68.6586790361734,
Age0-4,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,5.999810335278905,6.999424002055505,7.998819172624675,8.99798913550087,9.996777046185583,10.995221014644615,11.993236127603554,12.991086586983851,13.988311001687887,14.985026366191079,15.981321433189093,16.976950279154867,17.97216548054564,18.965882675375322,19.959463828825935,20.95204824970625,21.94378661426816,22.934456201785412,23.92257071766787,24.910593043697553,25.89760214278584,26.884423412319954,27.870995547197126,28.855638454794143,29.83831089143335,30.821614512880583,31.802842736590623,32.782087563342046,33.75940684460544,34.73478490201511,35.709569880455916,36.683199741095386,37.65631752557994,38.62518083855488,39.592863964227234,40.55721154926338,41.520203613138364,42.47893231828651,43.4305854688667,44.37726283735543,45.31857975293465,46.25473288202927,47.186807308503354,48.11219347601111,49.03200241685519,49.9402924551575,50.83926690866863,51.72506285707417,52.600820242810144,53.45486241557529,54.29982828607725,55.129976617262585,55.94156718813489,56.73412812517444,57.507280500622265,58.25705370530984,58.99006249125531,59.692960139874835,60.373614743462184,61.01925760316187,61.67299121348787,62.284984526965154,62.873663593900396,63.440613178018346,63.96996575943029,64.47231676185193,64.94669572672224,65.38466976185394,65.78678767031224,66.15930064246882,66.50374003750798,66.81417103490178,67.08985884304012,67.3367009765539,67.54536316233197,67.72770087229799,67.88646755166023,68.01841630785397,68.13064245586914,68.22153694701832,68.29756907017465,68.36303865605419,68.41300821909071,68.45103677138746,68.4695235854949,68.48246768268046,68.49233399435657,68.49803577037171,68.50228657610775,68.5045298382811,68.50613486018445,68.50676952904747,68.50695094445649,68.50705381252526,68.50715668059401,
Age5-9,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,6.0,7.000000000000001,8.0,9.0,10.0,10.999571895740182,11.99887623118186,12.997775728047305,13.996100131588257,14.993938367648544,15.99082437634453,16.986368684460267,17.981329758356893,18.97555378589604,19.968657116574892,20.960876615596373,21.951885382037037,22.942099059443713,23.931663554569166,24.919448347818342,25.905962963603656,26.891100640237713,27.87433165732776,28.85778801964121,29.839807144023588,30.820104224251434,31.800250007693244,32.778017183277214,33.75546751507706,34.73068114919572,35.704404691593965,36.676692677500014,37.648264269039174,38.61476363922933,39.578769588460574,40.54150295543958,41.49972751920666,42.457074541725,43.408472484517574,44.35792151369393,45.30274744833688,46.23952811142789,47.17269469383825,48.092471354142134,49.00373821573872,49.91002129611732,50.80648399510624,51.6944336987558,52.570473459138036,53.429495421674964,54.27447077754248,55.10253414139503,55.90919228817981,56.70726126211456,57.473827503274634,58.21534117374837,58.948901167203026,59.66886418018776,60.35711885592217,61.014103864466506,61.65705788361717,62.262382201038,62.83768935258237,63.38536736977914,63.90673372858435,64.40515076767726,64.8633136443596,65.29152272728278,65.69160145847334,66.06510336281134,66.39710693044987,66.69994765450306,66.96553554894241,67.19920197998145,67.40346904043244,67.58113746705882,67.736776339926,67.86868738947295,67.98132063887785,68.07223488696567,68.14526898076404,68.20262838766787,68.24391407443757,68.28016035793726,68.3071455744492,68.3261998943845,68.34143715449747,68.35250149490952,68.36117393240397,68.36731769194714,68.36896066904829,68.37043618365107,68.37186230669336,68.37327655368112,68.3743827188033,
Age10-14,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,6.0,6.999999999999999,7.999999999999999,9.0,10.0,11.0,12.000000000000002,13.000000000000002,14.000000000000004,15.000000000000004,15.99936999998899,16.998347659907537,17.996785556386328,18.994258701480863,19.990676047421065,20.98610951920938,21.980341941590783,22.97314423780318,23.96492990083126,24.9553015426715,25.944435169354925,26.932608237502304,27.91962174917897,28.905968354091584,29.89132718450614,30.875082446307253,31.857556686995622,32.83761771810444,33.81709776226677,34.79392238580531,35.77136494179496,36.74575590456763,37.7190231525809,38.688816421573286,39.65721314458332,40.62153946940472,41.58306023484187,42.53962363422657,43.492230578356505,44.44086475319229,45.384236976131284,46.32206762204848,47.25316667648939,48.17774050205606,49.094444267006395,50.00054951109218,50.89700617705606,51.78165124342016,52.65534944855166,53.51489099683127,54.35790834851329,55.18586189257505,55.996078787494305,56.78512345434143,57.5590577397727,58.31056815316031,59.04188475507624,59.748808878388225,60.44236641352114,61.108713560853516,61.741086019609,62.36078086491707,62.94378576683146,63.50961225675164,64.02324904106311,64.52179660972229,64.98264854256922,65.40646080568253,65.8059062611171,66.17615356863661,66.51256134044395,66.81711889191835,67.09579277581157,67.34936197824031,67.56088445413882,67.73957821231991,67.89400697213765,68.02894888225687,68.14468041788462,68.23702843089633,68.30817527122531,68.36477452859175,68.41147202493991,68.44861443305773,68.47738678180838,68.49839682691709,68.51359844883504,68.52626975140947,68.53242980612977,68.53883239238091,68.54296524306633,68.54607372930863,68.54862541472609,68.55009896857811,68.55064104207239,
Age15-20,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,6.0,7.000000000000001,8.0,9.0,9.999999999999998,10.999999999999998,11.999999999999998,12.999999999999996,13.999999999999996,14.999999999999995,15.999999999999995,16.999999999999993,17.999999999999993,18.999999999999993,19.999999999999993,20.99915970677122,21.99750184253895,22.99499354987432,23.99118170063247,24.9862366653405,25.98035169081443,26.9727100665531,27.963899440891257,28.9539951572385,29.942645035669578,30.93001589945807,31.915651969289026,32.90041886205773,33.88267104381458,34.86462524596595,35.84480360825753,36.82292923107741,37.79705407293315,38.77092302304022,39.74170706476822,40.70867349071403,41.673879964800875,42.63549462507911,43.58997202131568,44.540991506347986,45.48588110858111,46.42591831009869,47.35834949879824,48.284679307891906,49.200791428875284,50.11119399824608,51.01217810434462,51.89836055819071,52.77233012274539,53.63270414655501,54.475620376234254,55.30599295928175,56.11351466033909,56.90353296350749,57.67055381145045,58.43202071139219,59.15649860480169,59.8705177839577,60.561255101234,61.21836665762553,61.847453448524895,62.43107137788765,63.002205737853195,63.551277354716404,64.07184936716833,64.55538780027322,65.00837059057474,65.44066230591501,65.85008573628512,66.22658068978465,66.55870489743474,66.85239318055483,67.11758531081486,67.35157463360692,67.55679800584862,67.73391208160109,67.88460918403393,68.02592584004364,68.13829395558332,68.23707418773995,68.3144057304862,68.37490158109598,68.41723932850368,68.44588090903719,68.46624475887941,68.4818672103808,68.49442509168443,68.50339525848626,68.51133195955471,68.51771840269058,68.52287121091835,68.52669865617735,68.5287627874115,68.52994366570611,68.53091755038321,
