Group,Outcome,age_0,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,age_11,age_12,age_13,age_14,age_15,age_16,age_17,age_18,age_19,age_20,age_21,age_22,age_23,age_24,age_25,age_26,age_27,age_28,age_29,age_30,age_31,age_32,age_33,age_34,age_35,age_36,age_37,age_38,age_39,age_40,age_41,age_42,age_43,age_44,age_45,age_46,age_47,age_48,age_49,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89,age_90,age_91,age_92,age_93,age_94,age_95,age_96,age_97,age_98,age_99,
all,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,5.999982068607358,6.999929292292139,7.9998227500098515,8.999641701659074,9.999368337431854,10.998989463927668,11.998488594151064,12.997838486604003,13.996964824998638,14.99580145120894,15.994276875786127,16.992317325126876,17.989856339680404,18.98681621933204,19.98309878151545,20.978606274163756,21.97328136636979,22.967079697342665,23.95996990270374,24.95193193205293,25.942949928118008,26.933026708748034,27.922163615692746,28.910345120312833,29.897580902436733,30.883803694071425,31.868957807559756,32.852964976289435,33.83570629844851,34.81705139728189,35.796869884460726,36.77499137540638,37.75127410500637,38.72555204548403,39.69757087279652,40.66692474703498,41.63321170108534,42.59599195639382,43.5548085697265,44.50920087060147,45.45869739191964,46.402839591199644,47.34111331456881,48.27298059830064,49.19773262607741,50.11433855421123,51.02165142925556,51.91849151773563,52.80379537979625,53.676517149185095,54.53573116060728,55.3806671578267,56.21069254975875,57.02511456822643,57.82331466300258,58.60430875176579,59.36708616867468,60.11045074790867,60.83330901027421,61.53463277349718,62.21323075442603,62.86803381891169,63.49792723796829,64.10169211812223,64.67811515625782,65.22484725589139,65.73956946593702,66.220184633744,66.66509175645774,67.07325008636131,67.44441471795359,67.7789908042364,68.0781410151915,68.3435538405407,68.57729424441482,68.78027145150466,68.95413899219642,69.10098493382341,69.22318367893463,69.32342871909995,69.40100679122445,69.46069258653478,69.50630823951806,69.54102426825557,69.567187808486,69.5867411266206,69.6011947134755,69.61171319719413,69.61924130910417,69.624532310465,69.6282015358943,69.63071727477883,69.6324111260467,69.63354841702396,69.63430900873409,
Male,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,5.999979286528894,6.999922397613079,7.99980373305143,8.999601827752121,9.999289814767696,10.998855300714903,11.998272210062051,12.997509806655609,13.996457416462315,14.995022404391175,15.993108457828981,16.990608422157337,17.98743988699649,18.98348482868926,19.97860227227441,20.972640786517964,21.965506433716563,22.95714024507481,23.947512543843278,24.936607752840324,25.924428589376937,26.911012991477584,27.896381942047864,28.88053253135358,29.863512688658858,30.845233805406558,31.825632343436958,32.80464987700681,33.78220527854989,34.75821136606281,35.732584335764464,36.70521060927007,37.67597261054228,38.644767273425835,39.61140350000004,40.57550802922971,41.53675016473152,42.494739707549215,43.4490879033552,44.39939917984548,45.34524418968346,46.28623214559815,47.22189498260048,48.151752752479375,49.0751321620776,49.990916523361236,50.897842057800375,51.79453770895848,52.67988143450302,53.552685477971025,54.411948836368744,55.25682137804277,56.086627778659384,56.90059367448587,57.698031845720244,58.477901508547,59.23905012633612,59.980154493977125,60.69986908439285,61.39690756747898,62.06975187457096,62.717099216673155,63.33751620504525,63.92944060770604,64.49138766470979,65.02058891412504,65.51467409379755,65.97167285348964,66.3904143739417,66.77039977993708,67.11215046259105,67.41678344142693,67.68620581005617,67.92286698225126,68.12946933890197,68.30760237653644,68.45956850147996,68.58782669218273,68.69485702818069,68.7831393817388,68.85243650504577,68.90660648282291,68.94868546737655,68.98125340137982,69.00619471209886,69.02511864003611,69.03923256145336,69.0495363382159,69.05688825036862,69.06198513038265,69.06545345048039,69.06779118006249,69.06931594481944,69.07030777825815,69.07095611103468,
Female,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,5.999985516901241,6.999937838017906,7.9998463208983965,8.999691124042817,9.999465663666918,10.999155754775357,11.998756795044915,12.998245874487033,13.997593741032151,14.996767053873228,15.995725091049657,16.994435453617797,17.992851452549967,18.990945367423254,19.988672055424395,20.98600029803168,21.982918137246337,22.979399318414185,23.975410385395858,24.970925743386115,25.965906512532953,26.96031198039459,27.954119144159776,28.94729683447549,29.93980732226475,30.931609790455084,31.92265828182657,32.912849937668504,33.902019036245626,34.889981662342215,35.876549687629314,36.861482318136915,37.84460780719723,38.8256820881942,39.80437247040639,40.78023273349162,41.75277257263243,42.72149075700985,43.68584582550406,44.64529642060359,45.59931886916232,46.547370648364954,47.48888047869779,48.4232384881294,49.349691830564396,50.26731606353074,51.17510903439499,52.0721281481398,52.95738260073566,53.83000239413523,54.68915524161961,55.53416988988063,56.36446671427727,57.179454081614466,57.97859855532276,58.76098633270079,59.52578259203835,60.27194862849745,60.998703367866945,61.70533859353774,62.391068062151064,63.0551122469826,63.69675138723136,64.31519214610492,64.90955768221467,65.47801868862625,66.01831981261839,66.52820673416028,67.00554525211447,67.44862298579066,67.85624523047584,68.2279348042534,68.56393168873302,68.86498123354023,69.13235834589695,69.36612907613846,69.56714269446834,69.73702753620653,69.87802702078423,69.9930994138087,70.0809414470443,70.14746391504843,70.19746315112361,70.234841671962,70.26252012509072,70.28285355147801,70.29772814236458,70.30851274822686,70.31625925388586,70.32179086221078,70.32570910312772,70.32844547863239,70.33034890701674,70.33166648778355,70.33256622071457,
1970s,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,5.9999773698414,6.9999081321707255,7.999772442448075,8.999552027747038,9.999224576850215,10.998774604594344,11.998192277323541,12.997439168761545,13.996436320357502,14.99509779344924,15.993343154800977,16.991076684943746,17.988227970271005,18.984711925134203,19.98042349838656,20.975257254393743,21.969162139247782,22.962076208504115,23.95394731461252,24.944765708330294,25.934502599102792,26.923134531360784,27.910692238865863,28.89719684834516,29.882636345924116,30.86698334704384,31.85017880649062,32.83215610317732,33.812787809223444,34.79196978053044,35.7695527356822,36.74538378090901,37.71930960968734,38.691155858360396,39.660652490884345,40.62735172649756,41.590903858244054,42.55083816139727,43.50669823176087,44.45801956057961,45.404320940683235,46.34514294613238,47.27999442500031,48.20826762207716,49.129318254476495,50.04212228696434,50.94548158044787,51.838203963006926,52.719245162700865,53.58752965076506,54.44215360596362,55.282339952136354,56.107446790240395,56.91671612355739,57.70955573789319,58.48503027210114,59.24207948347078,59.97958642697103,60.696454197048766,61.391623348437875,62.06398793805545,62.71254115482207,63.33604857857638,63.933371807649955,64.50354318243318,65.04425834790236,65.55334941846968,66.02882880186807,66.46914455964547,66.87330847195186,67.2410013881878,67.57269210889228,67.86941159059796,68.13296084467575,68.36528589448629,68.56759435579937,68.74145414274771,68.88886734048408,69.0120445846016,69.1137357981807,69.19330549062957,69.25522956885676,69.30305665609274,69.33987716412148,69.36793266662885,69.38912774554889,69.40499640962031,69.41665005860867,69.42511573850328,69.43115136073142,69.43540254465816,69.43835275919834,69.44035685872934,69.44172861273331,69.44266558578242,
1980s,CumHealthyLY,1.0,2.0,3.0000000000000004,4.0,5.0,5.9999788163079195,6.9999242072403245,7.999811893603758,8.999616416176394,9.999318742564467,10.998907245355106,11.998365128236612,12.997662745078696,13.996731234060942,14.995503128018841,15.993903218732784,16.991864454797277,17.9893168643816,18.986173377851834,19.982331469504167,20.977696818027688,21.972222058133646,22.96584501742098,23.958544415834226,24.950293758882594,25.941089076357617,26.930935785371556,27.919817484729975,28.90771740831006,29.894651878805725,30.880556207484815,31.865364122618523,32.8490131579742,33.83138875886744,34.81235763300754,35.79179547907535,36.76952820208281,37.74542167309476,38.7192988959433,39.690931211983624,40.659871286771676,41.625756892647345,42.588123537228576,43.546504468307845,44.50045041064012,45.449514304470476,46.39324094137556,47.33112026442613,48.26257078563122,49.186896289512376,50.1030094474931,51.009806388789244,51.90613719483356,52.79090692254799,53.663137697532164,54.52179161692016,55.366185298306306,56.19561910282911,57.009451359938794,57.80708923624942,58.58750668777648,59.34972920848479,60.09254750277564,60.814782511918075,61.515420669402985,62.19336688398326,62.8474817834898,63.47676143186686,64.08003799624336,64.6559070721283,65.20211058721591,65.71628842158651,66.19638882715684,66.64079805126025,67.04850306401528,67.41934795219085,67.75364549938253,68.05254683279493,68.31770521342493,68.55136157724948,68.75436407459497,68.92840365270294,69.075455951747,69.19799514705737,69.29868175754649,69.37675190141765,69.4369351595374,69.48299757838863,69.51810086147849,69.54456955025363,69.56435899418119,69.57900450300139,69.58970061857204,69.59736659513032,69.60275978960566,69.60649539909883,69.60906009852056,69.61077901749125,69.61192783456448,69.61269830070293,
1990s,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,5.999986738353738,6.999942998860771,7.9998543924997705,8.99970264950974,9.999472983760086,10.999152065151472,11.998720558444019,12.99815825021859,13.997388799232532,14.996356222172286,15.994996025018715,16.99323946192981,17.99102459689844,18.988284330578747,19.98492699176409,20.980855763641166,21.9760027720091,22.97034545149345,23.96385435128915,24.956509579876702,25.948292172852472,26.939215140260366,27.92927978408987,28.918454526419307,29.906754018671524,30.89409052347879,31.88041801640671,32.86564072933144,33.849640384514416,34.83227667413977,35.813423308558384,36.79290463451227,37.77057839009641,38.746290813551646,39.71977520938698,40.69067696624654,41.65853944762252,42.622956152968065,43.58347740177683,44.539635575776245,45.49094503078031,46.436945080415505,47.37710776697911,48.3109608241841,49.23775586063716,50.15650213727365,51.06604343844573,51.96518296318043,52.85287251174881,53.728027897519915,54.589799288723974,55.43735305497259,56.27011227307515,57.087375285684175,57.888491634077596,58.67248678233778,59.438345358638955,60.18484451861113,60.91095791711169,61.61566067430156,62.29764826164694,62.95587644103602,63.58920112804923,64.19632699797071,64.77607320723223,65.32600019747227,65.84375049978499,66.32714138314613,66.77455885863375,67.18491659234022,67.55793594711145,67.89406330822928,68.1945312617125,68.46100310269964,68.6954641714841,68.8987321057803,69.07247147865705,69.2188963351357,69.34038060055894,69.43961685295632,69.51589453496692,69.5741614338738,69.61840946887862,69.65185305437183,69.67690558008304,69.69551676639735,69.70916719010454,69.71902325044047,69.72601102234584,69.73087847393239,69.73422700212438,69.73650377612421,69.73803456615664,69.73905430896113,69.7397255499488,
Age0-4,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,5.999958226161878,6.99983527590961,7.999587069864367,8.999165290884424,9.99852844838116,10.99768152739245,11.996613868185447,12.995299314868223,13.993642477157309,14.991578628841655,15.989035512467327,16.98593415718725,17.982236753260654,18.977878809351807,19.97278051860351,20.96687246571698,21.960121386670103,22.952521676798643,23.9440686755428,24.934757100657567,25.924566111504365,26.9135048183185,27.901563522983736,28.888719749527233,29.87497117946433,30.860249559497532,31.844511624218026,32.82767436195691,33.80962086545338,34.79021522915911,35.7693269123466,36.74676194643768,37.72238778002769,38.69602911771758,39.66742391654495,40.63617824377326,41.60188922621891,42.56412537799748,43.522427003989634,44.476363129401875,45.42543982001577,46.36916916274221,47.30703155003961,48.23853007027115,49.162924331335795,50.07915421363848,50.9861621371497,51.882763386707,52.76790858309345,53.64052874813201,54.4997109659538,55.34472797667807,56.17490896315258,56.98961371972972,57.788225903636246,58.5697403210337,59.33315582906956,60.07722421096108,60.80090722985096,61.50324830008443,62.183016631268885,62.839123756881115,63.47046955944836,64.07578895719038,64.65391847181452,65.20241485854976,65.71891624799154,66.20126557079017,66.6478654490433,67.05758644695261,67.43020270704537,67.76613501177408,68.06657752708074,68.33310560042985,68.56788512760491,68.77173933471991,68.94616351017294,69.0932493722707,69.21539092416306,69.31531043522126,69.39217038758251,69.451031329738,69.49574806657435,69.52962286356305,69.55497608933808,69.57379974182598,69.58763284443408,69.59765039085701,69.60475844336263,69.60972993847818,69.61315325592311,69.61547596176491,69.61703432727509,69.61807060566342,69.61876022645342,
Age5-9,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,6.0,7.000000000000001,8.0,9.0,10.0,10.999935150482566,11.999755074383293,12.999392042533481,13.99870492134535,14.997531412012371,15.995792053151494,16.993425179060804,17.99036428851377,18.98655186040565,19.981911586903454,20.97637607373661,21.96994820943241,22.962553167370842,23.954196051359865,24.944879091113776,25.93461104868626,26.923390824356517,27.911244066407683,28.89814594177005,29.884102603786943,30.869028978984325,31.85289090477063,32.83560224065927,33.817017236319444,34.79703193974905,35.775494793496364,36.75227729779905,37.72722604826985,38.70018593710928,39.670917717322574,40.63901128439092,41.6040974471852,42.565716986034765,43.52341429310246,44.476711713718714,45.425112827386016,46.368250634305106,47.305580619939334,48.23657005349082,49.16054442991236,50.07653682964635,50.983344168469024,51.87980678346285,52.76481554433539,53.63734048292572,54.496425624899935,55.341243768637305,56.17119420358569,56.98561514016857,57.78372542098653,58.564571334784816,59.32718943100627,60.07045524668133,60.793146380819486,61.494212705100125,62.172432539347845,62.826809450590034,63.45608867425885,64.05913857788588,64.63462718305239,65.18032122493888,65.69372857545368,66.17287706908562,66.61612993796234,67.02255647271282,67.39194079868354,67.72455934757001,68.0217297527791,68.28525621922073,68.51705459903808,68.71808158447632,68.89020942219005,69.035530355834,69.15643563897484,69.25561689356017,69.33244277701885,69.39147649181297,69.4366752947165,69.47105829399499,69.49700170657006,69.51639702509375,69.53073490715467,69.54115046042297,69.54861199005306,69.55383271479425,69.55744524276255,69.55993217114995,69.56159880916532,69.56270823189124,69.56345292703756,
Age10-14,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,6.0,6.999999999999999,7.999999999999999,9.0,10.0,11.0,12.000000000000002,13.000000000000002,14.000000000000002,15.000000000000002,15.999884551544039,16.999518986302945,17.998719597383563,18.99729250498313,19.994993431635116,20.991742941062466,21.98751099563305,22.982289030423836,23.97607588216197,24.968867628890862,25.960688965504776,26.951541954136857,27.941414573667434,28.93028264203178,29.918174699731917,30.905051361012355,31.890812845293343,32.87542593785963,33.8587738517791,34.84068668890256,35.82106412887875,36.79971612052389,37.77649245608035,38.75128432722024,39.72381074439599,40.69363703379049,41.66032733660115,42.62347020629345,43.58261877555264,44.537283248274115,45.48701056900498,46.43134559385895,47.36982202106341,48.301868577400235,49.22673716074057,50.14338948215671,51.05057686127334,51.94715699875392,52.8321233255193,53.704498789849964,54.56332722407711,55.40778932375345,56.23723020474074,57.05091244011736,57.84846754715917,58.628820735740504,59.39090217076951,60.133525040251676,60.85567017985586,61.55621111802878,62.23406305641603,62.888054992510995,63.5171499461396,64.12015176784863,64.69584996942245,65.24183472021724,65.75602846860102,66.23627909088478,66.681021446708,67.08917883081892,67.46050669317468,67.79547564794395,68.0949875932988,68.36076940810793,68.59491628187324,68.79835525619038,68.9728026145694,69.12036563553804,69.24333392293917,69.34447562837475,69.4230425513562,69.48367611137365,69.53020739448215,69.56574624132185,69.59267919529405,69.61289507936648,69.62790151630469,69.63884722697625,69.64672712026287,69.65229256238392,69.65618954827669,69.65886992569907,69.66067975669084,69.66191080118543,69.66273336143115,
Age15-20,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,6.0,7.000000000000001,8.0,9.0,9.999999999999998,10.999999999999998,11.999999999999998,12.999999999999998,13.999999999999998,14.999999999999998,15.999999999999998,16.999999999999996,17.999999999999996,18.999999999999996,19.999999999999996,20.99974671558823,21.998980081218292,22.997545436589036,23.995235565866775,24.991930493350107,25.987537223078306,26.98204742585098,27.975472695711943,28.96784397925435,29.95918762424065,30.949432237465828,31.938507523761665,32.926304060235616,33.9127377272634,34.89770237496912,35.88106367574433,36.862677966500215,37.84240609583678,38.82001819291443,39.79529241076603,40.76783187420598,41.737227824601796,42.70301123244336,43.664718142565405,44.62186562590057,45.57406472569024,46.52079084285276,47.46153345150337,48.395668551202576,49.322574850974455,50.241213660733976,51.15039717251451,52.048879850288735,52.935557875749225,53.809339205929064,54.66934885283065,55.514845377271364,56.3452853354996,57.15982918570439,57.95779371981085,58.738324015967,59.50038116062102,60.24279378555349,60.96441933349097,61.66418127311145,62.34091661537402,62.99362615458271,63.62127868941568,64.22262065844252,64.79648070379784,65.3406765367256,65.85298496737477,66.3313531654804,66.77418124967822,67.18055685835536,67.55013194768402,67.88338970853349,68.18148476559092,68.44620115663754,68.67951000352139,68.8824730809077,69.05677412401828,69.20445912420132,69.32792658379083,69.42969293902014,69.50932162158772,69.57126190157639,69.61901057721552,69.65567429583912,69.68358115731027,69.70467818147182,69.7204279368453,69.73203272606342,69.74044820281522,69.7464370369507,69.75062635473667,69.75354316345509,69.75552926025496,69.756887331507,69.7578021002407,
