Group,Outcome,age_0,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,age_11,age_12,age_13,age_14,age_15,age_16,age_17,age_18,age_19,age_20,age_21,age_22,age_23,age_24,age_25,age_26,age_27,age_28,age_29,age_30,age_31,age_32,age_33,age_34,age_35,age_36,age_37,age_38,age_39,age_40,age_41,age_42,age_43,age_44,age_45,age_46,age_47,age_48,age_49,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89,age_90,age_91,age_92,age_93,age_94,age_95,age_96,age_97,age_98,age_99,
all,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,8.999964253932227,9.999870240572918,10.999740212499068,11.999526660125245,12.999147794298676,13.998610857087808,14.997820367196862,15.99675009905652,16.995321054048972,17.993519319661473,18.99114680067552,19.988285488014082,20.984633378078186,21.980040965665218,22.97490933781819,23.96892835380041,24.962206169749905,25.954516500155407,26.94571354253812,27.936424986203534,28.926173874196444,29.91563561618945,30.903428037717603,31.890150085325708,32.87596897659712,33.8605010370661,34.84380129261097,35.82571666393644,36.80617437307358,37.784192233678965,38.76053429976869,39.735820418153324,40.707423649208145,41.67593154196369,42.64095214182241,43.60268364649367,44.560587764032555,45.512357334175476,46.4606326978679,47.40210725383356,48.33996109543149,49.270712186094315,50.193281362137796,51.11129697311721,52.017756849836154,52.917392089745384,53.80466226923563,54.67541601078591,55.53872764939981,56.39303351806516,57.229915091100544,58.04926622426379,58.850440893459144,59.63926000730523,60.401531722764496,61.14680664441798,61.880286636851004,62.585612122543615,63.266258011746515,63.92811881557885,64.56541522504422,65.18256383147741,65.76978594528894,66.32396731494973,66.84350049246557,67.35477968863691,67.8128353290473,68.23892839669415,68.61047802228303,68.94873064304348,69.24601816298372,69.50815888074592,69.73763604453428,69.93672034504034,70.10661624968526,70.24615404020504,70.36179311344407,70.45137557191549,70.51820486873775,70.56753962087011,70.60473032061113,70.63339143986644,70.65535919583189,70.67137164327461,70.68261332205259,70.69052715462296,70.69635505410692,70.70029231144794,70.70297372715267,70.70485197557731,70.70610867915495,70.70653095859436,
Male,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,10.999870322670395,11.999643376212893,12.999297977343254,13.998756284537444,14.997935467209818,15.996687705221897,16.99506290990981,17.992897230073652,18.990070841064867,19.986372204849744,20.98157272338289,21.975742971924006,22.96963476101518,23.962041693275907,24.95326804965702,25.94348398360089,26.93203637965009,27.919720391810785,28.90651581667256,29.892649756406602,30.876505653779134,31.85891488729707,32.84074223658959,33.8221027383123,34.80111210893533,35.778422149379026,36.75413958096044,37.728144148010784,38.70093900325094,39.6710862849892,40.63961329274467,41.60507440163773,42.56683412717103,43.52459101292816,44.4797074250173,45.43096708113179,46.377733576070995,47.320486755318164,48.25850786195542,49.19397037978866,50.11949465420289,51.034113242176325,51.944166537822994,52.84771316499237,53.736155563797865,54.615809582880736,55.48689364929032,56.34514231728407,57.191963355849865,58.012465186912,58.82990933426013,59.627830894519214,60.404423226164994,61.16905363308129,61.92571688908461,62.66895986548545,63.38775078684462,64.08146894405017,64.75111314658069,65.40126488840782,66.01732806528875,66.57730435962401,67.09140673410437,67.598276156115,68.05204774710471,68.44725346770255,68.78997599966685,69.10001533097176,69.36998488695914,69.6113190881037,69.82625735165699,69.99818835754644,70.14697689586723,70.27642117834742,70.38340848121037,70.46953669387231,70.53945363878748,70.59387090705539,70.63606794168446,70.66863985652431,70.69341280466502,70.71152296074023,70.72659909316314,70.73717215589137,70.74499589474772,70.7499623748097,70.75347488737617,70.75596957341095,70.75748024556357,70.75854086634384,
Female,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,5.999999999999999,6.999999999999999,7.999999999999998,8.999999999999998,9.999999999999998,10.999999999999996,11.999918319713188,12.9997503565091,13.99951164830517,14.999131914386027,15.998637903391982,16.99794830954157,17.99713058107285,18.995909666208934,19.99441112878206,20.992658653406522,21.990451361160076,22.988032809996238,23.9851029641377,24.98169210983125,25.977915489175064,26.973844451035657,27.969186846209347,28.963824874373728,29.957838664493824,30.95176777609457,31.94504814525018,32.937240435160746,33.92818963926604,34.91836001997784,35.90734769017078,36.89473534723542,37.87954940519381,38.86336917033969,39.84479555115131,40.82357449765149,41.79806652876423,42.76874311610743,43.73559258299177,44.699940893402854,45.65764508084278,46.610280518753115,47.55920974894198,48.500244669665356,49.43425078832953,50.361450334390355,51.281243698819424,52.18992894180885,53.08903649327316,53.97562590699193,54.847242582932886,55.709751335377454,56.55121743309815,57.38447352239578,58.20273890340166,59.00841428087683,59.8029176581593,60.57371764112454,61.332932861919545,62.067292216153504,62.787579227552236,63.487845325442834,64.16649279688276,64.8334309949478,65.46564658560808,66.0652060100999,66.64331602809293,67.19175948981295,67.70149214424804,68.17195818347356,68.60364486764982,68.99344759585699,69.36387777968703,69.68111041088967,69.95726591237249,70.21976582134965,70.4629259254865,70.66144834675517,70.81889689306517,70.95153240147735,71.04628533082276,71.11899849060292,71.17484693369349,71.216032026652,71.24546449472645,71.26979413074854,71.28820325292982,71.30207517250787,71.31074405740236,71.31590350199251,71.31983175943824,71.3235990938988,71.32597074017586,71.32749681354412,71.32856036180915,
1970s,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,12.999754174593628,13.999335644056657,14.99872695111112,15.997754791458734,16.996348033782848,17.994543234638947,18.992244661992203,19.989516603204528,20.985927889919417,21.98179436255273,22.976593725534382,23.970495962245753,24.963296597092512,25.95531226180984,26.946599534595098,27.93688419698498,28.926717975405506,29.915084121545636,30.902560656336053,31.888728696857193,32.87367312831189,33.85840724290441,34.840640510933405,35.82022996717149,36.7998250652834,37.777773178219064,38.753424131734505,39.7264891415249,40.69760402708056,41.666032249638945,42.6303661279422,43.59002792526577,44.545874142084834,45.49733640273532,46.44294222877084,47.3830011821816,48.31901600557927,49.24750586944416,50.165273248077426,51.07722025798765,51.98289567784665,52.87517453263327,53.759251767643356,54.6321018535554,55.48548991203632,56.32941240550796,57.15311174387066,57.97009782734483,58.76260431117218,59.547315394566674,60.307417631353935,61.054062855655246,61.77821159144434,62.4798787922745,63.15237381648231,63.80399185356532,64.4290130867482,65.03001674431268,65.60956247321474,66.1593655478775,66.68076779731527,67.16742349434672,67.62628309170667,68.03529350921431,68.40645623426926,68.73678194847551,69.02817973239152,69.30128276440776,69.53188103530397,69.73303877054072,69.90584611148799,70.05025031842032,70.17147488899684,70.2685447996434,70.34419767068334,70.39705046320147,70.43533838228771,70.46490767813685,70.48740556867631,70.5036979908477,70.51480847155078,70.52186245854594,70.52884668514366,70.5342911399579,70.5383272246386,70.54184828297234,70.54502728523447,70.54719470229976,
1980s,CumHealthyLY,1.0,2.0,3.0000000000000004,4.0,5.0,5.999999999999999,6.999999999999999,7.999999999999999,8.999999999999998,10.0,11.0,11.999810794901709,12.999586719588853,13.999191678997036,14.998609581433076,15.997679147370834,16.996512611228045,17.99507181131273,18.992894544211556,19.99017945280663,20.986793249709216,21.982428799519493,22.97755684394595,23.97169159448449,24.965163712222694,25.95771776357023,26.949342379537395,27.94006395676305,28.930233745666555,29.919622478234587,30.908423556808142,31.895782334895326,32.88190557798097,33.86630578743286,34.85020544635711,35.832114564194754,36.81237158175277,37.791977504488706,38.769020801900744,39.743813318368815,40.71687325978995,41.68564819474911,42.652468458471425,43.615155017495525,44.57464386845411,45.528025783499636,46.47666975609203,47.42288256251689,48.36040565427281,49.292040636323044,50.212454408931144,51.12959996974279,52.037308972261236,52.93192074465507,53.81817034474121,54.69421928964022,55.555110030537065,56.40281228863792,57.23548819697295,58.05571800080438,58.85920759278727,59.64880986558958,60.422125678565266,61.17251294222105,61.90145518548351,62.60432737854402,63.276018868465776,63.93597242922856,64.57493021733606,65.1824618366882,65.76465724795301,66.33336868513791,66.86806409935788,67.35691639536113,67.80478695296152,68.23302013931463,68.61202591534834,68.95057881279297,69.25006748845033,69.51943461787309,69.75201393858939,69.95178269326196,70.11579589110272,70.24921850036107,70.3586994530521,70.44266192128802,70.51184767274592,70.56277188491518,70.59881242334346,70.63081931973427,70.6572542077925,70.6731734158629,70.6864736014675,70.69657775179611,70.70397240503316,70.70963067035053,70.71272066237674,70.7139798980002,70.71458768869864,70.71496479557217,
1990s,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,9.999999999999998,10.999999999999998,11.999999999999996,12.999904388998795,13.999594608152282,14.99928866147784,15.998704317652159,16.997882365158997,17.99660533369278,18.99494393585647,19.992848824291546,20.990203248183324,21.986936544776803,22.982643677393057,23.97823737172008,24.97266034615251,25.966483226796885,26.959796374623135,27.951629845281243,28.943076536942545,29.933323881660474,30.922865484721545,31.911478495293725,32.89915445366751,33.88573601394689,34.87092252967039,35.85515981993717,36.837194053582245,37.818110278097265,38.79655459214649,39.77301128296943,40.74797958435661,41.71986503050701,42.68828579437446,43.65297583000501,44.61242316744712,45.567585050386185,46.517516226698945,47.463039973259434,48.39870086839749,49.33264455380061,50.26149951020457,51.17900667862187,52.088987022849146,52.984094678121494,53.87079676303055,54.75295012642993,55.614333943327296,56.466426140070176,57.30199682259254,58.130728084359596,58.939772119756384,59.72660708437276,60.502978278153044,61.25740837911924,61.98434239713727,62.69915826844145,63.38673850330522,64.04563413895782,64.67532191012829,65.29612369764186,65.89625588391225,66.4589662618926,66.97840842671849,67.47997094893577,67.94176715456845,68.34908588330285,68.73512324034847,69.07167519458748,69.37979191593627,69.64874275539998,69.87560892197706,70.07333111219157,70.23145054546215,70.37042772402089,70.49473104835766,70.59293828568894,70.65461438984964,70.7058343015768,70.74618314805171,70.7751777660786,70.79701631164487,70.81256205836834,70.82452172268165,70.83322058239364,70.83858448092602,70.84230610518496,70.84479889027561,70.84691136797471,70.84743209292212,70.84778837894133,
Age0-4,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,6.000000000000001,7.000000000000001,8.000000000000002,8.99991672423451,9.999697706173192,10.999402410025462,11.998957033784304,12.99823943205294,13.997314844749814,14.99610997146708,15.994427082259163,16.99226848386254,17.98979854089714,18.986602149690512,19.982807046757685,20.978501718493185,21.973385560164658,22.967743184437193,23.961107982008507,24.953638491446586,25.94542243353593,26.936513916538594,27.92708653200219,28.91753075886172,29.905653253226255,30.893390146911187,31.87963262221288,32.86539665306356,33.85025876103205,34.83404970328378,35.816002009067674,36.79571525558549,37.775192115042536,38.75250150008741,39.727246609277735,40.69947425681858,41.66835575331458,42.63357704958394,43.59457627247639,44.55288178158512,45.506390594430805,46.45395374865815,47.39647270491162,48.33140324642553,49.264816667586345,50.18858509611811,51.10585541344221,52.01389408216027,52.91362760259705,53.80194560634683,54.67627149233312,55.534580786025906,56.3812186201712,57.21410674545177,58.034037563691854,58.838601185685086,59.62415623620618,60.390061778559684,61.145011138738944,61.87705140802262,62.58671801199368,63.2747709051942,63.931248175450804,64.5765271004987,65.18489476159033,65.7652910013719,66.32564396579805,66.84467587209951,67.34741435894243,67.79310906436213,68.20601376340069,68.58797159386322,68.93692295583308,69.23529074920305,69.5034665514051,69.73458103048378,69.93203231547632,70.10605754125092,70.24520598002601,70.36094592849715,70.45260630422912,70.52530024539986,70.58111593235965,70.62090952501772,70.64840677194448,70.66694535775498,70.67989102259402,70.6884754286641,70.69493866460645,70.69957888110207,70.702673101092,70.70430062803521,70.70549547510318,70.70640038557696,70.70701747660435,
Age5-9,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,6.0,7.000000000000001,8.0,9.0,10.0,11.0,12.0,13.000000000000002,14.000000000000002,14.999539064248493,15.99885743428297,16.99778931851566,17.99624882443982,18.994238747016965,19.991190123647844,20.987753264984036,21.983632609004744,22.978657957084096,23.97221231789245,24.965878263982592,25.958547216668936,26.94979104596569,27.940356172245025,28.930746295114645,29.92078428190932,30.90906880973005,31.89650799802836,32.8822441011135,33.86803874620316,34.85195984206433,35.83329704894292,36.81377634496864,37.793629116715046,38.77167053609808,39.74797580797298,40.72084685972779,41.68998355655279,42.65569292447713,43.618645231864626,44.577008631903595,45.532543598048484,46.48141913207237,47.425487063882,48.36587193410824,49.300267575078735,50.22212543433072,51.14286391898564,52.05118430189528,52.950768649668085,53.839483488737855,54.71245939730929,55.57390211938016,56.42107395808496,57.2601866070957,58.08331808999845,58.8888471719451,59.674854586041796,60.457209335974504,61.20950621002441,61.93981663458166,62.64400524927525,63.3282291106534,63.988190874222575,64.63597380300396,65.25202808446907,65.83837042215171,66.39546978564088,66.92012545708413,67.41796491636335,67.8742418960957,68.31248348028217,68.6860259116915,69.01656796177733,69.31500851743351,69.58101941552901,69.80888094973201,70.01003051843247,70.17325770898034,70.31250667191401,70.423841980383,70.50699630307864,70.56999572340462,70.62076381597802,70.65531609454634,70.68149326258994,70.69896220695645,70.71367347997325,70.7261205881625,70.73353363910653,70.73847647538406,70.74237625508812,70.74530019061663,70.7465150115403,70.74746239112804,70.74787489773489,
Age10-14,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,6.0,6.999999999999999,7.999999999999999,9.0,10.0,11.0,12.000000000000002,13.000000000000002,14.000000000000004,15.000000000000004,16.000000000000004,17.000000000000004,18.000000000000004,18.999352460559486,19.997973115422667,20.996068493071427,21.99315732274073,22.989834506931135,23.985517472043867,24.979975104317855,25.974313777617354,26.967701446513523,27.960108063358415,28.95171620835357,29.9429018528498,30.93326415651901,31.92199172577368,32.9101759107623,33.897189645508035,34.88255719086358,35.86637581992358,36.847872161700785,37.8279513589078,38.807002894565244,39.7834523606931,40.75728471396408,41.726954699742045,42.69342192720053,43.65724903643049,44.61676223469202,45.57093141643877,46.52013808962363,47.46433494442523,48.399158034356695,49.33266041044447,50.256294213739174,51.17329937622854,52.08185934745037,52.979531486966295,53.86658636194498,54.74035666905619,55.6045301636066,56.453575053740565,57.28546393198625,58.10276249278706,58.911955738301,59.69627052135735,60.4692374678128,61.22154677560298,61.95225819920638,62.65687117280022,63.34114774309974,63.99378223959675,64.63203449135891,65.24272940939332,65.8234129690181,66.39119150116406,66.91425812768169,67.40261753016539,67.85193782680123,68.2662580541521,68.64619540069694,68.98079162618647,69.2894643932734,69.55892220914846,69.79338772617915,70.00583021553884,70.17188883978478,70.31540152182882,70.43378711735659,70.52992249993947,70.60352110463023,70.66034231069655,70.70617868929536,70.7343687189489,70.7589698792945,70.78198909351833,70.79837326509917,70.80708905129468,70.8128792416752,70.81976672964899,70.82376949631114,70.82576189603891,70.82681428691421,70.82744272883869,
Age15-20,CumHealthyLY,1.0,2.0,3.0,4.0,5.0,6.0,7.000000000000001,8.0,9.0,9.999999999999998,10.999999999999998,11.999999999999998,12.999999999999996,13.999999999999996,14.999999999999995,15.999999999999995,16.999999999999993,17.999999999999993,18.999999999999993,19.999999999999993,20.999999999999993,21.99999999999999,22.999512230458674,23.998444587001195,24.996564922153603,25.993852361431458,26.990470716794288,27.98606117956836,28.98110933915618,29.975117365116038,30.967648524128414,31.959266920900905,32.95007464314663,33.939538352533845,34.927773466932116,35.91461004866345,36.90029835820907,37.88424207732229,38.86721207403728,39.846652336103986,40.823179895454665,41.79723799533359,42.76693550455687,43.731871314157864,44.69287895680809,45.650078540040234,46.6037072142441,47.5547056219301,48.500404374982864,49.43337520797006,50.36175737410802,51.284098060245285,52.19513449867295,53.097809092966614,53.98750173614081,54.866525892487076,55.73256582149579,56.58740331466853,57.43023674511406,58.25329904815692,59.0560659657191,59.83563986417881,60.600373147017066,61.35318438578156,62.08018099663804,62.78890095476711,63.46306339824813,64.11907723957428,64.7475937570847,65.34546372543811,65.93127987633137,66.479743468804,67.00918087887398,67.48648107890952,67.93414704503982,68.3382297129071,68.71653664835695,69.04967969016636,69.34744852878642,69.61971436953895,69.8564242701207,70.06551730090993,70.23829161487569,70.38510570694865,70.5021531931932,70.59174484217307,70.65992604117694,70.71475230812894,70.75302116466989,70.78340141133668,70.80602079793842,70.82176322078706,70.83356250791859,70.84218519539795,70.84902665168299,70.85225315588782,70.8548053504143,70.85688088696838,70.85842531830161,70.85944335424483,
