Group,Outcome,80-70,90-70,90-80,
all,condLE,0.7423025826037417,1.18070840094083,0.039561824216093555,
all,condQALE,0.9182584097109867,1.5796280692847589,0.3537234414550454,
all,condHLY,0.7866349905295564,1.3200025695724733,0.07968480567850378,
Male,condLE,0.7356854532841481,1.498159207685113,0.16565200755729848,
Male,condQALE,0.8903153942267394,1.743369380399308,0.43645085157219654,
Male,condHLY,0.759577096358413,1.5371385628623813,0.1689126388152431,
Female,condLE,0.30709769289471467,0.293770055517399,-0.5165567185249671,
Female,condQALE,0.6125036317801502,0.9106705395031227,-0.07008799634997587,
Female,condHLY,0.4278848378273139,0.7145843595310453,-0.4010540478294544,
1970s,condLE,-66.00643977511605,-66.00643977511605,0.0,
1970s,condQALE,-49.11322945567916,-49.11322945567916,0.0,
1970s,condHLY,-57.743874416272305,-57.743874416272305,0.0,
1980s,condLE,65.0583366308097,0.0,-67.42159882225593,
1980s,condQALE,48.94747300028753,0.0,-50.50276874777492,
1980s,condHLY,56.7888524410317,0.0,-59.00708017939064,
1990s,condLE,0.0,65.46412636258867,65.46412636258867,
1990s,condQALE,0.0,49.58170855458124,49.58170855458124,
1990s,condHLY,0.0,57.39090991103239,57.39090991103239,
Age0-4,condLE,-0.6225190663760429,-0.625832928977843,-0.7013090336582337,
Age0-4,condQALE,-0.049280768059006164,0.26711747538645625,-0.20777812961223674,
Age0-4,condHLY,-0.6748177349914499,-0.5697505628711355,-0.7316578181966307,
Age5-9,condLE,-0.5701356929391039,-0.5431907351451173,-0.9981142955584659,
Age5-9,condQALE,-0.09249472046316498,0.24258953974810282,-0.4072682901435627,
Age5-9,condHLY,-0.5619825403971035,-0.5890016244376355,-0.9502032388053792,
Age10-14,condLE,-0.747622720395249,-0.7186263748604205,-0.8410008000331004,
Age10-14,condQALE,-0.41288193622182945,-0.12358895780289458,-0.3453437006427862,
Age10-14,condHLY,-0.8092655710097105,-0.6516869843615822,-0.694625983748395,
Age15-20,condLE,-0.8268814978894952,-0.21514348520259574,-0.4793155771857869,
Age15-20,condQALE,-0.4838801884839654,0.13454783940036208,-0.12973298670048194,
Age15-20,condHLY,-0.7466705961784186,-0.2616631818144839,-0.48918737573034576,
brain,condLE,-0.1560899476254889,0.010701052131935285,-0.6633892743117968,
brain,condQALE,0.009627904269990495,0.2965414697920892,-0.3026887095612665,
brain,condHLY,-0.3653045812631106,-0.18682633810676208,-0.7895843461121501,
