Group,Outcome,80-70,90-70,90-80,
all,condLE,1.9170129453076328,2.788860642177184,1.181912449718908,
all,condQALE,1.7581671548264595,2.6872866156713116,1.1571788745853695,
all,condHLY,1.7585975557601472,2.357891411487479,1.0486818361298234,
Male,condLE,2.493966221903065,3.8194246702366286,1.834375390608841,
Male,condQALE,2.1279245450560893,3.3776553403278626,1.628918659853305,
Male,condHLY,2.0734526695728377,2.94073957408726,1.4379732126094282,
Female,condLE,1.7962612940970644,2.0816882245513995,0.9221320428295741,
Female,condQALE,1.6479321440840877,2.1243738004588266,0.9282873000035963,
Female,condHLY,1.8512010694980034,2.1554572819664983,0.976430081283759,
1970s,condLE,-63.94560781849062,-63.94560781849062,0.0,
1970s,condQALE,-47.767802103549975,-47.767802103549975,0.0,
1970s,condHLY,-55.5210076767187,-55.5210076767187,0.0,
1980s,condLE,67.41853419059348,0.0,-65.05957500775853,
1980s,condQALE,50.502537806140694,0.0,-48.94765269993522,
1980s,condHLY,59.001627398837314,0.0,-56.79395590020312,
1990s,condLE,0.0,68.17589712120893,68.17589712120893,
1990s,condQALE,0.0,51.35571448803593,51.35571448803593,
1990s,condHLY,0.0,59.58001925380028,59.58001925380028,
Age0-4,condLE,1.145824738104423,1.5098399551211372,1.0390122919287421,
Age0-4,condQALE,1.1973570631434995,1.7614960542760372,1.0444906247294128,
Age0-4,condHLY,0.9122710783356851,1.0526178524512986,0.8255106655854618,
Age5-9,condLE,1.787293623857181,2.020714834243819,1.204381802244825,
Age5-9,condQALE,1.5833996838991453,2.0881380644367624,1.1732605889719565,
Age5-9,condHLY,1.5304261734468767,1.6411834843917532,1.1147470245965607,
Age10-14,condLE,1.467054699524624,1.7081165978572983,1.191716755619332,
Age10-14,condQALE,1.172015687223002,1.5564469450032092,1.0812728672199299,
Age10-14,condHLY,1.3290618870036326,1.483641612427789,1.0137846591020505,
Age15-20,condLE,1.5314915920818848,2.163369163184825,1.7386463075923757,
Age15-20,condQALE,1.1804353748162484,1.8011137574268972,1.4476744311958143,
Age15-20,condHLY,1.3668211677096735,1.789483360984896,1.4793637794428776,
brain,condLE,2.6644389158676987,2.933855002080122,1.182018103603724,
brain,condQALE,2.007925991052254,2.393328800179887,1.0474274409651372,
brain,condHLY,2.3678977321932138,2.3893736167205972,1.0230035062509302,
bone,condLE,1.811165738482046,3.18772091600907,2.902406038991849,
bone,condQALE,1.385380309956723,2.383602970443498,2.060092854522253,
bone,condHLY,1.4243229250327545,2.6377966004649807,2.5565426031680474,
sts,condLE,2.582840110882998,5.080320244752528,3.8980434633277383,
sts,condQALE,1.8342249515717057,3.682336482370687,2.867330457984451,
sts,condHLY,2.2683276674231436,4.277452924517725,3.6211539254535765,
solid,condLE,1.710998832555859,1.8856653642475294,1.2595907021912751,
solid,condQALE,1.6226969976210768,1.7853635335008562,0.9274174600322453,
solid,condHLY,1.3642254933840192,1.4058799314797525,0.9936284366537862,
leuk,condLE,1.798159341859602,2.2349856295063546,1.2966948115288375,
leuk,condQALE,1.7287076216071142,2.395312611448851,1.2919009606752496,
leuk,condHLY,1.3962085142069967,1.5886387619963287,1.032101194796411,
lymp,condLE,2.303924660425011,3.1094291892866437,1.6071547887132596,
lymp,condQALE,1.9563509440638143,2.6906543946445467,1.368531614215648,
lymp,condHLY,1.9887100219370026,2.42748051874279,1.3427442482377359,
ALL,condLE,1.909053137456965,2.3196242007297343,1.2761762004558364,
ALL,condQALE,1.807337698205849,2.498290203585171,1.3259676218006646,
ALL,condHLY,1.4956217070096258,1.6148957342568693,1.049136486581233,
AML,condLE,4.778632416583115,6.076317410316889,2.9686322636712674,
AML,condQALE,3.803835758289601,4.939134481726008,2.411058652740472,
AML,condHLY,4.314156796450092,4.955318961407798,2.61448363502479,
OtherLeukemia,condLE,3.2915857979951113,2.510057920389947,3.9665610145990726,
OtherLeukemia,condQALE,2.2503772080088638,1.758301606653447,2.829245993667989,
