Group,Age1,Age2,
all,68.61269923911405,75.93503544759002,
Male,68.65961159650169,75.35604000765363,
Female,67.66940233435272,75.80700179882739,
1970s,68.73190406740311,76.19586958544022,
1980s,68.59296990283839,75.99243780988837,
1990s,68.48147980979421,75.73081335510305,
Age0-4,68.4852098786428,75.77986152559342,
Age5-9,68.59855599650395,75.76948729129212,
Age10-14,68.70400561276932,76.0660629161423,
Age15-20,68.56870618999523,76.23512813900389,
brain,68.58754933746998,75.88402425422001,
bone,68.51615828411892,76.09100564559508,
sts,68.5840593826692,76.17100991235415,
solid,68.50498543684753,76.09221302824194,
leuk,68.54876611913365,75.5308736192348,
lymp,68.65456074834205,76.07948027800283,
ALL,68.54177341933205,75.51892807709164,
AML,68.4087495909499,74.85941473928828,
OtherLeukemia,67.79419197812521,74.43565292610714,
Astrocytoma,68.53122655069397,75.95979183568005,
Medulloblastoma,68.476932750327,75.20760236247305,
Other CNS,68.29029538332574,75.19517680415943,
HL,68.6615710596211,76.40630131202165,
NHL,68.60619292221196,75.30600676927354,
Kidney,68.39052600410727,75.99749197097691,
NBL,68.35579770470774,75.88203116342133,
STS,68.5840593826692,76.17100991235415,
Ewings,68.49483349548397,75.8981771294539,
Osteosarcoma,68.4847433880484,75.96674295194657,
OtherBoneTumor,66.65017610692345,74.03746633445643,
AnthNone,68.58251096908062,76.0605286517221,
Anth<100,68.47865663425658,75.46295841327357,
Anth100_249,68.64317521525713,75.73727285405542,
Anth250_399,68.56768083453736,75.99736650287556,
Anth400+,68.53374809500646,75.8143027887203,
AlkNone,68.60922495581245,76.0037718436514,
Alk<4000,68.46102745263516,75.55552083128866,
Alk4000_7999,68.60977665155372,75.82673412716323,
Alk8000_11999,68.595487323667,75.74954977777925,
Alk12000+,68.47570377362787,75.9280127309172,
CispNone,68.5902198142784,75.92776557185891,
Cisp<400,68.40767789266114,75.6273791669238,
Cisp400+,68.45487671816069,75.70944893530321,
PlatNone,68.59155163519418,75.93077990528049,
Plat<400,68.37066801365317,75.63789640324012,
Plat400+,68.52990112991962,75.79589523981208,
ChestNone,68.54032715141719,75.85506344152304,
Chest<10,68.51410963136722,75.88967437113199,
Chest10_19,68.41819636082239,75.61628109211331,
Chest20_29,68.46550124741731,75.93965136437029,
Chest30+,68.65216068831727,76.20874318600242,
HeartNone,68.55068263026861,75.86340279907482,
Heart<5,68.56678037041458,75.89945070109607,
Heart5_14,68.4721116765931,75.64957254610897,
Heart15_34,68.55610515742525,75.94174364971025,
Heart35+,68.61568200927671,76.44425199289843,
CRTNone,68.54070003851362,75.85618317386631,
CRT<20,68.6474893539842,76.06838484687903,
CRT20_29,68.53975078160109,75.47913089114677,
CRT30_49,68.32576314519605,75.51060729576744,
CRT50+,68.58251395115958,75.78353130207908,
OvaryNone,67.64176864393467,75.76702118608664,
Ovary<10,67.73797684318441,76.02121700125518,
Ovary10-19,67.15859426534485,75.15569097145615,
Ovary20+,66.9584090103374,75.70684416636763,
AbdPelNone,68.54280515873795,75.85752619685715,
AbdPel<15,68.5751353824731,75.93338728334975,
AbdPel15_24,68.55054456544426,75.74857349817087,
AbdPel25_34,68.43133692258355,75.90460360502402,
AbdPel35+,68.63667609360573,76.06489471705275,
MaxRTNone,68.55137194601012,75.84542074041823,
MaxRT<20,68.5543327710663,75.6653119818021,
MaxRT20_29,68.48137586536087,75.9011967280541,
MaxRT30+,68.62190555865575,76.12677286688013,
ALL_70,68.55017195786203,75.60505976675502,
AML_70,67.2113462634511,74.14166692882638,
OtherLeukemia_70,66.09488060648786,73.22033378847367,
Astrocytoma_70,68.14004001300597,75.68850490000389,
Medulloblastoma_70,67.06536249963048,74.00500459948563,
Other CNS_70,66.71716787164888,73.88271832504013,
HL_70,68.64172208419822,76.45431374999077,
NHL_70,68.14150928360883,75.10412092750467,
Kidney_70,68.24308893674844,75.80374151604354,
NBL_70,67.89242924208973,75.57154495176754,
STS_70,68.41407932919881,76.09955247566253,
Ewings_70,67.49245799269019,75.28219350400231,
Osteosarcoma_70,68.14634848798151,75.79123996131246,
OtherBoneTumor_70,63.18545816208407,70.67947450681352,
ALL_80,68.53131042380636,75.52920401753506,
AML_80,68.04457400922504,74.55919749097748,
OtherLeukemia_80,66.36389487482326,73.05024346179776,
Astrocytoma_80,68.4071272867699,75.82832827867095,
Medulloblastoma_80,67.99456749001101,74.84390619908935,
Other CNS_80,67.9828057693617,74.68323170667864,
HL_80,68.5326323543227,76.22356769673814,
NHL_80,68.45331745702022,75.25000247702292,
Kidney_80,68.23098716950267,75.87040154355701,
NBL_80,68.24275766477312,75.68686171637889,
STS_80,68.21029730498834,75.8886194398101,
Ewings_80,67.8542644506963,75.27216941811528,
Osteosarcoma_80,68.20357345216541,75.69726816385061,
OtherBoneTumor_80,64.61689048687387,72.04920426234114,
ALL_90,68.46822742113157,75.29819701235695,
AML_90,68.02315477097729,74.64879184984893,
OtherLeukemia_90,67.33455447669863,73.81255456928953,
Astrocytoma_90,68.45548227941195,75.80201376793048,
Medulloblastoma_90,68.39028286262052,75.02126220281187,
Other CNS_90,68.00999367087591,74.79174625470823,
HL_90,68.3706748032824,76.11785082793766,
NHL_90,68.42888016823892,75.21701248028093,
Kidney_90,68.13087510249343,75.67337709682566,
NBL_90,68.28501389161607,75.63618137046382,
STS_90,68.07304075598498,75.50504981804353,
Ewings_90,67.88815761076137,75.34527064332015,
Osteosarcoma_90,68.09882143320894,75.5679291445747,
OtherBoneTumor_90,65.10580944804902,72.59381185585708,
brain_70,68.35097137535028,75.67365630757297,
bone_70,68.32763938756327,75.97180930006377,
sts_70,68.41407932919881,76.09955247566253,
solid_70,68.37125804581197,75.91283832583098,
leuk_70,68.59239201442891,75.60951853612141,
lymp_70,68.69276516717443,76.16608835992817,
brain_80,68.45969682002786,75.78428101201345,
bone_80,68.36390985358739,75.89060618961206,
sts_80,68.21029730498834,75.8886194398101,
solid_80,68.4621443950838,76.0071906138964,
leuk_80,68.56027792234474,75.53090638906387,
lymp_80,68.62925322887695,75.92566567992432,
brain_90,68.53118086441442,75.75349875070332,
bone_90,68.2071784652904,75.78785716033588,
sts_90,68.07304075598498,75.50504981804353,
solid_90,68.39303092758732,75.89659056829059,
leuk_90,68.45967662156231,75.30696784571741,
lymp_90,68.50193997011665,75.84312137011055,
SurgOnly_NoTrt,68.57019946816776,76.10428172569031,
ChemoOnly,68.55941383963851,75.75786370644366,
RadOnly,68.57340331760429,76.1755174704444,
ChemoRad,68.59265126180858,75.9394162182826,
NoChemoRT,68.57019946816776,76.10428172569031,
AnyChemoRT,68.59516875035027,75.90531142905384,
NoChemo,68.64246689664286,76.1735678458065,
AnyChemo,68.59073614768539,75.84930887432446,
NoRad,68.5224138961026,75.83308950639162,
AnyRad,68.61595023724956,75.99662548227263,
SurgOnly_NoTrt_70,68.2158397948524,75.90846096462694,
ChemoOnly_70,68.54394681455302,75.88604572826344,
RadOnly_70,68.43609229484619,76.10447694464803,
ChemoRad_70,68.59096503367601,76.0376596206602,
SurgOnly_NoTrt_80,68.4179249871766,75.84522553921848,
ChemoOnly_80,68.57449624037157,75.8468354750579,
RadOnly_80,68.46879593915301,75.95990898577037,
ChemoRad_80,68.58501679577968,75.89263377217254,
SurgOnly_NoTrt_90,68.39848922685727,75.85048318754599,
ChemoOnly_90,68.53264039975144,75.58539965883331,
RadOnly_90,68.01967893709728,75.42809159656204,
ChemoRad_90,68.53709426777375,75.78526768604483,
NoChemoRT_70,68.2158397948524,75.90846096462694,
AnyChemoRT_70,68.71336302426641,76.16087876983005,
NoChemoRT_80,68.4179249871766,75.84522553921848,
AnyChemoRT_80,68.6204244850903,75.95116654508425,
NoChemoRT_90,68.39848922685727,75.85048318754599,
AnyChemoRT_90,68.506389485965,75.69004960790527,
NoChemo_70,68.58662064650639,76.30860631335418,
AnyChemo_70,68.67676865676536,76.09467901087228,
NoChemo_80,68.55648167811908,76.03098368695106,
AnyChemo_80,68.57300253656548,75.90718261198398,
NoChemo_90,68.43677068783359,75.89792102187515,
AnyChemo_90,68.52447714535744,75.69113107608372,
NoRad_70,68.61670778485824,76.059573145782,
AnyRad_70,68.6616150793249,76.11891759606422,
NoRad_80,68.57750725615635,75.89591617254396,
AnyRad_80,68.59855319569095,75.96202223725287,
NoRad_90,68.53296125410851,75.65716412608474,
AnyRad_90,68.5184522383885,75.81034838307168,
noRecur,68.61269923911405,75.93503544759002,
recur,NaN,NaN,
noRecur_70,68.73190406740311,76.19586958544022,
recur_70,NaN,NaN,
noRecur_80,68.59296990283839,75.99243780988837,
recur_80,NaN,NaN,
noRecur_90,68.48147980979421,75.73081335510305,
recur_90,NaN,NaN,
Age0-4_70,68.55344131789538,75.88132571999981,
Age5-9_70,68.55754651112707,75.71325681754651,
Age10-14_70,68.52117197405772,76.16593702158512,
Age15-20_70,68.59100015580518,76.3042245978873,
Age0-4_80,68.56484409216336,75.82349485350919,
Age5-9_80,68.54448681283722,75.69199084111013,
Age10-14_80,68.54705831112179,75.98474588180065,
Age15-20_80,68.67171549322826,76.13790199585675,
Age0-4_90,68.37557377037872,75.5026270837061,
Age5-9_90,68.4803990767076,75.59613953446407,
Age10-14_90,68.66579612360187,75.83361619650938,
Age15-20_90,68.44074997098133,75.84638888954058,
Male_70,68.57774320365571,75.33073175426473,
Female_70,67.93154494888662,76.22888383517507,
Male_80,68.61233970276915,75.35602578922821,
Female_80,67.72352123849743,75.81126704140205,
Male_90,68.6208061008782,75.27061985294247,
Female_90,67.55600531659184,75.64116472799543,
HL grp: Salvage,67.95079029198466,75.71615844754044,
HL grp: Extended,68.42478458324919,76.2396587091224,
HL grp: Chest RT>=35 plus chemo,68.1075997656514,75.82371090335236,
HL grp: Chest RT>=35 no chemo,67.73271568769609,75.6511287166789,
HL grp: Chest RT<35 plus chemo,68.38718178051984,76.12923001038297,
HL grp: Chemo without chest RT,67.69648549563198,75.35505256651841,
HL grp: Other,68.16739080619723,75.6804352066203,
HL AHOD: Contemporary,67.6239607512618,75.49280231194035,
HL AHOD: High Chest RT,68.64406025545237,76.44866412244232,
HL AHOD: Other,68.51649776197866,76.18958147401236,
HL grp 2: Salvage,67.95079029198466,75.71615844754044,
HL grp 2: Extended,68.42478458324919,76.2396587091224,
HL grp 2: Chest RT>=35,68.25775286094571,76.10199290444224,
HL grp 2: [empty],NaN,NaN,
HL grp 2: Chest RT<35 plus chemo,68.38718178051984,76.12923001038297,
HL grp 2: Chemo without chest RT,67.69648549563198,75.35505256651841,
HL grp 2: Other,68.16739080619723,75.6804352066203,
HL AHOD2: Contemporary with RT,67.4302677002849,75.33801987520128,
HL AHOD2: Contemporary without RT,66.4242411867722,74.25692122264452,
HL AHOD2: High Chest RT,68.64406025545237,76.44866412244232,
HL AHOD2: Other,68.51649776197866,76.18958147401236,
AnyRad_ALL,68.59534547644814,75.50987436559073,
AnyRad_AML,67.8800493951784,74.60772679680653,
AnyRad_OtherLeukemia,67.01112728819439,73.96566198796829,
AnyRad_Astrocytoma,68.33523878859441,75.88796652912583,
AnyRad_Medulloblastoma,68.52421083066227,75.145777262451,
AnyRad_Other CNS,68.12433581930392,75.0815118934289,
AnyRad_HL,68.65782525435296,76.45057757657241,
AnyRad_NHL,68.39358203880728,75.33522965140476,
AnyRad_Kidney,68.33119312439639,75.94151811443551,
AnyRad_NBL,68.15558007960651,75.72407408727778,
AnyRad_STS,68.53590748886909,76.02403248196504,
AnyRad_Ewings,68.24954507441512,75.77590003378333,
AnyRad_Osteosarcoma,66.93975311334901,74.64413816076251,
AnyRad_OtherBoneTumor,64.30635756747118,72.2293330247341,
ChemoOnly_ALL,68.47875144749663,75.42863332771269,
ChemoOnly_AML,68.28728277808774,74.8132791758172,
ChemoOnly_OtherLeukemia,67.10047203975311,73.82433836298273,
