Group,Age1,Age2,
all,71.32592623201728,78.40008142924154,
Male,72.62404182697257,78.5578630614027,
Female,71.07840057884302,78.79282011055942,
1970s,71.39923535690541,78.6671924235807,
1980s,71.35854073196998,78.47911371794702,
1990s,71.3194206671288,78.32700184331998,
Age0-4,71.30038343982532,78.24689470099743,
Age5-9,71.46161005677938,78.41858780473098,
Age10-14,71.41377421213606,78.54246198915229,
Age15-20,71.44638415075843,78.80101060644714,
brain,71.41893899543506,78.5724180163635,
bone,71.47815972252693,78.9487633051234,
sts,71.58399291861242,78.90004237205088,
solid,71.20993943942311,78.68470204263268,
leuk,71.34418348971575,78.17223893441991,
lymp,71.5150315560075,78.67071350368275,
ALL,71.37276817222448,78.15921304618341,
AML,71.56622899127521,78.27955004445842,
OtherLeukemia,72.17362888343455,79.14755419698467,
Astrocytoma,71.45126763518557,79.20495599751558,
Medulloblastoma,71.69110411045517,78.37991484098953,
Other CNS,71.71773190573118,78.48019146083077,
HL,71.49844986423867,78.96642784542964,
NHL,71.78991934596907,78.69605613488184,
Kidney,71.2883923699885,78.70148379360118,
NBL,71.32121519716227,78.74794338272982,
STS,71.58399291861242,78.90004237205088,
Ewings,71.71347683582006,79.10040953296969,
Osteosarcoma,71.50015003378435,79.15369300490667,
OtherBoneTumor,73.53745867867346,80.43532200669958,
AnthNone,71.33752747695301,78.47216958174783,
Anth<100,71.53116901484694,78.27193249504666,
Anth100_249,71.45438025840159,78.39505484160539,
Anth250_399,71.44134782791367,78.58909226949548,
Anth400+,71.63748373176689,78.72268209848067,
AlkNone,71.2740409991705,78.43570132629291,
Alk<4000,71.4613990027486,78.20815296578706,
Alk4000_7999,71.54760006102741,78.54636473623677,
Alk8000_11999,71.49900369780998,78.47831565634328,
Alk12000+,71.46182517173736,78.55606488246951,
CispNone,71.3039190238812,78.37351987016244,
Cisp<400,71.62419514137963,78.64346742393,
Cisp400+,71.63435728939457,78.74210078291232,
PlatNone,71.31697583263137,78.37512441733165,
Plat<400,71.54571807007302,78.65751510331883,
Plat400+,71.54831258005467,78.67883135024965,
ChestNone,71.27607326632935,78.31586069325546,
Chest<10,71.42320248069393,78.42752825902895,
Chest10_19,71.55485544812012,78.55431805928636,
Chest20_29,71.57994990883816,78.63099023602078,
Chest30+,71.5382046883865,78.74338412577787,
HeartNone,71.27474264794247,78.33061278229141,
Heart<5,71.4215723803619,78.4598193171653,
Heart5_14,71.50584921143599,78.45948165128827,
Heart15_34,71.57483137674967,78.59052075461071,
Heart35+,71.65759039511086,79.18452210443172,
CRTNone,71.28515142629892,78.31686504125507,
CRT<20,71.41322763104375,78.54919149057135,
CRT20_29,71.61283145197615,78.40271783539752,
CRT30_49,71.7731707784029,78.6846050316156,
CRT50+,71.54324450070786,78.50562564936467,
OvaryNone,71.04051053822009,78.67333616382548,
Ovary<10,71.17791609430057,78.90857064522905,
Ovary10-19,71.77938995947649,79.22449016511435,
Ovary20+,72.3844589991826,80.26245680156218,
AbdPelNone,71.27135644020944,78.31610445818714,
AbdPel<15,71.40486823658198,78.44971771783838,
AbdPel15_24,71.63729603909431,78.59209525251194,
AbdPel25_34,71.57533614634129,78.82898030737047,
AbdPel35+,71.5600310211618,78.68410612070969,
MaxRTNone,71.30203737992542,78.3126331494997,
MaxRT<20,71.46951364086821,78.29539529339766,
MaxRT20_29,71.47762934163397,78.43902796355421,
MaxRT30+,71.4351652123287,78.63244385291704,
ALL_70,71.52215366989182,78.29392532556164,
AML_70,73.08114724582448,79.48345691521733,
OtherLeukemia_70,73.90967991692871,80.424569772714,
Astrocytoma_70,72.09526129530266,79.72259256564352,
Medulloblastoma_70,73.17338383791292,79.52587634185285,
Other CNS_70,73.76887037192775,80.45751701404292,
HL_70,71.746242999931,79.3551406607047,
NHL_70,72.2188269208188,79.26423887779268,
Kidney_70,71.88708378690391,79.20471224890369,
NBL_70,71.94437969478305,79.22607953243113,
STS_70,71.87064177376119,79.28301818978231,
Ewings_70,72.63398215793764,79.86607587002057,
Osteosarcoma_70,72.13210381311082,79.81317841297644,
OtherBoneTumor_70,76.62588626177052,84.16241338582805,
ALL_80,71.52386111567544,78.25017120746979,
AML_80,72.10570025727245,78.58001667947624,
OtherLeukemia_80,73.91118721006222,80.56306362709694,
Astrocytoma_80,71.71684535211463,79.39953536907782,
Medulloblastoma_80,72.15011605762528,78.65821263053999,
Other CNS_80,72.52699466912873,78.95673448649019,
HL_80,71.67990644992703,79.17845730056746,
NHL_80,72.04145079416028,78.86645454169204,
Kidney_80,71.54656741829304,78.89817554927174,
NBL_80,71.49234956673088,79.10727297502653,
STS_80,71.85851468628378,79.15049147965249,
Ewings_80,72.30801254150505,79.45155808280884,
Osteosarcoma_80,71.81892786167816,79.34125930822336,
OtherBoneTumor_80,75.60605866295222,83.02313193886498,
ALL_90,71.50383236547802,78.18532494928596,
AML_90,71.7877140767415,78.27559770566995,
OtherLeukemia_90,72.5926588352041,79.26041510975838,
Astrocytoma_90,71.43229601489077,79.05114913159396,
Medulloblastoma_90,71.85676699370693,78.39697204509969,
Other CNS_90,71.95081995894306,78.59240833229457,
HL_90,71.5720767798402,78.87001450869823,
NHL_90,71.81717707206697,78.73602952720454,
Kidney_90,71.33780280029802,78.76221723371155,
NBL_90,71.55229779706325,78.74611590938574,
STS_90,72.04687773330396,79.01512368852742,
Ewings_90,72.17439419339226,79.42834344832154,
Osteosarcoma_90,71.85699278312258,79.19735506946587,
OtherBoneTumor_90,74.8818852608856,81.2337414187441,
brain_70,71.88301341318613,79.23931692445368,
bone_70,71.93157815156538,79.47439394390977,
sts_70,71.87064177376119,79.28301818978231,
solid_70,71.63364682280522,78.97144226840207,
leuk_70,71.57616676300049,78.2920415873991,
lymp_70,71.73641512691248,79.04054113214656,
brain_80,71.59887474095976,78.7668979939842,
bone_80,71.71678449479414,79.12891812326546,
sts_80,71.85851468628378,79.15049147965249,
solid_80,71.33771923695764,78.77305843482367,
leuk_80,71.47558116232693,78.21885295962164,
lymp_80,71.62788935701013,78.80464827765736,
brain_90,71.4939717608189,78.48664309396628,
bone_90,71.65515536902168,78.96873279164697,
sts_90,72.04687773330396,79.01512368852742,
solid_90,71.2195042214299,78.59903573005127,
leuk_90,71.47199241014394,78.19657599157631,
lymp_90,71.50818818625419,78.59087415003023,
SurgOnly_NoTrt,71.33308324215798,78.81688838212118,
ChemoOnly,71.29987554720061,78.32824736392023,
RadOnly,71.50880795870931,78.83511421065433,
ChemoRad,71.37910432371159,78.44339707957774,
NoChemoRT,71.33308324215798,78.81688838212118,
AnyChemoRT,71.3425854808048,78.41037582704317,
NoChemo,71.35413889748642,78.78922873243742,
AnyChemo,71.33094920167242,78.37076082237381,
NoRad,71.28286592341287,78.33838768939903,
AnyRad,71.3776278564887,78.47547664984677,
SurgOnly_NoTrt_70,71.92891392890039,79.53984594978705,
ChemoOnly_70,71.6012551356778,78.82504942965443,
RadOnly_70,71.75017110695715,79.18480694419358,
ChemoRad_70,71.46798561298786,78.5932877383722,
SurgOnly_NoTrt_80,71.62439407851642,79.0664064071483,
ChemoOnly_80,71.417624067094,78.39770724331814,
RadOnly_80,71.71070231085945,78.90166637952515,
ChemoRad_80,71.49267509942939,78.46018821959285,
SurgOnly_NoTrt_90,71.44140277110044,78.85823051730455,
ChemoOnly_90,71.31163902003412,78.29083239898392,
RadOnly_90,71.87121669650898,79.0770565138199,
ChemoRad_90,71.45296421184608,78.34795111266911,
NoChemoRT_70,71.92891392890039,79.53984594978705,
AnyChemoRT_70,71.42816599194228,78.64907370102532,
NoChemoRT_80,71.62439407851642,79.0664064071483,
AnyChemoRT_80,71.37135020304336,78.44822012381098,
NoChemoRT_90,71.44140277110044,78.85823051730455,
AnyChemoRT_90,71.33451786097193,78.30243841039827,
NoChemo_70,71.64650029973124,79.13307955795281,
AnyChemo_70,71.39877578980473,78.60261530867342,
NoChemo_80,71.47899507218527,78.86411662646992,
AnyChemo_80,71.37555038132218,78.43012847735464,
NoChemo_90,71.39252786009202,78.67714768533955,
AnyChemo_90,71.35316033515895,78.30406395056582,
NoRad_70,71.52841130541808,78.83408699774964,
AnyRad_70,71.4696459543128,78.71065341145736,
NoRad_80,71.37521571164136,78.45928378737975,
AnyRad_80,71.47023313586469,78.48603218726649,
NoRad_90,71.2885154883231,78.29454227230067,
AnyRad_90,71.4218086032514,78.35179081129841,
noRecur,71.32592623201728,78.40008142924154,
recur,NaN,NaN,
noRecur_70,71.39923535690541,78.6671924235807,
recur_70,NaN,NaN,
noRecur_80,71.35854073196998,78.47911371794702,
recur_80,NaN,NaN,
