Group,LE,QALEcond,LEcond,HealthyLY,HealthyLYCond,
all,76.27727044039426,49.02034375421477,65.03479671687234,68.13467169594303,56.892197972420824,
Male,75.73717740003481,49.45234893425605,64.464524040454,67.24348614171836,55.970832782136995,
Female,76.94083902068094,48.400919508306586,65.73577195401519,68.10767458305763,56.9026075163916,
1970s,76.25426173189017,47.75780872353641,63.93992953639812,67.82537359822211,55.51104140273003,
1980s,76.27167402754496,48.94747300028753,65.0583366308097,68.00218983776631,56.7888524410317,
1990s,76.23189548772969,49.58170855458124,65.46412636258867,68.15867903617321,57.39090991103239,
Age0-4,75.65965063272638,53.08072509308263,69.54789830658471,68.00715668059428,61.89540435445225,
Age5-9,75.98229941247494,49.013745484463634,65.26982535263524,67.87438271880362,57.16190865896395,
Age10-14,76.73882420304203,44.80016424276903,60.66612110881922,68.05064104207267,51.977937947849675,
Age15-20,77.02333576559812,41.78677077590691,56.08367255171515,68.0309175503837,47.09125433650091,
brain,74.90672131011661,47.18298368431997,63.437648734945036,67.89810125193816,56.42902867676645,
bone,76.35275281050399,43.18780989520515,59.659358002350466,67.87725134372036,51.18385653556671,
sts,75.69185628264178,47.564167061028094,63.75832793590695,67.79932942888917,55.86580108215435,
solid,75.92607613109948,52.887350602719806,69.51397343724841,68.06591454623211,61.65381185238079,
leuk,74.7935769655876,49.89461141100803,65.229064178695,68.00228717245987,58.43777438556752,
lymp,76.36283585043618,45.11309339291297,60.046591808041875,67.90314090764134,51.586896865247084,
ALL,74.47033927304838,49.923500951898085,65.1522778869,67.95980140993485,58.64174002378586,
AML,73.9924052435939,48.16079003430186,62.867300493936916,67.80758782532897,56.68248307567216,
OtherLeukemia,72.90840837806714,45.66631175968868,59.92326274130989,67.01876410090533,54.03361846414812,
Astrocytoma,73.70992512776512,46.62231693585679,62.20740861868542,67.85295604838667,56.350439539306784,
Medulloblastoma,73.23346157320213,45.81290151438913,62.10765560891315,67.72324487488572,56.59743891059683,
Other CNS,73.42663911875017,45.907609367410195,61.583147208790976,67.59605936623926,55.75256745628007,
