Group,LE,QALEcond,LEcond,HealthyLY,HealthyLYCond,
all,77.61917185773761,49.885178144041156,66.37669813421536,69.13430900873351,57.891835285211634,
Male,77.18023352604375,50.44253982431273,65.90758016646284,68.57095611103493,57.29830275145388,
Female,78.16322134602981,49.194346847143926,66.95815427936391,69.83256622071562,58.62749915404927,
1970s,77.33646268551443,48.46612021242485,65.02213049002235,68.942665585783,56.62833339029091,
1980s,77.58388430341473,49.81947048526978,66.37054690667979,69.11269830070292,57.89936090396794,
1990s,77.7772906049907,50.593519782524886,67.00952147984982,69.23972554994863,58.471956424807765,
Age0-4,77.47992914438807,54.26412408580344,71.36817681824621,69.11876022645372,63.00700790031173,
Age5-9,77.54431713681281,50.04841922677871,66.83184307697319,69.06345292703799,58.350978867198265,
Age10-14,77.78572223872571,45.504503892396045,61.71301914450272,69.16273336143145,53.09003026720841,
Age15-20,77.93448192766162,42.40662164442781,56.99481871377854,69.25780210024115,48.31813888635811,
brain,76.76436384954009,48.38204777750759,65.29529127436848,69.12791156122744,57.65883898605584,
bone,77.8749305548982,44.158166980958875,61.18153574674453,69.19194857058999,52.498553762436316,
sts,78.05169876095019,49.045194389791604,66.11817041421541,69.09147188130191,57.157943534567025,
solid,77.66891262457546,54.01621523157925,71.25680993072415,69.18257776262212,62.77047506877083,
leuk,77.54332963394629,51.703908474867035,67.97881684705372,69.13485356592669,59.57034077903433,
lymp,78.26673453892253,46.33943987418502,61.95049049652818,69.09104219638701,52.7747981539926,
ALL,77.58660095132062,51.933879570379936,68.26853956517185,69.12710971780506,59.80904833165615,
AML,77.47601291956818,50.42187378747285,66.35090816991125,69.24170299121073,58.116598241553824,
OtherLeukemia,76.37801449259452,48.03605256593367,63.39286885583722,69.08437233837866,56.09922670162143,
Astrocytoma,76.70106591822167,48.58044028473303,65.19854940914179,69.14921969174347,57.64670318266355,
Medulloblastoma,77.07549444626184,48.183483279304134,65.94968848197284,69.05381173010703,57.92800576581802,
Other CNS,76.54456220278475,47.94961713468452,64.70107029282555,69.1576669446737,57.31417503471441,
HL,78.69533922242698,45.104241920390685,60.772489122476244,69.19053517628544,51.26768507633472,
NHL,77.62643231308176,48.18473002057562,63.71033337944051,68.94240738455075,55.026308450909596,
Kidney,77.56121317761217,53.24956897911738,70.4057551596731,69.21007046899956,62.054612451060535,
NBL,77.79157704787654,54.88938796446156,72.22611985415358,69.1512649094179,63.58580771569502,
STS,78.05169876095019,49.045194389791604,66.11817041421541,69.09147188130191,57.157943534567025,
Ewings,77.49759543293204,44.19397383986996,61.9601761729986,69.14790051366658,53.610481253733155,
Osteosarcoma,78.16705961802391,44.148726000918685,60.732885645478774,69.21183517458157,51.77766120203644,
OtherBoneTumor,77.11726011122126,44.01201832121335,60.90612745559795,69.27305771767539,53.06192506205204,
AnthNone,77.4086669811021,49.93269512431153,66.43258285252581,69.10430568598025,58.12822155740397,
Anth<100,77.7341684592051,51.94238361544778,68.30861065525353,69.19801383302418,59.77245602907244,
Anth100_249,77.8803277903342,49.98924423127087,66.37463745770467,69.16640998268667,57.66071965005713,
Anth250_399,77.84417861038139,47.99447339428426,64.83781722704087,69.14857434670337,56.142212963362965,
Anth400+,77.69470653727969,46.91206611849355,63.43618354512657,69.06790116897224,54.809378176819095,
AlkNone,77.48061912032081,50.46354176723493,66.69441123036282,69.14989523774196,58.36368734778362,
Alk<4000,77.68614040649437,50.93077427018757,67.42838478122954,69.15927355813079,58.90151793286578,
Alk4000_7999,77.91326990380819,48.767917854282075,65.22727399346101,69.13794153662005,56.45194562627289,
Alk8000_11999,77.76073734401885,48.78467998064381,65.51407830542672,69.1460594248876,56.89940038629554,
Alk12000+,77.63040215616064,48.4712761102303,65.70080818357336,69.03728474384232,57.107690771255044,
CispNone,77.6096840746257,49.991978433168995,66.40654264175066,69.13032585934032,57.92718442646566,
Cisp<400,77.74464977882221,49.12738245450261,66.66715496122917,69.21281920357973,58.135324385986834,
Cisp400+,77.71822882210482,48.12711922634186,65.39213484318539,69.15049776043062,56.82440378151129,
PlatNone,77.61344361018838,49.97834258233099,66.37260416191775,69.12863906247227,57.88779961420204,
Plat<400,77.76110001829727,48.950670420668224,66.43159228361743,69.22584865712976,57.896340922450015,
Plat400+,77.61645740778877,49.08500173936031,66.40332049246446,69.1617303010906,57.94859338576643,
ChestNone,77.64133576501564,51.35262231810824,67.31796024109701,69.17647557976508,58.85310005584625,
Chest<10,77.39354128295544,49.299996014192146,66.54986757467897,69.05765031076743,58.213976602490916,
Chest10_19,77.58424906032452,49.81077584761819,67.08000375423259,69.13421699519618,58.629971689104465,
Chest20_29,78.02462390235209,47.43172914890806,64.38640759767037,69.15996917539468,55.52175287071317,
Chest30+,77.93467548482899,45.3414623546113,61.689468804738304,69.11755259297223,52.87234591288164,
HeartNone,77.6417297183088,51.340044696171304,67.31218509552501,69.17652153021741,58.846976907433366,
Heart<5,77.41149805663028,49.24490501390942,66.48274622872363,69.06022297172474,58.13147114381806,
Heart5_14,77.5885618989978,49.33838215245605,66.54519517027397,69.13658565334183,58.093218924617865,
Heart15_34,77.77026912580239,47.035634998785746,64.09483706693985,69.11923611808338,55.443804059220774,
Heart35+,78.44789262635943,43.76372014756658,59.10529555979655,69.14634302998932,49.80374596342644,
CRTNone,77.64032766462508,51.35530158580183,67.31812478659391,69.17611851175836,58.853915633726665,
CRT<20,77.87713197659744,48.12501753775442,65.02885309010537,69.12738247000095,56.279103583508814,
CRT20_29,77.30968573784254,50.18759160475627,67.12843841022024,68.9686443979589,58.787397070336404,
CRT30_49,77.17292158040213,49.15859878459804,66.57271829988655,68.98174976072266,58.38154648020695,
CRT50+,76.9178758962109,47.487750660461664,65.00472046613184,69.08777880474082,57.17462337466184,
OvaryNone,78.03624340977156,50.58942587053082,67.8311209952754,69.78210582427968,59.57698340978351,
Ovary<10,78.31953349720845,47.52933631388555,65.86057238941922,69.89615660481564,57.43719549702648,
Ovary10-19,78.00265834784032,48.95196102245259,67.40647678252147,69.80569435688592,59.209512791567136,
Ovary20+,78.63993587056572,47.25182753837187,65.72831324626631,69.9014318736384,56.98980924933908,
AbdPelNone,77.64168723764936,51.35529569120883,67.32084931572778,69.17667860281978,58.855840680897835,
AbdPel<15,77.54991563375489,48.71163904838169,65.79062107804045,69.10581230698973,57.34651775127543,
AbdPel15_24,77.6662941971376,49.68346079850768,66.97450524051337,69.06645193963489,58.37466298301075,
AbdPel25_34,77.67043412851875,48.31192140191723,65.50386539895703,69.10707545613509,56.94050672657332,
AbdPel35+,77.70231500847653,45.92704491634533,62.546773286141836,69.03568420172685,53.88014247939215,
MaxRTNone,77.63966068153235,51.353672467041925,67.32672350326314,69.17243963090085,58.859502452631425,
MaxRT<20,77.5675355532127,50.23703773296204,67.45000675626049,69.12296641544862,59.00543761849652,
MaxRT20_29,77.73470601884353,49.3186745472878,66.28436256355694,69.07955252457117,57.629209069284656,
MaxRT30+,77.54345200582429,46.78019385705448,63.77420747524663,69.08504577355095,55.31580124297315,
ALL_70,77.1455934770865,50.8092606196164,67.53708809416732,68.91890157650266,59.310396193583486,
AML_70,76.9983365299163,48.6927789773263,64.55295056522536,69.10115331262747,56.655767347936234,
OtherLeukemia_70,76.0343251229535,49.05449320155797,64.6554310901957,68.92833147412459,57.54943744136668,
Astrocytoma_70,76.13601368194578,47.46663958618209,64.14003319584184,68.9107416547743,56.9147611686703,
Medulloblastoma_70,76.61086583220118,47.99920639250151,65.53451505056715,68.72968542859645,57.65333464696248,
Other CNS_70,75.94223405949711,45.63797986274487,61.75897854833803,68.83468591853621,54.65143040737719,
HL_70,78.27251733375658,44.59434847451917,60.132093502875634,69.00191577603844,50.86149194515751,
NHL_70,77.06384981859955,47.01129470164147,62.767034612483165,68.66896784147072,54.372152635354176,
Kidney_70,77.22523547283319,52.750110820169716,70.03873964028377,69.01906536924854,61.832569536699275,
NBL_70,77.39793128734298,54.20539720127062,71.89048576128468,68.97016909206003,63.46272356600182,
STS_70,77.74541510232672,48.24373213124117,65.02786106924665,68.98353043247302,56.265976399393146,
Ewings_70,77.15515871360702,43.8408290970058,61.87665397664349,69.00364533263789,53.725140595674404,
Osteosarcoma_70,77.79069399881391,43.604279778147024,60.029707622497526,69.0615952080636,51.30060883174712,
OtherBoneTumor_70,77.0520077096024,42.596461607739116,58.42091487595579,69.30919917794427,50.67810634429781,
ALL_80,77.54110153295079,51.81473409054926,68.30020640537464,69.1012956225047,59.86040049492865,
AML_80,77.37455140249263,50.130878069698156,66.08579992482773,69.20958851778778,57.920837040123104,
OtherLeukemia_80,76.25656094998014,47.96407789351128,63.26165219907159,68.98871592358297,55.99380717267443,
Astrocytoma_80,76.62049724130739,48.62787132467216,65.40207126450503,69.10078373668318,57.88235775988083,
Medulloblastoma_80,76.9911803894298,48.17764419803306,65.9228366298056,69.01280436347795,57.944460603853734,
Other CNS_80,76.42059492624895,47.44131321308734,64.29114085960605,69.12270171903006,56.99324765238695,
HL_80,78.7300246348048,45.15893678282636,60.78677051082686,69.18400775722466,51.2407536332466,
NHL_80,77.56179227890411,48.14485921858017,63.78415959791298,68.8931932738067,55.1155605928156,
Kidney_80,77.54406347090665,53.33159584240921,70.39912347054255,69.1972722403033,62.05233223993914,
NBL_80,77.74430147849779,55.14457751807273,72.46450887973339,69.14226675616742,63.86247415740289,
STS_80,78.14933320825271,48.918441838457,65.98231982722835,69.14722521814654,56.98021183712231,
Ewings_80,77.38746232589575,43.8401976959372,61.38061830430703,69.06716299885963,53.06031897727095,
Osteosarcoma_80,78.16781831230576,43.89634162489104,60.424254090203284,69.23718046003391,51.49361623793146,
OtherBoneTumor_80,77.12001327023226,42.78475646073461,58.94538772528137,69.3688989286918,51.19427338374066,
ALL_90,77.75429048120385,52.36357056734112,68.4757333112261,69.20914813544314,59.930590965465335,
AML_90,77.66968722232241,51.07008423341697,66.99896587160586,69.30025554949957,58.62953419878303,
OtherLeukemia_90,76.62569813404967,47.61848341117761,62.90596853241475,69.22650502605539,55.506775424420596,
Astrocytoma_90,76.9498977354646,48.92706611531534,65.41745229395472,69.26430489110355,57.731859449593664,
