Group,LE,QALEcond,LEcond,HealthyLY,HealthyLYCond,
all,78.67577371650037,50.57531553676439,67.43329999297843,70.2065309585942,58.96405723507179,
Male,78.5014883062774,51.2933042626478,67.2288349466962,70.25854086634409,58.985887506763106,
Female,79.25311653610628,49.90610550823313,68.04804946944066,70.82856036181022,59.62349329514407,
1970s,78.29767213262716,49.11199397767267,65.98333993713469,70.04719470230023,57.732862506807976,
1980s,78.63187158732856,50.502537806140694,67.41853419059348,70.21496479557224,59.001627398837314,
1990s,78.94366624634978,51.35571448803593,68.17589712120893,70.347788378941,59.58001925380028,
Age0-4,78.75327661402773,55.14245485122956,72.64152428788603,70.20701747660482,64.0952651504625,
Age5-9,78.77125751005106,50.82382960716916,68.05878345021138,70.24787489773531,59.53540083789552,
Age10-14,78.7805959223523,46.15275083874207,62.707892828129374,70.32744272883906,54.25473963461601,
Age15-20,78.7436986744504,42.939991644210146,57.80403546056735,70.35944335424544,49.419780140362235,
brain,78.41493492971945,49.44847983058551,66.94586235454805,70.28435215056301,58.81527957539143,
bone,78.99866272134317,44.89797652232308,62.30526791318958,70.37457361106759,53.68117880291383,
sts,79.46032805233712,49.957217968091086,67.52679970560222,70.34758431927847,58.41405597254346,
solid,79.41920324785116,55.17992529957814,73.00710055399996,70.23471964894985,63.8226169550984,
leuk,79.54690364294379,52.98290945680403,69.98239085605105,70.26768195923104,60.70316917233878,
lymp,79.55393770041921,47.12980857510664,63.237693658024796,70.29616471676064,53.97992067436648,
ALL,79.86703713447191,53.41031759880559,70.54897574832309,70.26800258006033,60.949941193911535,
AML,79.72415679893234,51.92168435596855,68.59905204927547,70.6391536663383,59.51404891668151,
OtherLeukemia,79.73417257444385,50.303200607440345,66.7490269376866,71.01579991386205,58.03065427710481,
Astrocytoma,79.22275840045623,50.19489364415119,67.72024189137625,70.34912076018402,58.846604251104175,
Medulloblastoma,80.24181026348421,50.11051373882222,69.11600429919531,70.41308944308703,59.28728347879819,
Other CNS,79.08187289149508,49.58873938011716,67.23838098153593,70.61130968073591,58.767817770776766,
HL,79.74872629166221,45.805594615558604,61.825876191711586,70.34380123037072,52.42095113042009,
NHL,80.06559378738827,49.723176043438635,66.14949485374706,70.35467380830552,56.438574874664255,
Kidney,79.41233994707234,54.474891261974456,72.2568819291334,70.30546858247432,63.15001056453529,
NBL,79.8597394615135,56.25711496712992,74.29428226779048,70.35922030306507,64.79376310934205,
STS,79.46032805233712,49.957217968091086,67.52679970560222,70.34758431927847,58.41405597254346,
Ewings,79.57243649526815,45.439244831986734,64.03501723533503,70.57440674730312,55.03698748736988,
Osteosarcoma,79.51637500367991,45.0232939492132,62.08220103113491,70.47349765662169,53.03932368407657,
OtherBoneTumor,80.87362252863956,46.50176719228095,64.66248987301627,72.28796395926493,56.07683130364161,
AnthNone,78.35070539267902,50.56036900214996,67.37545127398617,70.16986664479732,59.199740080245476,
Anth<100,79.76446545271546,53.243268629942634,70.33760770488551,70.49725771485166,61.05973641131327,
Anth100_249,79.03330601789459,50.721868132762964,67.53230987476111,70.30562475398018,58.82261514373633,
Anth250_399,78.89689191593816,48.69957577958014,65.89677275699856,70.36376487153561,57.34424280365363,
Anth400+,78.9269014910289,47.73232779671667,64.67798599326301,70.40945202973913,56.15162714082757,
AlkNone,78.52585053167493,51.187713882771675,67.73937296402624,70.20646967862181,59.42306498773388,
Alk<4000,79.40052268426503,52.021074258961455,69.14741349916605,70.42573818716667,60.17361068094707,
Alk4000_7999,79.16379627801234,49.56876076587181,66.47264643686238,70.34422500453881,57.66189797586771,
Alk8000_11999,79.01546001615802,49.58691019654309,66.75463241072212,70.39128002050016,58.13954870198855,
Alk12000+,78.64093335682719,49.11335142227714,66.70530889272413,70.23834078647415,58.30256641046171,
CispNone,78.67626500690415,50.69519066024996,67.47316838165837,70.18907037341842,58.9860533152866,
Cisp<400,79.17471612239501,50.046266363658965,68.08259282727315,70.57753020807772,59.49824510608465,
Cisp400+,79.1176553308142,49.03570464662119,66.78948123973436,70.57847488952993,58.28179772479341,
PlatNone,78.68622035768809,50.68132507567803,67.44559919807199,70.19327693963979,58.95085250526365,
Plat<400,79.09341716244006,49.8312731544585,67.75995816135465,70.58979702639726,59.2589096983278,
Plat400+,78.90094640313183,49.92845965489223,67.69113558726748,70.51368337766962,59.29114629676388,
ChestNone,78.81074888406442,52.13920816171202,68.48843265488183,70.25608546761497,59.93013228145984,
Chest<10,78.65551770589894,50.10366817626172,67.81347179836038,70.17145481140057,59.34120622009346,
Chest10_19,78.9757637402141,50.70509816088102,68.44028649294529,70.43850573483982,59.94283808827881,
Chest20_29,79.20723509730797,48.21963662429681,65.57507199587927,70.42316317412384,56.80880934093483,
Chest30+,79.12971142391585,46.12212587279021,62.89164604651376,70.35884949438169,54.120874997790025,
HeartNone,78.80316096334927,52.12494804528443,68.48368328508231,70.2469710366467,59.92357714909488,
Heart<5,78.64599204074058,50.040613966670044,67.71806180416871,70.22048297847735,59.26745467339699,
Heart5_14,78.80883343432532,50.15535424586144,67.77138448919101,70.414823758812,59.38232783400788,
Heart15_34,79.04258170955877,47.85033857479834,65.36466566918185,70.31503121472618,56.64258536636928,
Heart35+,79.72435722347973,44.63781016576441,60.38851939639918,70.44031188523127,51.10599389139055,
CRTNone,78.81260831288601,52.14448214268701,68.4859365815198,70.26166648217371,59.93799457692632,
CRT<20,78.7953187948603,48.71220386227771,65.95321438999329,70.2263603873436,57.37509020620708,
CRT20_29,79.3880353990741,51.5265118117413,69.21343915416172,70.31291270662298,60.110258768822604,
CRT30_49,78.80653492543624,50.20640704551424,68.20536295534427,70.41777999225542,59.85107268656534,
CRT50+,78.34167170385783,48.45291732055407,66.42805672088065,70.33427027101624,58.42347270713518,
OvaryNone,79.30739747073925,51.42033916641368,69.0981290785693,70.80317198423623,60.591311160473936,
Ovary<10,79.37421088267021,48.216681320597246,66.90624838951523,70.97451524082065,58.51243085216035,
Ovary10-19,79.68887209099617,50.06892585439578,69.06122449112107,71.47588293328654,60.89717923501145,
Ovary20+,80.5280486370894,48.52807880882372,67.61642601279013,71.86167802892975,58.95005540463054,
AbdPelNone,78.81823550050771,52.14375099367945,68.49579548380713,70.25271763315708,59.93084446636992,
AbdPel<15,78.72273639546059,49.45539936654542,66.96247129076248,70.21553650011074,58.44840845071001,
AbdPel15_24,79.09740232163816,50.590403685287235,68.39168537492984,70.42844931623837,59.71600737180168,
AbdPel25_34,79.08577081316814,49.224031538567296,66.93478370107253,70.40210349584906,58.23619799172337,
AbdPel35+,78.90138043320155,46.7008323837681,63.76180641640157,70.31429489546959,55.16361389094558,
MaxRTNone,78.82814414864603,52.15705215617516,68.50724991157642,70.27150297999705,59.96022833437752,
MaxRT<20,79.00707274899308,51.16929604545401,68.88592211860204,70.35058280780171,60.22794567839342,
MaxRT20_29,79.06311466260445,50.16329203677831,67.60411253491552,70.27566543718646,58.831607434535904,
MaxRT30+,78.29647497096214,47.29918453408898,64.52273568109533,70.22115218165922,56.446734451899104,
ALL_70,79.61373474266702,52.36551644200758,70.00522935974779,70.1443220834937,60.53581670057473,
AML_70,80.41705397755794,51.03285346166535,67.97166801286686,71.75886645396815,59.31348048927706,
OtherLeukemia_70,80.4902241210875,52.12628606748439,69.11133008832964,72.500645276256,61.121751243498124,
Astrocytoma_70,79.18320001395954,49.473796381414196,67.18721952785556,70.72149313426083,58.72551264815687,
Medulloblastoma_70,80.86602203335971,50.77088087202923,69.78967125172576,71.65198081403065,60.575630032396674,
Other CNS_70,79.86992420181251,48.30493158022641,65.68666869065345,71.7712888812995,57.58803337014043,
HL_70,79.6580784523763,45.5151146639,61.517654621495375,70.3741068632495,52.23368303236856,
NHL_70,79.77434733921021,48.71662243355374,65.4775321330938,70.48099176603398,56.18417655991748,
Kidney_70,79.50573798261118,54.2904622075194,72.31924215006208,70.71825484265172,63.53175901010245,
NBL_70,79.84193125542971,55.871475914569324,74.33448572937151,70.69607864137608,65.18863311531783,
STS_70,79.49813563221922,49.38337648346822,66.78058159913931,70.40419604723732,57.6866420141573,
Ewings_70,79.70122598035232,45.45782828110815,64.42272124338874,71.38789041242961,56.10938567546601,
